,https://roic.ai/company/NM,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12,Interest Income ,195000,41000,134000,789000,2513000,3832000,10819000,9938000,3029000,4519000,4120000,2717000,2299000,5515000,2370000,4947000,6831000,8748000,10662000,257000
13,Interest Expense (Gain),6104000,3950000,5278000,3450000,13569000,47429000,51089000,49128000,63618000,91527000,107181000,99887000,105422000,109550000,108488000,107787000,121611000,131131000,125496000,128696000
14,Depreciation and Amortization,- -,- -,- -,5925000,17454000,37719000,31900000,58995000,76326000,101793000,107395000,108206000,98124000,104690000,120310000,113825000,104112000,102839000,104581000,71015000
15,EBITDA,3072000,-1684000,60779000,136513700,84521000,106217000,358441000,170537000,206313000,339491000,255346000,383890000,90223000,158121000,91532000,-80946000,56621000,-35856000,39442000,8802000
16,EBITDA ratio,0.1432,-0.0629,0.3382,0.4052,0.3597,0.5157,0.4726,0.1369,0.3446,0.4993,0.3704,0.6227,0.1761,0.2779,0.1904,-0.1928,0.1223,-0.0693,0.0818,0.0211
17,Operating Income,12781000,16304000,157659000,130033000,194219000,133818000,676077000,46706000,94695000,132071000,138288000,52752000,11035000,25368000,54306000,-23110000,505000,78936000,84850000,40116000
18,Operating Income ratio,0.5957,0.6093,0.8772,0.3859,0.8264,0.6497,0.8914,0.0375,0.1582,0.1942,0.2006,0.0856,0.0215,0.0446,0.1129,-0.0551,0.0011,0.1525,0.1759,0.0963
19,Total Other Income Expenses (Gains),-2770000,- -,- -,-130017470,495000,1347000,-400625000,17431000,-25296000,13612000,-97012000,123122000,-120586000,-87348000,-183527000,-275774000,-168484000,-345555000,-263709000,-226669000
20,Income Before Tax,- -,- -,- -,15530,- -,- -,275452000,64137000,69399000,145683000,41276000,175874000,-109551000,-61980000,-129221000,-298884000,-167979000,-266619000,-178859000,-186553000
21,Income Before Tax Ratio,- -,- -,- -,0.0000,- -,- -,0.3632,0.0515,0.1159,0.2143,0.0599,0.2853,-0.2139,-0.1089,-0.2688,-0.7120,-0.3628,-0.5150,-0.3707,-0.4477
22,Income Tax expense (Gain),- -,- -,- -,6700,- -,- -,4451000,-56113000,-1565000,414000,-56000,312000,-4260000,84000,-3154000,1265000,-3192000,-1108000,1475000,2052000
23,Net Income,-3032000,-5634000,55501000,127132000,53498000,21069000,271001000,118527000,67934000,145757000,40826000,175485000,-109063000,-56203000,-134112000,-303823000,-165910000,-268718000,-192110000,-192961000
24,Net Income ratio,-0.1413,-0.2105,0.3088,0.3773,0.2276,0.1023,0.3573,0.0951,0.1135,0.2144,0.0592,0.2846,-0.2129,-0.0988,-0.2789,-0.7238,-0.3583,-0.5190,-0.3982,-0.4630
25,EPS,-43.80,-56.30,557.00,1275.91,38.30,3.80,28.70,11.40,6.80,14.30,3.90,16.20,-10.90,-6.50,-14.20,-4.20,-15.00,-23.33,-12.43,-15.35
26,EPS Diluted,-43.80,-56.30,557.00,1275.91,34.20,3.80,26.80,11.00,6.50,12.40,3.70,14.90,-10.90,-6.50,-14.20,-4.20,-15.00,-23.33,-12.43,-15.35
27,Weighted Average Shares Outstanding,69224,100000,99640,99640,1397950,5489440,9282094,10434561,9992071,10051888,10092644,10123272,10185441,10347661,10589623,10736678,11667345,11958959,12356024,12896568
28,Weighted Average Shares Outstanding Diluted,69224,100000,99640,99640,1566257,5552968,9942953,10734728,10519462,11618235,11032365,11103375,10185441,10347661,10589623,10736678,11667345,11958959,12356024,12896568
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1333172/000095012310025241/0000950123-10-025241-index.html,- -,https://www.sec.gov/Archives/edgar/data/1333172/000119312512137497/0001193125-12-137497-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,46758000,37737000,99658000,427567000,133624000,173933000,207410000,171096000,257868000,187831000,247556000,163412000,135992000,127632000,137882000,77991000,94881000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,38382000,1420000,1279000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,46758000,37737000,99658000,427567000,133624000,212315000,208830000,172375000,257868000,187831000,247556000,163412000,135992000,127632000,137882000,77991000,94881000
34,Net Receivables,- -,- -,- -,15200000,13703000,28235000,104968000,117972000,84384000,75712000,158315000,140511000,103205000,117963000,88560000,84199000,76640000,102224000,70372000,58707000
35,Inventory,- -,- -,- -,- -,425000,2300000,- -,10344000,13716000,19425000,21735000,31555000,26588000,32521000,24443000,28489000,30170000,27746000,10489000,14121000
36,Other Current Assets,- -,31020000,179403000,125986000,62674000,65676000,315710000,243469000,117265000,45998000,18549000,40633000,22362000,19091000,26544000,24460000,21634000,30858000,9149000,27148000
37,Total Current Assets,- -,31020000,179403000,187944000,114539000,195869000,848245000,505409000,427680000,349965000,370974000,470567000,339986000,417131000,302959000,273140000,256076000,298710000,168001000,194857000
38,PP&E,- -,- -,- -,138199000,365997000,505292000,425591000,737094000,1577741000,2249677000,1767946000,1746493000,1808883000,1911143000,1823961000,1821101000,1809225000,1898455000,1532859000,1359623000
39,Goodwill,- -,- -,- -,226000,40789000,40789000,70810000,147632000,147916000,175057000,160336000,160336000,160336000,160336000,160336000,160336000,160336000,160336000,160336000,160336000
40,Intangible Assets,- -,- -,- -,2004000,119742000,116156000,112572000,121263000,116482000,327703000,243273000,209058000,191664000,189492000,150457000,126815000,116422000,138937000,111814000,106441000
41,Intangible Assets,- -,- -,- -,2230000,160531000,156945000,183382000,268895000,264398000,502760000,403609000,369394000,352000000,349828000,310793000,287151000,276758000,299273000,272150000,266777000
42,Investments,- -,- -,- -,557000,685000,749000,59925000,46961000,77787000,117773000,199992000,197850000,342963000,351154000,386919000,160071000,183160000,91111000,64352000,56988000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,184780000,182130000,4362000,147631000,85928000,453861000,695265000,587576000,456592000,171303000,157158000,75781000,130133000,134181000,211432000,104762000,94947000,105493000,93080000
45,Total Non-Current Assets,- -,184780000,182130000,145348000,674844000,748914000,1122759000,1748215000,2507502000,3326802000,2542850000,2470895000,2579627000,2742258000,2655854000,2479755000,2373905000,2383786000,1974854000,1776468000
46,Other Assets,161610000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,161610000,215800000,361533000,333292000,789383000,944783000,1971004000,2253624000,2935182000,3676767000,2913824000,2941462000,2919613000,3159389000,2958813000,2752895000,2629981000,2682496000,2142855000,1971325000
48,Accounts Payable,- -,- -,- -,14883000,13886000,37366000,106665000,72520000,61990000,49496000,52113000,63921000,51692000,53837000,72605000,85538000,79671000,78947000,21673000,29185000
49,Short-Term Debt,- -,- -,- -,1000000,54221000,8250000,14220000,144129000,70479000,64549000,101314000,34448000,20661000,25635000,19873000,32466000,33885000,69051000,137213000,455606000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5929000,5175000,4792000,4162000,5092000,5376000,6268000,8002000,7911000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,11319000,9529000,17682000,28557000,15326000,13215000,12445000,13492000,9183000,11030000,11753000,8854000,8342000
52,Other Current Liabilities,- -,38460000,136902000,87644000,65497000,63363000,329606000,43564000,54082000,69876000,70019000,75681000,64199000,107320000,120886000,124596000,111608000,160715000,57533000,99649000
53,Total Current Liabilities,- -,38460000,136902000,103527000,133604000,108979000,450491000,271532000,196080000,201603000,252003000,189376000,149767000,199237000,226856000,251783000,236194000,320466000,225273000,592782000
54,Long-Term Debt,- -,- -,- -,49506000,439179000,559812000,599829000,997049000,1655575000,2043622000,1383464000,1348876000,1514347000,1641307000,1582084000,1636246000,1648603000,1746956000,1739466000,1403589000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,33470000,- -,38212000,- -,25221000,17459000,20878000,- -,43382000,19063000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,53807000,26573000,22777000,21104000,19628000,18522000,13869000,12735000,10917000,11526000,7766000,7177000,8133000,8577000
57,Other Non-Current Liabilities,- -,135699000,128339000,5468000,8842000,1776000,97673000,23691000,-33470000,92895000,44825000,61649000,27074000,22141000,7526000,49787000,76872000,67154000,10958000,660000
58,Total Non-Current Liabilities,- -,135699000,128339000,54974000,448021000,561588000,751309000,1047313000,1678352000,2157621000,1486129000,1429047000,1580511000,1693642000,1621405000,1697559000,1776623000,1840350000,1758557000,1412826000
59,Other Liabilities,123338000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,32261000,31221000,25112000,23759000,22360000,20649000,17617000,- -,- -,313432000,274766000
61,Total Liabilities,123338000,174159000,265241000,158501000,581625000,670567000,1201800000,1318845000,1874432000,2359224000,1738132000,1618423000,1730278000,1892879000,1848261000,1949342000,2012817000,2160816000,1983830000,2005608000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,87000,4000,6000,11000,10000,10000,10000,10000,10000,10000,11000,11000,12000,12000,1000,1000,1000
64,Retained Earnings,- -,- -,- -,113845000,2161000,7848000,252826000,333669000,376585000,495684000,510348000,659547000,524079000,432065000,262603000,-256000,-166021000,-434739000,-597916000,-784592000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-4078000,-9816000,-19939000,-22578000,15156000,32624000,6166000,-558000,-11172000,-578000,-445000,- -,2000,- -,-532681000,-460774000
66,Other Total Stockholders Equity,38272000,- -,- -,60859000,209671000,276178000,536306000,494719000,533729000,531265000,542582000,547377000,552778000,721465000,726791000,678531000,682105000,686671000,1174446000,1103807000
67,Total Stockholders Equity,38272000,41641000,96292000,174791000,207758000,274216000,769204000,805820000,925480000,1059583000,1059106000,1206376000,1065695000,1152963000,988960000,678287000,516098000,251933000,43850000,-141558000
68,Total Liabilities And Stockholders Equity,161610000,215800000,361533000,333292000,789383000,944783000,1971004000,2124665000,2799912000,3418807000,2797238000,2824799000,2795973000,3045842000,2837221000,2627629000,2528915000,2412749000,2027680000,1864050000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,128959000,135270000,257960000,116586000,116663000,123640000,113547000,121592000,125266000,101066000,269747000,115175000,107275000
70,Total Liabilities & Equity,161610000,215800000,361533000,333292000,789383000,944783000,1971004000,2253624000,2935182000,3676767000,2913824000,2941462000,2919613000,3159389000,2958813000,2752895000,2629981000,2682496000,2142855000,1971325000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1333172/000095012310025241/0000950123-10-025241-index.html,- -,https://www.sec.gov/Archives/edgar/data/1333172/000119312512137497/0001193125-12-137497-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-5634000,55501000,127132000,53498000,21069000,271001000,118527000,67934000,145757000,40826000,175485000,-109063000,-56203000,-134112000,-303823000,-165910000,-268718000,-192110000,-192961000
74,Depreciation and Amortization,- -,- -,- -,5925000,17454000,37719000,31900000,58995000,76326000,101793000,107395000,108206000,98124000,104690000,120310000,113825000,104112000,102839000,104581000,71015000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,4451000,-56113000,-1565000,- -,-56000,312000,-4260000,84000,-3154000,1265000,-3192000,-1108000,1475000,2052000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2694000,2187000,8095000,4252000,4712000,5021000,7719000,5591000,3446000,4296000,4556000,2885000,1268000
77,Change in Working Capital,- -,- -,- -,4047000,-1157000,-1979000,67652000,-142001000,86897000,-13527000,-53390000,-68703000,30705000,5588000,82331000,18329000,45866000,-18970000,-563000,48105000
78,Accounts Receivable,- -,- -,- -,- -,-9193000,-20556000,-76016000,2473000,29082000,3465000,-32594000,-1434000,-1110000,-107000,20588000,-2350000,5293000,6575000,5425000,-2992000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9820000,4966000,-5933000,8079000,-4046000,-1681000,2672000,12606000,-3641000
80,Accounts Payable,- -,- -,- -,85935,-1321000,23480000,59946000,-42154000,-10610000,-11445000,1333000,6701000,-12916000,1738000,17606000,7209000,-7392000,-3023000,47491000,7763000
81,Other Working Capital,- -,- -,- -,- -,- -,10517000,153153000,-111221000,59974000,-5760000,6636000,-12144000,-476000,-938000,1244000,-7215000,4513000,-1535000,-2323000,648000
82,Other Non-Cash Items,- -,7853000,-34049000,114000,26521000,-377000,-246929000,-10490000,-15328000,-59628000,7616000,13834000,39222000,-5555000,-27488000,203878000,65612000,237038000,179844000,95732000
83,Cash Provided by Operating Activities,- -,2219000,21452000,137218000,96316000,56432000,128075000,-28388000,216451000,182490000,106643000,233846000,59749000,56323000,43478000,36920000,50784000,55637000,96112000,25211000
84,CAPEX,- -,- -,- -,-5103000,-115389000,-109408000,-398410000,-417499000,-778458000,-582777000,-193956000,-57690000,-148026000,-247698000,-34921000,-151593000,-49592000,-85645000,-99379000,-107509000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-145436000,-110069000,-369000,-98913000,-72425000,33000,- -,-2233000,-22846000,- -,-7638000,18095000,-18447000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2052000,- -,-167919000,- -,- -,- -,-2724000,-15234000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5303000,- -,- -,- -,- -
88,Other Investing Activites,- -,-3682000,26594000,136000,-8322000,-2055000,527395000,74931000,-23711000,551921000,93169000,64908000,55282000,-5157000,21268000,-4275000,17589000,110647000,61359000,108101000
89,Cash Used for Investing Activites,- -,-3682000,26594000,-4967000,-123711000,-111463000,-16451000,-452637000,-802538000,-129769000,-175264000,7251000,-258571000,-244888000,-36499000,-150565000,-42365000,27863000,-56467000,592000
90,Debt Repayment,- -,- -,- -,-139189000,-185998000,-340453000,-139173000,-52563000,-352049000,-804397000,-548487000,-237697000,-646581000,-312160000,-37557000,-74440000,-407200000,-123094000,-228632000,-599081000
91,Common Stock Issued,- -,- -,- -,- -,- -,65453000,239567000,6749000,- -,33817000,415000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-24189000,- -,- -,- -,-51033000,-717000,-50835000,-221000,- -,- -,- -,-252000,-10141000,-571000,-1000,-10231000,- -
93,Dividends Paid,- -,- -,- -,-40000000,- -,-15382000,-26023000,-28588000,-27583000,-27037000,-27238000,-32435000,-26405000,-32730000,-35350000,-3681000,- -,- -,- -,- -
94,Other Financing Activites,- -,5474000,-29416000,91435000,204372000,407334000,141914000,312517000,1006745000,829208000,607838000,115807000,801771000,593180000,-17964000,174487000,390992000,56179000,127171000,605735000
95,Cash Used/Provided by Financing Activities,- -,5474000,-29416000,-111943000,18374000,116952000,216285000,187082000,626396000,-19244000,32307000,-154325000,128785000,248290000,-91123000,86225000,-16779000,-66916000,-111692000,6654000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,5474000,-29416000,20308000,-9021000,61921000,327909000,-293943000,40309000,33477000,-36314000,86772000,-70037000,59725000,-84144000,-27420000,-8360000,16584000,-72047000,32457000
98,Cash at the End of Period,- -,- -,- -,46758000,37737000,99658000,427567000,133624000,173933000,207410000,171096000,257868000,187831000,247556000,163412000,135992000,127632000,150774000,78727000,111184000
99,Cash at the Beginning of Period,- -,- -,- -,26450000,46758000,37737000,99658000,427567000,133624000,173933000,207410000,171096000,257868000,187831000,247556000,163412000,135992000,134190000,150774000,78727000
100,Free Cash Flow,- -,2219000,21452000,132115000,-19073000,-52976000,-270335000,-445887000,-562007000,-400287000,-87313000,176156000,-88277000,-191375000,8557000,-114673000,1192000,-30008000,-3267000,-82298000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1333172/000095012310025241/0000950123-10-025241-index.html,- -,https://www.sec.gov/Archives/edgar/data/1333172/000119312512137497/0001193125-12-137497-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,
