,https://roic.ai/company/GWSN,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,-30000,-155730,-652240,-1211510,-6605610,-1514379,-2288000,- -,-3371331
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,80000,132438,350338,392737,5445387,177210,177208,-2722652,362439
67,Total Stockholders Equity,60000,7098,-271512,-787683,-1112305,-1331907,-2105528,-2717398,-3008869
68,Total Liabilities And Stockholders Equity,290000,149278,5328,26327,55085,152264,38912,34379,47475
69,Minority Interest,- -,2,2,3,-5,- -,-2,- -,- -
70,Total Liabilities & Equity,290000,149280,5330,26330,55080,152264,38910,34379,47475
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1592603/000130841114000196/0001308411-14-000196-index.html,https://www.sec.gov/Archives/edgar/data/1592603/000147793216008229/0001477932-16-008229-index.htm,https://www.sec.gov/Archives/edgar/data/1592603/000139160917000024/0001391609-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1592603/000139160918000030/0001391609-18-000030-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1592603/000147793220001595/0001477932-20-001595-index.htm,https://www.sec.gov/Archives/edgar/data/1592603/000147793221001860/0001477932-21-001860-index.htm,https://www.sec.gov/Archives/edgar/data/1592603/000147793222002075/0001477932-22-002075-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-30000,-155730,-496510,-559270,-5394100,-1358550,-773620,-791860,-291471
74,Depreciation and Amortization,- -,- -,- -,- -,- -,1319,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,2967459,- -,- -,- -,- -
77,Change in Working Capital,30000,-47390,-204120,-338400,-252510,-469488,-773622,2027274,118914
78,Accounts Receivable,- -,- -,- -,- -,- -,-1906,-970,398,-2964
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,156015,261753,151304,147912,-51353,- -
81,Other Working Capital,-20000,-67390,-271510,-609910,-862420,-1331908,-2105530,-78256,40658
82,Other Non-Cash Items,-10000,139577,602978,772096,1761688,1214380,1119650,-1882079,36694
83,Cash Provided by Operating Activities,-10000,-63543,-97652,-125574,-917463,-612339,-427592,-646665,-135863
84,CAPEX,- -,-1995,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-1995,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-1995,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,-150000,-25000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,90325,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,20000,- -,- -,- -,- -,- -,- -,-20010,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,200000,200000,50025,124500,960500,671000,372839,661135,145503
95,Cash Used/Provided by Financing Activities,220000,140325,25025,124500,960500,671000,372839,641125,145503
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,210000,140325,-72627,-1074,43037,58661,-54753,-5540,9640
98,Cash at the End of Period,210000,74787,2160,1086,44123,64798,10045,4505,14145
99,Cash at the Beginning of Period,- -,- -,74787,2160,1086,6137,64798,10045,4505
100,Free Cash Flow,-10000,-65538,-97652,-125574,-917463,-612339,-427592,-646665,-135863
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1592603/000130841114000196/0001308411-14-000196-index.html,https://www.sec.gov/Archives/edgar/data/1592603/000147793216008229/0001477932-16-008229-index.htm,https://www.sec.gov/Archives/edgar/data/1592603/000139160917000024/0001391609-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1592603/000139160918000030/0001391609-18-000030-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1592603/000147793220001595/0001477932-20-001595-index.htm,https://www.sec.gov/Archives/edgar/data/1592603/000147793221001860/0001477932-21-001860-index.htm,https://www.sec.gov/Archives/edgar/data/1592603/000147793222002075/0001477932-22-002075-index.htm
102,false,,,,,,,,,
