,https://roic.ai/company/CNLHN,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,194197000,143403000,136155000,255154000,200017000,96658000,85393000,37196000,46989000,45782000,481911000,15104000,- -,45000,9762000,1000,1000,7237000,2356000,1057000,6579000,6028000,87721000,- -,- -,0
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,7039000,230905000,182118000,107620000,98146000,266628000,181363000,245585000,221975000,412602000,491725000,397869000,- -,24593000,7870000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,201236000,374308000,318273000,362774000,298163000,363286000,266756000,282781000,268964000,458384000,973636000,412973000,- -,24638000,17632000,1000,1000,7237000,2356000,1057000,6579000,6028000,87721000,- -,- -,0
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,604183000,251799000,279352000,385918000,593953000,786157000,893325000,704893000,977115000,1077369000,449371000,516993000,555363000,568738000,483104000,398559000,376781000,425848000,590182000,611272000,446056000,453011000,477079000,481969000,- -,1
35,Inventory,- -,- -,- -,- -,- -,- -,- -,211414000,212721000,202661000,172973000,163711000,108516000,119853000,154076000,185180000,206557000,173882000,210850000,70676000,65623000,63811000,61102000,64603000,54606000,46664000,43124000,52050000,48438000,44529000,50700000,- -,0
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,50083000,131845000,132621000,149615000,94528000,218209000,241190000,630981000,235962000,634533000,134162000,145440000,46163000,18385000,51989000,217129000,212271000,204025000,258166000,300552000,368496000,247207000,185434000,251791000,- -,2
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,1066916000,970673000,932907000,1071280000,1150355000,1476168000,1521124000,1772731000,1667221000,2376843000,1731051000,1286256000,672202000,677384000,616536000,676791000,653656000,691716000,897368000,956005000,873181000,754684000,794763000,784460000,- -,3
38,PP&E,- -,- -,- -,- -,- -,- -,- -,6732165000,6463158000,6170881000,3947434000,3547215000,4472977000,4728369000,5429916000,5864161000,6417230000,6242186000,6220668000,5089124000,5340561000,5586504000,5827384000,6152959000,6451259000,6809664000,7156809000,7632392000,8271030000,8909701000,9625765000,- -,4
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319986000,319986000,287591000,287591000,287591000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4427266000,- -,- -,- -,4
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,324389000,333123000,345867000,22956000,19361000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,324389000,333123000,345867000,342942000,339347000,287591000,287591000,287591000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4427266000,- -,- -,- -,4
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56527000,50843000,-156000,- -,- -,- -,- -,- -,- -,- -,- -,- -,585419000,- -,- -,- -,0
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16355000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,2942667000,2980581000,3283593000,4669338000,5195190000,4049655000,3672257000,3763295000,3785105000,3430884000,2991565000,3787463000,2574792000,2330264000,2084545000,2287221000,2335473000,1837527000,1653076000,1480143000,1529471000,-3408153000,1705255000,1774966000,- -,32
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,9674832000,9443739000,9454474000,8616772000,9066794000,8855755000,8746493000,9536153000,9988613000,10192232000,9572185000,10295566000,7663916000,7687180000,7671049000,8114605000,8488432000,8288786000,8462740000,8636952000,9161863000,9875562000,10614956000,11400731000,- -,45
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,10741748000,10414412000,10387381000,9688052000,10217149000,10331923000,10267617000,11308884000,11655834000,12569075000,11303236000,11581822000,8336118000,8364564000,8287585000,8791396000,9142088000,8980502000,9360108000,9592957000,10035044000,10630246000,11409719000,12185191000,- -,48
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,507139000,402870000,338612000,347321000,538983000,608705000,766128000,768783000,825247000,972368000,569940000,598546000,410637000,291648000,258075000,393760000,315183000,201047000,272971000,267764000,289532000,367605000,351435000,472491000,- -,2
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,358253000,324810000,427153000,781315000,1650018000,340962000,112906000,169936000,270759000,54673000,4877000,233286000,290698000,62000000,68225000,151525000,224296000,493831000,295400000,277400000,330100000,369500000,250000000,63800000,- -,2
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51598000,- -,95210000,364659000,- -,- -,- -,92061000,59046000,60109000,37186000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,339210000,492688000,362022000,441825000,352795000,375955000,425318000,507516000,467396000,948189000,789018000,374318000,163723000,197343000,295917000,433250000,382165000,394824000,505819000,390808000,388814000,355654000,382008000,339858000,- -,3
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1204602000,1220368000,1127787000,1570461000,2541796000,1325622000,1304352000,1446235000,1563402000,1975230000,1363835000,1206150000,865058000,550991000,622217000,978535000,921644000,1089702000,1074190000,935972000,1008446000,1092759000,983443000,876149000,- -,6
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,3613681000,3645659000,3282138000,2372341000,2029593000,4310907000,4186456000,4211291000,4336464000,4377790000,4137593000,4401035000,2270414000,2520361000,2521102000,2521753000,2737790000,2591208000,2679951000,2763682000,2516010000,2759135000,3004016000,3518136000,- -,17
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,2044123000,1954357000,1848694000,1688114000,1585494000,1491394000,1436507000,1287354000,1434403000,1306340000,1099433000,1067490000,811405000,901527000,- -,1215989000,1336105000,1510586000,1642805000,1820865000,1987661000,1103367000,1166784000,1244551000,- -,5
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1366035000,1230587000,1845190000,1737625000,1605483000,970160000,1013581000,1983684000,1908654000,2364271000,1787996000,1993312000,- -,2018502000,2746791000,1667567000,1608220000,1086512000,1026395000,931721000,1052540000,2087858000,1939959000,2042330000,- -,16
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,7023839000,6830603000,6976022000,5798080000,5220570000,6772461000,6636544000,7482329000,7679521000,8048401000,7025022000,7461837000,3081819000,5440390000,5267893000,5405309000,5682115000,5188306000,5349151000,5516268000,5556211000,5950360000,6110759000,6805017000,- -,43
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8308439000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,8228441000,8050971000,8103809000,7368541000,7762366000,8098083000,7940896000,8928564000,9242923000,10023631000,8388857000,8667987000,6091678000,5991381000,5890110000,6383844000,6603759000,6278008000,6423341000,6452240000,6564657000,7043119000,7094202000,7681166000,- -,48
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116200000,116200000,116200000,116200000,116200000,116200000,116200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,116200000,116200000,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,680260000,684211000,685156000,686969000,693345000,744453000,746879000,751992000,756155000,874489000,877101000,879623000,60352000,60352000,60352000,60352000,60352000,60352000,60352000,60352000,60352000,60352000,60352000,60352000,- -,2
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,832520000,664678000,560769000,581817000,495873000,678460000,765611000,808932000,845343000,504301000,862660000,946792000,617276000,714210000,734561000,735948000,839628000,961482000,1072477000,1170278000,1299374000,1415741000,1727899000,1791392000,- -,5
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-3979864000,-4330599000,-4224416000,-6088310000,-7041279000,-3273737000,14927000,25991000,-1220000,19987000,4498000,9359000,-3586000,-3171000,-2713000,-2251000,-1800000,-1387000,-931000,-576000,-53000,269000,301000,316000,- -,-0
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,4980391000,5345151000,5262063000,7139035000,8306844000,4084664000,683104000,677205000,696433000,1030467000,1053920000,961861000,1454198000,1601792000,1605275000,1613503000,1640149000,1682047000,1804869000,1910663000,2110714000,2110765000,2410765000,2535765000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,2513307000,2363441000,2283572000,2319511000,2454783000,2233840000,2326721000,2380320000,2412911000,2545444000,2914379000,2913835000,2244440000,2373183000,2397475000,2407552000,2538329000,2702494000,2936767000,3140717000,3470387000,3587127000,4315517000,4504025000,- -,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,10741748000,10414412000,10387381000,9688052000,10217149000,10331923000,10267617000,11308884000,11655834000,12569075000,11303236000,11581822000,8336118000,8364564000,8287585000,8791396000,9142088000,8980502000,9360108000,9592957000,10035044000,10630246000,11409719000,12185191000,- -,48
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,10741748000,10414412000,10387381000,9688052000,10217149000,10331923000,10267617000,11308884000,11655834000,12569075000,11303236000,11581822000,8336118000,8364564000,8287585000,8791396000,9142088000,8980502000,9360108000,9592957000,10035044000,10630246000,11409719000,12185191000,- -,48
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23426/000007274112000020/0000072741-12-000020-index.htm,- -,https://www.sec.gov/Archives/edgar/data/23426/000007274114000011/0000072741-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/23426/000007274115000013/0000072741-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/23426/000007274116000063/0000072741-16-000063-index.htm,https://www.sec.gov/Archives/edgar/data/23426/000007274117000007/0000072741-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/23426/000007274118000028/0000072741-18-000028-index.htm,- -,https://www.sec.gov/Archives/edgar/data/13372/000007274120000008/0000072741-20-000008-index.html,undefined,https://www.sec.gov/Archives/edgar/data/23426/000007274122000015/0000072741-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,1831000,-135708000,-146753000,34216000,-28586000,243510000,152109000,116411000,116588000,-253488000,470578000,246483000,191158000,216316000,244143000,250164000,209725000,279412000,287754000,299360000,334254000,376726000,377717000,410852000,- -,1228046000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,359507000,354329000,332807000,302305000,239798000,1184050000,667190000,387063000,363126000,438170000,260114000,305971000,469865000,232743000,256073000,222936000,181225000,177603000,188837000,215289000,269254000,332518000,278557000,301188000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,45730000,22381000,23502000,-183356000,-16117000,-116704000,-149325000,-120603000,111710000,-202789000,-204212000,6933000,47653000,52900000,115069000,112620000,140993000,130038000,130949000,135994000,168919000,119295000,54859000,54005000,- -,20293000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,55724000,-112009000,54815000,-304301000,-892260000,1541987000,66226000,109724000,-222677000,297794000,-34397000,-287110000,-272962000,319249000,-252916000,-296063000,176227000,962312000,651304000,196855000,-155298000,-202810000,149395000,96991000,- -,91688997
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67334000,-52746000,- -,-3758000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-10834000,-1307000,10060000,29688000,12450000,55195000,-27590000,-34223000,-31104000,-17848000,16718000,-33727000,-15204000,-6339000,3377000,-2206000,-4573000,9997000,13063000,22810000,-8926000,3612000,3909000,-6171000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28772000,-85773000,-35976000,8864000,-190240000,-66225000,68891000,-16910000,3252000,48032000,-76924000,102344000,- -,19185000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-137686000,-249695000,-194880000,-499181000,-1391441000,150546000,216772000,326496000,103819000,401613000,367216000,80106000,-192856000,126393000,-5681000,-301744000,-267988000,-397986000,-176822000,20033000,-135265000,-338075000,-188680000,-91689000,- -,-3
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,352678000,248228000,424379000,765354000,1275548000,-2524237000,-123555000,80977000,148320000,161517000,-85009000,-23842000,2039000,-156427000,334936000,223626000,-496277000,-1054108000,-646425000,-549169000,194349000,178822000,-272457000,-136592000,- -,-366280997
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,815470000,377221000,688750000,614218000,578383000,328606000,612645000,573572000,517067000,441204000,407074000,248435000,437753000,664781000,697305000,513283000,211893000,495257000,612419000,298329000,811478000,804551000,588071000,726444000,- -,973747000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-237358000,-240251000,-234035000,- -,-414022000,-457955000,-492457000,-549958000,-643822000,-775355000,-872181000,-1114824000,-849549000,-435723000,-380304000,-424865000,-449137000,-434934000,-515710000,-523849000,-611984000,-824383000,-864136000,-917532000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31699000,-16351000,- -,- -,- -,1020740000,-16648000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-877652000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-65716000,-61046000,-75551000,-74231000,-39550000,-105076000,-9876000,- -,- -,-142260000,-193917000,-261777000,-3214000,- -,- -,- -,- -,- -,- -,- -,- -,-843141000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23131000,137099000,193459000,254832000,3139000,1368000,- -,- -,- -,- -,- -,- -,- -,832903000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-262422000,-268508000,-245175000,225426000,-702847000,-163565000,376868000,-28843000,-693118000,-694384000,-903218000,70951000,-2368000,-94255000,103160000,62842000,32009000,2650000,12653000,-716000,9343000,888126000,209000,714000,- -,-997596000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-328138000,-329554000,-320726000,151195000,-742397000,-758295000,-141816000,-578801000,-669987000,-699545000,117064000,-1067466000,-851992000,-528610000,-277144000,-362023000,-417128000,-432284000,-503057000,-524565000,-602641000,-824147000,-863927000,-916818000,- -,-997596000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-248142000,-288793000,-269555000,-817759000,-685555000,-814275000,-483812000,-234952000,-339002000,-294044000,-202187000,-4877000,-62000000,-473306000,-195587000,-245500000,-116400000,-125000000,-303900000,-162000000,-197300000,-260600000,-369500000,-250000000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,10622000,6502000,2659000,5318000,4269000,1751000,7458000,13654000,10937000,450827000,9494000,9056000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-36500000,-25000000,-62211000,-46250000,-126771000,-352557000,-57800000,-20537000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-210053000,-62420000,-26440000,-35923000,-71520000,-68172000,-73352000,-78649000,-85736000,-87554000,-112745000,-120988000,-112020000,-119407000,-223250000,-248777000,-106045000,-157558000,-176759000,-201559000,-205158000,-260359000,-65559000,-347359000,- -,1037100000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,161900000,271250000,-19725000,248200000,988454000,1559583000,125412000,312576000,570338000,187905000,217429000,469033000,587721000,456587000,8393000,333256000,427680000,226821000,366416000,588496000,199143000,540004000,792909000,701091000,- -,-1013459000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,-322173000,-98461000,-375272000,-646414000,108877000,326330000,-482094000,-7908000,156537000,257134000,-88009000,352224000,413701000,-136126000,-410444000,-161021000,205235000,-55737000,-114243000,224937000,-203315000,19045000,357850000,103732000,- -,23641000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
