,https://roic.ai/company/INBX,2017,2018,2019,2020,2021
49,Short-Term Debt,5166000,5931000,4668000,1503000,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,7939000,3081000,- -
52,Other Current Liabilities,2979000,3721000,4848000,13357000,22454000
53,Total Current Liabilities,8920000,16182000,20570000,31399000,22454000
54,Long-Term Debt,9494000,3563000,30367000,29244000,70470000
55,Deferred Revenue,- -,- -,1000000,737000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,21252000,47882000,68121000,6887000,5143000
58,Total Non-Current Liabilities,30746000,51445000,99488000,36868000,75613000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,7803000,8210000,- -
61,Total Liabilities,39666000,67627000,120058000,68267000,98067000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,3000,2000,4000,- -
64,Retained Earnings,-28771000,-17855000,-69255000,-145379000,- -
65,Other Comprehensive Income/Loss,-1029000,-1705000,-2383000,- -,- -
66,Other Total Stockholders Equity,7380000,-38086000,-21933000,220848000,- -
67,Total Stockholders Equity,-28771000,-57643000,-93569000,75473000,52383000
68,Total Liabilities And Stockholders Equity,10895000,9984000,26489000,143740000,150450000
69,Minority Interest,6351000,- -,- -,- -,- -
70,Total Liabilities & Equity,17246000,9984000,26489000,143740000,150450000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739614/000173961421000047/0001739614-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1739614/000173961422000023/0001739614-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-19442000,-31163000,-51400000,-76124000,-81768000
74,Depreciation and Amortization,399000,676000,1163000,1019000,1195000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,1184000,2484000,3974000,5023000,15048000
77,Change in Working Capital,999000,-17046000,5516000,105782000,15885000
78,Accounts Receivable,-140000,-550000,491000,117000,-167000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,608000,4913000,-3474000,10426000,-4642000
81,Other Working Capital,6521000,-10525000,-5009000,100773000,116658000
82,Other Non-Cash Items,-1892000,21957000,8668000,-83668000,-30683000
83,Cash Provided by Operating Activities,-18752000,-23092000,-32079000,-47968000,-80323000
84,CAPEX,-1340000,-1429000,-1810000,-1364000,-864000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,55000
89,Cash Used for Investing Activites,-1340000,-1429000,-1810000,-1364000,-809000
90,Debt Repayment,-5004000,-5688000,-6192000,-5458000,- -
91,Common Stock Issued,- -,- -,- -,136850000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,-1375000,-828000,- -,- -,- -
94,Other Financing Activites,19916000,19670000,49518000,35064000,- -
95,Cash Used/Provided by Financing Activities,13537000,13154000,43326000,166456000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-6555000,-11367000,9437000,117124000,- -
98,Cash at the End of Period,13470000,2103000,11540000,128664000,- -
99,Cash at the Beginning of Period,20025000,13470000,2103000,11540000,- -
100,Free Cash Flow,-20092000,-24521000,-33889000,-49332000,-81187000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739614/000173961421000047/0001739614-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1739614/000173961422000023/0001739614-22-000023-index.htm
102,false,,,,,
