,https://roic.ai/company/FORTY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,8525641,9383130,9322103,9322103,10171000,10037000,10800000,12800000,13200000,13200000,13200000,13200000,13382000,13514000,13596000,13788978,13929326,14070924,14213719,14356723,14740462,15189758,15286142,15289580
28,Weighted Average Shares Outstanding Diluted,8525641,9383130,9322103,9322103,10171000,10285000,10800000,12800000,13298000,13200000,13200000,13564000,13523000,13669000,13790000,14187105,14408115,14744027,15525261,14720225,15571838,15340867,15292450,15403543
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1045986/000117891304000889/0001178913-04-000889-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000117891305000876/0001178913-05-000876-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1045986/000117891310001132/0001178913-10-001132-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420411015947/0001144204-11-015947-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420412029037/0001144204-12-029037-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420413028521/0001144204-13-028521-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420414026077/0001144204-14-026077-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420415026652/0001144204-15-026652-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420416102542/0001144204-16-102542-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420417027742/0001144204-17-027742-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000121390018006332/0001213900-18-006332-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000121390019008675/0001213900-19-008675-index.htm,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,90561000,93456000,107174000,81767000,116402000,161504000,110602000,100205000,110508000,88172000,111238000,82123000,107416000,132603000,238161000,245936000,268492000,368666000,501650000,485391000
32,Short-Term Investments,- -,- -,- -,- -,12101000,8773000,39073000,36185000,16084000,40276000,46158000,58009000,38194000,19517000,14866000,17956000,15784000,11011000,37516000,14138000,9913000,36486000,31527000,27066000
33,Cash and Short-Term Investments,- -,- -,- -,- -,102662000,102229000,146247000,117952000,132486000,201780000,156760000,158214000,148702000,107689000,126104000,100079000,123200000,143614000,275677000,260074000,278405000,405152000,533177000,512457000
34,Net Receivables,- -,- -,- -,- -,87284000,93610000,114533000,133390000,149335000,139478000,158166000,130236000,154366000,196854000,221033000,216668000,206976000,193778000,328977000,404074000,456296000,514322000,556550000,768652000
35,Inventory,- -,- -,- -,- -,3590000,2635000,4668000,3808000,3080000,3157000,2772000,2439000,5601000,2450000,2149000,2407000,2259000,4610000,3953000,3299000,3882000,8636000,23988000,20119000
36,Other Current Assets,- -,- -,- -,- -,- -,18534000,26105000,24770000,19155000,34822000,16135000,22476000,23140000,- -,19716000,19757000,27931000,15482000,25052000,27354000,42450000,37394000,47155000,- -
37,Total Current Assets,- -,- -,- -,- -,193536000,217008000,291553000,279920000,304056000,379237000,333833000,313365000,331809000,306993000,369002000,338911000,360366000,357484000,633659000,694801000,781033000,965504000,1160870000,1301228000
38,PP&E,- -,- -,- -,- -,25045000,25756000,26529000,23485000,18457000,15794000,15228000,9989000,12411000,19165000,21459000,19408000,19879000,14199000,26130000,29807000,29182000,147189000,173590000,172719000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,200038000,159316000,119014000,143352000,145321000,166495000,166644000,326541000,227434000,373231000,162173000,497784000,617272000,640855000,724193000,872424000,- -
40,Intangible Assets,- -,- -,- -,- -,115165000,145672000,196921000,- -,60365000,- -,- -,- -,33101000,31544000,74863000,39643000,76025000,4920000,129821000,163983000,150046000,165280000,222263000,- -
41,Intangible Assets,- -,- -,- -,- -,115165000,145672000,196921000,200038000,219681000,119014000,143352000,145321000,199596000,198188000,401404000,267077000,449256000,167093000,627605000,781255000,790901000,889473000,1094687000,1174790000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19538000,13616000,6037000,79853000,3353000,162021000,202891000,451433000,41308000,25315000,25710000,26021000,28311000,28900000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,6282000,7047000,11437000,- -,- -,13135000,11630000,13618000,13152000,12738000,13164000,15227000,15878000,14214000,38865000,39750000,46364000
44,Other Non-Current Assets,- -,- -,- -,- -,134851000,140479000,126017000,120360000,46263000,87142000,84671000,84148000,60779000,53392000,72084000,76909000,75609000,63576000,14390000,16581000,23121000,22205000,22872000,23676000
45,Total Non-Current Assets,- -,- -,- -,- -,275061000,311907000,349467000,350165000,291448000,233387000,262789000,253074000,291958000,362228000,511918000,538567000,760373000,709465000,724660000,868836000,883128000,1123753000,1359210000,1446449000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,468597000,528915000,641020000,630085000,595504000,612624000,596622000,566439000,623767000,669221000,880920000,877478000,1120739000,1066949000,1358319000,1563637000,1664161000,2089257000,2520080000,2747677000
48,Accounts Payable,- -,- -,- -,- -,26811000,31327000,41605000,47534000,54461000,130171000,137008000,134700000,83870000,65676000,51943000,52645000,52335000,58105000,80114000,95339000,118786000,125163000,153322000,205988000
49,Short-Term Debt,- -,- -,- -,- -,87752000,81883000,32374000,113424000,49955000,30478000,15888000,24694000,22611000,48114000,39342000,35636000,41818000,59069000,88034000,75645000,127002000,192332000,193963000,263792000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26845000,22653000,34915000,31055000,34743000,26032000,37647000,58905000,59509000,93512000,128898000,140660000
52,Other Current Liabilities,- -,- -,- -,- -,62833000,71092000,192980000,82074000,73775000,- -,37290000,524000,44667000,44722000,97092000,91634000,96924000,68605000,153243000,203058000,220416000,260385000,303720000,334253000
53,Total Current Liabilities,- -,- -,- -,- -,177396000,184302000,266959000,243032000,178191000,160649000,190186000,159918000,177993000,181165000,223292000,210970000,225820000,211811000,359038000,432947000,525713000,671392000,779903000,944693000
54,Long-Term Debt,- -,- -,- -,- -,33726000,50983000,27086000,16809000,103408000,95565000,72644000,8556000,35008000,49705000,64659000,62447000,108203000,161129000,170970000,269355000,254429000,337473000,383386000,449117000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2094000,1346000,4990000,4838000,4396000,4697000,9340000,4906000,6491000,16626000,17757000
56,Deferred Tax Liabilities,- -,- -,- -,- -,871000,942000,958000,1282000,457000,3276000,4502000,2207000,2654000,4836000,7984000,8157000,31118000,67010000,30939000,36605000,34800000,53854000,68367000,78135000
57,Other Non-Current Liabilities,- -,- -,- -,- -,31125000,48433000,62660000,96836000,45018000,46831000,51920000,100444000,73728000,67743000,115221000,109076000,96193000,80337000,68833000,42468000,38916000,123713000,163255000,78188000
58,Total Non-Current Liabilities,- -,- -,- -,- -,65722000,100358000,90704000,114927000,148883000,145672000,129066000,111207000,111390000,124378000,189210000,184670000,240352000,312872000,275439000,357768000,333051000,521531000,631634000,623197000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1920000,1733000,1418000,903000,494000,108000,- -,- -,109359000,123253000,126494000
61,Total Liabilities,- -,- -,- -,- -,243118000,284660000,357663000,357959000,327074000,306321000,319252000,271125000,289383000,305543000,412502000,395640000,466172000,524683000,634477000,790715000,858764000,1192923000,1411537000,1567890000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,3101000,3215000,3215000,3736000,3736000,3736000,3736000,3736000,3807000,3876000,3876000,4181000,4184000,4184000,4184000,4187000,4190000,4340000,4340000,- -
64,Retained Earnings,- -,- -,- -,- -,87947000,91067000,99166000,49164000,32165000,69229000,40972000,60048000,58441000,91672000,115778000,186754000,249998000,318688000,234268000,239534000,262557000,285146000,324358000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-23697000,-17294000,-14879000,-21683000,-14897000,-6863000,-7100000,-7115000,-596000,-12295000,-7095000,-816000,-1305000,-1576000,-2377000,18083000,3134000,11676000,25513000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,85998000,99016000,99276000,132228000,132286000,132286000,132329000,131372000,135963000,135415000,132508000,132066000,135779000,130261000,100312000,97398000,97749000,120478000,148990000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,153349000,176004000,186778000,163445000,153290000,198388000,169937000,188041000,197615000,218668000,245067000,322185000,388656000,451557000,336387000,359202000,367630000,421640000,503201000,540960000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,396467000,460664000,544441000,521404000,480364000,504709000,489189000,459166000,486998000,524211000,657569000,717825000,854828000,976240000,970864000,1149917000,1226394000,1614563000,1914738000,2108850000
69,Minority Interest,- -,- -,- -,- -,72130000,68251000,96579000,108681000,115140000,107915000,107433000,107273000,136769000,145010000,223351000,159653000,265911000,90709000,387455000,413720000,437767000,474694000,605342000,638827000
70,Total Liabilities & Equity,- -,- -,- -,- -,468597000,528915000,641020000,630085000,595504000,612624000,596622000,566439000,623767000,669221000,880920000,877478000,1120739000,1066949000,1358319000,1563637000,1664161000,2089257000,2520080000,2747677000
71,SEC Link,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1045986/000117891304000889/0001178913-04-000889-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000117891305000876/0001178913-05-000876-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1045986/000117891310001132/0001178913-10-001132-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420411015947/0001144204-11-015947-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420412029037/0001144204-12-029037-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420413028521/0001144204-13-028521-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420414026077/0001144204-14-026077-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420415026652/0001144204-15-026652-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420416102542/0001144204-16-102542-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420417027742/0001144204-17-027742-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000121390018006332/0001213900-18-006332-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000121390019008675/0001213900-19-008675-index.htm,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,26600000,46188000,40022000,-56082000,-2406000,3120000,8099000,183000,10015000,37259000,11869000,36792000,35002000,63131000,47484000,107056000,46172000,20300000,91718000,39440000,77395000,38820000,46776000,- -
74,Depreciation and Amortization,12000000,18487000,- -,68382000,13336000,19003000,20791000,25264000,44946000,15806000,13082000,14605000,17179000,14363000,25650000,24349000,8962000,17561000,32370000,43646000,48734000,86932000,95507000,- -
75,Deferred Income Tax,-100000,345000,- -,-526000,-410000,827000,-1101000,-391000,-2353000,-2563000,-1881000,665000,- -,- -,-144000,926000,14393000,-991000,211000,-12819000,-5743000,-13157000,-6348000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1505000,1641000,1464000,4623000,4920000,3978000,4983000,5073000,4394000,4552000,3981000,3874000,7779000,- -
77,Change in Working Capital,-1300000,-12378000,- -,25375000,-556000,-14549000,-8369000,-23033000,-3749000,-313000,766000,15949000,-1694000,-35065000,-4114000,-6463000,-6046000,5060000,-18261000,-7542000,-37117000,21604000,71176000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4327000,25535000,-10629000,-21795000,-1674000,-6451000,-13595000,-12603000,-30086000,-38223000,-66069000,16265000,23312000,- -
79,Inventory,-1000000,62000,- -,513000,1159000,-265000,-1850000,237000,1008000,-134000,446000,340000,-3007000,2938000,346000,-128000,-153000,-2368000,923000,1037000,-1024000,-938000,-10966000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4072000,-12875000,925000,-6198000,3421000,3324000,5331000,9356000,5423000,6086000,19955000,-18010000,10954000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86000,208000,5035000,7335000,348000,-2681000,15718000,3008000,5658000,4282000,- -
82,Other Non-Cash Items,-2500000,-39227000,-34369000,-35973000,-4995000,3894000,-1614000,4263000,-22909000,-6924000,22043000,-14012000,1421000,-21219000,-728000,-61295000,-51791000,7393000,-35477000,13704000,-4655000,58008000,72053000,- -
83,Cash Provided by Operating Activities,34700000,13415000,5653000,1176000,4969000,12295000,17806000,6286000,25950000,43265000,47384000,55640000,53372000,25833000,73068000,68551000,16673000,54396000,74955000,80981000,82595000,196081000,286943000,- -
84,CAPEX,-12100000,-12229000,-16004000,-11236000,-3382000,-4887000,-5718000,-23749000,-25347000,-12867000,-4055000,-2713000,-5348000,-18651000,-13427000,-16767000,-4741000,-9818000,-19297000,-18911000,-20631000,-36586000,-28808000,- -
85,Acquisitions Net,- -,-2784000,-21895000,-16035000,-1774000,20481000,13724000,-5342000,-15928000,-5391000,-14960000,-4130000,-13829000,-40188000,-5859000,-13253000,34030000,-7614000,-46616000,-125328000,-57357000,-61774000,-157131000,- -
86,Purchases of Investments,-3400000,- -,-1232000,-1560000,-1857000,-2665000,-16413000,-7316000,-13014000,-36178000,-13847000,-11945000,-1442000,-13944000,-364000,-1519000,-7613000,-716000,-25813000,-25000,- -,-178000,- -,- -
87,Sales/Maturities of Investments,- -,- -,32001000,28889000,2128000,1581000,1245000,12678000,66510000,2506000,3500000,3203000,13845000,21500000,2507000,- -,218000,- -,8450000,40622000,4000000,3356000,5429000,- -
88,Other Investing Activites,-17300000,-215000,-82667000,-115808000,-55327000,-22062000,-9949000,-442000,-6004000,33075000,-11645000,2746000,3385000,-16556000,-3198000,-41692000,-42414000,-44695000,-5692000,-8234000,-25470000,-27240000,-8679000,- -
89,Cash Used for Investing Activites,-32800000,-15228000,-89797000,-115750000,-60212000,-7552000,-17111000,-24171000,6217000,-18855000,-41007000,-12839000,-3389000,-67839000,-11908000,-63332000,-19817000,-58452000,-78808000,-102538000,-90452000,-108215000,-177032000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44884000,-14687000,-23730000,-1631000,-46185000,-34834000,-25564000,-27267000,-38368000,-71879000,-73228000,-141476000,-172862000,- -
91,Common Stock Issued,76400000,40813000,101456000,13426000,2174000,12726000,- -,35524000,7570000,7905000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25404000,- -,108737000,- -
92,Common Stock Repurchased,-4400000,-7786000,-8404000,- -,-3880000,- -,-102000,-4134000,-307000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-10000,-2474000,-794000,-128000,-4831000,-88000,-50185000,- -,- -,-15774000,-29964000,-19986000,-9731000,-76000,-5444000,-11629000,-12890000,-10014000,-12081000,-5012000,-12966000,-14939000,- -
94,Other Financing Activites,-2700000,-229000,-10930000,44190000,66666000,-12467000,12280000,15629000,-11213000,4986000,876000,-8309000,1032000,31705000,7812000,1872000,68746000,75999000,41336000,100380000,93803000,160455000,88797000,- -
95,Cash Used/Provided by Financing Activities,69300000,32788000,79648000,56822000,64832000,-4572000,12090000,-3166000,-3950000,12891000,-59782000,-52960000,-42684000,20343000,-38449000,-38406000,31553000,35842000,-7046000,16420000,40967000,6013000,9733000,- -
96,Effect of Forex Changes on Cash,2200000,-128000,-1505000,4527000,-2575000,2724000,933000,-4356000,6418000,7824000,2481000,-238000,3004000,-673000,355000,4072000,-3116000,-6599000,-81000,12912000,-10565000,6295000,13340000,- -
97,Net Change In Cash,73300000,30847000,-6001000,-53225000,7014000,2895000,13718000,-25407000,34635000,45125000,-50924000,-10397000,10303000,-22336000,23066000,-29115000,25293000,25187000,-10980000,7775000,22545000,100174000,132984000,- -
98,Cash at the End of Period,116700000,149269000,147405000,83547000,90561000,93456000,107174000,81767000,116402000,161526000,110602000,100205000,110508000,88172000,111238000,82123000,107416000,132603000,238161000,245936000,268492000,368666000,501650000,- -
99,Cash at the Beginning of Period,43400000,118422000,153406000,136772000,83547000,90561000,93456000,107174000,81767000,116401000,161526000,110602000,100205000,110508000,88172000,111238000,82123000,107416000,249141000,238161000,245947000,268492000,368666000,- -
100,Free Cash Flow,22600000,1186000,-10351000,-10060000,1587000,7408000,12088000,-17463000,603000,30398000,43329000,52927000,48024000,7182000,59641000,51784000,11932000,44578000,55658000,62070000,61964000,159495000,258135000,- -
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1045986/000117891304000889/0001178913-04-000889-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000117891305000876/0001178913-05-000876-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1045986/000117891310001132/0001178913-10-001132-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420411015947/0001144204-11-015947-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420412029037/0001144204-12-029037-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420413028521/0001144204-13-028521-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420414026077/0001144204-14-026077-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420415026652/0001144204-15-026652-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420416102542/0001144204-16-102542-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000114420417027742/0001144204-17-027742-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000121390018006332/0001213900-18-006332-index.htm,https://www.sec.gov/Archives/edgar/data/1045986/000121390019008675/0001213900-19-008675-index.htm,- -,- -,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,,,
