,https://roic.ai/company/AORT,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,8800000,9700000,12400000,14100000,16400000,19900000,27100000,32100000,32243000,37160000,38581000,52127000,57274000,46578000,56949000,45092000,50923000,54140000,55272000,54987000,64201000,72406000,76566000,82453000,85365000,104994000,120672000,163672000,165971000,165343000,205320000
11,COGS and Expenses,15900000,18500000,20500000,22100000,25900000,31100000,42200000,53900000,59259000,67285000,75210000,117760000,88756000,84203000,89371000,82513000,86464000,91405000,97189000,103264000,107983000,119106000,126943000,135803000,140544000,166475000,181732000,253529000,259180000,250786000,306642000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381000,76000,23000,14000,6000,4000,50000,107000,72000,212000,226000,738000,217000,79000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263000,83000,180000,142000,179000,71000,175000,62000,3043000,4881000,15788000,14886000,16698000,16887000
14,Depreciation and Amortization,600000,700000,700000,1000000,1000000,1400000,2700000,3500000,3154000,3222000,4607000,5423000,5507000,5483000,5036000,4844000,4456000,4353000,4263000,3937000,4960000,5633000,5843000,6028000,5863000,8384000,9745000,18095000,18317000,20712000,23977000
15,EBITDA,-200000,1700000,1600000,2800000,4300000,7500000,10300000,12200000,9655000,14855000,18087000,-36011000,-23719000,-16283000,-14927000,5494000,12025000,18152000,18700000,11394000,16568000,17864000,29206000,14906000,11793000,29839000,18187000,27492000,34847000,20236000,26037000
16,EBITDA ratio,-0.0131,0.0867,0.0755,0.1186,0.1483,0.2027,0.2024,0.2010,0.1447,0.1927,0.2063,-0.4629,-0.3984,-0.2610,-0.2155,0.0676,0.1269,0.1728,0.1674,0.0977,0.1385,0.1356,0.2075,0.1031,0.0808,0.1654,0.0959,0.1046,0.1262,0.0799,0.0871
17,Operating Income,-600000,1100000,700000,1500000,3100000,5900000,8700000,6800000,7463000,9811000,12461000,-39965000,-29224000,-21819000,-20089000,-1202000,8299000,13654000,14496000,9868000,11643000,12612000,13820000,8838000,5354000,21820000,7970000,9312000,17042000,2441000,8117000
18,Operating Income ratio,-0.0392,0.0561,0.0330,0.0636,0.1069,0.1595,0.1709,0.1120,0.1119,0.1273,0.1421,-0.5137,-0.4909,-0.3498,-0.2900,-0.0148,0.0876,0.1300,0.1298,0.0846,0.0973,0.0958,0.0982,0.0611,0.0367,0.1210,0.0420,0.0354,0.0617,0.0096,0.0272
19,Total Other Income Expenses (Gains),-200000,-100000,200000,300000,200000,200000,-1100000,1900000,-962000,1822000,1019000,-1469000,-2000,53000,126000,1852000,-730000,-118000,-142000,-2591000,-177000,-560000,9472000,-135000,514000,-3408000,-4409000,-15703000,-15398000,-19615000,-22944000
20,Income Before Tax,-800000,1000000,900000,1800000,3300000,6100000,7600000,8700000,6501000,11633000,13480000,-41434000,-29226000,-21766000,-19963000,650000,7569000,13536000,14354000,7277000,11466000,12052000,23292000,8703000,5868000,18412000,3561000,-6391000,1644000,-17174000,-14827000
21,Income Before Tax Ratio,-0.0523,0.0510,0.0425,0.0763,0.1138,0.1649,0.1493,0.1433,0.0974,0.1509,0.1538,-0.5326,-0.4909,-0.3489,-0.2881,0.0080,0.0799,0.1288,0.1285,0.0624,0.0958,0.0915,0.1655,0.0602,0.0402,0.1021,0.0188,-0.0243,0.0060,-0.0678,-0.0496
22,Income Tax expense (Gain),-100000,300000,300000,500000,1100000,2200000,2900000,2200000,2050000,3816000,4314000,-13673000,3068000,-3017000,-428000,285000,368000,-19372000,5675000,3333000,4095000,4106000,7120000,1381000,1863000,7634000,-143000,-3551000,-76000,-492000,7000
23,Net Income,-700000,700000,600000,1300000,2200000,3900000,4700000,6500000,4451000,7817000,9166000,-27761000,-32294000,-18749000,-19535000,365000,7201000,32908000,8679000,3944000,7371000,7946000,16172000,7322000,4005000,10778000,3704000,-2840000,1720000,-16682000,-14834000
24,Net Income ratio,-0.0458,0.0357,0.0283,0.0551,0.0759,0.1054,0.0923,0.1071,0.0667,0.1014,0.1045,-0.3568,-0.5425,-0.3005,-0.2820,0.0045,0.0760,0.3132,0.0777,0.0338,0.0616,0.0603,0.1149,0.0506,0.0275,0.0598,0.0195,-0.0108,0.0062,-0.0659,-0.0496
25,EPS,-0.08,0.07,0.04,0.09,0.15,0.27,0.33,0.36,0.24,0.42,0.49,-1.43,-1.64,-0.81,-0.85,-0.02,0.26,1.18,0.31,0.14,0.26,0.29,0.59,0.26,0.14,0.33,0.11,-0.10,0.05,-0.44,-0.39
26,EPS Diluted,-0.08,0.07,0.04,0.09,0.15,0.27,0.32,0.35,0.24,0.41,0.47,-1.43,-1.64,-0.81,-0.85,-0.02,0.26,1.16,0.31,0.14,0.26,0.28,0.57,0.25,0.14,0.32,0.11,-0.10,0.05,-0.44,-0.39
27,Weighted Average Shares Outstanding,8750000,10000000,15000000,14444444,14666667,14859054,14463000,17961000,18511500,18541000,18808000,19432000,19684000,23043000,23959000,24829000,26331000,27800000,28106000,27987000,27441000,26967000,26885000,27379000,27744000,31855000,33008000,36412000,37118000,37861000,37861000
28,Weighted Average Shares Outstanding Diluted,8750000,10000000,15000000,14444444,14666667,14859054,14913000,18396000,18799500,19229000,19660000,19432000,19684000,23043000,23959000,24829000,26974000,28351000,28310000,28274000,27759000,27411000,27698000,28313000,28542000,32822000,34163000,36412000,37860000,37861000,37861000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/784199/000078419921000037/0000784199-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/784199/000078419922000076/0000784199-22-000076-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10277000,5672000,4713000,6631000,4133000,14460000,17201000,30121000,35497000,21705000,13009000,37643000,33375000,37588000,56642000,39977000,41489000,33766000,61412000,55010000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14583000,5272000,3956000,4968000,3965000,2987000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24860000,10944000,8669000,11599000,8098000,17447000,17201000,30121000,35497000,21705000,13009000,37643000,33375000,37588000,56642000,39977000,41489000,33766000,61412000,55010000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18754000,8242000,12250000,12087000,13956000,13684000,13999000,14636000,14313000,15767000,16520000,18307000,22863000,26672000,30096000,51441000,51432000,55861000,48752000,58105000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4585000,4450000,4767000,4609000,5153000,5607000,7077000,6446000,6429000,7320000,10557000,9771000,12739000,14643000,26293000,46684000,45478000,53071000,73038000,76971000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13479000,12127000,11975000,16906000,22178000,28714000,42090000,44325000,45251000,39078000,37417000,40606000,37051000,30760000,34202000,41178000,40769000,44692000,51387000,57611000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61678000,35763000,37661000,45201000,49385000,65452000,80367000,95528000,101490000,83870000,77503000,106327000,106028000,109663000,147233000,179280000,179168000,187390000,234589000,247697000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38130000,32886000,28724000,24375000,21390000,18640000,16438000,14309000,13086000,12308000,11667000,12171000,12002000,11484000,18502000,33579000,31028000,54144000,51648000,83235000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4220000,11365000,11365000,11365000,11365000,78294000,188305000,188781000,186697000,260061000,250000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5324000,5587000,5371000,5302000,7588000,7119000,6723000,6972000,8883000,20395000,24082000,21919000,21280000,19897000,66641000,179430000,160081000,157734000,227057000,201496000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5324000,5587000,5371000,5302000,7588000,7119000,6723000,6972000,8883000,24615000,35447000,33284000,32645000,31262000,144935000,367735000,348862000,344431000,487118000,451496000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5000000,- -,11248000,5908000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000,16499000,8075000,9182000,13265000,16564000,16885000,15659000,18188000,- -,1610000,4111000,5481000,1446000,2357000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1282000,791000,1505000,1931000,1502000,1325000,968000,3975000,4797000,2558000,10067000,6016000,9823000,10582000,5470000,7489000,7922000,14208000,14603000,8267000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44736000,39264000,35600000,31608000,30480000,27232000,45628000,38331000,35948000,63994000,79653000,68356000,70129000,71516000,168907000,410413000,391923000,418264000,554815000,545355000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106414000,75027000,73261000,76809000,79865000,92684000,125995000,133859000,137438000,147864000,157156000,174683000,176157000,181179000,316140000,589693000,571091000,605654000,789404000,793052000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3874000,2171000,2569000,2239000,2475000,2956000,3270000,2954000,4243000,4370000,3775000,4137000,4497000,4590000,5744000,9767000,7547000,9796000,9623000,10395000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7769000,1738000,1319000,5084000,4547000,4549000,- -,- -,- -,- -,- -,- -,- -,- -,4562000,1296000,1889000,7248000,7572000,5307000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1377000,46000,58000,- -,4020000,2250000,2984000,2808000,3634000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1223000,1111000,1592000,2646000,2095000,1890000,1401000,316000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12219000,17064000,14084000,13956000,14668000,16086000,16135000,13616000,12990000,15197000,16254000,16269000,16130000,15015000,19796000,31877000,25087000,28151000,43273000,29251000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23862000,20973000,17972000,21279000,22913000,24702000,20997000,19216000,19328000,21457000,21430000,20722000,20627000,19605000,30102000,42940000,34523000,45195000,60468000,44953000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,971000,751000,530000,- -,124000,81000,315000,315000,- -,- -,- -,- -,- -,- -,67012000,225092000,221658000,237904000,309802000,356736000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,986000,- -,- -,- -,200000,- -,919000,- -,- -,- -,- -,- -,- -,- -,- -,30431000,27267000,25844000,34713000,28799000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,795000,4965000,5099000,4909000,4540000,5274000,4438000,3882000,4168000,4869000,7614000,9214000,6845000,6323000,10043000,14172000,12576000,11015000,55708000,61836000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2752000,5716000,5629000,4909000,4864000,5355000,5672000,4197000,4168000,4869000,7614000,9214000,6845000,6323000,77055000,269695000,261501000,274763000,400223000,447371000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,530000,- -,124000,81000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7434000,6666000,29417000,25711000,52920000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26614000,26689000,23601000,26188000,27777000,30057000,26669000,23413000,23496000,26326000,29044000,29936000,27472000,25928000,107157000,312635000,296024000,319958000,460691000,492324000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209000,211000,248000,256000,258000,285000,291000,295000,300000,301000,275000,282000,292000,298000,342000,376000,385000,390000,404000,414000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12786000,-19508000,-38257000,-58569000,-59177000,-52981000,-20073000,-12352000,-8408000,-1037000,5536000,18741000,22768000,23365000,34143000,37609000,34984000,36704000,20022000,1975000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261000,356000,139000,123000,87000,- -,-80000,-38000,-32000,-6000,-39000,7000,-121000,-76000,-429000,1857000,-6072000,-8589000,6743000,-9887000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66544000,67279000,87530000,108808000,110917000,115323000,119188000,122541000,122082000,122280000,122340000,125717000,125746000,131664000,174927000,237216000,245770000,257191000,301544000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79800000,48338000,49660000,50621000,52088000,62627000,99326000,110446000,113942000,121538000,128112000,144747000,148685000,155251000,208983000,277058000,275067000,285696000,328713000,300728000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106414000,75027000,73261000,76809000,79865000,92684000,125995000,133859000,137438000,147864000,157156000,174683000,176157000,181179000,316140000,589693000,571091000,605654000,789404000,793052000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106414000,75027000,73261000,76809000,79865000,92684000,125995000,133859000,137438000,147864000,157156000,174683000,176157000,181179000,316140000,589693000,571091000,605654000,789404000,793052000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/784199/000078419921000037/0000784199-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/784199/000078419922000076/0000784199-22-000076-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-700000,700000,600000,1300000,2200000,3900000,4700000,6500000,4451000,7817000,9166000,-27761000,-32294000,-18749000,-19535000,365000,7201000,32908000,8679000,3944000,7371000,7946000,16172000,7322000,4005000,10778000,3704000,-2840000,1720000,-16682000,-14834000
74,Depreciation and Amortization,600000,700000,700000,1000000,1000000,1400000,2700000,3500000,3154000,3222000,4607000,5423000,5507000,5483000,5036000,4844000,4456000,4353000,4263000,3937000,4960000,5633000,5843000,6028000,5863000,8384000,9745000,18095000,18317000,20712000,23977000
75,Deferred Income Tax,- -,- -,- -,-200000,200000,- -,400000,-1900000,-970000,1658000,624000,-5568000,5726000,- -,- -,226000,-961000,-7000,5254000,-1509000,1767000,1227000,617000,178000,3681000,595000,-1483000,-4485000,-2305000,4283000,-4470000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2099000,2429000,2621000,2790000,3162000,3240000,3436000,5089000,6328000,6919000,6325000,8799000,6912000,10711000
77,Change in Working Capital,-2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37816000,-23026000,4899000,4233000,2550000,14278000,18620000,16942000,5850000,-19749000,-6340000,29532000,-204000,4657000,27073000,19209000,8305000,-2450000,31926000,-33232000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-300000,-1000000,400000,400000,200000,-900000,-3000000,-2882000,-1433000,-2265000,-1427000,135000,-517000,158000,-600000,-454000,-2922000,-1140000,-1803000,2445000,-1598000,193000,-1131000,-2262000,-9460000,-9369000,2384000,-8125000,-24757000,-18375000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267000,- -,- -,- -,529000,572000,-64000,-656000,4720000,8727000,-8870000,251000,-9157000,-1893000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37816000,14790000,19689000,23922000,26472000,40750000,59370000,76312000,82162000,62413000,56073000,85605000,85401000,90058000,117131000,136340000,144645000,142195000,174121000,- -
82,Other Non-Cash Items,200000,-1400000,-3300000,500000,-2300000,-1300000,-10000000,-6900000,-5648000,-2418000,-7918000,-12021000,38155000,-7859000,-8251000,-9056000,-15682000,-48436000,-20995000,5994000,19612000,7362000,-38632000,-8642000,-11853000,-33439000,-27291000,-15519000,-8254000,-34782000,15263000
83,Cash Provided by Operating Activities,-2300000,- -,-2000000,2600000,1100000,4000000,-2200000,1200000,987000,10279000,6479000,-2111000,-5932000,-16226000,-18517000,-1071000,9292000,9537000,16572000,20837000,16751000,18990000,16772000,8118000,11442000,19719000,10803000,9881000,15827000,12369000,-2585000
84,CAPEX,-600000,-700000,-800000,-1400000,-1600000,-9200000,-5100000,-6700000,-3853000,-9491000,-14329000,-4100000,-955000,-950000,-989000,-1642000,-1207000,-1738000,-1690000,-7532000,-2538000,-3070000,-4338000,-5320000,-4103000,-7424000,-7041000,-5786000,-8072000,-7328000,-13091000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21062000,-17040000,- -,- -,-1349000,-71357000,-163921000,- -,- -,-59119000,- -
86,Purchases of Investments,- -,- -,-3700000,-100000,-2200000,- -,- -,-34300000,-5123000,-5729000,-29336000,-9970000,- -,-563000,-21690000,-17385000,-12331000,-6118000,-3036000,-2405000,-3569000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,5900000,- -,7800000,6149000,8542000,24235000,21780000,9059000,2000000,20841000,18562000,14155000,3565000,1130000,- -,- -,- -,15421000,1169000,2048000,1067000,1010000,- -,- -,- -,19000000
88,Other Investing Activites,- -,- -,- -,100000,100000,-1600000,-4500000,14300000,-452000,43000,1331000,-1429000,1248000,-30000,-196000,-92000,-171000,-1784000,-2473000,-8329000,-3085000,-5880000,-4544000,-6522000,-5185000,-3564000,-8081000,-6715000,-23943000,-14009000,-13340000
89,Cash Used for Investing Activites,-600000,-700000,-4500000,-1400000,-3700000,-4900000,-9600000,-18900000,-3279000,-6635000,-18099000,6281000,9352000,457000,-2034000,-557000,446000,-4337000,-4379000,-10734000,-27716000,-22920000,10877000,-5353000,-4486000,-73854000,-170992000,-6715000,-23943000,-73128000,5660000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5931000,-1328000,-1537000,-31000,- -,- -,- -,- -,-1406000,-72213000,-2790000,-2780000,-35346000,-3085000
91,Common Stock Issued,3900000,100000,8900000,100000,300000,600000,600000,46300000,571000,1660000,1502000,1472000,660000,19708000,19470000,468000,1748000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-3400000,-4296000,-612000,- -,-663000,- -,-54000,- -,-50000,-478000,-611000,-330000,-5877000,-3064000,-3529000,-1523000,-7071000,-1386000,-697000,-1614000,-2100000,-2743000,-1995000,-1914000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-533000,-973000,-486000,- -,- -,- -,- -,-1373000,-2967000,-3295000,-3408000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,600000,-2200000,- -,- -,1200000,10000000,-12400000,-738000,6728000,-176000,-2209000,-8694000,-4102000,3789000,-413000,-41000,4111000,2365000,2693000,249000,187000,1439000,3413000,1984000,75531000,217072000,2328000,4030000,130949000,-7224000
95,Cash Used/Provided by Financing Activities,3800000,700000,6700000,100000,300000,1800000,10600000,30500000,-4463000,7776000,1326000,-1400000,-8034000,15552000,22726000,-968000,743000,-2431000,707000,-4721000,-2846000,-4715000,-3051000,-6953000,-2810000,73428000,143245000,-2562000,-1493000,93608000,-12223000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-2000,-68000,18000,303000,9000,33000,-257000,98000,-154000,-28000,20000,-6000,19000,-51000,36000,-80000,67000,-239000,279000,879000,1667000,-5185000,2200000
97,Net Change In Cash,3800000,700000,6700000,100000,300000,1800000,10600000,30500000,-6757000,11352000,-10276000,3073000,-4605000,-184000,1918000,-2498000,10327000,2741000,12920000,5376000,-13792000,-8696000,24634000,-4268000,4213000,19054000,-16665000,1483000,-7942000,27664000,-6948000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,6128000,17480000,7204000,10277000,5672000,4713000,6631000,4133000,14460000,17201000,30121000,35497000,21705000,13009000,37643000,33375000,37588000,56642000,39977000,42236000,34294000,61958000,55010000
99,Cash at the Beginning of Period,100000,1100000,1200000,1400000,2600000,500000,1400000,100000,12885000,6128000,17480000,7204000,10277000,4897000,4713000,6631000,4133000,14460000,17201000,30121000,35497000,21705000,13009000,37643000,33375000,37588000,56642000,40753000,42236000,34294000,61958000
100,Free Cash Flow,-2900000,-700000,-2800000,1200000,-500000,-5200000,-7300000,-5500000,-2866000,788000,-7850000,-6211000,-6887000,-17176000,-19506000,-2713000,8085000,7799000,14882000,13305000,14213000,15920000,12434000,2798000,7339000,12295000,3762000,4095000,7755000,5041000,-15676000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/784199/000078419921000037/0000784199-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/784199/000078419922000076/0000784199-22-000076-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
