,https://roic.ai/company/QD,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692705/000119312518111507/d530470d20f.htm,https://www.sec.gov/Archives/edgar/data/1692705/000156459019011636/qd-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1692705/000119312520120947/d882230d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,210114007,785769977,6832306121,2501188374,2860938368,1537557823,2065495000
32,Short-Term Investments,49000000,430200000,300000000,- -,231131760,5042314438,5926601000
33,Cash and Short-Term Investments,259114007,1215969977,7132306121,2501188374,3092070128,6579872261,7992096000
34,Net Receivables,2115048389,5448949948,9306445185,10753434689,11752807699,4597249245,2431393000
35,Inventory,- -,- -,- -,128014636,8915574,91895497,- -
36,Other Current Assets,70384483,264023334,2746819386,1106505993,2169697365,421459073,1794601000
37,Total Current Assets,2444546879,6928943259,19185570692,14489143692,17023490766,11690476076,12218090000
38,PP&E,1881544,4885886,4613368,26224170,241671669,513867759,959708000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,28812,128299,5907842,113808910,6803258,8478390,- -
41,Intangible Assets,28812,128299,5907842,113808910,6803258,8478390,11012000
42,Investments,- -,65194817,44518544,33199265,267937413,559143596,371647000
43,Tax Assets,- -,17787699,115460611,243412814,290284829,154959777,67348000
44,Other Non-Current Assets,229138419,100659047,24344496,1347585951,531415635,471106112,443383000
45,Total Non-Current Assets,231048775,188655748,194844861,1764231110,1338112804,1707555634,1853098000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2675595654,7117599007,19380415553,16253374802,18361603570,13398031710,14071188000
48,Accounts Payable,20542809,91507806,130894495,109797437,88911831,50369523,- -
49,Short-Term Debt,1562883429,4183230858,7979414522,3860440575,1071488982,23763237,34522000
50,Tax Payable,10890659,192859411,300636026,515632540,924182113,265251498,78294000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1634180616,253218775,1219715830,1049123534,2736920415,398475478,458996000
53,Total Current Liabilities,3217606854,4527957439,9330024847,5019361546,3897321228,472608238,493518000
54,Long-Term Debt,89357959,76052124,510023905,413400000,2361245949,1004656345,995513000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,178984764,10923276,48606000
57,Other Non-Current Liabilities,5943978230,5943978230,- -,- -,- -,- -,10012000
58,Total Non-Current Liabilities,6033336189,6020030354,510023905,413400000,2540230713,1015579621,1054131000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,43613028,103999606,203322000
61,Total Liabilities,9250943043,10547987793,9840048752,5432761546,6437551941,1488187859,1547649000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,54754,220976,205278,175474,175888,176000
64,Retained Earnings,-6633671978,-3510901749,2467554858,5066950612,8331238537,8315379200,8904453000
65,Other Comprehensive Income/Loss,-703379,-2020852,-77947461,-44858239,-12965166,-51419766,-58997000
66,Other Total Stockholders Equity,- -,82479061,7150538428,5798315605,3605602784,3635708529,3671054000
67,Total Stockholders Equity,-6575347389,-3430388786,9540366801,10820613256,11924051629,11899843851,12516686000
68,Total Liabilities And Stockholders Equity,2675595654,7117599007,19380415553,16253374802,18361603570,13388031710,14064335000
69,Minority Interest,- -,- -,- -,- -,- -,10000000,6853000
70,Total Liabilities & Equity,2675595654,7117599007,19380415553,16253374802,18361603570,13398031710,14071188000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692705/000119312518111507/d530470d20f.htm,https://www.sec.gov/Archives/edgar/data/1692705/000156459019011636/qd-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1692705/000119312520120947/d882230d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-233163744,576652618,2164458820,2491316213,3264287925,958818661,- -
74,Depreciation and Amortization,681004,1503467,5790986,12065648,46203367,43950037,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,55607170,22133620,64055851,57981487,87299053,45633820,- -
77,Change in Working Capital,12649702,22538271,208716950,-499878447,-194940633,52281950,- -
78,Accounts Receivable,718823,-48525142,-78970874,112068030,3873447,77321929,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-17787699,180658335,-127952203,132112749,132655274,- -
82,Other Non-Cash Items,61906112,171235163,633117425,1270833926,2300539612,1371027467,- -
83,Cash Provided by Operating Activities,-102319756,794063139,3076140032,3332318827,5503389324,2471711935,- -
84,CAPEX,-1510676,-4607296,-11298011,-140387756,-76389281,-221786498,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-877237006,-4910302112,-1155150000,-1352558415,-676942809,-16879279586,- -
87,Sales/Maturities of Investments,829001544,4529102112,1285350000,1662675701,457817239,11866225829,- -
88,Other Investing Activites,-1815208474,-3212329382,-824469589,-2960463879,-634043966,1964964559,- -
89,Cash Used for Investing Activites,-1864954612,-3598136678,-705567600,-2790734349,-929558817,-3269875696,- -
90,Debt Repayment,-1983951370,-6897751640,-10814431453,-8025871949,-5402354040,-1897946671,- -
91,Common Stock Issued,- -,- -,5339532767,- -,- -,10000000,- -
92,Common Stock Repurchased,- -,- -,-421164802,-1410222466,-2087241398,-15528092,- -
93,Dividends Paid,- -,-838434577,- -,- -,- -,- -,- -
94,Other Financing Activites,4159410915,11115915726,9649974661,2708255381,4117260301,312203161,- -
95,Cash Used/Provided by Financing Activities,2175459545,3379729509,3753911173,-6727839034,-3372335137,-1591271602,- -
96,Effect of Forex Changes on Cash,- -,- -,-77947461,-57682237,76077072,-56189971,- -
97,Net Change In Cash,208185177,575655970,6046536144,-6243936793,1277572442,-2445625334,- -
98,Cash at the End of Period,210114007,785769977,6832306121,2841014916,4118587358,1672962024,- -
99,Cash at the Beginning of Period,1928830,210114007,785769977,9084951709,2841014916,4118587358,- -
100,Free Cash Flow,-103830432,789455843,3064842021,3191931071,5427000043,2249925437,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692705/000119312518111507/d530470d20f.htm,https://www.sec.gov/Archives/edgar/data/1692705/000156459019011636/qd-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1692705/000119312520120947/d882230d20f.htm,- -,undefined
102,Forex Rate,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
