,https://roic.ai/company/TEF,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,1123742500,1399174176,1722210000,2227209621,- -,- -,2290953324,2554985160,3096251992,3776541678,5266966086,7082711516,8523243700,8006734840,6029150000,6207405752,6930666627,8604363210,11219873520,9997000000,10285000000,10899000000,12501000000,11701000000,11530000000,10164000000,11276000000,9152000000,10807000000,10102000000,10436000000,10664000000,7226000000,9156000000
35,Inventory,49234375,64027720,62320650,157939054,- -,- -,157139142,186008535,207134566,226181592,295446690,477496219,791101820,754143610,449830000,400269729,669125185,919453590,1012273840,987000000,1188000000,934000000,1028000000,1164000000,1188000000,985000000,934000000,1360000000,1055000000,1117000000,1692000000,1999000000,1718000000,1749000000
36,Other Current Assets,41356875,141871948,101070375,96974878,- -,- -,508602402,40633311,75927915,842635521,230473998,1048466338,413119120,550715900,184550000,3387328010,2490169409,1530734030,9092280,807000000,7000000,978000000,1731000000,1198000000,1159000000,6022000000,1193000000,15494000000,1422000000,1366000000,3311000000,2500000000,16612000000,1609000000
37,Total Current Assets,1229746250,1612319086,1905158325,2534047698,- -,- -,3067842066,3295275732,3676196638,4907995092,6327930924,9568681176,16584390240,12241627720,10573670000,10464063215,11634019884,13618720300,17713276820,18478000000,17973000000,23830000000,21054000000,20823000000,25596000000,29265000000,22864000000,31576000000,19974000000,19931000000,23340000000,24328000000,33655000000,24929000000
38,PP&E,15786081875,18915557675,21617165325,24394262165,- -,- -,22051832412,23045794563,24333008603,24896156922,27811125954,35859764323,38705428480,36620359530,27099650000,24273337500,23330893055,27971990300,33886927560,32460000000,30545000000,31999000000,35797000000,35463000000,35019000000,31040000000,33343000000,30549000000,36393000000,34225000000,33295000000,39167000000,28751000000,30304000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6364020000,- -,- -,- -,21738883790,19770000000,18323000000,19566000000,29582000000,29107000000,27963000000,23434000000,25111000000,21745000000,28686000000,26841000000,25748000000,25403000000,17044000000,16519000000
40,Intangible Assets,47436250,82056578,136098375,268660756,- -,- -,2192690394,2337780225,2068613862,3843996156,9010569816,11246186771,27395760200,26098314110,7629570000,13703069597,15827679784,16773906770,20757675240,18320000000,15921000000,15846000000,25026000000,24064000000,22078000000,18548000000,22353000000,18562000000,20518000000,18005000000,16856000000,16034000000,11488000000,11725000000
41,Intangible Assets,47436250,82056578,136098375,268660756,- -,- -,2192690394,2337780225,2068613862,3843996156,9010569816,11246186771,27395760200,26098314110,13993590000,13703069597,15827679784,16773906770,42496559030,38090000000,34244000000,35412000000,54608000000,53171000000,50041000000,41982000000,47464000000,40307000000,49204000000,44846000000,42604000000,41437000000,28532000000,28244000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5103710000,- -,- -,- -,- -,9007000000,10153000000,10924000000,12618000000,13743000000,11807000000,10199000000,11761000000,10082000000,9841000000,8244000000,1691000000,1093000000,1136000000,14142000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8701311960,7829000000,6980000000,5971000000,5693000000,6417000000,7308000000,6376000000,6867000000,10460000000,8229000000,7820000000,7631000000,6682000000,6416000000,5616000000
44,Other Non-Current Assets,599032500,1307513440,1495622625,1573637793,- -,- -,2171243796,2187803532,3205764953,3711723561,6391795158,7659900773,9650803360,11495351480,11270670000,13526378071,12626866347,14753472940,6183508090,9000000,1000000,5000000,5000000,6000000,2000000,- -,- -,- -,- -,- -,5486000000,6170000000,6561000000,5978000000
45,Total Non-Current Assets,16432550625,20305127693,23248886325,26236560714,- -,- -,26415766602,27571378320,29607387418,32451876639,43213490928,54765851867,75751992040,74214025120,57467620000,51502785168,51785439186,59499370010,91268306640,87395000000,81923000000,84311000000,108721000000,108800000000,104177000000,89597000000,99435000000,91398000000,103667000000,95135000000,90707000000,94549000000,71396000000,84284000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17662296875,21917446779,25154044650,28770608412,- -,- -,29483608668,30866654052,33283584056,37359871731,49541421852,64334533043,92336382280,86455652840,68041290000,61966848382,63419459071,73118090310,108981583460,105873000000,99896000000,108141000000,129775000000,129623000000,129773000000,118862000000,122299000000,122974000000,123641000000,115066000000,114047000000,118877000000,105051000000,109213000000
48,Accounts Payable,- -,383829332,- -,950772186,- -,- -,1653589788,3441898812,4085725297,6516993483,2327847066,4257951889,5934860760,5234048870,- -,5299333987,5661224836,6906455800,8611904540,8642000000,7845000000,6963000000,9038000000,8888000000,8719000000,8144000000,8770000000,7187000000,11859000000,11523000000,11694000000,11114000000,8341000000,9734000000
49,Short-Term Debt,1403993125,2836006761,3258917550,2526726020,- -,- -,1672590006,1770629673,2400607666,1704634659,6724673622,2267530643,- -,- -,5113150000,- -,- -,9229152610,8380809090,6986000000,8100000000,9184000000,9744000000,10339000000,10054000000,9387000000,8693000000,12625000000,13977000000,9134000000,9138000000,10152000000,8683000000,8327000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2157000000,2275000000,2766000000,2822000000,2568000000,2522000000,2203000000,2026000000,1769000000,2332000000,2341000000,2047000000,2560000000,1732000000,2026000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,817292080,1407030330,1436000000,1308000000,1643000000,1858000000,1843000000,1612000000,1353000000,1441000000,1106000000,1569000000,1387000000,1617000000,1596000000,1286000000,1338000000
52,Other Current Liabilities,297975000,574143305,2599442475,1823172533,- -,- -,1389625386,183122868,159970877,308726964,3068808606,6961156092,18132522200,13191331670,9568590000,8525353214,13878111048,4920638680,7936045060,7910000000,7879000000,9146000000,12852000000,11508000000,11126000000,10260000000,10795000000,13951000000,8046000000,7022000000,7200000000,7329000000,9807000000,6096000000
53,Total Current Liabilities,1701968125,3793979398,5858360025,5300670739,- -,- -,4715805180,5395651353,6646303840,8530355106,12121329294,13486638624,24067382960,18425380540,14681740000,13824687202,19539335884,21873539170,26335789020,24974000000,25132000000,26936000000,33492000000,32578000000,31511000000,29144000000,29699000000,34869000000,35451000000,29066000000,29649000000,30191000000,28117000000,25495000000
54,Long-Term Debt,5643886250,6844057786,7056098700,11170340454,- -,- -,10985795574,9902829234,9821054851,11503261224,13690223694,16719392774,23293316980,26161253070,20096690000,17662905941,15136700830,25148617660,50675822580,46942000000,45088000000,47607000000,51356000000,55659000000,53351000000,48307000000,47457000000,44110000000,42865000000,43460000000,43047000000,46556000000,42168000000,39844000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,880460000,- -,- -,- -,- -,585000000,535000000,497000000,543000000,472000000,392000000,377000000,877000000,919000000,903000000,774000000,896000000,1187000000,955000000,1046000000
56,Deferred Tax Liabilities,- -,- -,91218750,237655691,- -,- -,461224176,454921503,512774554,- -,- -,1121078598,1388420960,1542004520,1629460000,800230580,855187998,2475516920,4699951070,3926000000,3576000000,3082000000,6074000000,4739000000,4788000000,3063000000,2566000000,2313000000,2395000000,2145000000,2674000000,2908000000,2620000000,2602000000
57,Other Non-Current Liabilities,1219214375,1872726563,2259597900,1771547232,- -,- -,3953676264,3196305153,2596895387,3009087900,6690823020,7834510670,8342237900,7018817950,8144010000,8533218876,7902307741,7474676430,7268520170,6591000000,6003000000,5745000000,6626000000,8792000000,12070000000,10489000000,11411000000,13207000000,13642000000,13003000000,10801000000,12585000000,12931000000,11542000000
58,Total Non-Current Liabilities,6863100625,8716784349,9406915350,13179543377,- -,- -,15400696014,13554055890,12930724792,14512349124,20381046714,25674982042,33023975840,34722075540,30750620000,26996355397,23894196568,35098811010,62644293820,58044000000,55202000000,56931000000,64599000000,69662000000,70601000000,62236000000,62311000000,60549000000,59805000000,59382000000,57418000000,63236000000,58674000000,55034000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7226000000,5294000000,8070000000
61,Total Liabilities,8565068750,12510763747,15265275375,18480214116,- -,- -,20116501194,18949707243,19577028632,23042704230,32502376008,39161620666,57091358800,53147456080,45432360000,40821042599,43433532452,56972350180,88980082840,83018000000,80334000000,83867000000,98091000000,102240000000,102112000000,91380000000,92010000000,95418000000,95256000000,88448000000,87067000000,93427000000,86791000000,80529000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3078614196,3272369600,4338815500,4673217780,4860660000,4947239646,4952229522,4917261440,4921196550,4773000000,4705000000,4564000000,4564000000,4564000000,4551000000,4551000000,4657000000,4975000000,5038000000,5192000000,5192000000,5192000000,- -,- -
64,Retained Earnings,636279375,530250618,578910675,806430534,- -,- -,570822,6224929656,7491473933,2746179072,1307213046,4796024577,2503203740,- -,- -,2199733864,2875164601,4684231880,5850882180,13801000000,16700000000,16685000000,19971000000,19248000000,19453000000,22517000000,22636000000,20604000000,17093000000,18225000000,14885000000,13378000000,- -,- -
65,Other Comprehensive Income/Loss,-10379034375,-11756416109,-12903293550,-14302524418,- -,- -,-17048414490,-18841065780,-18680838194,-20754797427,-24493425894,-35893484611,-41906036920,-43943757090,- -,1607139747,3101967268,1452213200,3865734380,1261000000,-2455000000,572000000,830000000,-861000000,-3208000000,-8234000000,-11427000000,-16098000000,-13555000000,-17902000000,-13522000000,-13491000000,-18437000000,- -
66,Other Total Stockholders Equity,18839983125,20632848523,22213152150,23786488180,- -,- -,26414951142,22523098881,22601611100,29960515494,33602477940,42352372281,60984048240,65141823600,12135340000,7973198251,5283773897,1670045180,2540534570,290000000,-1719000000,-87000000,-913000000,-1315000000,-335000000,2351000000,5249000000,8410000000,9581000000,11405000000,11392000000,12039000000,- -,- -
67,Total Stockholders Equity,9097228125,9406683032,9888769275,10290394296,- -,- -,9367107474,9906962757,11412246839,11951897139,13494879288,14527281847,25920030560,25871284290,16996000000,16727311508,16213135289,12723751700,17178347680,20125000000,17231000000,21734000000,24452000000,21636000000,20461000000,21185000000,21115000000,17891000000,18157000000,16920000000,17947000000,17118000000,11235000000,22207000000
68,Total Liabilities And Stockholders Equity,17662296875,21917446779,25154044650,28770608412,- -,- -,29483608668,28856670000,30989275471,34994601369,45997255296,53688902513,83011389360,79018740370,62428360000,57548354107,59646667741,69696101880,106158430520,103143000000,97565000000,105601000000,122543000000,123876000000,122573000000,112565000000,113125000000,113309000000,113413000000,105368000000,105014000000,110545000000,98026000000,102736000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,2009984052,2294308585,2365270362,3544166556,10645630530,9324992920,7436912470,5612930000,4418494275,3772791330,3421988430,2823152940,2730000000,2331000000,2540000000,7232000000,5747000000,7200000000,6297000000,9174000000,9665000000,10228000000,9698000000,9033000000,8332000000,7025000000,6477000000
70,Total Liabilities & Equity,17662296875,21917446779,25154044650,28770608412,- -,- -,29483608668,30866654052,33283584056,37359871731,49541421852,64334533043,92336382280,86455652840,68041290000,61966848382,63419459071,73118090310,108981583460,105873000000,99896000000,108141000000,129775000000,129623000000,129773000000,118862000000,122299000000,122974000000,123641000000,115066000000,114047000000,118877000000,105051000000,109213000000
71,SEC Link,- -,- -,- -,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814052/000119312503014800/0001193125-03-014800-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000119312504116233/0001193125-04-116233-index.htm,- -,https://www.sec.gov/Archives/edgar/data/814052/000095010306001082/0000950103-06-001082-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095012307007683/0000950123-07-007683-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010308001328/0000950103-08-001328-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010309000984/0000950103-09-000984-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010310000881/0000950103-10-000881-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010311001602/0000950103-11-001602-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010312001609/0000950103-12-001609-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010313001873/0000950103-13-001873-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010314002020/0000950103-14-002020-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010315001606/0000950103-15-001606-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010316011426/0000950103-16-011426-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010317001636/0000950103-17-001636-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000081405218000019/0000814052-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000081405219000029/0000814052-19-000029-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000081405220000023/0000814052-20-000023-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,530334865,578910675,- -,- -,- -,697626030,853377522,981438605,- -,- -,- -,- -,2107331250,-5576800000,2199733864,2875164601,4442759220,6232757940,8906000000,7592000000,7776000000,10167000000,5403000000,3928000000,4593000000,3001000000,2745000000,2369000000,3132000000,3331000000,1142000000,1582000000,8137000000
74,Depreciation and Amortization,- -,1692437983,1914426150,- -,- -,- -,2815864926,3212605272,3222236088,- -,- -,- -,- -,7686420490,6692420000,6706602885,6408002643,6713108810,9703735830,9436000000,9046000000,8956000000,9303000000,10146000000,10433000000,9627000000,8548000000,8517000000,9649000000,9396000000,9049000000,10582000000,9359000000,- -
75,Deferred Income Tax,- -,- -,74069625,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1480189470,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-1571005800,- -,- -,- -,347875236,396194280,962476713,- -,- -,- -,- -,-2694012270,- -,6975283580,7304100898,6687779510,9180929730,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
