,https://roic.ai/company/MBT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,1454982399,2505350213,4390539857,5901496028,11368943223,17416924563,24799072792,28071248851,35292600146,57268717359,55433726069,61195972838,74700233603,69102975283,73253000000,74710000000,82473000000,83259000000,79912000000,104588000000,106948000000,100205000000,111088000000
15,EBITDA,4307562534,6539842946,14168657930,18275652104,33713623716,54606452273,68970802837,71547737008,104322031966,137476178679,118117264586,143028535421,158909376081,134619225256,188223000000,159332000000,170517000000,170414000000,177800000000,167698000000,220023000000,217906000000,231316000000
16,EBITDA ratio,0.4403,0.4273,0.5206,0.4203,0.4502,0.5072,0.4789,0.4258,0.5146,0.4541,0.3990,0.4140,0.4033,0.3564,0.4724,0.3879,0.3954,0.3911,0.4014,0.3492,0.4621,0.4403,0.4328
17,Operating Income,3156211068,3972919017,10185623451,14827370674,27135240178,40540912627,46902971550,56159974195,67164062328,94660241387,79030624817,87563001034,90460957846,60633686297,101758000000,102349000000,87859000000,87669000000,96100000000,116185000000,114188000000,112893000000,118279000000
18,Operating Income ratio,0.3226,0.2596,0.3742,0.3410,0.3623,0.3765,0.3257,0.3342,0.3313,0.3127,0.2670,0.2535,0.2296,0.1605,0.2554,0.2492,0.2037,0.2012,0.2170,0.2419,0.2398,0.2281,0.2213
19,Total Other Income Expenses (Gains),-303630934,61573716,-417682349,-2453214598,-4790559686,-2510886334,-1959340167,-12314321437,2339868312,-18698894217,-33988281524,-24374522491,-23305332550,-11429951128,-5070000000,-33609000000,-27186000000,-20060000000,-20533000000,-32334000000,-47315000000,-35310000000,-39077000000
20,Income Before Tax,2852580135,4034492733,9767941103,12374156075,22344680493,38030026294,44943631383,43845652757,69503930640,75961347171,45042343293,63188478542,67155625296,49203735169,96688000000,68740000000,60673000000,67609000000,75567000000,83851000000,66873000000,77583000000,79202000000
21,Income Before Tax Ratio,0.2916,0.2636,0.3589,0.2846,0.2984,0.3532,0.3121,0.2609,0.3428,0.2509,0.1522,0.1829,0.1704,0.1303,0.2427,0.1673,0.1407,0.1552,0.1706,0.1746,0.1405,0.1568,0.1482
22,Income Tax expense (Gain),514032265,1461597153,2968201658,3525615914,7131765990,9824487171,11799954222,15163042482,18137529435,18634270379,15186230366,15820987795,17005853959,17658778441,19633000000,16347000000,13269000000,15138000000,18977000000,16969000000,15750000000,16126000000,15403000000
23,Net Income,2338547870,2572895580,6809916415,8848540161,15212914503,27365040539,32371775823,28313445675,50891902385,57042105465,30269070634,42234054542,46189949191,30597933664,79839000000,51822000000,49489000000,48474000000,56042000000,6848000000,54241000000,61412000000,63473000000
24,Net Income ratio,0.2391,0.1681,0.2502,0.2035,0.2031,0.2541,0.2248,0.1685,0.2510,0.1884,0.1023,0.1223,0.1172,0.0810,0.2004,0.1262,0.1148,0.1113,0.1265,0.0143,0.1139,0.1241,0.1188
25,EPS,2.84,2.86,6.34,8.94,15.35,27.70,32.76,28.43,51.59,59.10,31.58,44.05,46.70,30.98,80.28,52.12,49.76,48.74,57.36,7.30,60.90,69.76,72.11
26,EPS Diluted,2.84,2.86,6.34,8.94,15.35,27.70,32.76,28.43,51.59,59.10,31.58,44.05,46.70,30.98,80.28,52.12,49.74,48.70,57.32,7.30,60.82,69.72,72.11
27,Weighted Average Shares Outstanding,817263720,903484050,991679754,991679754,991687474,992248674,993410000,993805060,986677174,960967046,942526500,958434500,985476500,994459500,994500000,994500000,994500000,994640965,976889500,936781500,890467500,880234000,880234000
28,Weighted Average Shares Outstanding Diluted,817263720,903484050,996663070,991699750,991699750,992248674,993410000,993805060,987037454,960967046,942526500,958434500,985476500,994459500,994500000,994500000,994500000,995346992,977779000,937860500,891808500,880889000,880234000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,273000300,2166594772,6692089041,1106726077,2658118126,7594182545,2249805442,5790114880,15588099410,31286625002,76023241637,28378530538,59205591699,22017101546,30612000000,61410000000,33464000000,18470000000,30586000000,84075000000,38070000000,85405000000,40590000000
32,Short-Term Investments,- -,4857323300,2599210321,957900300,7205883650,2032132889,806388162,1475158161,387578615,1350924839,6545427861,10204773898,2758772915,4034902699,14633000000,9849000000,49840000000,8657000000,50757000000,105735000000,79546000000,100085000000,143915000000
33,Cash and Short-Term Investments,273000300,7023918072,9291299362,2064626377,9864001776,9626315433,3056193604,7265273041,15975678025,32637549842,82568669498,38583304435,61964364614,26052004245,45245000000,71259000000,83304000000,27127000000,81343000000,189810000000,117616000000,185490000000,184505000000
34,Net Receivables,1157548572,1099898003,3316686704,6326324811,9204001657,12544902583,17674554778,17016603571,17741745238,13973493990,21787044702,29536132454,33886791888,39128036744,42170000000,45562000000,55873000000,42905000000,49378000000,52230000000,55118000000,55385000000,53951000000
35,Inventory,452552597,672910712,797825694,1321455394,1979147415,2479722900,4502254873,5165698725,3462362413,3264877849,7192798731,9787582022,9311122496,8586664439,8498000000,7510000000,14510000000,14330000000,9995000000,18654000000,15515000000,15204000000,18981000000
36,Other Current Assets,480726228,631737754,1314047926,1729073902,3672824191,4184376576,11876342537,13430869326,10644924305,20117988784,20889530668,17431113499,17599245086,18607441845,20763000000,27793000000,5330000000,6632000000,5316000000,8240000000,6339000000,6275000000,5863000000
37,Total Current Assets,2363827698,9428464540,14719859687,11441480483,24719975038,28835317493,37109345792,42878444662,47824709980,69993910465,132438043600,95338132411,122761524084,92374147273,116676000000,152124000000,159017000000,90994000000,146032000000,268934000000,194588000000,262354000000,263300000000
38,PP&E,6832378508,12552094864,25634629521,42934145136,66355188415,89593293084,128827801435,139434754033,162325938067,174343383831,233398578887,243861468432,262478871736,271816883014,270660000000,299479000000,302662000000,272841000000,263063000000,425450000000,404296000000,415307000000,443593000000
39,Goodwill,- -,- -,- -,- -,- -,- -,4460899423,4354963149,8830827415,11169020357,24220975959,30019430184,35780365352,32432532649,32704000000,36311000000,34468000000,33685000000,34281000000,39107000000,38675000000,38041000000,- -
40,Intangible Assets,8467131605,9089451946,12291829658,16763542620,29875887731,33466286850,36904953882,32674041308,42649813177,41136190289,43153778978,56175170486,50855634875,41024938278,41625000000,62469000000,74596000000,75128000000,79397000000,95962000000,79729000000,90103000000,142951000000
41,Intangible Assets,8467131605,9089451946,12291829658,16763542620,29875887731,33466286850,41365853305,37029004458,51480640591,52305210646,67374754937,86194600670,86636000227,73457470927,74329000000,98780000000,109064000000,108813000000,113678000000,135069000000,118404000000,128144000000,142951000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,8463861181,34925783509,11329888810,9964140634,11348298639,17785000000,31246000000,69169000000,60747000000,20295000000,62990000000,74301000000,89282000000,141003000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2502784166,- -,2186694967,862000000,3610000000,9287000000,6150000000,5545000000,11190000000,9975000000,8778000000,11683000000
44,Other Non-Current Assets,956565751,397786206,144336248,1766495873,3324000598,2708614858,9555321804,6324200726,7793509217,3632291110,7401386972,3662221507,8170308061,3854404526,5212000000,23688000000,4179000000,4925000000,2457000000,12360000000,22346000000,15338000000,13288000000
45,Total Non-Current Assets,16256075864,22039333017,38070795426,61464183630,99555076743,125768194793,179748976544,182787959217,221600087876,238744746768,343100504305,347550963586,367249320658,362663752073,368848000000,456803000000,494361000000,453476000000,405038000000,647059000000,629322000000,656849000000,752518000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18619903561,31467797557,52790655114,72905664113,124275051781,154603512285,216858322336,225666403879,269424797856,308738657233,475538547905,442889095997,490010844741,455037899346,485524000000,608927000000,653378000000,544470000000,551070000000,915993000000,823910000000,919203000000,1015818000000
48,Accounts Payable,1278760705,1247360623,3419035334,3914331856,5880677529,7188476188,11626428019,11711566659,15893253694,28846225583,17850536817,20864518814,25563097819,24929586289,27179000000,41011000000,59565000000,42487000000,48416000000,54924000000,72366000000,59163000000,76185000000
49,Short-Term Debt,1046492050,685739760,994722641,2820377783,20890297878,10509861107,22090937459,3964479333,17523633996,34978102919,60321567491,23160297744,36969098919,27627915508,25026000000,42136000000,53701000000,47207000000,64474000000,18875000000,86974000000,50302000000,130548000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,377755439,486243838,6502387195,866734910,7274483425,8244000000,8130000000,831000000,962000000,1150000000,1792000000,784000000,753000000,768000000
51,Deferred Revenue,- -,426387268,652636287,709165522,631382467,1248836519,1274891666,- -,- -,11682642465,15107761169,1505414765,1595214486,16550424883,17884000000,19355000000,17451000000,15460000000,17878000000,21597000000,20718000000,21125000000,- -
52,Other Current Liabilities,1837319319,2862477766,4338375269,6101218241,10773207822,15123960659,20267877726,29602389694,30739804363,22216003013,35029113338,50986793923,49907168734,44312362259,31773000000,34937000000,27193000000,22391000000,25903000000,200075000000,168399000000,198024000000,266687000000
53,Total Current Liabilities,4162572074,5221965417,9404769530,13545093402,38175565695,34071134473,55260134871,45278435686,64156692053,97722973980,128308978815,96517025246,114034579958,113420288939,101862000000,137439000000,157910000000,127545000000,156671000000,295471000000,348457000000,328614000000,473420000000
54,Long-Term Debt,1810920190,665881879,8504960846,11691332812,27943063853,43150746326,59831277175,77060438877,66047194210,85927365382,195334841143,195885687581,241819263895,204507528588,194074000000,249717000000,292168000000,237113000000,239096000000,509812000000,411653000000,529780000000,486100000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11240350775,3244907270,2544896199,2354070418,2045000000,1760000000,- -,- -,- -,558000000,589000000,717000000,- -
56,Deferred Tax Liabilities,2002293400,2059590797,2199688074,3378769798,5312589192,4442936124,4552663114,2272707407,2804908601,2052863235,8993612547,8934538128,7291129531,10670990028,21202000000,33278000000,27346000000,26611000000,23773000000,24439000000,17866000000,19191000000,17901000000
57,Other Non-Current Liabilities,543598197,631394884,1211394597,628829617,740500133,1320360062,1661805092,1128576138,2203616347,2522634509,-1021756929,8489019542,7522855963,10078979106,10288000000,10808000000,7583000000,9253000000,7325000000,8148000000,8951000000,8211000000,23793000000
58,Total Non-Current Liabilities,4356811788,3356867560,11916043518,15698932227,33996153178,48914042512,66045745381,80461722421,71055719158,90502863126,214547047536,216554152522,259178145588,227611568140,227609000000,295563000000,327097000000,272977000000,270194000000,542957000000,439059000000,557899000000,527794000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,142111438315,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,231205202,224882393,109335176,84147851,86513906,46088836,35067016101,123369005,604313352,393941333,211877273,10000000,8857000000,- -,- -,- -,160552000000,155308000000,150814000000,154509000000
61,Total Liabilities,8519383862,8578832978,21320813048,29244025629,72171718873,82985176985,121305880252,125740158107,135212411210,188225837106,342856026352,313071177768,373212725546,341031857079,329471000000,433002000000,485007000000,400522000000,426865000000,838428000000,787516000000,886513000000,1001214000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1345236278,1444567949,1540500743,1614317446,1487000268,1400498563,1452987373,1330687571,1242089226,1493942387,1523519828,1546589443,1625475834,1543560109,207000000,207000000,207000000,200000000,200000000,200000000,200000000,200000000,- -
64,Retained Earnings,4963254654,7378016940,14096261281,23571180402,33662417824,53007588066,75834772896,83023002527,109989558484,153256598911,154763976412,149927833056,169369214230,164608045933,188217000000,191081000000,173200000000,145622000000,151043000000,110946000000,85249000000,94391000000,- -
65,Other Comprehensive Income/Loss,-1303166932,-2506035953,-5149089760,-1105544666,-614235405,67229914,1213418902,2366590918,17300240718,-10229241416,-22736901668,-23614473413,-30836889450,-28243134206,-15030000000,-6294000000,11176000000,-6030000000,-8854000000,-1064000000,7367000000,9010000000,- -
66,Other Total Stockholders Equity,4378351511,16572415642,20586090661,17494324759,16168061734,15422824914,16167710481,12026669939,5187893068,-24702853586,-31789245577,-32270608310,-28771344520,-27171141522,-21463000000,-19045000000,-24468000000,-557000000,-22263000000,-44808000000,-59748000000,-74901000000,- -
67,Total Stockholders Equity,9383675512,22888964579,31073762926,41574277940,50703244421,69898141458,94668889653,98746950956,133719781497,119818446296,101761348995,95589340776,111386456094,110737330315,151931000000,165949000000,160115000000,139235000000,120126000000,65274000000,33068000000,28700000000,9766000000
68,Total Liabilities And Stockholders Equity,17903059374,31467797557,52394575974,70818303569,122874963294,152883318443,215974769905,224487109063,268932192708,308044283402,444617375347,408660518544,484599181641,451769187394,481402000000,598951000000,645122000000,539757000000,546991000000,903702000000,820584000000,915213000000,1010980000000
69,Minority Interest,716844188,- -,396079140,2087360544,1400088487,1720193842,883552431,1179294816,492605148,694373831,30921172558,34228577453,5411663101,3268711952,4122000000,9976000000,8256000000,4713000000,4079000000,12291000000,3326000000,3990000000,4838000000
70,Total Liabilities & Equity,18619903561,31467797557,52790655114,72905664113,124275051781,154603512285,216858322336,225666403879,269424797856,308738657233,475538547905,442889095997,490010844741,455037899346,485524000000,608927000000,653378000000,544470000000,551070000000,915993000000,823910000000,919203000000,1015818000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2338547870,- -,6809916415,8848540161,15212914503,27365040539,32371775823,28313445675,50891902385,57042105465,30269070634,42234054542,46189949191,30597933664,79839000000,51822000000,49489000000,48474000000,56042000000,6848000000,54241000000,61412000000,63473000000
74,Depreciation and Amortization,1454982399,- -,4390539857,5901496028,11368943223,17416924563,24799072792,28071248851,35292600146,57268717359,55433726069,61195972838,74700233603,69102975283,73253000000,74710000000,82473000000,83259000000,79912000000,104588000000,106948000000,100205000000,111088000000
75,Deferred Income Tax,-480316728,- -,-1515637248,-606318960,-1264735522,-2105900199,-1866858000,-3501273301,-2262382070,-6185745309,3056923640,-1390303090,369405970,1768165207,9671000000,6540000000,13269000000,14954000000,18977000000,16969000000,17671000000,17191000000,15403000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-317335549,- -,838289815,-2659674043,1235294,3679168839,-4956503823,478497964,1180399958,3010962605,-1339852488,-1477791634,-7341639751,7743165066,-7324000000,1300000000,-7734000000,-15012000000,-7977000000,-31782000000,-2653000000,-12253000000,-44749000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4060545926,-6528673301,-9231081466,-6788714380,-8319532003,-3474000000,4466000000,2781000000,-3525000000,-3514000000,438000000,-3808000000,1904000000,-2608000000
79,Inventory,-220420442,- -,-125810506,-580679162,-433441254,-669778369,-2142695114,-1034692626,1890477590,134891550,-3374958932,-3238269154,-491219091,-45109355,-592000000,731000000,-5998000000,-1816000000,2200000000,-11292000000,3000000,-630000000,-5206000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8192891666,8136000000,-3616000000,-4449000000,-9086000000,-6715000000,-11162000000,6825000000,-1104000000,16544000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,3865374253,- -,- -,1354019387,8032472471,- -,- -,7265000000,13161000000,14347000000,13534000000,305000000,1492000000,- -
82,Other Non-Cash Items,192792812,- -,-218134515,1695770901,3092941733,1057202177,1307452976,9540375570,-2797194372,19570917117,20945610228,10088744510,9206871192,19481955798,3938000000,25146000000,6591000000,-1110000000,-2314000000,57767000000,-69555000000,-11048000000,-2369000000
83,Cash Provided by Operating Activities,3188670804,- -,10304974324,13179814088,28411299232,47412435919,51654939768,62902294758,82305326047,130706957236,108365478083,110650677168,123124820204,128694195019,159377000000,159518000000,144088000000,130565000000,144640000000,154390000000,106652000000,155507000000,142846000000
84,CAPEX,-2976030870,- -,-12086431590,-16030589241,-24681327972,-33362879652,-62689775060,-45322232199,-37822523488,-65814370393,-70161496237,-80976367877,-82673810913,-88176425623,-81575000000,-92599000000,-106537000000,-86149000000,-76431000000,-92009000000,-91736000000,-97409000000,-111683000000
85,Acquisitions Net,-7179908,- -,-2301427304,-4578635714,-19623709415,-9854404068,-5141899241,-1005108924,-21449267830,-1037497748,-8093717919,-6057082742,-6924730503,-1850941633,-5088000000,-10522000000,- -,-4099000000,-1090000000,-14255000000,38326000000,3760000000,-4368000000
86,Purchases of Investments,- -,- -,-3351696700,- -,-6323530550,-3170082985,-1074120873,-1605600180,-5447941220,-4695467008,-15661957402,-23913555754,-18382745295,-35386360040,-38326000000,-70536000000,-73485000000,-9739000000,-33717000000,-11862000000,-22714000000,-10054000000,-14422000000
87,Sales/Maturities of Investments,- -,- -,5959987072,1765857273,- -,7931855662,2377406690,1293865863,6689514527,1624165182,20677024995,43951369008,25445187323,32122538732,27785000000,67450000000,31678000000,39021000000,25385000000,38596000000,44680000000,21334000000,13085000000
88,Other Investing Activites,-161315877,- -,-1673624042,-3441256828,-5550471587,-4292437514,-3943051022,-488210051,446663717,-10302995920,-10249179958,-22157422070,-10222225788,-7564854013,-13896000000,-17737000000,-26878000000,-26947000000,-18722000000,-26137000000,-21381000000,-29917000000,-37646000000
89,Cash Used for Investing Activites,-3144526656,- -,-13453192564,-22284624509,-56179039524,-42747948557,-70471439505,-47127285491,-57583554294,-69002568380,-71860366393,-66736842581,-81732478261,-92958958924,-96671000000,-105588000000,-145356000000,-57302000000,-81510000000,-78389000000,-29554000000,-81133000000,-116432000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26996689568,-56002868816,-172983786946,-11750167954,-62231347256,-45393000000,-52816000000,-40559000000,-90230000000,-45055000000,-61636000000,-171854000000,-177704000000,-52867000000
91,Common Stock Issued,- -,- -,7560666006,- -,- -,112160661,122313269,100121356,148806014,- -,- -,- -,429992643,577157,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-2892543878,-6251056391,-31317090104,- -,- -,-2143246,- -,- -,- -,- -,-748000000,-21896000000,-22655000000,-15922000000,-16028000000,-21483000000
93,Dividends Paid,-306415537,- -,-90160641,- -,-3260706469,-6444930509,-11702816334,-14708890537,-18595715361,-32695140999,-38021037725,-29850785309,-39660535537,-28035691926,-39706000000,-49921000000,-50786000000,-52805000000,-51759000000,-50054000000,-52505000000,-74923000000,-61955000000
94,Other Financing Activites,-9090910,- -,73615448,3219087818,32600270574,6631190890,24844365488,5287086658,7675216175,50399797320,98475466463,109948596898,42336041762,17130953423,29954000000,69566000000,63750000000,60745000000,68265000000,108421000000,119833000000,241295000000,65091000000
95,Cash Used/Provided by Financing Activities,-315506447,- -,7544120812,3219087818,29339564105,298421042,13263862423,-12214226401,-17022749563,-40609123350,4451559923,-92885975357,-8646812332,-73135508602,-55145000000,-33171000000,-27595000000,-83038000000,-50445000000,-25924000000,-120448000000,-27360000000,-71214000000
96,Effect of Forex Changes on Cash,-25771228,- -,-14290416,-20307486,66852953,127783929,-76359576,168895568,2484473264,-8557472666,1266084212,-12756197,-3215700077,3195443424,1037000000,10195000000,761000000,-5219000000,-569000000,3412000000,-2655000000,385000000,-7000000
97,Net Change In Cash,-297133527,- -,4381612156,-5906030090,1638676766,5090692332,-5628996891,3729678434,10183495453,12537792840,42222755824,-48984896966,29529829534,-34204829083,8598000000,30954000000,-28102000000,-14994000000,12116000000,53489000000,-46005000000,47335000000,-44879000000
98,Cash at the End of Period,273000300,- -,6692089041,1106726077,2658118126,7594182545,2249805442,5790114880,15588099410,31286625002,76023241637,28378530538,59205591699,22017101546,30612000000,61566000000,33464000000,18470000000,30586000000,84075000000,38070000000,85405000000,40590000000
99,Cash at the Beginning of Period,570133827,- -,2310476885,7012756166,1019441360,2503490212,7878802333,2060436446,5404603956,18748832162,33800485813,77363427504,29675762166,56221930629,22014000000,30612000000,61566000000,33464000000,18470000000,30586000000,84075000000,38070000000,85469000000
100,Free Cash Flow,212639934,- -,-1781457266,-2850775153,3729971260,14049556267,-11034835292,17580062559,44482802559,64892586843,38203981846,29674309291,40451009291,40517769396,77802000000,66919000000,37551000000,44416000000,68209000000,62381000000,14916000000,58098000000,31163000000
101,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.0363,0.035,0.0328,0.0313,0.0342,0.0361,0.0348,0.0379,0.0407,0.0328,0.033,0.0327,0.031,0.0327,0.0304,0.0172,0.0137,0.0163,0.01734,0.01434,0.01614,0.01347,0.01333
