,https://roic.ai/company/SAIL,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1627857/000156459018006197/0001564590-18-006197-index.htm,https://www.sec.gov/Archives/edgar/data/1627857/000156459019008122/0001564590-19-008122-index.htm,https://www.sec.gov/Archives/edgar/data/1627857/000156459020006045/0001564590-20-006045-index.htm,https://www.sec.gov/Archives/edgar/data/1627857/000162828021003310/0001628280-21-003310-index.htm,https://www.sec.gov/Archives/edgar/data/1627857/000162785722000030/0001627857-22-000030-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,14896000,18214000,116049000,70964000,443795000,510289000,435445000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14896000,18214000,116049000,70964000,443795000,510289000,435445000
34,Net Receivables,31546000,48791000,72907000,103933000,109383000,112255000,147156000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4968000,7752000,10091000,25658000,31240000,47974000,82637000
37,Total Current Assets,51410000,74757000,199047000,200555000,584418000,670518000,665238000
38,PP&E,1497000,1855000,3018000,19268000,52404000,19443000,40957000
39,Goodwill,219377000,219377000,219377000,219377000,241051000,241103000,289430000
40,Intangible Assets,99103000,90013000,81185000,74860000,81651000,63962000,73469000
41,Intangible Assets,318480000,309390000,300562000,294237000,322702000,305065000,362899000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,428000,264000,- -,- -,- -,4047000
44,Other Non-Current Assets,117000,980000,3542000,20374000,30554000,- -,86699000
45,Total Non-Current Assets,320094000,312653000,307386000,333879000,405660000,324508000,494602000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,371504000,387410000,506433000,534434000,990078000,995026000,1159840000
48,Accounts Payable,1049000,787000,2231000,4636000,3224000,4753000,6097000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,978000,506000
51,Deferred Revenue,31576000,49850000,73671000,95919000,127132000,165995000,218937000
52,Other Current Liabilities,22379000,13923000,24324000,23874000,42208000,387110000,476557000
53,Total Current Liabilities,55004000,64560000,100226000,124429000,172564000,557858000,701591000
54,Long-Term Debt,99770000,107344000,68329000,- -,309051000,- -,442806000
55,Deferred Revenue,3312000,5254000,9454000,18382000,24901000,18723000,25193000
56,Deferred Tax Liabilities,2198000,95000,- -,4142000,8900000,1329000,4047000
57,Other Non-Current Liabilities,223079000,224041000,27000,9788000,40535000,- -,-418036000
58,Total Non-Current Liabilities,328359000,336734000,77810000,32312000,383387000,20052000,54010000
59,Other Liabilities,- -,- -,- -,- -,- -,73184000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,41986000,37515000,- -
61,Total Liabilities,383363000,401294000,178036000,156741000,555951000,610990000,755601000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4000,5000,8000,9000,9000,9000,9000
64,Retained Earnings,-14455000,-17628000,-25220000,211000,-8289000,- -,-77680000
65,Other Comprehensive Income/Loss,-642000,-1291000,-2374000,-4213000,-8515000,- -,- -
66,Other Total Stockholders Equity,3234000,5030000,355983000,381686000,450922000,464601000,481910000
67,Total Stockholders Equity,-11859000,-13884000,328397000,377693000,434127000,464610000,404239000
68,Total Liabilities And Stockholders Equity,371504000,387410000,506433000,534434000,990078000,1075600000,1159840000
69,Minority Interest,- -,- -,- -,- -,- -,-80574000,- -
70,Total Liabilities & Equity,371504000,387410000,506433000,534434000,990078000,995026000,1159840000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1627857/000156459018006197/0001564590-18-006197-index.htm,https://www.sec.gov/Archives/edgar/data/1627857/000156459019008122/0001564590-19-008122-index.htm,https://www.sec.gov/Archives/edgar/data/1627857/000156459020006045/0001564590-20-006045-index.htm,https://www.sec.gov/Archives/edgar/data/1627857/000162828021003310/0001628280-21-003310-index.htm,https://www.sec.gov/Archives/edgar/data/1627857/000162785722000030/0001627857-22-000030-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-10807000,-3173000,-7592000,3670000,-8500000,-10763000,- -
74,Depreciation and Amortization,9620000,9982000,10220000,10736000,14992000,18290000,- -
75,Deferred Income Tax,-3326000,-2537000,69000,-1280000,-7268000,-7553000,- -
76,Stock Based Compensation,246000,568000,4514000,18975000,18714000,29057000,- -
77,Change in Working Capital,7672000,13791000,88624000,-22695000,335728000,-299194000,- -
78,Accounts Receivable,-5252000,-17245000,-24116000,-31249000,-5072000,-6772000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-640000,-262000,1443000,2406000,-1630000,1529000,- -
81,Other Working Capital,-3594000,10197000,98821000,76126000,411854000,112660000,- -
82,Other Non-Cash Items,155000,-12091000,-73979000,28134000,-303575000,328112000,- -
83,Cash Provided by Operating Activities,3560000,6540000,21856000,37540000,50091000,57949000,- -
84,CAPEX,-1232000,-1263000,-2711000,-10889000,-6552000,-4002000,- -
85,Acquisitions Net,-15209000,- -,- -,- -,-32393000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,133000,8000,190000,-2467000,-340000,-28000,- -
89,Cash Used for Investing Activites,-16308000,-1255000,-2521000,-10856000,-38906000,-3973000,- -
90,Debt Repayment,- -,-115000000,-90000000,-70000000,- -,- -,- -
91,Common Stock Issued,307000,1329000,171980000,3351000,5649000,- -,- -
92,Common Stock Repurchased,-458000,-226000,-658000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-50387000,- -,- -,- -,- -
94,Other Financing Activites,10000000,111935000,47585000,1074000,356050000,12548000,1498000
95,Cash Used/Provided by Financing Activities,9849000,-1962000,78520000,-65575000,361699000,12548000,1498000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2899000,3323000,97855000,-38891000,372884000,66524000,1498000
98,Cash at the End of Period,14949000,18272000,116127000,77236000,450120000,516644000,- -
99,Cash at the Beginning of Period,17848000,14949000,18272000,116127000,77236000,450120000,- -
100,Free Cash Flow,2328000,5277000,19145000,26651000,43539000,53947000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1627857/000156459018006197/0001564590-18-006197-index.htm,https://www.sec.gov/Archives/edgar/data/1627857/000156459019008122/0001564590-19-008122-index.htm,https://www.sec.gov/Archives/edgar/data/1627857/000156459020006045/0001564590-20-006045-index.htm,https://www.sec.gov/Archives/edgar/data/1627857/000162828021003310/0001628280-21-003310-index.htm,https://www.sec.gov/Archives/edgar/data/1627857/000162785722000030/0001627857-22-000030-index.htm
102,false,,,,,,,
