,https://roic.ai/company/HRI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,7700000,9600000,11300000,13500000,- -
52,Other Current Liabilities,- -,118000000,102700000,89400000,88200000,105600000,112700000,124400000,140800000,211000000
53,Total Current Liabilities,- -,1174500000,758900000,282300000,242900000,290700000,299200000,323100000,328000000,529000000
54,Long-Term Debt,- -,356200000,406500000,53300000,2178600000,2137100000,2129900000,2051500000,2000100000,2303000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,700500000,713200000,727300000,692100000,462800000,448300000,459300000,474000000,536000000
57,Other Non-Current Liabilities,- -,23500000,27400000,32100000,32000000,148700000,160100000,338800000,44300000,145000000
58,Total Non-Current Liabilities,- -,1080200000,1147100000,812700000,2902700000,2748600000,2738300000,2849600000,2518400000,2984000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,112900000,116300000,333700000,425100000,- -
61,Total Liabilities,- -,2254700000,1906000000,1095000000,3145600000,3039300000,3037500000,3172700000,2846400000,3513000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4500000,4600000,4600000,300000,300000,300000,300000,300000,- -
64,Retained Earnings,- -,-806500000,-716800000,-605500000,-625200000,-462400000,-391100000,-351200000,-277500000,-53000000
65,Other Comprehensive Income/Loss,- -,-45700000,-102400000,-238400000,-118700000,-98600000,-122400000,-109700000,-107000000,-100000000
66,Other Total Stockholders Equity,- -,2725100000,2519900000,3151100000,1061300000,1071100000,1085900000,1104900000,1126200000,976000000
67,Total Stockholders Equity,- -,1877400000,1705300000,2311800000,317700000,510400000,572700000,644300000,742000000,976000000
68,Total Liabilities And Stockholders Equity,- -,4132100000,3611300000,3406800000,3463300000,3549700000,3610200000,3817000000,3588400000,4489000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000
70,Total Liabilities & Equity,- -,4132100000,3611300000,3406800000,3463300000,3549700000,3610200000,3817000000,3588400000,4490000000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1364479/000136447914000008/0001364479-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447915000013/0001364479-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447916000045/0001364479-16-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447917000008/0001364479-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447918000005/0001364479-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447919000004/0001364479-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447920000005/0001364479-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447921000008/0001364479-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447922000006/0001364479-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,61400000,98100000,89700000,111300000,-19700000,160300000,69100000,47500000,73700000,224000000
74,Depreciation and Amortization,361300000,394200000,415100000,420900000,395300000,430400000,444800000,470100000,466400000,432000000
75,Deferred Income Tax,9500000,33500000,33400000,22300000,12300000,-228400000,-10500000,10700000,11900000,53000000
76,Stock Based Compensation,4800000,5300000,1400000,2700000,5500000,10100000,13400000,19500000,16400000,23000000
77,Change in Working Capital,-45700000,-184500000,-93000000,366500000,39800000,55000000,-82600000,-24600000,-37500000,-99100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-29900000,- -,- -,- -
79,Inventory,-13500000,-7900000,-8200000,-11000000,-20300000,-2100000,1800000,- -,- -,- -
80,Accounts Payable,-2100000,42900000,-28800000,-5200000,9200000,-10000000,-1700000,-12900000,-6400000,22000000
81,Other Working Capital,- -,-184500000,-277500000,89000000,128800000,183800000,101200000,76600000,39100000,-60000000
82,Other Non-Cash Items,18900000,226100000,22600000,-425600000,200000,-85700000,124900000,112400000,80000000,111100000
83,Cash Provided by Operating Activities,410200000,572700000,469200000,498100000,433400000,341700000,559100000,635600000,610900000,744000000
84,CAPEX,-816900000,-734800000,-658200000,-676900000,-516100000,-576000000,-849000000,-695300000,-385500000,-48000000
85,Acquisitions Net,-196600000,- -,- -,126400000,- -,- -,- -,- -,-21100000,-431000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,244100000,145300000,185200000,160700000,69900000,98400000,204400000,174800000,157700000,-534000000
89,Cash Used for Investing Activites,-769400000,-589500000,-429300000,-389800000,-398400000,-403000000,-567000000,-463600000,-207500000,-961000000
90,Debt Repayment,-2565000000,-2344100000,-2434900000,-2218600000,-893400000,-605600000,-745800000,-2559800000,-938900000,-12000000
91,Common Stock Issued,4300000,5100000,3400000,- -,- -,1100000,2000000,- -,- -,- -
92,Common Stock Repurchased,- -,-554700000,- -,-604500000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14000000
94,Other Financing Activites,2898300000,2904000000,2397500000,2715900000,854700000,682000000,739600000,2392700000,532900000,245000000
95,Cash Used/Provided by Financing Activities,337600000,10300000,-34000000,-107200000,-38700000,77500000,-4200000,-167100000,-406000000,219000000
96,Effect of Forex Changes on Cash,-300000,-1300000,-2400000,-4300000,-400000,1300000,-1600000,300000,2600000,- -
97,Net Change In Cash,-21900000,-7800000,3500000,-3200000,-4100000,17500000,-13700000,5200000,- -,2000000
98,Cash at the End of Period,23200000,15400000,18900000,15700000,11600000,41500000,27800000,33000000,33000000,35000000
99,Cash at the Beginning of Period,45100000,23200000,15400000,18900000,15700000,24000000,41500000,27800000,33000000,33000000
100,Free Cash Flow,- -,-162100000,-189000000,-178800000,-82700000,-234300000,-289900000,-59700000,225400000,696000000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1364479/000144530513000446/0001445305-13-000446-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447914000008/0001364479-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447915000013/0001364479-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447916000045/0001364479-16-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447917000008/0001364479-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447918000005/0001364479-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447919000004/0001364479-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447920000005/0001364479-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447921000008/0001364479-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447922000006/0001364479-22-000006-index.htm
102,false,,,,,,,,,,
