,https://roic.ai/company/EVTC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,523833000,730709000,665680000,647579000,625745000,599667000,557251000,524056000,510947000,503443000,461241000
55,Deferred Revenue,- -,- -,- -,- -,10939000,17303000,23486000,26075000,28437000,31336000,36258000
56,Deferred Tax Liabilities,91431000,24614000,20212000,15674000,20614000,14978000,13820000,9950000,4261000,2748000,2369000
57,Other Non-Current Liabilities,449000,3072000,333000,2898000,12089000,16376000,13039000,14900000,52094000,39631000,21736000
58,Total Non-Current Liabilities,615713000,758395000,686225000,666151000,669387000,648324000,607596000,574981000,595739000,577158000,521604000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,30452000,28232000,22036000
61,Total Liabilities,680684000,855290000,808023000,770662000,771888000,777487000,754812000,711686000,740053000,730150000,674488000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,726000,728000,783000,779000,750000,726000,723000,723000,720000,721000,719000
64,Retained Earnings,3638000,70414000,29403000,65576000,95328000,116341000,148887000,228742000,296476000,379934000,506051000
65,Other Comprehensive Income/Loss,-1318000,-842000,426000,-6522000,-7582000,-12391000,-10848000,-23789000,-30009000,-48254000,-48123000
66,Other Total Stockholders Equity,363130000,52155000,80718000,59740000,9718000,- -,5350000,5783000,- -,5340000,7565000
67,Total Stockholders Equity,366176000,122455000,111330000,119573000,98214000,104676000,144112000,211459000,267187000,337741000,466212000
68,Total Liabilities And Stockholders Equity,1046860000,977745000,919353000,890235000,870102000,882163000,898924000,923145000,1007240000,1067891000,1140700000
69,Minority Interest,- -,- -,- -,- -,- -,3499000,3864000,4147000,4436000,4688000,4056000
70,Total Liabilities & Equity,1046860000,977745000,919353000,890235000,870102000,885662000,902788000,927292000,1011676000,1072579000,1144756000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1559865/000119312514102676/d634177d10k.htm,https://www.sec.gov/Archives/edgar/data/1559865/000119312515073450/d827106d10k.htm,https://www.sec.gov/Archives/edgar/data/1559865/000119312516604225/d55579d10k.htm,https://www.sec.gov/Archives/edgar/data/1559865/000119312517056193/0001193125-17-056193-index.html,https://www.sec.gov/Archives/edgar/data/1559865/000155986518000005/0001559865-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1559865/000155986519000018/0001559865-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1559865/000155986520000006/0001559865-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1559865/000155986521000009/0001559865-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1559865/000155986522000007/0001559865-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,24214000,77366000,-24621000,67532000,85377000,75036000,55054000,86270000,103469000,104436000,161130000
74,Depreciation and Amortization,69891000,71492000,70366000,65988000,64974000,59567000,64250000,63067000,74243000,77395000,80930000
75,Deferred Income Tax,-22083000,-66568000,-5702000,-1713000,-3090000,-4594000,-4306000,-4611000,-6391000,-3905000,-2826000
76,Stock Based Compensation,884000,1204000,6179000,4587000,5204000,6408000,9642000,12592000,13570000,14253000,14799000
77,Change in Working Capital,-4155000,-54189000,-38463000,35480000,2127000,-3120000,-7612000,57998000,52216000,74350000,-29748000
78,Accounts Receivable,3703000,-15966000,9243000,-6608000,-4482000,-2583000,-2099000,-18181000,-7851000,8397000,-18521000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1977000,6800000,-16734000,-2883000,7596000,14594000,-870000,16057000,-215000,-4032000,-394000
81,Other Working Capital,87267000,33078000,-5385000,30095000,32222000,29102000,21490000,79488000,131704000,206054000,-1738000
82,Other Non-Cash Items,620000,53359000,55108000,-31926000,7827000,34757000,28758000,-42582000,-57158000,-67440000,4135000
83,Cash Provided by Operating Activities,69371000,82664000,62867000,139948000,162419000,168054000,145786000,172734000,179949000,199089000,228420000
84,CAPEX,-23429000,-27509000,-28466000,-25944000,-46982000,-42269000,-33464000,-41319000,-59873000,-48640000,-66907000
85,Acquisitions Net,-9244000,- -,- -,- -,- -,-15600000,-42836000,- -,-5585000,- -,-14750000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2968000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-13540000,-10429000,-17458000,-15272000,-32046000,-20033000,-23974000,-27367000,-36760000,-31552000,-40999000
89,Cash Used for Investing Activites,-31747000,-27042000,-28944000,-26170000,-53068000,-54083000,-78100000,-41300000,-65347000,-48634000,-83820000
90,Debt Repayment,-39264000,-225000,-768844000,-47200000,-26542000,-98954000,-22162000,-614205000,-15136000,-32801000,-33695000
91,Common Stock Issued,2641000,450000,112461000,543000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-75000000,-26197000,-54949000,-39946000,-7671000,-10000000,-31822000,-7300000,-24388000
93,Dividends Paid,- -,-319959000,-16390000,-31359000,-30921000,-29696000,-21762000,-7273000,-14420000,-14382000,-14409000
94,Other Financing Activites,- -,233546000,710701000,64000,-306000,77798000,-17588000,526423000,-8849000,-8134000,-8793000
95,Cash Used/Provided by Financing Activities,-36623000,-86188000,-37072000,-104149000,-112718000,-90798000,-69183000,-105055000,-70227000,-62617000,-81285000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,2146000,1497000
97,Net Change In Cash,1001000,-30566000,-3149000,9629000,-3367000,23173000,-1497000,26379000,44375000,89984000,64812000
98,Cash at the End of Period,56200000,25634000,22485000,32114000,28747000,51920000,50423000,86746000,131121000,221105000,285917000
99,Cash at the Beginning of Period,55199000,56200000,25634000,22485000,32114000,28747000,51920000,60367000,86746000,131121000,221105000
100,Free Cash Flow,45942000,55155000,34401000,114004000,115437000,125785000,112322000,131415000,120076000,150449000,161513000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1559865/000119312514102676/d634177d10k.htm,https://www.sec.gov/Archives/edgar/data/1559865/000119312515073450/d827106d10k.htm,https://www.sec.gov/Archives/edgar/data/1559865/000119312516604225/d55579d10k.htm,https://www.sec.gov/Archives/edgar/data/1559865/000119312517056193/0001193125-17-056193-index.html,https://www.sec.gov/Archives/edgar/data/1559865/000155986518000005/0001559865-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1559865/000155986519000018/0001559865-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1559865/000155986520000006/0001559865-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1559865/000155986521000009/0001559865-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1559865/000155986522000007/0001559865-22-000007-index.htm
102,false,,,,,,,,,,,
