,https://roic.ai/company/GMRE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,54921,12313,3519,22244759,65328725,227319130,474571000,636099000,884934000,1100906000,1263485000
48,Accounts Payable,- -,- -,- -,- -,- -,573997,2020000,3664000,5069000,7279000,10344000
49,Short-Term Debt,- -,- -,- -,19634297,- -,66534298,- -,- -,347518000,521641000,514567000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,380,7880,19424,-19245144,1531026,-62349350,6674000,8011000,12739000,12470000,15668000
53,Total Current Liabilities,380,7880,19424,389153,1531026,4758945,8694000,11675000,365326000,541390000,540579000
54,Long-Term Debt,- -,- -,- -,19634297,63936307,66534298,203445000,315007000,38650000,64937000,65290000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,997509,3419000,9667000,20605000,36819000,20039000
58,Total Non-Current Liabilities,- -,- -,- -,19634297,63936307,67531807,206864000,324674000,59255000,101756000,85329000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,277917,1291000,2028000,3164000,8222000,8128000
61,Total Liabilities,380,7880,19424,20023450,65467333,72290752,215558000,336349000,424581000,643146000,625908000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,74959000,74959000,74959000,74959000,74959000
63,Common Stock,5500,5500,8000,250,250,17606,22000,26000,44000,49000,65000
64,Retained Earnings,-459,-50567,-95905,-790731,-3150648,-16986624,-34434000,-45007000,-71389000,-116773000,-157017000
65,Other Comprehensive Income/Loss,- -,- -,- -,-129081,- -,-3323915,-13594000,-3721000,-6674000,-18219000,-6636000
66,Other Total Stockholders Equity,49500,49500,72000,3140871,- -,175321311,219382000,243038000,433330000,504789000,711414000
67,Total Stockholders Equity,54541,4433,-15905,2221309,-138608,155028378,246335000,269295000,430270000,444805000,622785000
68,Total Liabilities And Stockholders Equity,54921,12313,3519,22244759,65328725,227319130,461893000,605644000,854851000,1087951000,1248693000
69,Minority Interest,- -,- -,- -,- -,- -,- -,12678000,30455000,30083000,12955000,14792000
70,Total Liabilities & Equity,54921,12313,3519,22244759,65328725,227319130,474571000,636099000,884934000,1100906000,1263485000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1533615/000107878212003029/0001078782-12-003029-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000107878213002376/0001078782-13-002376-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000107878214002308/f10k083114_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1533615/000114420417016702/0001144204-17-016702-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000114420418014101/0001144204-18-014101-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000114420419013170/0001144204-19-013170-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000110465920030832/0001104659-20-030832-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000155837021002560/0001558370-21-002560-index.htm,https://www.sec.gov/Archives/edgar/data/1533615/000155837022002518/0001558370-22-002518-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-50108,-45338,-652206,-1609247,-6353450,-38000,13490000,9234000,-1925000,17622000
74,Depreciation and Amortization,- -,- -,- -,129081,659671,2376986,10001000,17269000,24635000,36314000,46875000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,1684812,1796000,2671000,3336000,5319000,5810000
77,Change in Working Capital,- -,15000,-20338,-176016,8747102,8722961,-16373142,-2897000,-347432000,-170697000,1667862000
78,Accounts Receivable,- -,- -,- -,- -,2793,-212435,-492000,-2201000,-2142000,-1602000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-39509,1355000,1519000,857000,1562000,1924000
81,Other Working Capital,- -,4433,-15905,-191921,8555181,17278142,905000,-1992000,-349424000,-520121000,1147741000
82,Other Non-Cash Items,- -,- -,31882,552881,-8006327,-9154475,16217142,-5699000,346654000,165509000,-1669202000
83,Cash Provided by Operating Activities,- -,-35108,-33794,-146260,-208801,-2723166,11603000,24834000,36427000,34520000,68967000
84,CAPEX,- -,- -,- -,-21867065,- -,-150459250,-102000,29130000,-256809000,-218787000,-9405000
85,Acquisitions Net,- -,- -,- -,- -,- -,-140374,- -,- -,- -,-5093000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1069000
88,Other Investing Activites,- -,- -,- -,-14940,-32338990,242037,-331000,-151618000,-258197000,-218579000,-193596000
89,Cash Used for Investing Activites,- -,- -,- -,-21882005,-32338990,-150357587,-252653000,-151618000,-258197000,-223672000,-194665000
90,Debt Repayment,- -,- -,- -,-306858,-349435,-37978759,-430000,-70747000,-173311000,-64969000,-6177000
91,Common Stock Issued,- -,- -,25000,- -,- -,137288016,33795000,37307000,189498000,53088000,205522000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-263000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-42620,-255600,-3878489,-15976000,-24785000,-34993000,-45766000,-52500000
94,Other Financing Activites,- -,- -,- -,22537209,42248290,68136846,209099000,183001000,242918000,250367000,-19141000
95,Cash Used/Provided by Financing Activities,- -,- -,25000,22187731,41643255,163567614,226488000,124513000,224112000,192720000,127704000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-35108,-8794,159466,9095464,10486861,-14562000,-2271000,2342000,3568000,2006000
98,Cash at the End of Period,- -,12313,3519,162985,9184270,19671131,5109000,4843000,7185000,10753000,12759000
99,Cash at the Beginning of Period,- -,47421,12313,3519,88806,9184270,19671000,7114000,4843000,7185000,10753000
100,Free Cash Flow,- -,-35108,-33794,-146260,-208801,-153182416,-240617000,-156003000,-220382000,-184267000,59562000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1533615/000107878212003029/0001078782-12-003029-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000107878213002376/0001078782-13-002376-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000107878214002308/f10k083114_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1533615/000114420417016702/0001144204-17-016702-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000114420418014101/0001144204-18-014101-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000114420419013170/0001144204-19-013170-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000110465920030832/0001104659-20-030832-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000155837021002560/0001558370-21-002560-index.htm,https://www.sec.gov/Archives/edgar/data/1533615/000155837022002518/0001558370-22-002518-index.htm
102,false,,,,,,,,,,,
