,https://roic.ai/company/VNCE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-84580000,-38925000,-104948000,30700000,59717000,8313000,-68933000,58025000,-1802000,30494000,-63783000
21,Income Before Tax Ratio,-0.1442,-0.2221,-0.1482,0.1065,0.1754,0.0275,-0.2570,0.2129,-0.0050,0.0813,-0.2901
22,Income Tax expense (Gain),3507000,2997000,708000,7268000,23994000,3214000,93726000,-572000,54000,98000,1866000
23,Net Income,-104478000,-147866000,-107709000,-27400000,35723000,5099000,-162659000,58597000,-1958000,30396000,-65649000
24,Net Income ratio,-0.1781,-0.8437,-0.1521,-0.0951,0.1049,0.0169,-0.6065,0.2150,-0.0054,0.0810,-0.2986
25,EPS,-36.12,-51.11,-37.24,-8.88,8.79,1.27,-32.99,7.70,-0.17,2.60,-5.43
26,EPS Diluted,-36.12,-51.11,-37.24,-8.88,8.43,1.27,-32.99,7.70,-0.17,2.55,-5.43
27,Weighted Average Shares Outstanding,2892916,2892916,2892916,3103575,4053936,4058344,4924740,7605822,11619828,11665541,11769689
28,Weighted Average Shares Outstanding Diluted,2892916,2892916,2892916,3120476,4221081,4142092,4924740,7608427,11619828,11929299,11769689
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579157/000119312514130850/0001193125-14-130850-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000119312515109392/d880193d10k.htm,https://www.sec.gov/Archives/edgar/data/1579157/000156459016016221/0001564590-16-016221-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000156459017007764/0001564590-17-007764-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000156459018009069/0001564590-18-009069-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000156459019011520/0001564590-19-011520-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000156459020029028/vnce-10k_20200201.htm,https://www.sec.gov/Archives/edgar/data/1579157/000156459021022575/0001564590-21-022575-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1839000,1881000,21500000,112000,6230000,20978000,5372000,209000,466000,3777000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1839000,1881000,21500000,112000,6230000,20978000,5372000,209000,466000,3777000
34,Net Receivables,- -,100128000,109304000,40200000,33797000,9400000,10336000,20760000,38038000,40660000,31878000
35,Inventory,- -,73441000,74056000,34000000,37419000,36576000,38529000,48921000,71634000,66393000,68226000
36,Other Current Assets,- -,35846000,14551000,8000000,9812000,8027000,4768000,6521000,9634000,6725000,6703000
37,Total Current Assets,- -,211254000,199792000,103700000,81140000,60233000,74611000,81574000,119515000,114244000,110584000
38,PP&E,- -,18626000,17837000,13600000,28349000,37769000,42945000,31608000,29317000,119906000,109723000
39,Goodwill,- -,65876000,65876000,63700000,63746000,63746000,41435000,41435000,43564000,41435000,31973000
40,Intangible Assets,- -,149386000,146287000,110200000,109644000,109046000,77698000,77099000,100491000,81533000,76491000
41,Intangible Assets,- -,215262000,212163000,173900000,173390000,172792000,119133000,118534000,144055000,122968000,108464000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,99319000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,23303000,12332000,123100000,- -,92774000,2791000,2818000,4145000,5184000,4173000
45,Total Non-Current Assets,- -,257191000,242332000,310600000,301058000,303335000,164869000,152960000,177517000,248058000,222360000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,468445000,442124000,414300000,382198000,363568000,239480000,234534000,297032000,362302000,332944000
48,Accounts Payable,- -,74542000,71257000,23800000,29118000,28719000,37022000,22556000,40256000,43075000,40216000
49,Short-Term Debt,- -,88222000,79783000,- -,- -,- -,- -,8000000,2750000,23388000,22085000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,123007000,- -,92774000,- -,379000,1361000,102000,- -
52,Other Current Liabilities,- -,50639000,39006000,-108507000,35372000,-49845000,13419000,14242000,34854000,23712000,19919000
53,Total Current Liabilities,- -,213403000,190046000,38300000,64490000,71648000,50441000,45177000,79221000,90277000,82220000
54,Long-Term Debt,- -,934354000,761752000,170000000,88000000,57615000,48298000,40682000,42340000,48680000,181629000
55,Deferred Revenue,- -,- -,- -,- -,- -,14965000,16892000,15633000,14636000,- -,- -
56,Deferred Tax Liabilities,- -,60593000,49175000,3443000,- -,7139000,4991000,379000,203000,- -,1688000
57,Other Non-Current Liabilities,- -,3116000,2416000,169057000,157739000,133699000,132839000,57894000,61386000,92565000,1200000
58,Total Non-Current Liabilities,- -,998063000,813343000,342500000,245739000,213418000,203020000,114588000,118565000,141245000,184517000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,110849000,119229000
61,Total Liabilities,- -,1211466000,1003389000,380800000,310229000,285066000,253461000,159765000,197786000,231522000,266737000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,400000,367000,368000,494000,116000,116000,117000,118000
64,Retained Earnings,- -,-840171000,-947880000,-975300000,-939577000,-934478000,-1097137000,-1038624000,-1036188000,-1006381000,-1072030000
65,Other Comprehensive Income/Loss,- -,-63000,-66000,-65000,-65000,-65000,-65000,-65000,-65000,-103000,-128000
66,Other Total Stockholders Equity,- -,97212000,386680000,1008516000,1011244000,1012677000,1082727000,1113342000,1110237000,1137147000,1138247000
67,Total Stockholders Equity,- -,-743021000,-561265000,33551000,71969000,78502000,-13981000,74769000,74100000,130780000,66207000
68,Total Liabilities And Stockholders Equity,- -,468445000,442124000,414351000,382198000,363568000,239480000,234534000,271886000,362302000,332944000
69,Minority Interest,- -,- -,- -,-51000,- -,- -,- -,- -,25146000,- -,- -
70,Total Liabilities & Equity,- -,468445000,442124000,414300000,382198000,363568000,239480000,234534000,297032000,362302000,332944000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1579157/000119312514130850/0001193125-14-130850-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000119312515109392/d880193d10k.htm,https://www.sec.gov/Archives/edgar/data/1579157/000156459016016221/0001564590-16-016221-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000156459017007764/0001564590-17-007764-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000156459018009069/0001564590-18-009069-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000156459019011520/0001564590-19-011520-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000156459020029028/vnce-10k_20200201.htm,https://www.sec.gov/Archives/edgar/data/1579157/000156459021022575/0001564590-21-022575-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-104478000,-147866000,-107709000,-27400000,35723000,5099000,-162659000,58597000,-1958000,30396000,-65649000
74,Depreciation and Amortization,10293000,1701000,8390000,2785000,5267000,8350000,8684000,10098000,8138000,9602000,6898000
75,Deferred Income Tax,4091000,2979000,1410000,7225000,23248000,2745000,93444000,-379000,176000,101000,1687000
76,Stock Based Compensation,248000,- -,367000,347000,1896000,1259000,1344000,1138000,1335000,2033000,1275000
77,Change in Working Capital,-39899000,-5392000,11895000,55654000,-48750000,-28065000,35585000,12227000,3897000,-16327000,4397000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-28540000,-2592000,2053000,-15069000,-3463000,-15420000,-2792000,-11202000,-4350000,5252000,-1823000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,3243000,-2149000,9746000,65400000,16650000,-11415000,24170000,36397000,40294000,23967000,28364000
82,Other Non-Cash Items,85005000,110324000,59613000,-59312000,62882000,62240000,-6058000,-122068000,-8013000,-8986000,26321000
83,Cash Provided by Operating Activities,-44740000,-38254000,-26034000,-20701000,80266000,51628000,-29660000,-40387000,3575000,16819000,-25071000
84,CAPEX,-5327000,-1450000,-10138000,-10073000,-19699000,-17591000,-14287000,-3379000,-3070000,-4523000,-3497000
85,Acquisitions Net,-28719000,- -,21504000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-5302000,-69552000,-4043000,-16009000,-19699000,-17591000,-14287000,-3379000,-3070000,-4523000,-3497000
89,Cash Used for Investing Activites,-34021000,-69552000,17461000,-16009000,-19699000,-17591000,-14287000,-3379000,-3070000,-4523000,-3497000
90,Debt Repayment,-136636000,- -,-640995000,-346500000,-132500000,-143127000,-191167000,-421703000,-33000000,-20399000,-237722000
91,Common Stock Issued,- -,- -,- -,186000000,- -,- -,63773000,28973000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,203941000,104451000,649610000,216813000,50561000,115208000,186089000,420890000,27179000,8408000,269509000
95,Cash Used/Provided by Financing Activities,67305000,104451000,8615000,56313000,-81939000,-27919000,58695000,28160000,-5821000,-11991000,31787000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000,-7000
97,Net Change In Cash,-11456000,-3355000,42000,19603000,-21372000,6118000,14748000,-15606000,-5316000,285000,3131000
98,Cash at the End of Period,5194000,1839000,1881000,21484000,112000,6230000,20978000,5372000,129000,646000,3777000
99,Cash at the Beginning of Period,16650000,5194000,1839000,1881000,21484000,112000,6230000,20978000,5445000,361000,646000
100,Free Cash Flow,-50067000,-39704000,-36172000,-30774000,60567000,34037000,-43947000,-43766000,505000,12296000,-28568000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579157/000119312514130850/0001193125-14-130850-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000119312515109392/d880193d10k.htm,https://www.sec.gov/Archives/edgar/data/1579157/000156459016016221/0001564590-16-016221-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000156459017007764/0001564590-17-007764-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000156459018009069/0001564590-18-009069-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000156459019011520/0001564590-19-011520-index.html,https://www.sec.gov/Archives/edgar/data/1579157/000156459020029028/vnce-10k_20200201.htm,https://www.sec.gov/Archives/edgar/data/1579157/000156459021022575/0001564590-21-022575-index.htm
102,false,,,,,,,,,,,
