,https://roic.ai/company/DREM,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Income Before Tax,-680000,-130000,-80000,-110000,-140000,47913,-160284,-11776,19938,140949,17304,-203736
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,119.7825,-1497.9813,-0.0207,0.0068,0.0547,0.0056,-0.0643
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,7166,21525,31649,- -
23,Net Income,-680000,-130000,-80000,-110000,-140000,49825,-160284,-11776,12772,119424,-14345,-203736
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,124.5625,-1497.9813,-0.0207,0.0043,0.0464,-0.0046,-0.0643
25,EPS,-0.05,-0.01,-0.01,-0.01,-0.01,0.00,-0.01,-0.00,0.00,0.00,-0.00,-0.01
26,EPS Diluted,-0.05,-0.01,-0.01,-0.01,-0.01,0.00,-0.01,-0.00,0.00,0.00,-0.00,-0.01
27,Weighted Average Shares Outstanding,13080000,14750000,15350000,15350000,15630000,15902100,16253450,18760562,23917680,24000993,25291258,31664493
28,Weighted Average Shares Outstanding Diluted,13080000,14750000,15350000,15350000,15630000,15902100,16253450,18760562,23917680,24000993,25291258,31664493
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1518336/000149315215001702/0001493152-15-001702-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315215001724/0001493152-15-001724-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315215001742/0001493152-15-001742-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1518336/000149315216009618/0001493152-16-009618-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315217004048/0001493152-17-004048-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315219010810/0001493152-19-010810-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315219018290/0001493152-19-018290-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315220009677/0001493152-20-009677-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315221008933/0001493152-21-008933-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,20000,20000,- -,- -,- -,26773,2298,266709,248056,118687,233402,55519
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20000,20000,- -,- -,- -,26773,2298,266709,248056,118687,233402,55519
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,173358,304683,455065,783785,311672
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500,169308
37,Total Current Assets,20000,20000,- -,- -,- -,26773,2298,440067,552739,573752,1019687,536499
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,9144,10731,33501,24056
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,150000,270000,250000,150000,120000,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,150000,270000,250000,150000,120000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10000,10000,- -,- -,- -,87467,51334,20000,212329,395167,640441,- -
45,Total Non-Current Assets,160000,280000,250000,150000,120000,87467,51334,20000,221473,405898,673942,24056
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,180000,300000,250000,150000,120000,114240,53632,460067,774212,979650,1693629,560555
48,Accounts Payable,- -,- -,- -,- -,- -,10000,15500,94854,- -,317634,738322,332267
49,Short-Term Debt,- -,- -,- -,- -,- -,60322,68231,- -,14743,72243,168752,336725
50,Tax Payable,- -,- -,660,480,1140,1140,640,- -,7166,21525,53174,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,128252,254208,228661,- -
52,Other Current Liabilities,20000,- -,20000,30000,30000,1140,640,297857,403444,21525,60005,200680
53,Total Current Liabilities,20000,- -,20000,30000,30000,71462,84371,392711,546439,665610,1195740,869672
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250159
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250159
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,20000,- -,20000,30000,30000,71462,84371,392711,546439,665610,1195740,869672
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,20000,20000,20000,20000,15902,16304,23833,24203,24201,25879,31664
64,Retained Earnings,-680000,-810000,-890000,-1000000,-1140000,-1192272,-1352556,-1364332,-1351560,-1264305,-1396494,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-4155,-4155,-4115,-19536,-24449,-30679,- -
66,Other Total Stockholders Equity,830000,1080000,1090000,1110000,1210000,1223303,1309668,1411970,1574666,1578593,1899183,473250
67,Total Stockholders Equity,160000,290000,220000,130000,90000,42778,-30739,67356,227773,314040,497889,504914
68,Total Liabilities And Stockholders Equity,180000,290000,240000,160000,120000,114240,53632,460067,774212,979650,1693629,1374586
69,Minority Interest,- -,10000,10000,-10000,- -,- -,- -,- -,- -,- -,- -,-814031
70,Total Liabilities & Equity,180000,300000,250000,150000,120000,114240,53632,460067,774212,979650,1693629,560555
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1518336/000149315215001702/0001493152-15-001702-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315215001724/0001493152-15-001724-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315215001742/0001493152-15-001742-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1518336/000149315216009618/0001493152-16-009618-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315217004048/0001493152-17-004048-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315219010810/0001493152-19-010810-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315219018290/0001493152-19-018290-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315220009677/0001493152-20-009677-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315221008933/0001493152-21-008933-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-680000,-130000,-80000,-110000,-140000,49825,-160284,-11776,12772,119424,-14345,-203736
74,Depreciation and Amortization,- -,- -,- -,- -,- -,32800,31800,51334,2656,4913,6230,8445
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,19500,66864,- -,88194,197900
77,Change in Working Capital,- -,20000,-40000,-10000,- -,-14689,-37384,129429,-41056,-98158,-84195,-157120
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-115652,-114693,-238029,-61332,98878
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,312548,-73369,475235,-399782
81,Other Working Capital,- -,20000,-20000,-30000,-30000,-44689,-82073,47356,6300,-91858,-176053,-333173
82,Other Non-Cash Items,680000,100000,100000,120000,140000,-94005,135134,70706,74583,-52338,231143,-31616
83,Cash Provided by Operating Activities,- -,-10000,-20000,- -,- -,-26069,-30734,259193,115819,-26159,227027,-186127
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-137272,-6500,-274274,-174590
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-15000,-2200,-150838,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-15000,-139472,-157338,-274274,-174590
90,Debt Repayment,- -,- -,- -,- -,- -,-16404,-32996,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,1050,- -,- -,1100,- -,5000,- -,- -,- -
92,Common Stock Repurchased,10000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,20000,-10000,1478,3508,545,69069,38155,20218,- -,57500,161962,182834
95,Cash Used/Provided by Financing Activities,30000,10000,- -,- -,- -,52665,6259,20218,5000,57500,161962,182834
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,20000,- -,-20000,- -,- -,26596,-24475,264411,-18653,-125997,114715,-177883
98,Cash at the End of Period,20000,20000,- -,- -,- -,26773,2298,266709,248056,118687,233402,55519
99,Cash at the Beginning of Period,- -,20000,20000,- -,- -,177,26773,2298,266709,244684,118687,233402
100,Free Cash Flow,- -,-10000,-20000,- -,- -,-26069,-30734,259193,-21453,-32659,-47247,-360717
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1518336/000149315215001702/0001493152-15-001702-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315215001724/0001493152-15-001724-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315215001742/0001493152-15-001742-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1518336/000149315216009618/0001493152-16-009618-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315217004048/0001493152-17-004048-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315219010810/0001493152-19-010810-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315219018290/0001493152-19-018290-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315220009677/0001493152-20-009677-index.htm,https://www.sec.gov/Archives/edgar/data/1518336/000149315221008933/0001493152-21-008933-index.htm
102,false,,,,,,,,,,,,
