,https://roic.ai/company/HQY,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,Weighted Average Shares Outstanding,7757000,43394000,31181000,56719000,58615000,60304000,61836000,67026000,74235000,74235000
28,Weighted Average Shares Outstanding Diluted,45847000,48598000,51856000,58863000,59894000,61854000,63370000,68453000,75679000,75679000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1428336/000142833615000007/hqy-2015x01x3110k.htm,https://www.sec.gov/Archives/edgar/data/1428336/000142833616000041/0001428336-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833617000006/0001428336-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833618000009/0001428336-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833619000006/0001428336-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833620000012/0001428336-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833621000011/0001428336-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1428336/000142833622000009/0001428336-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,13917000,111005000,83641000,139954000,199472000,361475000,191726000,328803000,225414000
32,Short-Term Investments,- -,- -,- -,40134000,40405000,40797000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,13917000,111005000,123775000,180359000,240269000,361475000,191726000,328803000,225414000
34,Net Receivables,- -,5705000,9054000,14308000,17001000,21602000,25668000,70863000,72767000,87428000
35,Inventory,- -,391000,625000,620000,592000,215000,- -,- -,- -,- -
36,Other Current Assets,- -,3743000,4035000,4345000,2867000,3310000,7534000,34711000,58607000,38495000
37,Total Current Assets,- -,23756000,124719000,143048000,200819000,265396000,394677000,297300000,460177000,351337000
38,PP&E,- -,1992000,2577000,3506000,5170000,7836000,8223000,116664000,118614000,86985000
39,Goodwill,- -,4651000,4651000,4651000,4651000,4651000,4651000,1332631000,1327193000,1645836000
40,Intangible Assets,- -,24691000,26541000,66840000,65020000,83635000,79666000,783279000,767003000,973137000
41,Intangible Assets,- -,29342000,31192000,71491000,69671000,88286000,84317000,2115910000,2094196000,2618973000
42,Investments,- -,- -,281000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,1615000,5461000,1677000,18000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,1750000,1861000,2180000,21122000,35089000,37420000,49807000
45,Total Non-Current Assets,- -,31334000,34050000,76747000,78317000,103763000,115339000,2267681000,2250230000,2755765000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,55090000,158769000,219795000,279136000,369159000,510016000,2564981000,2710407000,3107102000
48,Accounts Payable,- -,2368000,1303000,2431000,3221000,2420000,3520000,3980000,1614000,27541000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,51464000,76537000,20921000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,7061000,7528000,9675000,12482000,18070000,25533000,96493000,126550000,104725000
53,Total Current Liabilities,- -,9429000,8831000,12106000,15703000,20490000,29053000,151937000,204701000,153187000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,1181615000,998441000,987309000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,5078000,5355000,3996000,37000,- -,916000,130492000,119729000,99846000
57,Other Non-Current Liabilities,- -,6575000,488000,236000,1456000,2395000,2968000,70642000,8808000,-139002000
58,Total Non-Current Liabilities,- -,11653000,5843000,4232000,1493000,2395000,3884000,1382749000,1126978000,948153000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,80418000,88261000,- -
61,Total Liabilities,- -,21082000,14674000,16338000,17196000,22885000,32937000,1534686000,1331679000,1101340000
62,Preferred Stock,- -,54843000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,5000,6000,6000,6000,6000,7000,8000,8000
64,Retained Earnings,- -,-23170000,-13004000,3609000,29985000,85300000,171850000,211514000,220348000,176059000
65,Other Comprehensive Income/Loss,- -,-2506000,-3259000,-98000,-165000,-269000,- -,-15757000,- -,- -
66,Other Total Stockholders Equity,- -,4840000,160353000,199940000,232114000,261237000,305223000,834531000,1158372000,1852567000
67,Total Stockholders Equity,- -,34008000,144095000,203457000,261940000,346274000,477079000,1030295000,1378728000,1852575000
68,Total Liabilities And Stockholders Equity,- -,55090000,158769000,219795000,279136000,369159000,510016000,2564981000,2710407000,2953915000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,153187000
70,Total Liabilities & Equity,- -,55090000,158769000,219795000,279136000,369159000,510016000,2564981000,2710407000,3107102000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1428336/000142833615000007/hqy-2015x01x3110k.htm,https://www.sec.gov/Archives/edgar/data/1428336/000142833616000041/0001428336-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833617000006/0001428336-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833618000009/0001428336-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833619000006/0001428336-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833620000012/0001428336-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833621000011/0001428336-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1428336/000142833622000009/0001428336-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,11169000,1233000,10166000,16613000,26376000,47362000,73899000,39664000,8834000,-44289000
74,Depreciation and Amortization,3365000,4270000,5890000,8601000,13186000,15952000,18185000,55352000,115904000,137188000
75,Deferred Income Tax,-4905000,3552000,1593000,-2178000,-2891000,4306000,408000,3665000,-5132000,-23430000
76,Stock Based Compensation,47000,57000,2525000,5883000,8398000,14310000,21057000,39844000,42863000,52750000
77,Change in Working Capital,1965000,14287000,101561000,15054000,54174000,59790000,120718000,-220261000,110113000,-57326000
78,Accounts Receivable,571000,-1546000,-3380000,-5174000,-2728000,-4734000,-4306000,-5009000,-413000,-11204000
79,Inventory,18000,-118000,-234000,5000,28000,377000,- -,- -,- -,- -
80,Accounts Payable,245000,1492000,-1156000,1011000,567000,-581000,863000,-3839000,- -,-2178000
81,Other Working Capital,40000,14327000,115888000,130942000,185116000,244906000,365624000,145363000,255476000,198150000
82,Other Non-Cash Items,129000,-5384000,-106689000,-17432000,-53652000,-60018000,-120845000,186746000,-90963000,76102000
83,Cash Provided by Operating Activities,11770000,18015000,15046000,26541000,45591000,81702000,113422000,105010000,181619000,140995000
84,CAPEX,-2737000,-5439000,-8132000,-49761000,-12675000,-33383000,-15042000,-42074000,-96964000,-71616000
85,Acquisitions Net,- -,- -,- -,- -,- -,-2882000,- -,-1644575000,- -,-504533000
86,Purchases of Investments,- -,- -,-305000,-40791000,-379000,-483000,-728000,-53845000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,41422000,- -,- -,- -
88,Other Investing Activites,-2706000,-3044000,- -,- -,- -,- -,- -,- -,-83871000,-125806000
89,Cash Used for Investing Activites,-3537000,-4639000,-8437000,-90552000,-13054000,-36748000,25652000,-1740494000,-96964000,-639247000
90,Debt Repayment,-7568000,-2167000,- -,- -,- -,- -,- -,-7813000,-239063000,-1003125000
91,Common Stock Issued,- -,- -,132587000,23492000,- -,- -,- -,458495000,286779000,9754000
92,Common Stock Repurchased,- -,-3371000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-694000,-50347000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,110000,868000,8239000,13155000,23776000,14564000,22929000,1015053000,4706000,1388234000
95,Cash Used/Provided by Financing Activities,-7458000,-5364000,90479000,36647000,23776000,14564000,22929000,1465735000,52422000,394863000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,775000,8012000,97088000,-27364000,56313000,59518000,162003000,-169749000,137077000,-103389000
98,Cash at the End of Period,5905000,13917000,111005000,83641000,139954000,199472000,361475000,191726000,328803000,225414000
99,Cash at the Beginning of Period,5130000,5905000,13917000,111005000,83641000,139954000,199472000,361475000,191726000,328803000
100,Free Cash Flow,9033000,12576000,6914000,-23220000,32916000,48319000,98380000,62936000,84655000,69379000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1428336/000142833615000007/hqy-2015x01x3110k.htm,https://www.sec.gov/Archives/edgar/data/1428336/000142833616000041/0001428336-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833617000006/0001428336-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833618000009/0001428336-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833619000006/0001428336-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833620000012/0001428336-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1428336/000142833621000011/0001428336-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1428336/000142833622000009/0001428336-22-000009-index.htm
102,false,,,,,,,,,,
