,https://roic.ai/company/BRG,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,- -,5387147,150999257,121238865,294747000,614530000,1083048000,1473362000,1784558000,2076862000,2147043000,2530000
46,Other Assets,1933286,6874763,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2600000,7000000,5916882,156631431,172526092,346086000,702762000,1241322000,1690547000,2018135000,2340697000,2489937000,2599333000
48,Accounts Payable,219882,200000,119899,747339,2397495,634000,587000,1669000,1652000,1486000,1488000,1317000,3824000
49,Short-Term Debt,- -,4834578,- -,11935830,7571223,- -,- -,- -,67670000,82209000,18000000,33000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,-4434578,2326545,4364599,37440817,6598000,11661000,23168000,38814000,44489000,41830000,45447000,- -
53,Total Current Liabilities,219882,600000,2446444,17047768,47409535,7232000,12248000,24837000,108136000,128184000,61318000,79764000,3824000
54,Long-Term Debt,2800000,4800000,3834578,96099690,79034338,212843000,383637000,710575000,939494000,1206136000,1425257000,1529705000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,69165000,213349000,356739000,468872000,678461000,800668000,1433882000
58,Total Non-Current Liabilities,2800000,4800000,3834578,96099690,79034338,212843000,452802000,923924000,1296233000,1675008000,2103718000,2330373000,1433882000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2800000,5400000,6281022,113147458,126443873,220075000,465050000,948761000,1404369000,1803192000,2165036000,2410137000,1437706000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,69165000,282109000,425444000,537577000,747166000,867535000,- -
63,Common Stock,- -,63334,31885,394775,24138,87000,196000,196000,243000,234000,235000,221000,274000
64,Retained Earnings,-400000,-3000000,-7871210,-5142197,-9770468,-21213000,-41496000,-84631000,-164286000,-218531000,-253132000,-313392000,- -
65,Other Comprehensive Income/Loss,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,200000,4436666,7475185,16157964,21747723,113511000,248484000,257403000,318170000,307938000,311683000,304710000,129119000
67,Total Stockholders Equity,-200000,1700000,-364140,11410542,12001393,92385000,276349000,455077000,579571000,627218000,805952000,859074000,129393000
68,Total Liabilities And Stockholders Equity,2600000,7100000,5916882,124558000,138445266,312460000,741399000,1403838000,1983940000,2430410000,2970988000,3269211000,1567099000
69,Minority Interest,- -,-100000,- -,32073431,34080826,33626000,-38637000,-162516000,-293393000,-412275000,-630291000,-779274000,1032234000
70,Total Liabilities & Equity,2600000,7000000,5916882,156631431,172526092,346086000,702762000,1241322000,1690547000,2018135000,2340697000,2489937000,2599333000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1442626/000089180410001306/0000891804-10-001306-index.html,https://www.sec.gov/Archives/edgar/data/1442626/000089180411001390/0000891804-11-001390-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420412014550/0001144204-12-014550-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420413014747/0001144204-13-014747-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420414009657/0001144204-14-009657-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420415013992/0001144204-15-013992-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420416084083/0001144204-16-084083-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420417010274/0001144204-17-010274-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420418014420/0001144204-18-014420-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420419010607/0001144204-19-010607-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000110465920024324/0001104659-20-024324-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000110465921026811/0001104659-21-026811-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000141057822000341/0001410578-22-000341-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-400000,-2306870,-4315331,3920841,-2971001,-5172000,1788000,-4329000,-15645000,-1152000,36743000,30640000,105154000
74,Depreciation and Amortization,- -,- -,- -,2836042,5812776,13231000,16747000,32435000,51146000,67004000,74055000,82993000,75877000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,56875,68125,81250,88750,3129000,5864000,8801000,16044000,7407000,8975000,10051000,13512000
77,Change in Working Capital,30000,-921595,-1441946,-9498885,15293286,40229308,31877000,57453000,-24388000,-3656000,97124000,60613000,2344448000
78,Accounts Receivable,- -,-82679,-1758,249357,-1006554,27000,-5647000,-1867000,294000,-2029000,-4484000,-15718000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,465861,74068,887933,2015017,1308000,3202000,7500000,16432000,7784000,- -,6254000,- -
81,Other Working Capital,446832,-474763,-1916709,-11415594,3877692,44107000,75984000,133437000,109049000,105393000,202517000,263130000,2607578000
82,Other Non-Cash Items,180000,2301485,4637459,612268,-17979547,-46272308,-39568000,-59916000,27090000,-5148000,-153566000,-109822000,-2538991000
83,Cash Provided by Operating Activities,-190000,-870105,-1051693,-2048484,244264,5145000,16708000,34444000,54247000,64455000,63331000,74475000,- -
84,CAPEX,- -,- -,- -,- -,- -,-7967000,-3670000,-6413000,-46971000,-21240000,-21446000,-17119000,- -
85,Acquisitions Net,- -,-5455647,-63901,2951165,4439244,-11454000,-61445000,-42445000,-11390000,-30066000,-47117000,22274000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-124547000
88,Other Investing Activites,-2560000,- -,- -,-13802890,-20983533,-77631000,-227265000,-470458000,-507260000,-376812000,-263444000,-49276000,- -
89,Cash Used for Investing Activites,-2560000,-5455647,-63901,-10851725,-16544289,-89085000,-288710000,-512903000,-518650000,-406878000,-310561000,-27002000,- -
90,Debt Repayment,- -,-3006655,-1150000,-4074012,- -,-468000,-12911000,-68746000,-42581000,-349950000,-472422000,-558971000,- -
91,Common Stock Issued,- -,4313442,2840424,8895956,1019230,76864000,131321000,51000,57376000,25000,5325000,1994000,- -
92,Common Stock Repurchased,- -,- -,-63334,-271772,-98425,- -,- -,-101000,-666000,-9160000,-14366000,-130789000,- -
93,Dividends Paid,- -,-129374,-366163,-695466,-1152639,-5771000,-20127000,-34101000,-55625000,-48966000,-59925000,-74954000,- -
94,Other Financing Activites,2740000,5086713,150000,11414096,16726481,33390000,219620000,594443000,458867000,738128000,787142000,783440000,- -
95,Cash Used/Provided by Financing Activities,2740000,6264126,1410927,15268802,16494647,104015000,317903000,491546000,417371000,330077000,245754000,20720000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-10000,-61626,295333,2368593,194622,20075000,45901000,13087000,-47032000,-12346000,-1476000,68193000,- -
98,Cash at the End of Period,-10000,125237,420570,2789163,2983785,23059000,68960000,82047000,35015000,52244000,50768000,118961000,- -
99,Cash at the Beginning of Period,- -,186863,125237,420570,2789163,2984000,23059000,68960000,82047000,64590000,52244000,50768000,118961000
100,Free Cash Flow,-190000,-870105,-1051693,-2048484,244264,-2822000,13038000,28031000,7276000,43215000,41885000,57356000,- -
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1442626/000089180410001306/0000891804-10-001306-index.html,https://www.sec.gov/Archives/edgar/data/1442626/000089180411001390/0000891804-11-001390-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420412014550/0001144204-12-014550-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420413014747/0001144204-13-014747-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420414009657/0001144204-14-009657-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420415013992/0001144204-15-013992-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420416084083/0001144204-16-084083-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420417010274/0001144204-17-010274-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420418014420/0001144204-18-014420-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420419010607/0001144204-19-010607-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000110465920024324/0001104659-20-024324-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000110465921026811/0001104659-21-026811-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000141057822000341/0001410578-22-000341-index.htm
102,false,,,,,,,,,,,,,
