,https://roic.ai/company/BLCM,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,-2047483,-366338,-804123,-5421000,-7220000,-12134000,-1617000,-522000,1265000,900
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-101649000,-33276000,-54895000,-59335000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,20617000,42548000,63737000,71362000,49379000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,39000,- -,- -,12815000,-7
89,Cash Used for Investing Activites,-2047483,-366338,-804123,-86453000,2052000,-3253000,10410000,48857000,14080000,893
90,Debt Repayment,- -,-200000,-1186475,-4000,-15000,-32711000,-31000,-47000,-37155000,-35
91,Common Stock Issued,- -,- -,160608750,347000,- -,64860000,64860000,8977000,22901000,- -
92,Common Stock Repurchased,- -,-6653,-5055906,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-155394,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3515779,17721062,84334952,475000,20943000,46337000,3280000,65158000,16000,32908
95,Cash Used/Provided by Financing Activities,3515779,17514409,238545927,818000,20928000,78486000,68109000,74088000,-14238000,32873
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-98000,-228000,-12000,1
97,Net Change In Cash,-6275327,9535501,180434026,-121361000,-27461000,2249000,3639000,45148000,-56820000,-36948343
98,Cash at the End of Period,1632084,11167585,191601611,70241000,42780000,45029000,48668000,93816000,36996000,47657
99,Cash at the Beginning of Period,7907411,1632084,11167585,191602000,70241000,42780000,45029000,48668000,93816000,36996000
100,Free Cash Flow,-9791106,-7978908,-58111901,-41147000,-57661000,-85118000,-76399000,-78091000,-55385000,-22206
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1358403/000156459015001868/0001564590-15-001868-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840316000158/0001358403-16-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840317000050/0001358403-17-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840318000037/0001358403-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840319000038/0001358403-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840320000007/0001358403-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000162828021006164/0001628280-21-006164-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000162828022007196/0001628280-22-007196-index.htm
102,false,,,,,,,,,,
