,https://roic.ai/company/CVAT,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,56250000,56250000,56250000,76940694,114739605,139150615,159195686,160479640,160625090,183378917,193997906,195053401,197148043,196997906,196997906,197224988
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1376793/000125529408000437/0001255294-08-000437-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1376793/000113626113000452/0001136261-13-000452-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000113626114000448/0001136261-14-000448-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000114420416111526/0001144204-16-111526-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000114420417022889/0001144204-17-022889-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000114420417056303/0001144204-17-056303-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000114420418053809/0001144204-18-053809-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000168316819003250/0001683168-19-003250-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000168316820003422/0001683168-20-003422-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000168316821004823/0001683168-21-004823-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,45000,- -,- -,5038,270,14779,137249,241976,1226508,1478565,657396,548585,945000,649000,759000,1363000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,45000,- -,- -,5038,270,14779,137249,241976,1226508,1478565,657396,548585,945000,649000,759000,1363000
34,Net Receivables,- -,- -,- -,- -,- -,- -,23853,- -,- -,- -,- -,- -,- -,240000,104000,6000
35,Inventory,- -,- -,- -,- -,- -,92475,141057,107735,116644,135599,153811,143136,34000,57000,47000,25000
36,Other Current Assets,5000,- -,- -,2341,3158,3337,- -,3125,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,50000,- -,- -,7379,3428,110591,302159,352836,1343152,1614164,811207,691721,979000,946000,910000,1394000
38,PP&E,- -,- -,- -,62753,69605,159344,135615,166068,137095,100372,122641,140606,90000,65000,384000,427000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,92284,118153,123158,- -,67473,37166,16336,2904,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,92284,118153,123158,70315,67473,37166,16336,2904,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,9500,81183,9500,9500,9500,9500,9500,9500,9500,10000,10000,10000,10000
45,Total Non-Current Assets,- -,- -,- -,72253,243072,286997,268273,245883,214068,147038,148477,153010,100000,75000,394000,437000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,50000,- -,- -,79632,246500,397588,570432,598719,1557220,1761202,959684,844731,1079000,1021000,1304000,1831000
48,Accounts Payable,- -,- -,- -,- -,- -,143949,187095,227869,173110,198686,171029,245452,307000,187000,316000,342000
49,Short-Term Debt,- -,- -,- -,836917,636497,598962,752880,79347,- -,- -,- -,- -,- -,- -,54000,58000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,994033,889000,892000,- -,- -
51,Deferred Revenue,- -,- -,- -,26000,50761,53484,283977,- -,- -,- -,- -,748819,427000,760000,368000,727000
52,Other Current Liabilities,4000,6200,6200,382615,318886,341490,1310452,2418033,1766134,2638071,1431430,995180,890000,893000,694000,668000
53,Total Current Liabilities,4000,6200,6200,1245532,1006144,1137885,2534404,2725249,1939244,2836757,1602459,1989451,1624000,1840000,1432000,1795000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,362000,447000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,362000,447000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312000,251000
61,Total Liabilities,4000,6200,- -,1245532,1006144,1137885,2534404,2725249,1939244,2836757,1602459,1989451,1624000,1840000,1794000,2242000
62,Preferred Stock,- -,- -,- -,111,111,111,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2500,2500,- -,29661,130582,153800,165971,158441,177906,184968,193998,196798,196998,197000,197000,208000
64,Retained Earnings,-5000,-63200,- -,-5344598,-13547060,-16848488,-18780902,-19769028,-21953515,-23332441,-22899661,-23966606,-23383000,-24106000,-23978000,-24627000
65,Other Comprehensive Income/Loss,- -,- -,- -,-12619,-29587,-52322,- -,-158209,-230436,-289909,-329205,-366740,-418000,-459000,-558000,- -
66,Other Total Stockholders Equity,48500,54500,- -,4161545,12686310,16006602,16650959,17642266,21624021,22361827,22392093,22991828,23059002,23549000,23849000,24008000
67,Total Stockholders Equity,46000,-6200,-19200,-1165900,-759644,-740297,-1963972,-2126530,-382024,-1075555,-642775,-1144720,-545000,-819000,-490000,-411000
68,Total Liabilities And Stockholders Equity,50000,- -,- -,79632,246500,397588,570432,598719,1557220,1761202,959684,844731,1079000,1021000,1304000,1831000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,50000,- -,- -,79632,246500,397588,570432,598719,1557220,1761202,959684,844731,1079000,1021000,1304000,1831000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1376793/000125529408000437/0001255294-08-000437-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1376793/000113626113000452/0001136261-13-000452-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000113626114000448/0001136261-14-000448-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000114420416111526/0001144204-16-111526-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000114420417022889/0001144204-17-022889-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000114420417056303/0001144204-17-056303-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000114420418053809/0001144204-18-053809-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000168316819003250/0001683168-19-003250-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000168316820003422/0001683168-20-003422-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000168316821004823/0001683168-21-004823-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-5000,-58200,-58200,-2495991,-8196462,-3295428,-1928128,-988126,-2184487,-1378926,432780,-1066945,-250000,-723000,128000,-649000
74,Depreciation and Amortization,- -,- -,- -,7212,16968,21123,159527,142935,100693,89780,60126,50967,51000,41000,99000,85000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,307512,- -,2617192,356970,- -,- -,- -,- -,- -,- -,449000,- -,- -
77,Change in Working Capital,- -,-52200,- -,-1231953,235437,-24578,-1204951,-140168,1776321,-626501,431341,-506478,652730,-249000,372000,418000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000,-240000,131000,98000
79,Inventory,- -,- -,- -,- -,- -,-53056,-48581,-55553,-45302,-41807,-37004,10675,109000,-23000,10000,22000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74423,61000,-120000,-75000,26000
81,Other Working Capital,46000,-6200,-6200,-1238153,-1002716,-1027294,-2232245,-2372413,-596092,-1222593,-791252,-1297730,-645000,-894000,-522000,359000
82,Other Non-Cash Items,- -,59200,58200,2417928,6918296,67503,2385689,1694266,339383,1814956,-1683851,1469145,-57730,202000,-543000,-104000
83,Cash Provided by Operating Activities,-5000,-51200,- -,-995292,-1025761,-614188,-230893,708907,31910,-100691,-759604,-53311,396000,-280000,56000,-250000
84,CAPEX,- -,- -,- -,-44660,-187787,-123366,-53574,-120545,-68878,-22750,-61565,-55500,- -,-16000,-50000,-128000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-163967,-123366,-31022,-30487,-25624,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-44660,-187787,-123366,-53574,-120545,-68878,-22750,-61565,-55500,- -,-16000,-50000,-128000
90,Debt Repayment,- -,- -,- -,-35000,-132167,-62640,-136834,-511175,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,50000,- -,300000,1231947,572741,35000,- -,1021500,375498,- -,- -,- -,- -,- -,728000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-25460,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,50000,-43800,6200,469061,109000,241962,508771,53000,- -,- -,- -,- -,- -,- -,104000,254000
95,Cash Used/Provided by Financing Activities,50000,6200,6200,734061,1208780,752063,406937,-483635,1021500,375498,- -,- -,- -,- -,104000,982000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-305891,-4768,14509,122470,104727,984532,252057,-821169,-108811,396000,-296000,110000,604000
98,Cash at the End of Period,- -,- -,- -,5038,270,14779,137249,241976,1226508,1478565,657396,548585,945000,649000,759000,1363000
99,Cash at the Beginning of Period,- -,45000,- -,310929,5038,270,14779,137249,241976,1226508,1478565,657396,549000,945000,649000,759000
100,Free Cash Flow,-5000,-51200,- -,-1039952,-1213548,-737554,-284467,588362,-36968,-123441,-821169,-108811,396000,-296000,6000,-378000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1376793/000125529408000437/0001255294-08-000437-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1376793/000113626113000452/0001136261-13-000452-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000113626114000448/0001136261-14-000448-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000114420416111526/0001144204-16-111526-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000114420417022889/0001144204-17-022889-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000114420417056303/0001144204-17-056303-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000114420418053809/0001144204-18-053809-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000168316819003250/0001683168-19-003250-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000168316820003422/0001683168-20-003422-index.htm,https://www.sec.gov/Archives/edgar/data/1376793/000168316821004823/0001683168-21-004823-index.htm
102,false,,,,,,,,,,,,,,,,
