,https://roic.ai/company/BLDP,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155324000,51911000,48106000,48106000,48106000,48106000,48106000,36291000,36291000,36291000,40562000,40562000,40562000,40287000,40287000,40277000,64268000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,32055198,28515804,355383000,356663000,353670000,217240000,37588000,23701000,4303000,3726000,824000,2975000,2249000,4194000,2716000,24151000,16329000,18083000,17950000,8285000,5687000,3764000,20788000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,32055198,28515804,355383000,356663000,353670000,217240000,192912000,75612000,52409000,51832000,48930000,51081000,50355000,40485000,39007000,60442000,56891000,58645000,58512000,48572000,45974000,44041000,85056000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,8000000,3000000,2000000,632000,673000,635000,667000,157000,6000,6000,1191000,681000,13994000,21647000,27566000,70292000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,75352,- -,-100000,- -,87000000,117900000,77313061,79407593,27450000,29895000,17016000,96836000,-38000,-2421000,19135000,-235000,50000,1930000,1309000,781000,394000,167000,135000,156000,348000,321000,336000,343000,348000
45,Total Non-Current Assets,2335920,3000000,6800000,12700000,103200000,147200000,153863950,165786115,491839000,484457000,456371000,380922000,261919000,128885000,117450000,92352000,88932000,90390000,87384000,66249000,59503000,77300000,73757000,75693000,74855000,84507000,110793000,121284000,211757000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,21324693,28800000,35400000,78200000,238300000,446000000,426787638,706657268,959319000,917803000,834835000,659171000,524874000,350038000,298691000,208443000,195348000,189788000,165290000,127547000,120214000,127949000,161331000,183446000,177657000,346100000,340319000,975599000,1440943000
48,Accounts Payable,2185216,3600000,6100000,8000000,10000000,14300000,15135567,19396588,17862000,46749000,42946000,24574000,24655000,5459000,2202000,6274000,6670000,8453000,10195000,5256000,5698000,6031000,9030000,5970000,13181000,6924000,14884000,9070000,13689000
49,Short-Term Debt,904227,1600000,- -,900000,100000,100000,62932,78011,- -,- -,- -,- -,- -,- -,- -,- -,316000,681000,5565000,13325000,1965000,1537000,1515000,1090000,652000,631000,2445000,2691000,3238000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302000,354000,456000,244000,378000,317000,412000,277000,362000,398000,388000,1084000,906000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1944000,4492000,3890000,2662000,811000,1814000,169000,947000,1607000,2506000,3560000,3705000,6160000,1798000,6085000,20621000,8082000,16681000,20156000,9888000,12109000
52,Other Current Liabilities,3918318,7600000,3500000,3900000,11500000,14700000,17257264,17927391,58067000,25637000,32936000,41936000,16451000,26731000,20525000,19386000,21464000,23451000,22212000,17805000,12605000,15535000,13558000,15365000,17509000,23473000,27031000,30442000,54123000
53,Total Current Liabilities,7007761,12800000,9600000,12800000,21600000,29100000,32455763,37401989,77873000,76878000,79772000,69172000,41917000,34004000,22896000,26607000,30057000,35091000,41532000,40091000,26428000,24901000,30188000,43046000,39424000,47709000,64516000,52091000,83159000
54,Long-Term Debt,1431693,1000000,800000,400000,400000,300000,230749,127017,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1592000,- -,- -,- -,- -,- -,- -,- -,- -,- -,13882000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9036000,5653000,5193000,4734000,4274000,3829000,3398000,2982000,2566000,2150000,1734000,1318000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3578000
57,Other Non-Current Liabilities,75352,- -,100000,- -,-100000,- -,- -,3994533,7723000,11408000,13360000,14908000,10142000,10941000,17606000,20502000,6371000,17786000,24168000,24261000,18798000,19540000,15700000,15459000,15396000,13225000,23390000,20887000,10789000
58,Total Non-Current Liabilities,1507045,1000000,900000,400000,300000,300000,230749,4121550,7723000,11408000,13360000,14908000,10142000,10941000,17606000,20502000,6371000,26822000,31413000,29454000,23532000,23814000,19529000,18857000,18378000,15791000,25540000,22621000,29567000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2055000,14035000,14727000,14054000,12171000,10234000,7734000,6997000,6881000,5695000,19751000,17873000,17120000
61,Total Liabilities,8514807,13800000,10500000,13200000,21900000,29400000,32686512,41523539,85596000,88286000,93132000,84080000,52059000,44945000,40502000,47109000,36428000,61913000,72945000,69545000,49960000,48715000,49717000,61903000,57802000,63500000,90056000,74712000,112726000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,835358000,836245000,837686000,845630000,866574000,914786000,948213000,977707000,986497000,1174889000,1182660000,1884735000,2416256000
64,Retained Earnings,-9343682,-12600000,-18300000,-22700000,-20400000,-18300000,-70788146,-125546748,-214369000,-362100000,-487857000,-663264000,-750247000,-931384000,-988686000,-954607000,-960712000,-995669000,-1031279000,-1074181000,-1091187000,-1121671000,-1127655000,-1149128000,-1157382000,-1184400000,-1223850000,-1275516000,-1387579000
65,Other Comprehensive Income/Loss,-2712682,-3600000,-3100000,-3400000,-5300000,-7700000,-12764142,-18847515,-27676000,-236000,-236000,-236000,-236000,-236000,-236000,-236000,-236000,-236000,209000,92000,9000,280000,567000,718000,204000,851000,813000,907000,1721000
66,Other Total Stockholders Equity,24866250,31200000,46300000,91100000,242100000,442600000,477653414,809527991,1115768000,1239056000,1296196000,1302356000,1293591000,1308219000,1321593000,1195315000,284510000,287948000,288704000,290871000,296250000,288533000,293332000,295547000,290536000,291260000,290640000,290761000,297819000
67,Total Stockholders Equity,12809886,15000000,24900000,65000000,216400000,416600000,394101126,665133729,873723000,824791000,741703000,575091000,472815000,305093000,258189000,161334000,158920000,128288000,95320000,62412000,71646000,81928000,114457000,124844000,119855000,282600000,250263000,900887000,1328217000
68,Total Liabilities And Stockholders Equity,21324693,28800000,35400000,78200000,238300000,446000000,426787638,706657268,959319000,913077000,834835000,659171000,524874000,350038000,298691000,208443000,195348000,190201000,168265000,131957000,121606000,130643000,164174000,186747000,177657000,346100000,340319000,975599000,1440943000
69,Minority Interest,-0,- -,- -,- -,- -,- -,- -,- -,- -,4726000,- -,- -,- -,- -,- -,- -,- -,-413000,-2975000,-4410000,-1392000,-2694000,-2843000,-3301000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,21324693,28800000,35400000,78200000,238300000,446000000,426787638,706657268,959319000,917803000,834835000,659171000,524874000,350038000,298691000,208443000,195348000,189788000,165290000,127547000,120214000,127949000,161331000,183446000,177657000,346100000,340319000,975599000,1440943000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1453015/000091228210000381/0000912282-10-000381-index.html,- -,https://www.sec.gov/Archives/edgar/data/1453015/000120677412000792/0001206774-12-000792-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000120677413001066/0001206774-13-001066-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1453015/000120677416004654/0001206774-16-004654-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000120677417000667/0001206774-17-000667-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000145301518000005/0001453015-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000145301519000005/0001453015-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000145301520000010/0001453015-20-000010-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2335920,-3700000,-5400000,-4500000,1400000,500000,-51224386,-57174627,-96161000,-147731000,-125092000,-175407000,-86983000,-181137000,-57302000,34079000,-3258000,-34936000,-33420000,-42135000,-19964000,-27868000,-5815000,-21687000,-8048000,-27323000,-39050000,-51377000,-114233000
74,Depreciation and Amortization,753523,1000000,1000000,1500000,3100000,5500000,7041355,8964196,14638000,50602000,54421000,45313000,29234000,23131000,18080000,8021000,9504000,8564000,5906000,6184000,5731000,5610000,4375000,4544000,5064000,5015000,7514000,7558000,9752000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3033000,4057000,2646000,2746000,3775000,2249000,2950000,3024000,3125000,2902000,3561000,6237000,9669000
77,Change in Working Capital,3616909,2900000,-2900000,200000,3200000,10600000,-9385810,6708895,14134000,-16493000,9680000,4120000,-17333000,-12331000,-13674000,8910000,8494000,3488000,-6723000,-5940000,-5379000,-5001000,-6049000,8509000,-12267000,-17282000,-107000,-17124000,-11600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6084000,-65000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,678170,100000,-1400000,200000,800000,-3400000,-1403476,-5997800,-3884000,1912000,833000,8051000,-790000,-2040000,-196000,4457000,1356000,-2350000,-1293000,4434000,-2904000,1464000,-5550000,-2339000,-572000,-12932000,-787000,1355000,-22996000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,-1953000,-1032000,-4620000,-36000,315000,1712000,536000,171000,504000,-1996000,601000,11931000,-10095000,12499000,4903000,-11122000,1158000
82,Other Non-Cash Items,-150705,-100000,-1500000,-7300000,-17500000,-18300000,8170130,1831244,12601000,-12824000,18225000,47717000,-1647000,127667000,21212000,-77219000,-44735000,-10485000,-1630000,10999000,-1579000,4339000,-20825000,1706000,2358000,5000000,13852000,11772000,26236000
83,Cash Provided by Operating Activities,1883807,100000,-8800000,-10100000,-9800000,-1700000,-45398711,-39670292,-54788000,-126446000,-42766000,-78257000,-76729000,-42670000,-31684000,-26209000,-26962000,-29312000,-33221000,-28146000,-17416000,-20671000,-25364000,-3904000,-9768000,-31688000,-14230000,-42934000,-80476000
84,CAPEX,-678170,-1900000,-5300000,-7300000,-7500000,-17500000,-17661824,-21404856,-18329000,-20340000,-5714000,-7087000,-6613000,-8735000,-6379000,-3560000,-6778000,-3453000,-4107000,-1168000,-485000,-4240000,-3886000,-6881000,-6444000,-9854000,-13934000,-12866000,-14701000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-27714000,-343000,-1879000,- -,- -,- -,- -,- -,- -,877000,- -,-32000,9081000,- -,-2308000,-180000,-1019000,-14606000,-20949000,-22515000,-19508000
86,Purchases of Investments,-8364102,-3600000,- -,-400000,-11500000,-43700000,-123716681,-139283581,-14444000,-2603000,-2016000,-5249000,-33280000,-45616000,-3290000,-6212000,-12754000,-185000,- -,- -,-4000,- -,- -,- -,-47000,- -,- -,- -,-51757000
87,Sales/Maturities of Investments,- -,- -,5700000,- -,- -,- -,- -,- -,21512000,140838000,90624000,- -,- -,- -,29439000,64921000,- -,17738000,- -,- -,12068000,- -,- -,- -,- -,- -,- -,- -,336000
88,Other Investing Activites,-75352,- -,- -,- -,-90000000,-47800000,- -,-27806709,3832000,4191000,1133000,12000,25073000,3558000,-145000,-61114000,39182000,23367000,332000,14225000,231000,-3411000,27872000,8150000,-2348000,1345000,2137000,-1258000,-1543000
89,Cash Used for Investing Activites,-9117625,-5500000,400000,-7700000,-109000000,-109000000,-141378506,-188495145,-35143000,121743000,82148000,-12324000,-14820000,-50793000,19625000,-5965000,19650000,38344000,-3775000,13025000,20891000,-4240000,23282000,5192000,-6482000,-23115000,-32746000,-36393000,-85630000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000,-770000,-830000,-999000,-9729000,-923000,-845000,-1042000,-607000,-598000,-2053000,-2517000,-2798000
91,Common Stock Issued,9946500,6700000,15000000,51500000,158500000,236900000,3999658,337923079,49683000,101239000,1519000,1234000,50668000,5943000,- -,- -,5000,91000,40000,17000,21490000,365000,18376000,28199000,3598000,183672000,- -,694608000,527291000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-207000,-559000,-327000,-6000,-6000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-753523,500000,800000,400000,14100000,5600000,1924910,25132353,-77000,-77000,-35000,-4000,1052000,- -,- -,36920000,-3243000,844000,6245000,5633000,5165000,19093000,556000,3843000,2025000,3062000,4624000,4438000,2415000
95,Cash Used/Provided by Financing Activities,9192977,7200000,15800000,51900000,172600000,242500000,5924568,363055432,49606000,101162000,1484000,1230000,51720000,5943000,- -,36920000,-3475000,-394000,5128000,4645000,16920000,18535000,18087000,31000000,5016000,186136000,2571000,696529000,526908000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-195000,- -,- -,- -,- -,- -,- -,- -,- -,- -,247000,-70000,136000,-254000,373000,291000,-1139000,647000,-38000,-1564000,-337000
97,Net Change In Cash,1959159,- -,- -,- -,- -,131700000,-180852649,134888994,-40520000,96459000,40866000,-89351000,-39829000,-87520000,-12059000,4746000,-10787000,8638000,-31621000,-10546000,20531000,-6630000,16378000,32579000,-12373000,131980000,-44443000,615638000,360465000
98,Cash at the End of Period,6103534,- -,- -,- -,- -,225100000,59698186,192549686,140774000,237233000,278099000,188748000,148919000,61399000,49340000,54086000,43299000,51937000,20316000,9770000,30301000,23671000,40049000,72628000,60255000,192235000,147792000,763430000,1123895000
99,Cash at the Beginning of Period,4144375,5800000,7800000,15200000,47300000,93400000,240550835,57660692,181294000,140774000,237233000,278099000,188748000,148919000,61399000,49340000,54086000,43299000,51937000,20316000,9770000,30301000,23671000,40049000,72628000,60255000,192235000,147792000,763430000
100,Free Cash Flow,1205636,-1800000,-14100000,-17400000,-17300000,-19200000,-63060535,-61075148,-73117000,-146786000,-48480000,-85344000,-83342000,-51405000,-38063000,-29769000,-33740000,-32765000,-37328000,-29314000,-17901000,-24911000,-29250000,-10785000,-16212000,-41542000,-28164000,-55800000,-95177000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1453015/000091228210000381/0000912282-10-000381-index.html,- -,https://www.sec.gov/Archives/edgar/data/1453015/000120677412000792/0001206774-12-000792-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000120677413001066/0001206774-13-001066-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1453015/000120677416004654/0001206774-16-004654-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000120677417000667/0001206774-17-000667-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000145301518000005/0001453015-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000145301519000005/0001453015-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000145301520000010/0001453015-20-000010-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
