,https://roic.ai/company/CDTI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
17,Operating Income,-3812000,-3885000,-2663000,-2500000,-2036000,-936000,-2672000,-3245000,-4291000,-5231000,-5558000,-5034000,-8891000,-7204000,-3869000,-6523000,-7837000,-4266000,-7625000,-10319000,-15658000,-5884000
18,Operating Income ratio,-Infinity,-19.4250,-53.2600,-17.8571,-3.5103,-0.5850,-6.0727,-5.6930,-5.8781,-6.4580,-4.9625,-1.0211,-1.1886,-5.9049,-0.0804,-0.1059,-0.1295,-0.0824,-0.1849,-0.2597,-0.4250,-0.2075
19,Total Other Income Expenses (Gains),322000,125000,-317000,60000,36000,-174000,32000,-5000,161000,-199000,178000,494000,-479000,454000,-5461000,-407000,-2223000,-2237000,-1350000,1498000,-8774000,686000
20,Income Before Tax,-3490000,-3760000,-2980000,-2440000,-2000000,-1110000,-2640000,-3250000,-4130000,-5430000,-5380000,-4540000,-9370000,-6750000,-9330000,-6930000,-10060000,-6503000,-8975000,-8821000,-24432000,-5198000
21,Income Before Tax Ratio,-Infinity,-18.8000,-59.6000,-17.4286,-3.4483,-0.6937,-6.0000,-5.7018,-5.6575,-6.7037,-4.8036,-0.9209,-1.2527,-5.5328,-0.1939,-0.1125,-0.1662,-0.1255,-0.2177,-0.2220,-0.6632,-0.1833
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,290000,-370000,340000,138000,-399000,-958000,85000
23,Net Income,-3490000,-3760000,-2980000,-2440000,-2000000,-1110000,-2640000,-3250000,-4130000,-5430000,-5380000,-4540000,-9370000,-6750000,-8380000,-7310000,-9660000,-7098000,-9336000,-8534000,-23474000,-5283000
24,Net Income ratio,-Infinity,-18.8000,-59.6000,-17.4286,-3.4483,-0.6937,-6.0000,-5.7018,-5.6575,-6.7037,-4.8036,-0.9209,-1.2527,-5.5328,-0.1741,-0.1186,-0.1596,-0.1370,-0.2264,-0.2148,-0.6372,-0.1863
25,EPS,-972.14,-1048.76,-831.43,-1240.82,-722.06,-757.11,-161.24,-182.27,-182.27,-210.31,-147.22,-92.54,-161.24,-116.37,-158.20,-30.61,-31.31,-20.10,-18.23,-12.62,-17.95,-1.59
26,EPS Diluted,-972.14,-1048.76,-831.43,-1240.82,-722.06,-757.11,-161.24,-182.27,-182.27,-210.31,-147.22,-92.54,-161.24,-116.37,-158.20,-30.65,-31.31,-20.10,-18.23,-12.62,-17.95,-1.59
27,Weighted Average Shares Outstanding,3589,3589,3696,3700,3753,3961,16288,18146,22924,26231,37172,49113,58043,58107,52979,238534,309273,354549,513529,676147,1306719,3368756
28,Weighted Average Shares Outstanding Diluted,3589,3589,3696,3700,3753,3961,16288,18146,22924,26231,37172,49113,58043,58107,52979,238534,309273,354549,513529,676147,1306719,3368756
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949428/000101540204005640/0001015402-04-005640-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949428/000114036108006956/form10k.htm,https://www.sec.gov/Archives/edgar/data/949428/000114036109007185/0001140361-09-007185-index.html,https://www.sec.gov/Archives/edgar/data/949428/000114036110013546/0001140361-10-013546-index.html,https://www.sec.gov/Archives/edgar/data/949428/000095012311031472/v59112e10vk.htm,https://www.sec.gov/Archives/edgar/data/949428/000119312512140114/0001193125-12-140114-index.html,https://www.sec.gov/Archives/edgar/data/949428/000151316213000242/0001513162-13-000242-index.html,https://www.sec.gov/Archives/edgar/data/949428/000151316214000192/cdti10k_20131.htm,https://www.sec.gov/Archives/edgar/data/949428/000151316215000156/cdti10k.htm,https://www.sec.gov/Archives/edgar/data/949428/000104746916011746/0001047469-16-011746-index.html,https://www.sec.gov/Archives/edgar/data/949428/000094942817000002/cdti-123116x10k.htm,https://www.sec.gov/Archives/edgar/data/949428/000094942818000004/0000949428-18-000004-index.html
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3270000,1239000,1663000,900000,541000,4023000,2083000,6515000,4265000,4513000,5314000,1517000,3976000,2772000,5007000,3471000,6878000,3909000,7220000,2958000,7839000,2807000
32,Short-Term Investments,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7100000,6413000,11725000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5270000,1239000,1663000,900000,541000,4023000,2083000,6515000,4265000,4513000,5314000,8617000,10389000,14497000,5007000,3471000,6878000,3909000,7220000,2958000,7839000,2807000
34,Net Receivables,- -,- -,- -,- -,50000,197000,284000,115000,145000,613000,2512000,1927000,637000,148000,5456000,11695000,5470000,5524000,2875000,4255000,5398000,2097000
35,Inventory,103000,205000,219000,300000,287000,296000,314000,320000,387000,285000,365000,1093000,974000,1059000,5364000,10288000,8697000,5919000,6298000,7918000,7125000,2647000
36,Other Current Assets,222000,238000,58000,100000,87000,96000,76000,73000,71000,94000,96000,234000,219000,294000,1818000,1664000,1757000,1462000,2130000,1568000,968000,667000
37,Total Current Assets,5595000,1682000,1940000,1300000,965000,4612000,2757000,7023000,4868000,5505000,8287000,11871000,12219000,15998000,17645000,27118000,22802000,16814000,18523000,16699000,21330000,8218000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,126000,200000,175000,91000,175000,296000,294000,2884000,2649000,2000000,1459000,1357000,1538000,1158000,714000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4579000,5955000,6087000,5870000,5177000,4659000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,274000,418000,567000,603000,817000,1027000,1083000,7294000,4999000,4369000,3508000,2662000,1901000,1483000,1051000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,274000,418000,567000,603000,817000,1027000,1083000,11873000,10954000,10456000,9378000,7839000,6560000,1483000,1051000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,5127000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,554000,644000
44,Other Non-Current Assets,82000,68000,45000,- -,92000,46000,222000,18000,27000,27000,37000,-200000,78000,57000,246000,394000,183000,718000,620000,305000,305000,187000
45,Total Non-Current Assets,82000,68000,45000,- -,92000,46000,222000,418000,645000,769000,731000,12792000,6528000,1434000,15003000,13997000,12639000,11555000,9816000,8403000,3500000,2596000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5677000,1750000,1985000,1300000,1057000,4658000,2979000,7441000,5513000,6274000,9018000,24663000,18747000,17432000,32648000,41115000,35441000,28369000,28339000,25102000,24830000,10814000
48,Accounts Payable,- -,- -,- -,700000,400000,558000,223000,427000,391000,487000,330000,757000,501000,301000,4588000,5952000,5608000,5370000,3022000,5012000,5979000,2059000
49,Short-Term Debt,745000,100000,- -,- -,- -,250000,- -,- -,- -,- -,- -,- -,3013000,7693000,2431000,4527000,5576000,2258000,2841000,3513000,3261000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,455000,840000,238000,1264000,1459000,534000,642000,789000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,650000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,741000,794000,686000,- -,- -,- -,- -,441000,- -,9000,740000,906000,542000,675000,7734000,4639000,4536000,7060000,7648000,8388000,6987000,4374000
53,Total Current Liabilities,1486000,894000,686000,700000,400000,808000,223000,868000,391000,496000,1070000,1663000,4056000,8669000,14753000,15768000,15720000,14688000,13511000,16913000,16227000,6433000
54,Long-Term Debt,- -,395000,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1456000,- -,7478000,7549000,7476000,7559000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1096000,942000,797000,686000,359000,193000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-100000,308000,368000,418000,- -,- -,- -,- -,- -,- -,- -,- -,4537000,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,395000,- -,-100000,808000,368000,418000,- -,- -,- -,- -,- -,- -,- -,2552000,5479000,8275000,8235000,7835000,7752000,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1486000,1289000,686000,600000,1208000,1176000,641000,868000,391000,496000,1070000,1663000,4056000,8669000,17305000,21247000,23995000,22923000,21346000,24665000,16227000,6433000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,125000,126000,127000,100000,133000,561000,598000,784000,858000,1303000,1658000,- -,81000,82000,40000,72000,73000,93000,142000,178000,157000,158000
64,Retained Earnings,-7089000,-10853000,-13837000,-18400000,-21134000,-24137000,-26779000,-30024000,-34167000,-39593000,-44977000,-49512000,-58885000,-65632000,-157720000,-164961000,-174621000,-181719000,-191055000,-199589000,-223063000,-228346000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-123000,-188000,-259000,4000,-16000,-406000,-381000,-239000,-716000,-112000,-1036000,-2865000,-5387000,-6329000,-5886000
66,Other Total Stockholders Equity,11155000,11188000,15009000,19000000,20850000,27058000,28519000,35936000,38619000,44327000,51263000,72933000,73901000,74694000,173262000,185473000,186106000,188108000,200771000,205235000,237838000,238455000
67,Total Stockholders Equity,4191000,461000,1299000,700000,-151000,3482000,2338000,6573000,5122000,5778000,7948000,23000000,14691000,8763000,15343000,19868000,11446000,5446000,6993000,437000,8603000,4381000
68,Total Liabilities And Stockholders Equity,5677000,1750000,1985000,1300000,1057000,4658000,2979000,7441000,5513000,6274000,9018000,24663000,18747000,17432000,32648000,41115000,35441000,28369000,28339000,25102000,24830000,10814000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5677000,1750000,1985000,1300000,1057000,4658000,2979000,7441000,5513000,6274000,9018000,24663000,18747000,17432000,32648000,41115000,35441000,28369000,28339000,25102000,24830000,10814000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949428/000101540204005640/0001015402-04-005640-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949428/000114036108006956/form10k.htm,https://www.sec.gov/Archives/edgar/data/949428/000114036109007185/0001140361-09-007185-index.html,https://www.sec.gov/Archives/edgar/data/949428/000114036110013546/0001140361-10-013546-index.html,https://www.sec.gov/Archives/edgar/data/949428/000095012311031472/v59112e10vk.htm,https://www.sec.gov/Archives/edgar/data/949428/000119312512140114/0001193125-12-140114-index.html,https://www.sec.gov/Archives/edgar/data/949428/000151316213000242/0001513162-13-000242-index.html,https://www.sec.gov/Archives/edgar/data/949428/000151316214000192/cdti10k_20131.htm,https://www.sec.gov/Archives/edgar/data/949428/000151316215000156/cdti10k.htm,https://www.sec.gov/Archives/edgar/data/949428/000104746916011746/0001047469-16-011746-index.html,https://www.sec.gov/Archives/edgar/data/949428/000094942817000002/cdti-123116x10k.htm,https://www.sec.gov/Archives/edgar/data/949428/000094942818000004/0000949428-18-000004-index.html
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3490000,-3760000,-2980000,-2440000,-2000000,-1110000,-2640000,-3250000,-4130000,-5430000,-5380000,-4540000,-9370000,-6750000,-8380000,-7310000,-9660000,-7098000,-9336000,-8534000,-23474000,-5283000
74,Depreciation and Amortization,12000,24000,26000,20000,10000,102000,34000,81000,132000,163000,138000,112000,142000,184000,1356000,1748000,1430000,1286000,1007000,924000,780000,680000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-686000,-134000,-171000,-69000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1444000,735000,275000,1495000,532000,671000,639000,767000,1631000,421000
77,Change in Working Capital,-73000,-65000,58000,-100000,58000,94000,-323000,420000,-408000,218000,552000,-2049000,172000,440000,3932000,-9836000,5957000,2988000,-1981000,-1380000,1637000,-296000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,661000,646000,3008000,-6532000,6409000,-399000,2024000,-1705000,-1124000,3368000
79,Inventory,-88000,-102000,-14000,-100000,34000,-9000,-18000,-6000,-76000,59000,-107000,-750000,119000,-85000,1841000,-5232000,483000,2130000,-1359000,-2483000,965000,2056000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-788000,1458000,-428000,-62000,-1932000,2790000,1894000,-6226000
81,Other Working Capital,-84000,- -,- -,- -,- -,- -,- -,- -,-306000,- -,- -,56000,-48000,-8000,- -,- -,- -,- -,- -,312000,-669000,52000
82,Other Non-Cash Items,31000,26000,47000,20000,60000,189000,93000,5000,94000,93000,373000,2321000,849000,-323000,-761000,-586000,1752000,1791000,-261000,-3358000,12422000,-855000
83,Cash Provided by Operating Activities,-3520000,-3775000,-2849000,-2500000,-1872000,-725000,-2836000,-2744000,-4312000,-4956000,-4317000,-4156000,-6763000,-5714000,-4264000,-14623000,-160000,-431000,-9932000,-11581000,-7004000,-5333000
84,CAPEX,-76000,-10000,-3000,- -,-7000,-17000,-88000,-85000,-164000,-85000,-20000,-467000,-511000,-247000,-422000,-619000,-236000,-142000,-454000,-661000,-146000,-24000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3916000,- -,- -,-449000,1419000,- -,- -,3337000
86,Purchases of Investments,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18825000,- -,- -,- -,- -,- -,-710000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7100000,- -,- -,- -,129000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,2000000,- -,- -,- -,- -,-122000,-192000,-186000,-235000,-94000,- -,-299000,-123000,1587000,88000,18000,449000,299000,208000,79000,- -
89,Cash Used for Investing Activites,-2076000,1990000,-3000,- -,-7000,-17000,-210000,-277000,-350000,-320000,-114000,-19292000,6589000,-247000,5081000,-531000,-89000,-852000,1264000,-453000,-67000,3313000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55000,-5670000,-2569000,-11000,-3217000,- -,- -,-2055000,-3458000
91,Common Stock Issued,- -,4000,- -,1800000,1028000,3724000,1356000,7453000,2409000,5524000,5228000,19839000,- -,59000,- -,10181000,- -,1839000,9923000,7115000,10200000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2018000,-250000,3276000,- -,500000,500000,-250000,- -,3000,- -,- -,-168000,3023000,4735000,7663000,6181000,3746000,-4000,2091000,671000,3990000,164000
95,Cash Used/Provided by Financing Activities,2018000,-246000,3276000,1800000,1528000,4224000,1106000,7453000,2412000,5524000,5228000,19671000,3023000,4739000,1993000,13793000,3735000,-1382000,12014000,7786000,12135000,-3294000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000,-20000,-390000,18000,-139000,-175000,-79000,-304000,-35000,-14000,-183000,282000
97,Net Change In Cash,-3578000,-2031000,424000,-800000,-351000,3482000,-1940000,4432000,-2250000,248000,801000,-3797000,2459000,-1204000,2671000,-1536000,3407000,-2969000,3311000,-4262000,4881000,-5032000
98,Cash at the End of Period,3270000,1239000,1663000,900000,541000,4023000,2083000,6515000,4265000,4513000,5314000,1517000,3976000,2772000,5007000,3471000,6878000,3909000,7220000,2958000,7839000,2807000
99,Cash at the Beginning of Period,6848000,3270000,1239000,1700000,892000,541000,4023000,2083000,6515000,4265000,4513000,5314000,1517000,3976000,2336000,5007000,3471000,6878000,3909000,7220000,2958000,7839000
100,Free Cash Flow,-3596000,-3785000,-2852000,-2500000,-1879000,-742000,-2924000,-2829000,-4476000,-5041000,-4337000,-4623000,-7274000,-5961000,-4686000,-15242000,-396000,-573000,-10386000,-12242000,-7150000,-5357000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949428/000101540204005640/0001015402-04-005640-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949428/000114036108006956/form10k.htm,https://www.sec.gov/Archives/edgar/data/949428/000114036109007185/0001140361-09-007185-index.html,https://www.sec.gov/Archives/edgar/data/949428/000114036110013546/0001140361-10-013546-index.html,https://www.sec.gov/Archives/edgar/data/949428/000095012311031472/v59112e10vk.htm,https://www.sec.gov/Archives/edgar/data/949428/000119312512140114/0001193125-12-140114-index.html,https://www.sec.gov/Archives/edgar/data/949428/000151316213000242/0001513162-13-000242-index.html,https://www.sec.gov/Archives/edgar/data/949428/000151316214000192/cdti10k_20131.htm,https://www.sec.gov/Archives/edgar/data/949428/000151316215000156/cdti10k.htm,https://www.sec.gov/Archives/edgar/data/949428/000104746916011746/0001047469-16-011746-index.html,https://www.sec.gov/Archives/edgar/data/949428/000094942817000002/cdti-123116x10k.htm,https://www.sec.gov/Archives/edgar/data/949428/000094942818000004/0000949428-18-000004-index.html
102,false,,,,,,,,,,,,,,,,,,,,,,
