,https://roic.ai/company/CTK,2016,2017,2018,2019,2020,2021
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-30706599,-23660913,10147465,-36846061,-47366729,-13877000
74,Depreciation and Amortization,555762,899018,1153606,3005008,3769273,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,727213,876560,2359471,3662485,5337041,- -
77,Change in Working Capital,988172,-7461126,9433240,9911026,37068107,- -
78,Accounts Receivable,-1807077,-9622450,-12578516,-7868673,524312,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1769190,1611991,19354959,12964414,33692043,- -
81,Other Working Capital,199533,47668,-158401,3431816,1320706,- -
82,Other Non-Cash Items,- -,1297309,12223,4603263,340550,-37166000
83,Cash Provided by Operating Activities,-28435452,-28049152,23106005,-15664279,-851758,-51043000
84,CAPEX,-758735,-1489567,-3533121,-4760874,-2919854,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-500032,-571352,-13306518,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,13522756,- -
88,Other Investing Activites,-72658,-268845,378111,-4759575,59321,-1779000
89,Cash Used for Investing Activites,-831393,-1758412,-3655042,-5330927,-2644295,-1779000
90,Debt Repayment,-679246,-4016257,-3261936,-5112762,-31018904,- -
91,Common Stock Issued,- -,- -,45930274,326503,- -,- -
92,Common Stock Repurchased,- -,-3451616,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,51986206,21869493,-2499167,989775,22518670,20900000
95,Cash Used/Provided by Financing Activities,51306960,14401620,40169171,-3796484,-8500234,20900000
96,Effect of Forex Changes on Cash,-540980,1087561,-1786459,-102194,1652970,731000
97,Net Change In Cash,21499135,-14318383,57833675,-24893884,-10343317,-31191000
98,Cash at the End of Period,41344623,27026240,84859915,59966031,49622714,18431000
99,Cash at the Beginning of Period,19845488,41344623,27026240,84859915,59966031,49622000
100,Free Cash Flow,-29194187,-29538719,19572884,-20425153,-3771612,-51043000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1734262/000110465919021220/a19-6246_120f.htm,https://www.sec.gov/Archives/edgar/data/1734262/000110465920048703/a20-5664_120f.htm,- -,- -
102,false,,,,,,
