,https://roic.ai/company/IFNY,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,4510000,4620000,5300000,6830000,8570000,3280000,6190000,- -,42600000,46430000,53150000,78040000,51540000,38530000,2640000,3160000,3110000,3840000,4430000,10480000,- -,- -,- -,- -,- -,- -,- -,820923
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,370000,320000,270000,250000,240000,- -,300000,- -,5300000,3950000,1500000,2510000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,370000,320000,270000,250000,240000,- -,300000,- -,5300000,3950000,1500000,2510000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,9000000,10890000,- -,- -,- -,- -,- -,- -,17000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,50000,- -,- -,80000,- -,140000,130000,- -,2250000,1720000,330000,160000,1050000,-15910000,210000,180000,- -,- -,- -,- -,9628100,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,4930000,4940000,5570000,7160000,8810000,12420000,17510000,- -,50150000,52100000,54980000,80710000,52590000,39620000,2850000,3340000,3110000,3840000,4430000,10480000,9628100,- -,- -,- -,- -,- -,- -,820923
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5870000,6060000,6450000,7830000,9590000,13260000,19380000,- -,53130000,55270000,64050000,94280000,56300000,42300000,3330000,3550000,3120000,4550000,4470000,10490000,9664810,3730,12340,6260,1370,1790,86042,1105601
48,Accounts Payable,- -,140000,270000,510000,990000,730000,520000,510000,- -,2880000,2650000,4000000,5040000,7830000,5470000,1500000,2870000,3420000,3280000,1110000,5710000,5960230,5975680,5965330,6005410,6040950,6091450,1190309,975842
49,Short-Term Debt,- -,1400000,100000,300000,600000,657204,610419,2174066,- -,2227195,1762777,283978,572000,48000,22000000,- -,- -,10687397,12871627,- -,360544,1374562,1232621,1376736,3371437,3535356,1104125,218563,376274
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,150000,150000,150000,150000,150000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,310000,800000,390000,360000,332796,589581,305934,- -,962805,967223,4496022,6308000,3242000,5400000,13730000,16030000,10652603,13728373,5080000,5089456,4691988,4911019,5304664,5803513,5925644,6022275,5501337,1160046
53,Total Current Liabilities,- -,1850000,1170000,1200000,1950000,1720000,1720000,2990000,- -,6070000,5380000,8780000,11920000,11120000,32870000,15230000,18900000,24760000,29880000,6190000,11160000,12026780,12119320,12646730,15180360,15501950,13217850,6910209,2512162
54,Long-Term Debt,- -,10000,1760000,2570000,2210000,2440000,2040000,6410000,- -,24250000,26230000,25340000,39870000,- -,- -,- -,1280000,920000,- -,180000,- -,- -,135580,49590,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,- -,150000,- -,150000,150000,150000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,220000,230000,210000,170000,- -,- -,- -,- -,- -,750000,1110000,12280000,7570000,1710000,1040000,1330000,900000,750000,590000,400000,701210,60390,33430,-45820,65500,1110,- -,1758929
58,Total Non-Current Liabilities,- -,230000,1990000,2780000,2380000,2440000,2040000,6410000,- -,24250000,26980000,26450000,52150000,7570000,1710000,1040000,2610000,1820000,1450000,770000,550000,701210,345970,233020,104180,65500,1110,- -,1758929
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,2080000,3160000,3980000,4330000,4160000,3760000,9400000,- -,30320000,32360000,35230000,64070000,18690000,34580000,16270000,21510000,26580000,31330000,6960000,11710000,12727990,12465290,12879750,15284540,15567450,13218960,6910530,4271091
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12860222,1656265,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2560,310,770,770,770,1230,1855,1901
64,Retained Earnings,- -,-1370000,-3290000,-4650000,-4430000,-4340000,-1980000,-2730000,- -,20000,-9910000,-14540000,-28120000,-40810000,-71650000,-92860000,-98040000,-103570000,-107100000,-104200000,-106620000,-110305720,-121301970,-121948450,-124359330,-124647130,-122802350,- -,-118690345
65,Other Comprehensive Income/Loss,- -,- -,-540000,-1130000,-1710000,-2350000,-2950000,-4230000,- -,-77301,97624,-6050000,-7270000,118000,-110100000,-99160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,5170000,6730000,8280000,9640000,12120411,14429613,16942326,- -,30080492,41021056,49412296,65607000,155767000,189475000,179080000,80080000,80106991,80322298,88848362,103740729,107239978,108840109,109080270,109080275,109080277,109583944,-6826343,115522954
67,Total Stockholders Equity,- -,3800000,2900000,2500000,3500000,5430411,9499613,9982326,- -,22810492,22911056,28822296,30217000,37617000,7725000,-12940000,-17960000,-23463009,-26777702,-15351638,-2879271,-3063182,-12461551,-12867410,-15278285,-15566083,-13217176,-6824488,-3165490
68,Total Liabilities And Stockholders Equity,- -,5880000,6060000,6480000,7830000,9590411,13259613,19382326,- -,53130492,55271056,64052296,94287000,56307000,42305000,3330000,3550000,3116991,4552298,-8391638,8830729,9664808,3739,12340,6255,1367,1784,86042,1105601
69,Minority Interest,- -,-10000,- -,-30000,- -,-411,387,-2326,- -,-492,-1056,-2296,-7000,-7000,-5000,- -,- -,3009,-2298,12861638,1659271,2,-9,- -,5,3,6,- -,- -
70,Total Liabilities & Equity,- -,5870000,6060000,6450000,7830000,9590000,13260000,19380000,- -,53130000,55270000,64050000,94280000,56300000,42300000,3330000,3550000,3120000,4550000,4470000,10490000,9664810,3730,12340,6260,1370,1790,86042,1105601
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822746/000149315213000546/0001493152-13-000546-index.html,https://www.sec.gov/Archives/edgar/data/822746/000149315214003836/0001493152-14-003836-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315215003543/0001493152-15-003543-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315216008893/0001493152-16-008893-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315217003936/0001493152-17-003936-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315218004370/0001493152-18-004370-index.html,https://www.sec.gov/Archives/edgar/data/822746/000149315219005305/0001493152-19-005305-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315220008682/0001493152-20-008682-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315221007173/0001493152-21-007173-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315222009234/0001493152-22-009234-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-400000,-800000,-1950000,-1830000,220000,90000,2360000,-750000,1767344,-1560000,-9930000,-4630000,-13580000,-12690000,-30840000,-21220000,-5180000,-3780000,-3530000,2900000,-2430000,-3680000,-10996240,-646490,-2410880,-287800,1844780,5623707000,-1603761000
74,Depreciation and Amortization,- -,100000,500000,700000,700000,773387,744538,781023,922104,1780000,12249880,11395310,21967000,48381000,33450000,790000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133563,92502000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-516375,-640764,710000,-1144028,- -,- -,- -,- -,- -,- -,- -,- -,-700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214906,197936,1631098,1087103,192148,7598,- -,- -,186274,236225,550868000
77,Change in Working Capital,100000,-910000,- -,860000,-270000,-960000,340000,60000,-240000,-1970000,880000,2500000,1360000,-9060000,-22780000,15440000,-3940000,-6060000,-4420000,23020000,-5000000,-840070,-125520,-518800,-2539710,-326480,2284520,6391893,4596683
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,106659,- -,- -,- -,- -,- -,1150000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10998000
79,Inventory,- -,- -,- -,- -,- -,9155,44482,-59904,-60251,9999,-10980,64832,-167000,-197000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,284657,- -,- -,- -,- -,- -,3970000,-1370000,- -,- -,- -,- -,- -,- -,- -,40076,35543,6569,-61008,97303000
81,Other Working Capital,- -,-910000,-910000,-50000,-320000,-1280000,-940000,-880000,-1120000,-3090000,-2210000,290000,1650000,-7410000,-30190000,-14750000,-18690000,-24750000,-29170000,-6150000,-11150000,-11990070,-12115590,-12634390,-15174100,-15500580,-13216060,-6824167,-2227484
82,Other Non-Cash Items,- -,910000,-410000,800000,940000,-736071,-2472143,-146137,-2899662,1299843,-355348,-3802786,-97000,-11714000,15962000,-3520000,8080000,9619062,7934121,-26148395,5112890,3038012,10749182,999600,4904506,596267,-4387241,-5630665299,- -
83,Cash Provided by Operating Activities,-300000,-700000,-1000000,-600000,900000,467316,176020,-995878,1157379,135815,2844532,5462524,9650000,14917000,-4208000,-8510000,-1040000,-220938,-500973,-30459,-686012,-394955,-180430,-158092,-46084,-18013,-71667,-196618,-801553000
84,CAPEX,- -,-100000,-1400000,-300000,-300000,-1921250,-886565,-3588163,-6824387,-17121906,-6833512,-12863214,-43461000,-31124000,-17109000,- -,- -,-510810,-419601,-454107,-211275,-115622,-92568,- -,- -,- -,-76415,- -,-900000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1704708,-330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,6519668,750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-900000,300000,-500000,-1500000,-73698,250000,-102588,-410735,154297,-68079,4626048,1337000,49144000,99000,19970000,-490000,158737,- -,- -,5000,10000,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-1000000,-1100000,-800000,-1800000,-1994948,-636565,-3690751,-715454,-16217609,-6901591,-9941874,-42454000,18020000,-17010000,19970000,-490000,-352073,-419601,-459107,-206275,-105622,-92568,- -,- -,- -,-76415,- -,-900000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7414285,- -,- -,- -,- -,- -,- -,- -,- -,-232464,- -,-700000,- -,-150000,- -,- -,- -,-50000,-160125,- -
91,Common Stock Issued,- -,2800000,1000000,500000,800000,1840521,164043,- -,704291,1947205,824234,9666147,4707000,694000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142500,- -,1929089000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-27275,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,650000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-174449000
94,Other Financing Activites,100000,-800000,1000000,900000,- -,-127479,93841,5394739,-1707167,21749993,3092942,-2861945,32987000,-40701000,21087000,-12090000,1430000,520817,1153255,522070,1559640,514167,413068,166697,40000,13125,56000,366000,- -
95,Cash Used/Provided by Financing Activities,100000,2000000,2000000,1400000,800000,1713042,257884,5367464,-1002876,16282913,3917176,6804202,37694000,-40007000,21087000,-11890000,1430000,520817,920791,522070,859640,514167,263068,166697,40000,13125,148500,205875,1951101000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,100000,2000000,2000000,1400000,800000,185410,-202661,680835,-560951,201119,-139883,2324852,4890000,-7070000,-131000,-430000,-100000,520817,920791,32504,-32647,13590,-9930,8605,-6084,-4888,418,9257,249548000
98,Cash at the End of Period,- -,- -,- -,- -,- -,238135,35474,716309,155358,867017,727134,3051986,7942000,872000,741000,310000,210000,- -,217,32721,74,13664,3734,12339,6255,1367,1785,11042,- -
99,Cash at the Beginning of Period,200000,- -,300000,200000,200000,52725,238135,35474,716309,665898,867017,727134,3052000,7942000,872000,740000,310000,52194,- -,217,32721,74,13664,3734,12339,6255,1367,1785,11042
100,Free Cash Flow,-300000,-800000,-2400000,-900000,600000,-1453934,-710545,-4584041,-5667008,-16986091,-3988980,-7400690,-33811000,-16207000,-21317000,-8510000,-1040000,-731748,-920574,-484566,-897287,-510577,-272998,-158092,-46084,-18013,-148082,-196618,-1701553000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822746/000149315213000546/0001493152-13-000546-index.html,https://www.sec.gov/Archives/edgar/data/822746/000149315214003836/0001493152-14-003836-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315215003543/0001493152-15-003543-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315216008893/0001493152-16-008893-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315217003936/0001493152-17-003936-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315218004370/0001493152-18-004370-index.html,https://www.sec.gov/Archives/edgar/data/822746/000149315219005305/0001493152-19-005305-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315220008682/0001493152-20-008682-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315221007173/0001493152-21-007173-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315222009234/0001493152-22-009234-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
