,https://roic.ai/company/RIG,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,202500000,247100000,222100000,1801200000,421289000,3877400000,629300000,599392000,1114181000,2270100000,4983800000,2194600000,2286000000,2172200000,2241000000,3138000000,7317000000,6804000000,7710000000,8693000000,7511000000,7186000000,6483000000,4111000000,2940000000,2376000000,2805000000,3188000000,2964000000,2606000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,23000000,44000000,56000000,52000000,39000000,22000000,20000000,43000000,53000000,43000000,21000000,15000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,484000000,567000000,621000000,723000000,584000000,483000000,432000000,409000000,491000000,620000000,660000000,575000000,447000000
14,Depreciation and Amortization,28100000,21000000,24500000,298700000,46587000,326000000,116900000,105766000,268910000,621000000,506500000,483900000,503400000,399200000,401000000,411000000,746000000,1183000000,1491000000,1404000000,1081000000,1094000000,1124000000,948000000,893000000,832000000,930000000,1042000000,996000000,962000000
15,EBITDA,26400000,55300000,44700000,586600000,168239000,582400000,604000000,154573000,414157000,959300000,-3348400000,506100000,746900000,1201600000,2008000000,3795000000,5691000000,5602000000,3330000000,-3305000000,1635000000,3343000000,-160000000,2377000000,2187000000,-1710000000,-218000000,506000000,1031000000,938000000
16,EBITDA ratio,0.1259,0.2038,0.1840,0.2948,0.3181,0.1395,0.5543,0.2385,0.3368,0.3402,-1.2523,0.2079,0.2857,0.4155,0.5173,0.5951,0.4490,0.4848,0.3477,-0.3615,0.1778,0.3525,-0.0174,0.3218,0.5256,-0.5752,-0.0722,0.1639,0.3271,0.3670
17,Operating Income,7200000,24200000,20900000,188900000,107614000,297200000,460300000,48844000,115332000,550000000,-2309900000,239700000,327900000,719500000,1641000000,3239000000,5357000000,4400000000,1866000000,-4776000000,1581000000,2224000000,-1378000000,1380000000,1132000000,-2504000000,-1251000000,-721000000,-493000000,-112000000
18,Operating Income ratio,0.0343,0.0892,0.0860,0.0949,0.2035,0.0712,0.4224,0.0753,0.0938,0.1950,-0.8639,0.0985,0.1254,0.2488,0.4227,0.5079,0.4227,0.3808,0.1949,-0.5224,0.1719,0.2345,-0.1502,0.1868,0.2720,-0.8422,-0.4145,-0.2335,-0.1564,-0.0438
19,Total Other Income Expenses (Gains),-8900000,16800000,-700000,99000000,14038000,-40800000,26800000,-37000,28491000,-189500000,-178900000,-218100000,-87600000,82900000,-34000000,145000000,-414000000,-476000000,-567000000,-658000000,-715000000,-560000000,-422000000,-350000000,-198000000,-499000000,-524000000,-477000000,-48000000,-358000000
20,Income Before Tax,-1700000,41000000,20200000,287900000,121652000,256400000,487100000,48807000,143823000,360500000,-2488800000,21600000,240300000,802400000,1607000000,3384000000,4943000000,3924000000,1299000000,-5434000000,866000000,1664000000,-1800000000,1030000000,934000000,-3003000000,-1775000000,-1198000000,-541000000,-470000000
21,Income Before Tax Ratio,-0.0081,0.1511,0.0831,0.1447,0.2300,0.0614,0.4470,0.0753,0.1170,0.1278,-0.9308,0.0089,0.0919,0.2775,0.4140,0.5307,0.3900,0.3396,0.1357,-0.5944,0.0942,0.1755,-0.1962,0.1395,0.2245,-1.0101,-0.5881,-0.3880,-0.1716,-0.1839
22,Income Tax expense (Gain),-1800000,17000000,7500000,95000000,43607000,80500000,143700000,-9296000,36699000,85700000,-123000000,3000000,91300000,86800000,222000000,253000000,743000000,754000000,311000000,395000000,50000000,258000000,146000000,206000000,107000000,94000000,228000000,59000000,27000000,121000000
23,Net Income,100000,17300000,12700000,192900000,78045000,175900000,343400000,58103000,108548000,252600000,-3731900000,19200000,152200000,715600000,1385000000,3131000000,4202000000,3181000000,961000000,-5725000000,-219000000,1407000000,-1913000000,791000000,778000000,-3127000000,-1996000000,-1255000000,-567000000,-592000000
24,Net Income ratio,0.0005,0.0638,0.0523,0.0969,0.1476,0.0421,0.3152,0.0896,0.0883,0.0896,-1.3957,0.0079,0.0582,0.2475,0.3568,0.4910,0.3315,0.2753,0.1004,-0.6262,-0.0238,0.1484,-0.2085,0.1071,0.1870,-1.0518,-0.6614,-0.4064,-0.1799,-0.2316
25,EPS,0.00,0.36,0.23,0.83,1.08,1.40,3.43,0.53,0.52,0.82,-11.69,0.06,0.47,2.19,4.42,14.65,13.20,9.87,2.99,-17.79,-0.61,3.87,-5.29,2.16,2.10,-8.00,-4.27,-2.05,-0.92,-0.91
26,EPS Diluted,0.00,0.36,0.23,0.82,1.08,1.38,3.41,0.53,0.51,0.80,-11.69,0.06,0.47,2.13,4.28,14.14,13.09,9.84,2.99,-17.79,-0.61,3.87,-5.29,2.16,2.10,-8.00,-4.27,-2.05,-0.92,-0.91
27,Weighted Average Shares Outstanding,36666667,48055556,55217391,56830000,71886000,56830000,100551000,109564000,210419000,309200000,319100000,319800000,320900000,327100000,313000000,214000000,318000000,320000000,320000000,322000000,359505251,360000000,362000000,363000000,367000000,391000000,468000000,612000000,615000000,653000000
28,Weighted Average Shares Outstanding Diluted,36666667,48055556,55217391,56830000,71886000,56830000,100551000,109636000,211672000,314800000,319100000,321400000,325200000,339400000,325000000,222000000,321000000,321000000,320000000,322000000,359505251,360000000,362000000,363000000,367000000,391000000,468000000,612000000,615000000,653000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1451505/000145150510000023/0001451505-10-000023-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000145150511000032/form10_k2010.htm,https://www.sec.gov/Archives/edgar/data/1451505/000145150512000030/0001451505-12-000030-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000145150513000040/0001451505-13-000040-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000145150514000031/form10_k2013.htm,https://www.sec.gov/Archives/edgar/data/1451505/000145150515000029/form10_k2014.htm,https://www.sec.gov/Archives/edgar/data/1451505/000155837016003476/0001558370-16-003476-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000155837017001372/0001558370-17-001372-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000145150518000022/0001451505-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000145150519000025/0001451505-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000145150520000020/0001451505-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000145150521000020/0001451505-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1451505/000145150522000017/0001451505-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,17400000,21600000,46800000,37300000,24154000,13500000,69500000,165673000,34539000,853400000,1214200000,474000000,451300000,445400000,467000000,1241000000,963000000,1130000000,3394000000,4017000000,5134000000,3243000000,2635000000,2339000000,3052000000,2519000000,2160000000,1790000000,1154000000,976000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,333000000,38000000,- -,- -,- -,- -,- -,- -,- -,450000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,17400000,21600000,46800000,37300000,24154000,13500000,69500000,165673000,34539000,853400000,1214200000,474000000,451300000,445400000,467000000,1241000000,1296000000,1168000000,3394000000,4017000000,5134000000,3243000000,2635000000,2339000000,3052000000,2969000000,2160000000,1790000000,1154000000,976000000
34,Net Receivables,39500000,87900000,48100000,366000000,168573000,611600000,217500000,292628000,295965000,675700000,499300000,480300000,442000000,599700000,946000000,2370000000,2864000000,2385000000,2000000000,2176000000,2200000000,2162000000,2120000000,1379000000,898000000,641000000,604000000,654000000,583000000,492000000
35,Inventory,4600000,5200000,10000000,24000000,26556000,61700000,33900000,77058000,89522000,158800000,155800000,152000000,144700000,156200000,160000000,333000000,432000000,462000000,517000000,627000000,610000000,743000000,818000000,635000000,561000000,418000000,474000000,479000000,434000000,392000000
36,Other Current Assets,28700000,29000000,22800000,67100000,32963000,250900000,40700000,23507000,28106000,48900000,42400000,72600000,71100000,77800000,83000000,352000000,757000000,461000000,284000000,789000000,703000000,624000000,428000000,432000000,587000000,578000000,710000000,717000000,569000000,584000000
37,Total Current Assets,90200000,143700000,127700000,494400000,252246000,937700000,361600000,558866000,448132000,1736800000,1911700000,1178900000,1109100000,1279100000,1656000000,4296000000,5349000000,4476000000,6195000000,7609000000,8647000000,6772000000,6001000000,4785000000,5098000000,4606000000,3948000000,3640000000,2740000000,2444000000
38,PP&E,271800000,259500000,326100000,2277600000,1370349000,2738200000,2128100000,4344502000,4695034000,8368100000,8029800000,8009600000,7005200000,6748200000,7326000000,20930000000,20827000000,23018000000,21458000000,22529000000,20880000000,21707000000,21538000000,20818000000,21093000000,17402000000,20408000000,18847000000,17667000000,17098000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2195000000,8219000000,8128000000,8134000000,8132000000,3205000000,2987000000,2987000000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,763173000,- -,675200000,1067594000,1037855000,6466700000,2218200000,2230800000,2251900000,2208900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,795000000,608000000,393000000,173000000
41,Intangible Assets,- -,- -,- -,- -,763173000,- -,675200000,1067594000,1037855000,6466700000,2218200000,2230800000,2251900000,2208900000,2195000000,8219000000,8128000000,8134000000,8132000000,3205000000,2987000000,2987000000,- -,- -,- -,- -,795000000,608000000,393000000,173000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26200000,28200000,43800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316000000,298000000,47000000,66000000,20000000,9000000,7000000
44,Other Non-Current Assets,64200000,68800000,39700000,739400000,57446000,755600000,86000000,169208000,177743000,448200000,479200000,215100000,348300000,221000000,299000000,919000000,867000000,808000000,1026000000,1745000000,1741000000,1080000000,874000000,410000000,400000000,355000000,448000000,990000000,995000000,959000000
45,Total Non-Current Assets,336000000,328300000,365800000,3017000000,2190968000,3493800000,2889300000,5581304000,5910632000,15283000000,10753400000,10483700000,9649200000,9178100000,9820000000,30068000000,29822000000,31960000000,30616000000,27479000000,25608000000,25774000000,22412000000,21544000000,21791000000,17804000000,21717000000,20465000000,19064000000,18237000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,426200000,472000000,493500000,3511400000,2443214000,4431500000,3250900000,6140170000,6358764000,17019800000,12665100000,11662600000,10758300000,10457200000,11476000000,34364000000,35171000000,36436000000,36811000000,35088000000,34255000000,32546000000,28413000000,26329000000,26889000000,22410000000,25665000000,24105000000,21804000000,20681000000
48,Accounts Payable,17900000,27900000,20400000,297700000,67032000,570000000,40900000,129248000,135557000,188400000,134100000,146100000,180800000,254000000,477000000,805000000,914000000,780000000,847000000,880000000,1047000000,1106000000,784000000,448000000,206000000,201000000,269000000,311000000,194000000,228000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1868000000,2012000000,2039000000,1347000000,303000000,1012000000,1070000000,699000000,220000000,341000000,568000000,550000000,561000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000000,69000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000000,128000000,130000000,- -,- -,197000000,235000000,216000000,237000000,202000000,209000000,213000000,87000000,100000000,133000000,83000000
52,Other Current Liabilities,42000000,37500000,28100000,342400000,164446000,680100000,151500000,399273000,359641000,956000000,1369800000,365000000,249500000,669600000,418000000,6969000000,1657000000,970000000,977000000,2242000000,2834000000,1929000000,1737000000,949000000,871000000,735000000,761000000,745000000,509000000,431000000
53,Total Current Liabilities,59900000,65400000,48500000,640100000,231478000,1250100000,192400000,528521000,495198000,1144400000,1503900000,511100000,430300000,923600000,1039000000,7902000000,2701000000,3618000000,3836000000,5358000000,5463000000,3554000000,3770000000,2669000000,1985000000,1369000000,1458000000,1724000000,1386000000,1303000000
54,Long-Term Debt,178500000,- -,30000000,770300000,392322000,1042700000,814000000,1187578000,1430266000,4539400000,3629900000,3612300000,2462100000,1197100000,3200000000,11085000000,13522000000,9849000000,9209000000,11497000000,10455000000,9762000000,8465000000,6829000000,7199000000,6635000000,9126000000,8693000000,7823000000,7132000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,246000000,159000000,233000000,178000000,390000000,422000000,399000000,429000000,323000000,265000000
56,Deferred Tax Liabilities,62200000,69500000,71600000,213100000,151980000,344600000,230000000,383991000,359175000,317100000,107200000,42800000,124100000,65000000,54000000,681000000,666000000,726000000,594000000,523000000,366000000,374000000,237000000,339000000,178000000,44000000,64000000,266000000,315000000,447000000
57,Other Non-Current Liabilities,17100000,22800000,22300000,405200000,39725000,158700000,35900000,129941000,70018000,108600000,282700000,303800000,345200000,286200000,343000000,2125000000,1755000000,1684000000,1772000000,1903000000,1995000000,2012000000,1726000000,1506000000,1332000000,1229000000,1504000000,1126000000,522000000,328000000
58,Total Non-Current Liabilities,257800000,92300000,123900000,1388600000,584027000,1546000000,1079900000,1701510000,1859459000,4965100000,4019800000,3958900000,2931400000,1548300000,3597000000,13891000000,15943000000,12259000000,11575000000,13923000000,13062000000,12307000000,10661000000,8852000000,9099000000,8330000000,11093000000,10514000000,8983000000,8172000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,657000000,637000000,615000000,591000000,566000000,541000000,511000000,608000000,566000000,523000000
61,Total Liabilities,317700000,157700000,172400000,2028700000,815505000,2796100000,1272300000,2230031000,2354657000,6109500000,5523700000,4470000000,3361700000,2471900000,4636000000,21793000000,18644000000,15877000000,15411000000,19281000000,18525000000,15861000000,14431000000,11521000000,11084000000,9699000000,12551000000,12238000000,10369000000,9475000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,300000,127000000,515000,122000000,- -,2101000,2107000,3200000,3200000,3200000,3200000,3200000,3000000,3000000,4444000000,4472000000,4482000000,4982000000,5130000000,5147000000,5169000000,5193000000,36000000,37000000,59000000,59000000,60000000,64000000
64,Retained Earnings,59400000,10100000,16100000,1387100000,126035000,1578300000,586700000,3908038000,83283000,297700000,-3453400000,-3434200000,-3282000000,-2566400000,-1181000000,1806000000,6008000000,9008000000,9969000000,4244000000,3855000000,5262000000,3349000000,4140000000,5056000000,1929000000,-67000000,-1297000000,-1866000000,-2458000000
65,Other Comprehensive Income/Loss,-376000000,-394500000,-402800000,-2545300000,-381514000,-2859600000,-530900000,-1153614000,-1308190000,-1713300000,-2168200000,-2663400000,-2727700000,-3042800000,-3213000000,-3615000000,-4975000000,-335000000,-332000000,-496000000,-521000000,-262000000,-404000000,-277000000,-283000000,-290000000,-279000000,-324000000,-263000000,-84000000
66,Other Total Stockholders Equity,425100000,698700000,707500000,2513900000,1882673000,2794700000,1922800000,1153614000,5226907000,12322700000,12759800000,13287000000,13399100000,13587700000,11227000000,14372000000,11047000000,7407000000,7264000000,6971000000,7281000000,6544000000,5557000000,5442000000,10993000000,11031000000,13394000000,13424000000,13501000000,- -
67,Total Stockholders Equity,108500000,314300000,321100000,1482700000,1627709000,1635400000,1978600000,3910139000,4004107000,10910300000,7141400000,7192600000,7392600000,7981700000,6836000000,12566000000,16524000000,20552000000,21383000000,15701000000,15745000000,16691000000,13671000000,14498000000,15802000000,12707000000,13107000000,11862000000,11432000000,11205000000
68,Total Liabilities And Stockholders Equity,426200000,472000000,493500000,3511400000,2443214000,4431500000,3250900000,6140170000,6358764000,17019800000,12665100000,11662600000,10754300000,10453600000,11472000000,34359000000,35168000000,36429000000,36794000000,34982000000,34270000000,32552000000,28102000000,26019000000,26886000000,22406000000,25658000000,24100000000,21801000000,20680000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,3600000,4000000,5000000,3000000,7000000,17000000,106000000,-15000000,-6000000,311000000,310000000,3000000,4000000,7000000,5000000,3000000,1000000
70,Total Liabilities & Equity,426200000,472000000,493500000,3511400000,2443214000,4431500000,3250900000,6140170000,6358764000,17019800000,12665100000,11662600000,10758300000,10457200000,11476000000,34364000000,35171000000,36436000000,36811000000,35088000000,34255000000,32546000000,28413000000,26329000000,26889000000,22410000000,25665000000,24105000000,21804000000,20681000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1451505/000145150510000023/0001451505-10-000023-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000145150511000032/form10_k2010.htm,https://www.sec.gov/Archives/edgar/data/1451505/000145150512000030/0001451505-12-000030-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000145150513000040/0001451505-13-000040-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000145150514000031/form10_k2013.htm,https://www.sec.gov/Archives/edgar/data/1451505/000145150515000029/form10_k2014.htm,https://www.sec.gov/Archives/edgar/data/1451505/000155837016003476/0001558370-16-003476-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000155837017001372/0001558370-17-001372-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000145150518000022/0001451505-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000145150519000025/0001451505-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000145150520000020/0001451505-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/1451505/000145150521000020/0001451505-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1451505/000145150522000017/0001451505-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,100000,17300000,12700000,192900000,78045000,175900000,343400000,58103000,108548000,252600000,-3731900000,19200000,152200000,715600000,1385000000,3131000000,4202000000,3181000000,961000000,-5725000000,-219000000,1407000000,-1913000000,791000000,778000000,-3127000000,-1996000000,-1255000000,-567000000,-592000000
74,Depreciation and Amortization,28100000,21000000,24500000,298700000,46587000,326000000,116900000,105766000,268910000,621000000,506500000,483900000,503400000,399200000,401000000,411000000,746000000,1183000000,1491000000,1404000000,1081000000,1094000000,1124000000,948000000,893000000,832000000,930000000,1042000000,996000000,962000000
75,Deferred Income Tax,12500000,3100000,2300000,25200000,6528000,60000000,64500000,-24253000,-30100000,-98200000,-224400000,-98500000,18100000,27100000,-23000000,-40000000,8000000,13000000,-145000000,-31000000,-133000000,-9000000,-142000000,-78000000,68000000,89000000,-16000000,248000000,60000000,128000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81000000,102000000,95000000,97000000,113000000,98000000,67000000,42000000,41000000,45000000,37000000,31000000,28000000
77,Change in Working Capital,-18900000,48000000,900000,-224900000,166468000,-333168000,481600000,-138855000,-77411000,639466000,-184600000,260000000,11000000,-323300000,261500000,-4223000000,6254000000,-1790000000,1501000000,-108000000,933000000,34000000,-987000000,-115000000,997000000,124000000,-747000000,-574000000,-562000000,-77000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,386000000,-174000000,-139000000,58000000,63000000,757000000,350000000,230000000,180000000,87000000,67000000,137000000
79,Inventory,- -,- -,-1100000,2800000,- -,-31200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,931000000,-625000000,-874000000,-844000000,-286000000,-115000000,-154000000,-21000000,-254000000,-52000000
81,Other Working Capital,30300000,78300000,79200000,-145700000,20768000,-312400000,169200000,30345000,-47066000,592400000,407800000,667800000,678800000,355500000,617000000,-3606000000,2648000000,858000000,2359000000,2251000000,3184000000,3218000000,2231000000,2116000000,3113000000,3237000000,2490000000,1916000000,1354000000,-146000000
82,Other Non-Cash Items,-16300000,-100100000,23300000,-107600000,-172107000,188068000,-536700000,239876000,-72565000,-848066000,4571000000,-138800000,-80600000,45600000,-787500000,3794000000,-6251000000,2930000000,36000000,6150000000,949000000,-721000000,4040000000,1832000000,-867000000,3185000000,2342000000,842000000,440000000,126000000
83,Cash Provided by Operating Activities,5500000,-10700000,63700000,184300000,125521000,416800000,469700000,240637000,197382000,566800000,936600000,525800000,604100000,864200000,1237000000,3073000000,4959000000,5598000000,3946000000,1785000000,2708000000,1918000000,2220000000,3445000000,1911000000,1144000000,558000000,340000000,398000000,575000000
84,CAPEX,-12900000,-9700000,-59200000,-487600000,-212959000,-698800000,-573300000,-537029000,-574703000,-506200000,-141000000,-495900000,-127000000,-181900000,-876000000,-1380000000,-2208000000,-3052000000,-1411000000,-1020000000,-1409000000,-2238000000,-2165000000,-2001000000,-1344000000,-497000000,-184000000,-387000000,-265000000,-208000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447000000,789000000,- -,- -,- -,- -,- -,-883000000,- -,-19000000,-1000000
86,Purchases of Investments,- -,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-242000000,-408000000,-269000000,-4000000,-1246000000,- -,- -,- -,- -,- -,-450000000,-173000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,17200000,- -,- -,- -,- -,- -,- -,72000000,609000000,634000000,- -,- -,- -,- -,- -,- -,- -,507000000,123000000,5000000,- -
88,Other Investing Activites,1700000,500000,-1900000,579900000,-240622000,-13400000,27200000,446876000,81789000,462600000,95700000,48400000,675800000,350500000,461000000,-4055000000,348000000,-3034000000,-1351000000,-1097000000,-1178000000,-1658000000,-1828000000,-1932000000,-1313000000,-137000000,-248000000,-391000000,-243000000,-232000000
89,Cash Used for Investing Activites,-11200000,-12200000,-61100000,92300000,-453581000,-712200000,-546100000,-90153000,-492914000,-26400000,-45300000,-447500000,548800000,168600000,-415000000,-5677000000,-2196000000,-2694000000,-721000000,-1896000000,-389000000,-1658000000,-1828000000,-1932000000,-1313000000,-587000000,-797000000,-268000000,-257000000,-233000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3253000000,-2758000000,-2497000000,-2282000000,-1692000000,-539000000,-1506000000,-2295000000,-2284000000,-2105000000,-1325000000,-1637000000,-606000000
91,Common Stock Issued,- -,317000000,- -,- -,3481000,- -,6700000,- -,503483000,40200000,- -,12800000,30400000,230100000,69000000,112000000,- -,- -,- -,1211000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,158000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-53200000,- -,- -,- -,- -,- -,- -,- -,-400000000,-2601000000,-400000000,-7000000,- -,-240000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-108100000,-6800000,-93100000,-8206000,-92800000,-12000000,- -,-25265000,-38200000,-19100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-278000000,-606000000,-1018000000,-381000000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18000000,-181800000,29400000,-155400000,243967000,425300000,96900000,-159292000,-313820000,276500000,-511400000,-831300000,-1206000000,-868800000,1732000000,3666000000,-3034000000,516000000,2037000000,2020000000,1358000000,147000000,557000000,78000000,2410000000,1194000000,1958000000,1013000000,707000000,-42000000
