,https://roic.ai/company/CCM,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
36,Other Current Assets,46215000,103945000,178846000,120103000,363242000,408801000,325332000,597185000,660847000,599923000,438231000,10228000,39730000
37,Total Current Assets,492978000,1252512000,904416000,733657000,853133000,1300010000,1463682000,1505065000,1194856000,1111136000,1228692000,282487000,675998000
38,PP&E,349121000,573042000,907336000,1068703000,1522920000,1492573000,749683000,918815000,775338000,793571000,1219309000,2545941000,3199158000
39,Goodwill,300163000,300163000,300163000,- -,292885000,292885000,- -,- -,- -,- -,165171000,210443000,213656000
40,Intangible Assets,181838000,155345000,146113000,129018000,236636000,257044000,112772000,473232000,458998000,455732000,895167000,532489000,522821000
41,Intangible Assets,482001000,455508000,446276000,129018000,529521000,549929000,112772000,473232000,458998000,455732000,1060338000,742932000,736477000
42,Investments,- -,127150000,66356000,97802000,230589000,217413000,221180000,253141000,232248000,754327000,388364000,64948000,313020000
43,Tax Assets,12650000,19700000,21869000,20866000,18110000,17721000,17183000,29069000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,177645000,15953000,316791000,343400000,510947000,515911000,394832000,422100000,567163000,350624000,688691000,661137000,409885000
45,Total Non-Current Assets,1021417000,1191353000,1758628000,1659789000,2812087000,2793547000,1495650000,2096357000,2033747000,2354254000,3356702000,4014958000,4658540000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1514395000,2443865000,2663044000,2393446000,3665220000,4093557000,2959332000,3601422000,3228603000,3465390000,4585394000,4297445000,5334538000
48,Accounts Payable,9741000,9759000,10332000,2170000,100563000,149209000,1064000,808000,2038000,4563000,5438000,8275000,18632000
49,Short-Term Debt,64359000,72569000,147488000,96061000,576673000,762069000,568361000,1001892000,724617000,794467000,440588000,341323000,162537000
50,Tax Payable,17041000,14642000,25401000,38463000,31237000,60818000,62778000,73207000,29854000,18243000,15162000,4574000,9254000
51,Deferred Revenue,12656000,10401000,11520000,13115000,18975000,15668000,1038000,1522000,15623000,14551000,23570000,3190000,87740000
52,Other Current Liabilities,103777000,76894000,99812000,105326000,163322000,247713000,199356000,506773000,208781000,294590000,400669000,274663000,243208000
53,Total Current Liabilities,190533000,169623000,269152000,216672000,859533000,1174659000,769819000,1510995000,951059000,1108171000,870265000,627451000,512117000
54,Long-Term Debt,63776000,88989000,50414000,110989000,303301000,326974000,337479000,605084000,464275000,448082000,497526000,1510580000,2191526000
55,Deferred Revenue,6314000,5188000,9081000,6839000,32246000,30369000,1349000,- -,528896000,- -,- -,- -,- -
56,Deferred Tax Liabilities,20078000,25317000,27452000,18850000,35683000,32891000,50227000,48513000,49658000,73577000,165646000,165438000,153339000
57,Other Non-Current Liabilities,668674000,1000000,5110000,2000000,94547000,94947000,400000,3042000,2945000,820642000,2498442000,2014344000,2990401000
58,Total Non-Current Liabilities,758842000,120494000,92057000,138678000,465777000,485181000,389455000,656639000,1045774000,1342301000,3161614000,3690362000,5335266000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,15375000,11656000,69813000,5871000,4517000,2000000,2000000,- -,- -,- -,- -,231701000,237139000
61,Total Liabilities,949375000,290117000,361209000,355350000,1325310000,1659840000,1159274000,2167634000,1996833000,2450472000,4031879000,4317813000,5847383000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,55000,108000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000
64,Retained Earnings,-544363000,-514283000,-384883000,-599886000,-469055000,-383162000,-258025000,-336329000,-598196000,-879393000,-1232991000,-1785517000,-2456649000
65,Other Comprehensive Income/Loss,-3822000,-3987000,-14835000,-17595000,-16955000,-15283000,-18651000,-46574000,-87968000,-47418000,-88621000,-97285000,-46429000
66,Other Total Stockholders Equity,1113150000,2671910000,2604704000,2551876000,2517491000,2520333000,2074120000,1774324000,1852237000,1860755000,1758929000,1759933000,1840018000
67,Total Stockholders Equity,565020000,2153748000,2205091000,1934500000,2031586000,2121993000,1797549000,1391526000,1166178000,934049000,437422000,-122764000,-662955000
68,Total Liabilities And Stockholders Equity,1514395000,2443865000,2566300000,2289850000,3356896000,3781833000,2956823000,3559160000,3163011000,3384521000,4469301000,4195049000,5184428000
69,Minority Interest,- -,- -,96744000,103596000,308324000,311724000,2509000,42262000,65592000,80869000,116093000,102396000,150110000
70,Total Liabilities & Equity,1514395000,2443865000,2663044000,2393446000,3665220000,4093557000,2959332000,3601422000,3228603000,3465390000,4585394000,4297445000,5334538000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1472072/000095012311062284/h05188e20vf.htm,https://www.sec.gov/Archives/edgar/data/1472072/000119312512182261/d340257d20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000119312513178128/d526377d20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000119312514162895/d655630d20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000119312515148374/d856172d20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000114420416097228/v436874_20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000114420417023641/v464314_20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000114420418023992/tv488611_20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000114420419022514/tv518902_20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000110465920054484/tm206468d1_20f.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,79069000,124827000,129400000,-215003000,130831000,85893000,124709000,-78304000,-261867000,-284320000,-234875000,-307049000,-309989000
74,Depreciation and Amortization,38126000,78174000,109687000,120638000,150214000,182445000,201679000,158341000,129006000,94709000,54626000,56353000,80299000
75,Deferred Income Tax,-5080000,-2330000,-3634000,-11684000,1869000,3361000,23307000,-432000,22115000,12703000,7502000,-22458000,-13347000
76,Stock Based Compensation,4215000,1006000,9571000,9234000,9084000,8804000,7349000,8084000,8400000,11641000,11139000,20593000,20621000
77,Change in Working Capital,-73248000,-65849000,-58213000,-118526000,-22715000,-11665000,192967000,-278407000,-63375000,53563000,147637000,-74363000,-32616000
78,Accounts Receivable,-19283000,-18556000,-57492000,-94723000,9870000,-102187000,4505000,43276000,9922000,43406000,48384000,3574000,-6167000
79,Inventory,- -,- -,- -,- -,-362000,-11036000,237000,315000,-1923000,-554000,1803000,-1827000,-14446000
80,Accounts Payable,-20221000,18000,573000,-8162000,-6966000,48646000,31288000,-725000,6967000,5057000,530000,2840000,11119000
81,Other Working Capital,-2257000,-5486000,-31558000,-29258000,-25404000,-24764000,47380000,-368383000,2815000,-1300000,54350000,2813000,84543000
82,Other Non-Cash Items,3692000,55000,4161000,352443000,-9768000,-9805000,-59630000,15580000,87643000,138436000,-24620000,131577000,25266000
83,Cash Provided by Operating Activities,46774000,135883000,190972000,137102000,259515000,259033000,490381000,-175138000,-78078000,26732000,-38591000,-195347000,-229766000
84,CAPEX,-31575000,-106984000,-111124000,-18319000,-284737000,-160001000,-109850000,-181972000,-121973000,-296557000,-766175000,-701501000,-512902000
85,Acquisitions Net,-231481000,-32205000,-41993000,-20305000,-452099000,-4140000,-6534000,-201407000,39197000,-115327000,-330885000,-518899000,62394000
86,Purchases of Investments,- -,- -,- -,-101006000,-223403000,-30000000,- -,-131000000,-181500000,- -,-252250000,- -,-108490000
87,Sales/Maturities of Investments,- -,- -,- -,- -,150838000,30000000,- -,- -,60000000,- -,202250000,50000000,- -
88,Other Investing Activites,-113315000,-133080000,-376351000,-355237000,150111000,30601000,403439000,123296000,125444000,91420000,144926000,98317000,24085000
89,Cash Used for Investing Activites,-376371000,-272269000,-529468000,-494867000,-659290000,-133540000,287055000,-391083000,-74847000,-313010000,-1000355000,-1071507000,-533885000
90,Debt Repayment,-106615000,-123157000,-233866000,-178352000,-117908000,-383421000,-392446000,-350823000,-978309000,-486254000,-1612311000,-696645000,-1271001000
91,Common Stock Issued,67671000,820872000,- -,- -,- -,- -,- -,- -,139972000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-76780000,-6911000,-43469000,-6015000,- -,-19723000,-30402000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-55151000,- -,- -,-453562000,- -,-285829000,- -,- -,- -,- -
94,Other Financing Activites,688438000,122131000,155713000,282199000,417309000,467158000,266864000,960944000,1023198000,680659000,2815353000,1209913000,2409303000
95,Cash Used/Provided by Financing Activities,649494000,819846000,-154933000,41785000,255932000,77722000,-579144000,590398000,-131370000,194405000,1203042000,513268000,1138302000
96,Effect of Forex Changes on Cash,-5698000,-212000,-8027000,-725000,147000,4436000,-2643000,-17419000,-11240000,159000,459000,1161000,-2563000
97,Net Change In Cash,314199000,683248000,-501456000,-316705000,-143696000,207651000,195649000,6758000,-295535000,-91714000,164555000,-752425000,372088000
98,Cash at the End of Period,353991000,1037239000,535783000,219078000,75382000,283033000,478682000,485440000,189905000,98191000,826732000,74307000,446395000
99,Cash at the Beginning of Period,39792000,353991000,1037239000,535783000,219078000,75382000,283033000,478682000,485440000,189905000,662177000,826732000,74307000
100,Free Cash Flow,15199000,28899000,79848000,118783000,-25222000,99032000,380531000,-357110000,-200051000,-269825000,-804766000,-896848000,-742668000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1472072/000095012311062284/h05188e20vf.htm,https://www.sec.gov/Archives/edgar/data/1472072/000119312512182261/d340257d20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000119312513178128/d526377d20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000119312514162895/d655630d20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000119312515148374/d856172d20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000114420416097228/v436874_20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000114420417023641/v464314_20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000114420418023992/tv488611_20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000114420419022514/tv518902_20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000110465920054484/tm206468d1_20f.htm,- -
102,Forex Rate,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
