,https://roic.ai/company/KALO,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
44,Other Non-Current Assets,- -,- -,- -,- -,66064,- -,- -,- -,49220,20627,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,12818,9674,871531,1141722,1031110,942541,912973,147461,156178,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1550,113525,10303,874500,1209791,1163270,1480999,978093,556343,293435,57011,4000,- -,- -,- -
48,Accounts Payable,- -,- -,- -,- -,56502,- -,525,1218188,924494,- -,- -,- -,- -,3860499,4359752
49,Short-Term Debt,- -,- -,- -,308054,138759,94377,483362,61203,110842,598663,1147685,967593,1099412,1238870,1362342
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,24990,24990,24990,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,20000,191952,154500,363217,387626,1484785,1048277,180075,371571,1431156,3003720,3362802,3456661,1724290,37149790
53,Total Current Liabilities,20000,191952,154500,671271,582887,1579162,1557154,1484456,1431897,2029819,4151405,4330395,4556073,6823659,42871884
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,24551,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,145877,477653,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,145877,477653,- -,- -,- -,24551,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,242636,177556,108268,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,20000,191952,154500,671271,728764,2056815,1557154,1484456,1431897,2054370,4151405,4330395,4556073,6823659,42871884
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,950,950,950,950,950,950,950
63,Common Stock,50,56,167,229,392,1131,2913,3163,3822,56485,80988,11357,11478,11478,11478
64,Retained Earnings,-18500,-251102,-316872,-757246,-4419498,-9757198,-17365763,-19034773,-23178084,-32143044,-35142154,-42174129,-42937760,- -,-81349317
65,Other Comprehensive Income/Loss,- -,-1600,-4744,-7887,-14301,-99596,-188165,-217733,-271546,-348003,-483554,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,174219,177252,968133,4914434,8962118,17474860,18742980,22569304,30672677,31449376,37835427,38369259,-6836087,38465005
67,Total Stockholders Equity,-18450,-78427,-144197,203229,481027,-893545,-76155,-506363,-875554,-1760935,-4094394,-4326395,-4556073,-6823659,-42871884
68,Total Liabilities And Stockholders Equity,1550,113525,10303,874500,1209791,1163270,1480999,978093,556343,293435,57011,4000,- -,- -,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1550,113525,10303,874500,1209791,1163270,1480999,978093,556343,293435,57011,4000,- -,- -,- -
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389034/000152013821000039/0001520138-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1389034/000152013821000143/0001520138-21-000143-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-18500,-232602,-65770,-440374,-3662252,-5337700,-7003791,-1669010,-4209038,-8964960,-2999110,-7031975,-763631,-2355889,-36055668
74,Depreciation and Amortization,- -,1600,3144,3144,14127,85296,88569,29568,53813,76457,31533,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,7500,2764877,3119150,4729531,- -,839294,3701600,448500,5999673,270516,1574480,35398420
77,Change in Working Capital,3500,144372,7120,108716,536300,1029984,-310904,295486,-352136,234773,1622840,696979,254123,482124,433787
78,Accounts Receivable,- -,- -,8087,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-12840,5245,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,24990,- -,- -,-24990,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,6530,120037,571338,-144646,941632,1399368,567389,335062,-146013,271923,157847
83,Cash Provided by Operating Activities,-15000,-86630,-55506,-321014,-340418,-983233,-1925257,-1488602,-2726435,-3552762,-328848,-261,-385005,-27362,-65614
84,CAPEX,- -,-14418,- -,- -,- -,- -,- -,- -,-39591,-225033,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-14418,- -,300,- -,- -,- -,- -,-39591,-225033,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,-31240,- -,- -,-109163,-69288,-158268,- -,-53540,- -,-211,- -,- -,- -
91,Common Stock Issued,50,172625,- -,323054,566400,654574,2235004,1336051,2753918,2663272,- -,- -,363082,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,16500,14248,- -,- -,-169782,394474,62165,19822,241097,921498,323878,472,21923,27362,65614
95,Cash Used/Provided by Financing Activities,16550,186873,-31240,323054,396618,939885,2227881,1197605,2995015,3531230,323878,261,385005,27362,65614
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-6098,1224,-28,- -,- -,- -,- -
97,Net Change In Cash,- -,85825,-86746,2340,56200,-43348,302624,-290997,222891,-245341,- -,- -,- -,- -,- -
98,Cash at the End of Period,1550,87375,629,2969,59169,15821,318445,27448,250339,4998,- -,- -,- -,- -,- -
99,Cash at the Beginning of Period,- -,1550,87375,629,2969,59169,15821,318445,27448,250339,4998,- -,- -,- -,- -
100,Free Cash Flow,-15000,-101048,-55506,-321014,-340418,-983233,-1925257,-1488602,-2766026,-3777795,-328848,-261,-385005,-27362,-65614
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389034/000152013821000039/0001520138-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1389034/000152013821000143/0001520138-21-000143-index.htm
102,false,,,,,,,,,,,,,,,
