,https://roic.ai/company/BZYR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,7125237,5015695,4415119,4591875,5178691,4420006,4384330,4965539,4654377,4302706,4522097,5127018,4830610,5031242,7157662,6499056,4271785,2892115,2005100,1504717,1613101,1637717,1634982,1301771
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,211833,179002,135245,69737,36874,17127,13424,5280,3890,1344,1964,1389,905,736,701,683,684,684,684,684,- -,- -,- -,- -
15,EBITDA,-6892038,-4836073,-4233069,-4521076,-5138817,-4402879,-4371406,-4960259,-4704127,-4301362,-4520133,-5125629,-4829705,-5030506,-7156961,-6498373,-4271101,-2891431,-2004416,-1504033,-1613101,-1637717,-1634982,-1301771
16,EBITDA ratio,-322.5703,-7800.1177,-90.4405,-4257.1337,-1712.9390,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-7103871,-5015075,-4368314,-4590813,-5175691,-4420006,-4384330,-4965539,-4654377,-4302706,-4522097,-5127018,-4830610,- -,-7157662,-6499056,-4271785,-2892115,-2005100,-1504717,-1613101,-1637717,-1634982,-1301771
18,Operating Income ratio,-332.4848,-8088.8306,-93.3301,-4322.7994,-1725.2303,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,500,- -,53640,- -,- -,1500,- -,- -,- -,250,- -,67,- -,- -,1000,- -,500,97773
20,Income Before Tax,-7103871,-5015075,-4368314,-4590813,-5175691,-4420006,-4383830,-4965539,-4600737,-4302706,-4522097,-5125518,-4830610,-5031242,-7157662,-6498806,-4271785,-2892048,-2005100,-1504717,-1612101,-1637717,-1634482,-1203998
21,Income Before Tax Ratio,-332.4848,-8088.8306,-93.3301,-4322.7994,-1725.2303,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),20880,22600,13180,2052,113,780,- -,- -,- -,- -,- -,2211,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-7124751,-5037675,-4381494,-4592865,-5175804,-4420786,-4383830,-4965539,-4600737,-4302706,-4522097,-5127729,-4830610,-5031242,-7157662,-6498806,-4271785,-2892048,-2005100,-1504717,-1612101,-1637717,-1634482,-1203998
24,Net Income ratio,-333.4621,-8125.2823,-93.6117,-4324.7316,-1725.2680,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.05,-0.04,-0.03,-0.04,-0.04,-0.03,-0.03,-0.04,-0.04,-0.03,-0.03,-0.04,-0.04,-0.04,-0.05,-0.05,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01
26,EPS Diluted,-0.05,-0.04,-0.03,-0.04,-0.04,-0.03,-0.03,-0.04,-0.04,-0.03,-0.03,-0.04,-0.04,-0.04,-0.05,-0.05,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01
27,Weighted Average Shares Outstanding,131452970,131531984,131576396,131224714,131365584,131571012,131252395,124138475,115018425,143423533,150736567,131388444,131388444,131443156,131448444,131448444,131448444,131448444,131448444,131448444,131448444,131448444,131448444,131448444
28,Weighted Average Shares Outstanding Diluted,131452970,131531984,131576396,131224714,136633850,131571012,131252395,131388444,131388444,143423533,150736567,131388444,131388444,131443156,131448444,131448444,131448444,131448444,131448444,131448444,131448444,131448444,131448444,131448444
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/724445/000110465909035883/0001104659-09-035883-index.html,- -,https://www.sec.gov/Archives/edgar/data/724445/000110465911032257/0001104659-11-032257-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465912040430/0001104659-12-040430-index.htm,https://www.sec.gov/Archives/edgar/data/724445/000110465913045361/0001104659-13-045361-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465914042526/0001104659-14-042526-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465915042084/0001104659-15-042084-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465916126875/0001104659-16-126875-index.htm,https://www.sec.gov/Archives/edgar/data/724445/000110465917031953/0001104659-17-031953-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465918035071/0001104659-18-035071-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465919032421/0001104659-19-032421-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465920067054/0001104659-20-067054-index.htm,https://www.sec.gov/Archives/edgar/data/724445/000110465921071200/0001104659-21-071200-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6600,30600,20099,7244,22585,1926,18962,16984,17797,10650,3161,10695,18122,17476,17297,1192,229,2280,3303,731,506,708,163,62
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6600,30600,20099,7244,22585,1926,18962,16984,17797,10650,3161,10695,18122,17476,17297,1192,229,2280,3303,731,506,708,163,62
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,28423,21464,19690,894
37,Total Current Assets,6600,30600,20099,7244,22585,1926,19962,16984,17797,10650,3161,10695,18122,17476,17297,1192,229,2280,3303,10731,28929,22172,19853,956
38,PP&E,423636,302079,170138,105864,69252,63839,54150,48870,3620,2276,7150,5761,4856,4120,3419,2736,2052,1368,684,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,7824,6024,4355,600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,431460,308103,174493,106464,69252,63839,54150,48870,3620,2276,7150,5761,4856,4120,3419,2736,2052,1368,684,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,438060,338703,194592,113708,91837,65765,74112,65854,21417,12926,10311,16456,22978,21596,20716,3928,2281,3648,3987,10731,28929,22172,19853,956
48,Accounts Payable,141988,125923,48151,27303,11366,23384,56114,47249,14046,44224,33430,78457,41771,39223,12265,47501,114320,99893,64393,19652,41941,101065,60805,32512
49,Short-Term Debt,173842,7684,5461,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,447416,189759,155028,57763,46470,47068,50624,39396,35650,21878,35127,25348,29685,33628,49699,41089,38583,42098,40612,24080,94688,107755,111635,14287
53,Total Current Liabilities,763246,323366,208640,85066,57836,70452,106738,86645,49696,66102,68557,103805,71456,72851,61964,88590,152903,141991,105005,43732,136629,208820,172440,46799
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,72140,16038,381,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,72140,16038,381,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,835386,339404,209021,85066,57836,70452,106738,86645,49696,66102,68557,103805,71456,72851,61964,88590,152903,141991,105005,43732,136629,208820,172440,46799
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,131389,131389,131389,131389,131389,131389,131389,131389,131389,131389,131389,131389,131389,131449,131449,131449,131449,131449,131449,131449,131449,131449,131449,131449
64,Retained Earnings,-33070297,-38107972,-42489466,-47082331,-52258135,-56678921,-61062751,-66028290,-70629027,-74931733,-79453830,-84581559,-89412169,-94443411,-101601073,-108099879,-112371664,-115263712,-117268812,-118773529,-120385630,-122023347,-123657829,-124861827
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-5696829,-100,-100,-100,-100,-100,-100,-16654,-17559,-18295,-18996,-19679,-20363,-21047,-21731,-22415,-22415,- -,- -,- -
66,Other Total Stockholders Equity,32541582,37975882,42343648,46979584,57857576,56542945,60898836,65876210,70469459,74747268,79264295,84379475,89249861,94279002,101447372,107903447,112109956,115014967,117058076,118631494,120168896,121705250,123373793,124684535
67,Total Stockholders Equity,-397326,-701,-14429,28642,34001,-4687,-32626,-20791,-28279,-53176,-58246,-87349,-48478,-51255,-41248,-84662,-150622,-138343,-101018,-33001,-107700,-186648,-152587,-45843
68,Total Liabilities And Stockholders Equity,438060,338703,194592,113708,91837,65765,74112,65854,21417,12926,10311,16456,22978,21596,20716,3928,2281,3648,3987,10731,28929,22172,19853,956
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,438060,338703,194592,113708,91837,65765,74112,65854,21417,12926,10311,16456,22978,21596,20716,3928,2281,3648,3987,10731,28929,22172,19853,956
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/724445/000110465909035883/0001104659-09-035883-index.html,- -,https://www.sec.gov/Archives/edgar/data/724445/000110465911032257/0001104659-11-032257-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465912040430/0001104659-12-040430-index.htm,https://www.sec.gov/Archives/edgar/data/724445/000110465913045361/0001104659-13-045361-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465914042526/0001104659-14-042526-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465915042084/0001104659-15-042084-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465916126875/0001104659-16-126875-index.htm,https://www.sec.gov/Archives/edgar/data/724445/000110465917031953/0001104659-17-031953-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465918035071/0001104659-18-035071-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465919032421/0001104659-19-032421-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465920067054/0001104659-20-067054-index.htm,https://www.sec.gov/Archives/edgar/data/724445/000110465921071200/0001104659-21-071200-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-7124751,-5037675,-4381494,-4592865,-5175804,-4420786,-4383830,-4965539,-4600737,-4302706,-4522097,-5127729,-4830610,-5031242,-7157662,-6498806,-4271785,-2892048,-2005100,-1504717,-1612101,-1637717,-1634482,-1203998
74,Depreciation and Amortization,211833,179002,135245,69737,36874,17127,13424,5280,3890,1344,1964,1389,905,736,701,683,684,684,684,684,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-742672,463880,104225,110719,42571,-33275,-18250,17115,37762,-23553,-9944,-27714,39776,-2041,10708,-42731,-65276,12963,38009,68701,-74699,-78948,34061,106744
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45027,-36686,-2548,-26958,35236,66819,-14427,-35500,-44741,22289,59124,-40260,-28293
81,Other Working Capital,-756646,-292766,-188541,-77822,-35251,-68526,-86776,-69661,-31899,-55452,-65396,-93110,-53334,-55375,-44667,-87398,-152674,-139711,-101702,-33001,-107700,-186648,-152587,-45843
82,Other Non-Cash Items,5770560,3406313,3274096,3756315,4413719,3715989,3730427,4189166,3874898,3720768,4161426,4741588,4180751,4526791,6642189,5869567,3898014,2524723,1715391,1120817,1367307,1239149,1070308,702885
83,Cash Provided by Operating Activities,-1885030,-988480,-867928,-656094,-682640,-720945,-658229,-753978,-684187,-604147,-368651,-412466,-609178,-505756,-504064,-671287,-438363,-353678,-251016,-314515,-319493,-477516,-530113,-394369
84,CAPEX,-4185,-57445,-3304,-5463,-262,-11714,-3735,- -,- -,- -,-6838,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,22500,- -,- -,- -,- -,- -,- -,- -,95000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,18315,-57445,-3304,-5463,-262,-11714,-3735,- -,95000,- -,-6838,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,-63723,-71090,-57769,-22298,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,597000,368000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1921322,1141015,918500,671000,698243,712000,679000,752000,590000,- -,- -,420000,616605,505110,503885,655182,437400,355729,252039,311943,319268,477718,529568,394268
95,Cash Used/Provided by Financing Activities,1857599,1069925,860731,648702,698243,712000,679000,752000,590000,597000,368000,420000,616605,505110,503885,655182,437400,355729,252039,311943,319268,477718,529568,394268
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-9116,24000,-10501,-12855,15341,-20659,17036,-1978,813,-7147,-7489,7534,7427,-646,-179,-16105,-963,2051,1023,-2572,-225,202,-545,-101
98,Cash at the End of Period,6600,30600,20099,7244,22585,1926,18962,16984,17797,10650,3161,10695,18122,17476,17297,1192,229,2280,3303,731,506,708,163,62
99,Cash at the Beginning of Period,15716,6600,30600,20099,7244,22585,1926,18962,16984,17797,10650,3161,10695,18122,17476,17297,1192,229,2280,3303,731,506,708,163
100,Free Cash Flow,-1889215,-1045925,-871232,-661557,-682902,-732659,-661964,-753978,-684187,-604147,-375489,-412466,-609178,-505756,-504064,-671287,-438363,-353678,-251016,-314515,-319493,-477516,-530113,-394369
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/724445/000110465909035883/0001104659-09-035883-index.html,- -,https://www.sec.gov/Archives/edgar/data/724445/000110465911032257/0001104659-11-032257-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465912040430/0001104659-12-040430-index.htm,https://www.sec.gov/Archives/edgar/data/724445/000110465913045361/0001104659-13-045361-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465914042526/0001104659-14-042526-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465915042084/0001104659-15-042084-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465916126875/0001104659-16-126875-index.htm,https://www.sec.gov/Archives/edgar/data/724445/000110465917031953/0001104659-17-031953-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465918035071/0001104659-18-035071-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465919032421/0001104659-19-032421-index.html,https://www.sec.gov/Archives/edgar/data/724445/000110465920067054/0001104659-20-067054-index.htm,https://www.sec.gov/Archives/edgar/data/724445/000110465921071200/0001104659-21-071200-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
