,https://roic.ai/company/VBIX,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,-1263,719,354,- -,- -,10504,-9570,-9500,-8800,-76925,-719275,-414195,-307520,1904252,-98000,13000,-30000
20,Income Before Tax,- -,- -,- -,-10000,-60000,-40000,-50000,-40000,-40000,-50000,-50000,-50000,-105050,-8756270,-5808930,-1573910,-560000,-1102000,-441000,-384000
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.2222,-5.2981,-4.5938,-9.3659
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,15000,2000,2000
23,Net Income,- -,- -,-404,-10000,-60000,-40000,-50000,-40000,-40000,-50000,-50000,-50000,-105050,-8756270,-5808930,-1573910,-575000,-1117000,-443000,-386000
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.2817,-5.3702,-4.6146,-9.4146
25,EPS,- -,- -,-0.15,-1.54,-3.93,-2.59,-3.00,-2.40,-1.80,-1.80,-1.80,-1.80,-3.90,-12.15,-4.65,-1.05,-6.15,-0.08,-0.01,-0.01
26,EPS Diluted,- -,- -,-0.15,-1.54,-3.93,-2.59,-3.00,-2.40,-1.80,-1.80,-1.80,-1.80,-3.90,-12.15,-4.65,-1.05,-6.15,-0.08,-0.01,-0.01
27,Weighted Average Shares Outstanding,- -,- -,2707,5680,15464,15556,16972,18140,23927,27713,28252,28252,44074,724838,1264408,1452067,4077731,13746064,31201669,31201669
28,Weighted Average Shares Outstanding Diluted,- -,- -,2707,5680,15464,15556,16972,18140,23927,27713,28252,28252,44074,724838,1264408,1452067,4077731,13746064,31201669,31201669
29,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797542/000129534509000024/0001295345-09-000024-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/797542/000129534512000028/0001295345-12-000028-index.html,https://www.sec.gov/Archives/edgar/data/797542/000129534513000037/0001295345-13-000037-index.html,https://www.sec.gov/Archives/edgar/data/797542/000129534514000050/0001295345-14-000050-index.htm,- -,https://www.sec.gov/Archives/edgar/data/797542/000129534516000489/0001295345-16-000489-index.html,https://www.sec.gov/Archives/edgar/data/797542/000149315217004077/0001493152-17-004077-index.htm,https://www.sec.gov/Archives/edgar/data/797542/000149315218005357/0001493152-18-005357-index.htm,https://www.sec.gov/Archives/edgar/data/797542/000149315219004164/0001493152-19-004164-index.html,https://www.sec.gov/Archives/edgar/data/797542/000149315220004372/0001493152-20-004372-index.htm,https://www.sec.gov/Archives/edgar/data/797542/000149315221006123/0001493152-21-006123-index.htm,https://www.sec.gov/Archives/edgar/data/797542/000149315222007150/0001493152-22-007150-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,170,- -,- -,- -,- -,- -,- -,14410,115450,4490,2960,51000,87000,148000,74000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,170,- -,- -,- -,- -,- -,- -,14410,115450,4490,2960,51000,87000,148000,74000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25720,25800,9360,12220,93000,119000,35000,8000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10,- -,9000,19000,42000,74000
37,Total Current Assets,- -,- -,- -,- -,- -,170,- -,- -,- -,- -,- -,- -,40130,141250,13840,15180,153000,225000,225000,156000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1390,21120,31800,14290,5000,5000,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11930,60,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1390,21120,43730,14350,5000,5000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,170,- -,- -,- -,- -,- -,- -,41520,162370,57570,29530,158000,230000,225000,156000
48,Accounts Payable,- -,- -,- -,- -,40000,50000,- -,- -,- -,- -,- -,- -,4440,3480,125960,82330,19000,66000,22000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000,85000,85000,- -,149693,409588,317635,485449,- -,50000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,10000,- -,90000,110000,140000,95000,145000,195000,133200,135607,758922,611975,328551,1857000,2231000,2436000
53,Total Current Liabilities,- -,- -,- -,- -,50000,50000,90000,110000,140000,180000,230000,280000,137640,288780,1294470,1011940,833000,1923000,2303000,2436000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,606170,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,606170,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,50000,50000,90000,110000,140000,180000,230000,280000,137640,288780,1294470,1618110,833000,1923000,2303000,2436000
62,Preferred Stock,- -,- -,84,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,10000,10000,10000,- -,- -,- -,- -,- -,- -,740,1530,1990,2260,1000,3000,3000,3000
64,Retained Earnings,- -,- -,- -,-10000,-70000,-110000,-160000,-210000,-250000,-300000,-350000,-400000,-105050,-8861320,-15046510,-16620420,-13594000,-14711000,-15154000,-15540000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19337,-19337,-19337,-19337,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,-3157,14124,48770,70000,100000,110000,120000,120000,120000,-80849,8752718,14163230,15048921,13195861,13015000,13073000,13257000
67,Total Stockholders Equity,- -,- -,84,-3157,-45876,-51230,-91538,-108905,-143849,-176679,-227379,-278779,-185159,-126409,-900627,-1588576,-416476,-1693000,-2078000,-2280000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,4124,-1230,-1538,1095,-3849,3321,2621,1221,-47519,162371,393843,29534,416524,230000,225000,156000
69,Minority Interest,- -,- -,- -,- -,-4124,1400,1538,-1095,3849,-3321,-2621,-1221,89039,-1,-336273,-4,-258524,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,170,- -,- -,- -,- -,- -,- -,41520,162370,57570,29530,158000,230000,225000,156000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797542/000129534509000024/0001295345-09-000024-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/797542/000129534512000028/0001295345-12-000028-index.html,https://www.sec.gov/Archives/edgar/data/797542/000129534513000037/0001295345-13-000037-index.html,https://www.sec.gov/Archives/edgar/data/797542/000129534514000050/0001295345-14-000050-index.htm,- -,https://www.sec.gov/Archives/edgar/data/797542/000129534516000489/0001295345-16-000489-index.html,https://www.sec.gov/Archives/edgar/data/797542/000149315217004077/0001493152-17-004077-index.htm,https://www.sec.gov/Archives/edgar/data/797542/000149315218005357/0001493152-18-005357-index.htm,https://www.sec.gov/Archives/edgar/data/797542/000149315219004164/0001493152-19-004164-index.html,https://www.sec.gov/Archives/edgar/data/797542/000149315220004372/0001493152-20-004372-index.htm,https://www.sec.gov/Archives/edgar/data/797542/000149315221006123/0001493152-21-006123-index.htm,https://www.sec.gov/Archives/edgar/data/797542/000149315222007150/0001493152-22-007150-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-404,-10000,-60000,-40000,-50000,-40000,-40000,-50000,-50000,-50000,-105050,-8756270,-5808930,-1573910,-575000,-1117000,-443000,-386000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70,6494,12422,17513,14290,1000,5000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76616,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-50000,170,-40170,-20000,-30000,-40000,-50000,-50000,182490,-50020,-1133100,283870,316760,-1018000,-380000,-202000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,-40000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500,- -,- -,183993,-103051,36000,-55000,- -
81,Other Working Capital,- -,- -,- -,- -,-50000,-49830,-90000,-110000,-140000,-180000,-230000,-280000,-97510,-147530,-1280630,-996760,-680000,-1698000,-2078000,-2280000
82,Other Non-Cash Items,- -,- -,- -,1263,69781,34976,87397,59181,70000,90000,100000,94050,-76510,7497973,6071075,565896,-1300103,1999000,765000,588000
83,Cash Provided by Operating Activities,- -,- -,-404,-8737,-40219,-4854,-2773,-819,- -,- -,- -,-5950,1000,-1301823,-858533,-630015,-1544053,-135000,-53000,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26224,-23105,- -,- -,-2000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,467380,-11925,11866,- -,1000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,441156,-35030,11866,- -,-1000,13000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,84,5900,- -,- -,- -,- -,- -,- -,- -,- -,- -,380000,47600,536613,1940950,- -,49000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,404,3214,39777,5005,2720,700,- -,- -,- -,5950,- -,609974,735000,80000,100063,174000,50000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,488,9114,39777,5005,2720,700,- -,- -,- -,5950,- -,989974,782600,616613,2041013,174000,99000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28269,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,488,377,-442,151,-53,700,- -,- -,- -,5950,- -,101038,-110963,-1527,496960,38000,59000,- -
98,Cash at the End of Period,- -,- -,84,461,19,170,117,- -,- -,- -,- -,- -,1000,115449,4486,2959,499919,89000,148000,- -
99,Cash at the Beginning of Period,- -,- -,- -,84,461,19,170,119,- -,- -,- -,- -,- -,14411,115449,4486,2959,51000,89000,148000
100,Free Cash Flow,- -,- -,-404,-8737,-40219,-4854,-2773,-819,- -,- -,- -,-5950,1000,-1328047,-881638,-630015,-1544053,-137000,-53000,- -
101,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797542/000129534509000024/0001295345-09-000024-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/797542/000129534512000028/0001295345-12-000028-index.html,https://www.sec.gov/Archives/edgar/data/797542/000129534513000037/0001295345-13-000037-index.html,https://www.sec.gov/Archives/edgar/data/797542/000129534514000050/0001295345-14-000050-index.htm,- -,https://www.sec.gov/Archives/edgar/data/797542/000129534516000489/0001295345-16-000489-index.html,https://www.sec.gov/Archives/edgar/data/797542/000149315217004077/0001493152-17-004077-index.htm,https://www.sec.gov/Archives/edgar/data/797542/000149315218005357/0001493152-18-005357-index.htm,https://www.sec.gov/Archives/edgar/data/797542/000149315219004164/0001493152-19-004164-index.html,https://www.sec.gov/Archives/edgar/data/797542/000149315220004372/0001493152-20-004372-index.htm,https://www.sec.gov/Archives/edgar/data/797542/000149315221006123/0001493152-21-006123-index.htm,https://www.sec.gov/Archives/edgar/data/797542/000149315222007150/0001493152-22-007150-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
