,https://roic.ai/company/TMBR,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,85000,85000,85000,154000,- -,- -,114534,127534
45,Total Non-Current Assets,- -,470000,468000,420000,274000,109000,- -,901966,782697
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2990000,2173000,4851000,7101000,8090000,89893,11627949,17901474
48,Accounts Payable,- -,486000,1152000,1777000,2551000,1376000,501451,395049,953349
49,Short-Term Debt,- -,199000,218000,- -,- -,- -,- -,217651,370589
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,682000,187000,1020000,1176000,1603000,964660,768661,2868133
53,Total Current Liabilities,- -,1367000,1557000,2797000,3727000,2979000,1466111,1381361,4192071
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,617227,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,37842,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,403000,39000,- -,1983488,442607
58,Total Non-Current Liabilities,- -,- -,- -,- -,403000,39000,- -,2638557,442607
59,Other Liabilities,- -,6730000,6823000,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,797106,- -
61,Total Liabilities,- -,8097000,8380000,2797000,4130000,3018000,1466111,4019918,4634678
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,11000,11000,25000,68000,160000,1698895,27132,63619
64,Retained Earnings,- -,-9490000,-10634000,-26232000,-44638000,-61278000,-3075113,-18245396,-28884542
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,4372000,4416000,28261000,47541000,66190000,- -,25826295,42087719
67,Total Stockholders Equity,- -,-5107000,-6207000,2054000,2971000,5072000,-1376218,7608031,13266796
68,Total Liabilities And Stockholders Equity,- -,2990000,2173000,4851000,7101000,8090000,89893,11627949,17901474
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2990000,2173000,4851000,7101000,8090000,89893,11627949,17901474
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1504167/000110465915028748/0001104659-15-028748-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000110465915028748/0001104659-15-028748-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000104746916012794/0001047469-16-012794-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000155837017002791/0001558370-17-002791-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000155837018003341/0001558370-18-003341-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1504167/000110465921068199/0001104659-21-068199-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000155837022004943/0001558370-22-004943-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,-7807000,- -,-15598000,-18406000,-16640000,-17258000,-15117614,-10639146
74,Depreciation and Amortization,- -,25000,- -,86000,260000,52000,62000,116938,271455
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,37842,-37842
76,Stock Based Compensation,- -,1193000,- -,1214000,1491000,1887000,2061000,218919,636093
77,Change in Working Capital,- -,1885000,1486000,1466000,1902000,-3914000,-2464218,10720840,3582084
78,Accounts Receivable,- -,-2000,- -,-6000,3000,-3000,- -,- -,- -
79,Inventory,- -,-138000,- -,60000,62000,28000,- -,- -,- -
80,Accounts Payable,- -,74000,- -,7000,-225000,-1175000,-13000,-716525,558300
81,Other Working Capital,- -,148000,1634000,3100000,5002000,1088000,-1376218,9344622,12926706
82,Other Non-Cash Items,- -,-1297000,-1486000,218000,-993000,3028000,2607218,-4270238,-3126804
83,Cash Provided by Operating Activities,- -,-6001000,- -,-12614000,-15746000,-15587000,-14992000,-8293313,-9314160
84,CAPEX,- -,-228000,- -,-38000,-45000,-41000,-43000,-750000,-17804
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,340786,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-35000,- -,- -,- -,- -,- -,-3000000,- -
89,Cash Used for Investing Activites,- -,-263000,- -,-38000,-45000,-41000,-43000,-2659214,-17804
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-19000,- -,- -
91,Common Stock Issued,- -,99000,- -,13316000,- -,- -,- -,17500000,15791810
92,Common Stock Repurchased,- -,- -,- -,14886000,16753000,16703000,10547000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-129992
94,Other Financing Activites,- -,8273000,- -,-12816000,1500000,- -,- -,3744147,129992
95,Cash Used/Provided by Financing Activities,- -,8372000,- -,15386000,18253000,16703000,10528000,21244147,15791810
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,2108000,- -,2734000,2462000,1075000,-4507000,10291620,6459846
98,Cash at the End of Period,- -,2111000,1305000,2734000,6501000,7576000,3069000,10348693,16808539
99,Cash at the Beginning of Period,- -,3000,1305000,- -,4039000,6501000,7576000,57073,10348693
100,Free Cash Flow,- -,-6229000,- -,-12652000,-15791000,-15628000,-15035000,-9043313,-9331964
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1504167/000110465915028748/0001104659-15-028748-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000110465915028748/0001104659-15-028748-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000104746916012794/0001047469-16-012794-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000155837017002791/0001558370-17-002791-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000155837018003341/0001558370-18-003341-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000155837019002016/0001558370-19-002016-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000110465921068199/0001104659-21-068199-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000155837022004943/0001558370-22-004943-index.htm
102,false,,,,,,,,,
