,https://roic.ai/company/MRVI,2018,2019,2020,2021
89,Cash Used for Investing Activites,-3451000,-17148000,6068000,105655000
90,Debt Repayment,-255202000,-2640000,-412076000,-6000000
91,Common Stock Issued,- -,- -,1758932000,- -
92,Common Stock Repurchased,- -,- -,-1457982000,- -
93,Dividends Paid,-52056000,- -,- -,- -
94,Other Financing Activites,298091000,-1527000,164338000,-153049000
95,Cash Used/Provided by Financing Activities,-9167000,-4167000,53212000,-159049000
96,Effect of Forex Changes on Cash,-69000,34000,17000,-88000
97,Net Change In Cash,-12873000,2834000,211484000,315088000
98,Cash at the End of Period,21866000,24700000,236184000,551272000
99,Cash at the Beginning of Period,34739000,21866000,24700000,236184000
100,Free Cash Flow,-3797000,6967000,126779000,353720000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1823239/000182323921000006/0001823239-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1823239/000182323922000012/0001823239-22-000012-index.htm
102,false,,,,
