,https://roic.ai/company/ASLE,2018,2019,2020,2021
51,Deferred Revenue,- -,11182682,5414966,36072000
52,Other Current Liabilities,- -,9629084,9901422,11867000
53,Total Current Liabilities,- -,41193884,31680087,67906000
54,Long-Term Debt,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1113000
57,Other Non-Current Liabilities,- -,8805007,4808506,9587000
58,Total Non-Current Liabilities,- -,8805007,4808506,10700000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,- -,49998891,36488593,78606000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,529,4105,5000
64,Retained Earnings,- -,50764127,59246640,94973000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,243220709,293390354,- -
67,Total Stockholders Equity,- -,293985365,352641099,408879000
68,Total Liabilities And Stockholders Equity,- -,343984256,389129692,487485000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,343984256,389129692,487485000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1754170/000110465921037098/0001104659-21-037098-index.htm,https://www.sec.gov/Archives/edgar/data/1754170/000155837022003617/0001558370-22-003617-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,8853211,15499000,8482513,36115000
74,Depreciation and Amortization,29826222,30081000,24222907,12998000
75,Deferred Income Tax,-7815572,2462000,21611,-3192000
76,Stock Based Compensation,- -,- -,1042456,12721000
77,Change in Working Capital,7787402,-9000000,-63639304,4423000
78,Accounts Receivable,-8936950,-21535000,-2586940,3868000
79,Inventory,7717316,3421000,-55275418,-35672000
80,Accounts Payable,1224994,3772000,-800943,3603000
81,Other Working Capital,3175879,4343000,-7976906,26532000
82,Other Non-Cash Items,16000829,24464000,17638917,16014000
83,Cash Provided by Operating Activities,54652092,63506000,-12230900,79079000
84,CAPEX,-8824325,-38127000,-7265111,-3891000
85,Acquisitions Net,-22283660,-26081000,-16975595,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,75297892,2115000,3100000,17095000
89,Cash Used for Investing Activites,44189907,-62093000,-21140706,13204000
90,Debt Repayment,-102569941,-83216000,-100150243,- -
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-694000
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,17560779,77704000,145333793,9282000
95,Cash Used/Provided by Financing Activities,-85009162,-5512000,45183550,8588000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,13832837,-4099000,11811944,100871000
98,Cash at the End of Period,21604166,17505000,29316946,130188000
99,Cash at the Beginning of Period,7771329,21604000,17505002,29317000
100,Free Cash Flow,45827767,25379000,-19496011,75188000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1754170/000110465921037098/0001104659-21-037098-index.htm,https://www.sec.gov/Archives/edgar/data/1754170/000155837022003617/0001558370-22-003617-index.htm
102,false,,,,
