,https://roic.ai/company/JD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
69,Minority Interest,- -,- -,- -,- -,137833000,269962000,347889000,1095887000,2803877000,16942613000,36660571000
70,Total Liabilities & Equity,10578969000,17886054000,26009812000,66493172000,85166169000,160373518000,184054966000,209164857000,259723704000,422287794000,496506717000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1549802/000110465915028403/a15-5694_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000110465916111984/a16-3659_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000110465917028187/a17-4445_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000110465918027777/a18-5116_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000110465919021236/a18-42062_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000119312520108084/d875897d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-1283745000,-1729473000,-49899000,-4996358000,-9378016000,-3362133000,128764000,-2489141000,12187255000,49405223000,-3559554000
74,Depreciation and Amortization,73946000,185730000,293141000,1650533000,2619061000,3633346000,4192716000,5560034000,5828055000,6067654000,- -
75,Deferred Income Tax,- -,6127000,-40000,-4169000,-42584000,-34782000,-221010000,-10454000,533117000,-718927000,- -
76,Stock Based Compensation,70964000,225039000,261173000,4249548000,1193945000,2343785000,2780062000,3659989000,3694955000,4155933000,- -
77,Change in Working Capital,1068998000,2721415000,3110595000,-13255000,-3174263000,3007632000,18770766000,12356156000,7766342000,18677943000,- -
78,Accounts Receivable,-183848000,-226931000,-22844000,-2004884000,-7395424000,-9697221000,-545991000,4287004000,3936793000,-412132000,- -
79,Inventory,-1684694000,-1989996000,-1632326000,-5804688000,-8348700000,-8369883000,-12788337000,-2342058000,-13915610000,799356000,- -
80,Accounts Payable,2420088000,4155911000,2687361000,4902844000,13113084000,13693690000,26106191000,5466698000,10391341000,11094782000,- -
81,Other Working Capital,232058000,19947000,1839746000,1855811000,957797000,4272979000,-270532000,-1349318000,3515798000,3816726000,- -
82,Other Non-Cash Items,-16554000,-5186000,-45151000,128717000,6970306000,3179169000,-830025000,1804838000,-5228504000,-35043509000,45860848000
83,Cash Provided by Operating Activities,-86391000,1403652000,3569819000,1015016000,-1811551000,8767017000,24821273000,20881422000,24781220000,42544317000,42301294000
84,CAPEX,-623410000,-1147735000,-1292081000,-2902066000,-5299759000,-4460165000,-11355875000,-21369494000,-8999592000,-12456894000,- -
85,Acquisitions Net,-840000,-141719000,-33971000,825752000,-7447128000,-8241804000,6861391000,-15811444000,-6943504000,-15175630000,- -
86,Purchases of Investments,-300000000,-2590000000,-9966200000,-19525541000,-6161386000,-42251129000,-16113020000,-7080283000,-25272163000,-66868107000,- -
87,Sales/Maturities of Investments,300000000,510000000,9166200000,7853607000,16625621000,19803962000,6211608000,9371062000,3027412000,34287402000,- -
88,Other Investing Activites,-173465000,-414301000,-659789000,103981000,-932314000,-13848207000,-27896508000,4544065000,11757935000,865021000,-74247932000
89,Cash Used for Investing Activites,-624250000,-3369454000,-2671052000,-13203248000,-2282652000,-48268577000,-37498092000,-26078992000,-25349357000,-57810588000,-74247932000
90,Debt Repayment,- -,- -,-865108000,-946396000,-3726171000,-14070772000,-13246259000,-13160194000,-9855995000,-16777254000,- -
91,Common Stock Issued,6248610000,1571431000,2720076000,17447653000,- -,- -,- -,3531870000,- -,31341555000,- -
92,Common Stock Repurchased,-11712000,- -,- -,- -,- -,-5338274000,- -,-205886000,-131010000,-311776000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1282200000,940216000,1890771000,8426444000,60108517000,32481244000,21054138000,12559472000,56819070000,19503296000
95,Cash Used/Provided by Financing Activities,6236898000,2853631000,2795184000,18392028000,4700273000,40699471000,19234985000,11219928000,2572467000,71071595000,19503296000
96,Effect of Forex Changes on Cash,-107439000,688000,-58906000,-101484000,343147000,709916000,-641534000,1681163000,405891000,-5082380000,-1499783000
97,Net Change In Cash,5418818000,888517000,3635045000,6102312000,949217000,1907827000,5916632000,7703521000,2410221000,50607026000,-13943125000
98,Cash at the End of Period,6288777000,7177294000,10812339000,16914651000,17863868000,19771695000,25688327000,37502058000,39912279000,90519305000,76692098000
99,Cash at the Beginning of Period,869959000,6288777000,7177294000,10812339000,16914651000,17863868000,19771695000,29798537000,37502058000,39912279000,90635223000
100,Free Cash Flow,-709801000,255917000,2277738000,-1887050000,-7111310000,4306852000,13465398000,-488072000,15781628000,30087423000,42301294000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1549802/000110465915028403/a15-5694_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000110465916111984/a16-3659_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000110465917028187/a17-4445_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000110465918027777/a18-5116_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000110465919021236/a18-42062_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000119312520108084/d875897d20f.htm,- -,- -
102,Forex Rate,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
