,https://roic.ai/company/IRTC,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-15832000,-22799000,-20903000,-29420000,-48280000,-54568000,-43830000,-101361000
24,Net Income ratio,-0.7279,-0.6309,-0.3262,-0.2987,-0.3278,-0.2543,-0.1653,-0.3140
25,EPS,-1.07,-1.57,-3.95,-1.30,-2.02,-2.16,-1.58,-3.45
26,EPS Diluted,-1.07,-1.57,-3.95,-1.30,-2.02,-2.16,-1.58,-3.45
27,Weighted Average Shares Outstanding,14768259,14427447,5285847,22627327,23885858,25265918,27754404,29397845
28,Weighted Average Shares Outstanding Diluted,14768259,14427447,5285847,22627327,23885858,25265918,27754404,29397845
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1388658/000156459017005767/0001564590-17-005767-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000156459018004080/0001564590-18-004080-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000156459019005924/0001564590-19-005924-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000138865820000034/0001388658-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000138865821000039/0001388658-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000138865822000020/0001388658-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,8618000,25208000,51643000,8671000,20023000,20462000,88628000,127562000
32,Short-Term Investments,- -,- -,54407000,93692000,58320000,120089000,246589000,111569000
33,Cash and Short-Term Investments,8618000,25208000,106050000,102363000,78343000,140551000,335217000,239131000
34,Net Receivables,5853000,5577000,9406000,12953000,21977000,23867000,29932000,46430000
35,Inventory,818000,1145000,1390000,1683000,2062000,4037000,5313000,10268000
36,Other Current Assets,243000,899000,1762000,2582000,4100000,4337000,7363000,9693000
37,Total Current Assets,15532000,32829000,118608000,119581000,106482000,172792000,377825000,305522000
38,PP&E,751000,2036000,4653000,6221000,9158000,116588000,118961000,140531000
39,Goodwill,862000,862000,862000,862000,862000,862000,862000,862000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,862000,862000,862000,862000,862000,862000,862000,862000
42,Investments,- -,- -,10981000,2994000,- -,8030000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1364000,2145000,3052000,3465000,3208000,7940000,14091000,16052000
45,Total Non-Current Assets,2977000,5043000,19548000,13542000,13228000,133420000,133914000,157445000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18509000,37872000,138156000,133123000,119710000,306212000,511739000,462967000
48,Accounts Payable,1197000,1459000,2103000,2395000,2284000,8243000,4365000,10509000
49,Short-Term Debt,- -,- -,- -,1487000,- -,9858000,19838000,22809000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,421000,506000,947000,1238000,1243000,1251000,930000,3049000
52,Other Current Liabilities,3242000,6810000,10165000,15798000,26709000,32714000,40532000,51486000
53,Total Current Liabilities,4860000,8775000,13215000,20918000,30236000,52066000,65665000,87853000
54,Long-Term Debt,6255000,30552000,32227000,32491000,34899000,32989000,21339000,94902000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,87938000,100169000,152000,161000,153000,85748000,83123000,697000
58,Total Non-Current Liabilities,94193000,130721000,32379000,32652000,35052000,118737000,104462000,95599000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,93662000,89464000,96354000
61,Total Liabilities,99053000,139496000,45594000,53570000,65288000,170803000,170127000,183452000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,22000,23000,23000,25000,27000,27000
64,Retained Earnings,-83467000,-106266000,-127169000,-156589000,-203515000,-260393000,-304684000,-406045000
65,Other Comprehensive Income/Loss,-1242000,-1083000,-9000,-65000,-41000,82000,11000,-61000
66,Other Total Stockholders Equity,4164000,5724000,219718000,236184000,257955000,395695000,646258000,685594000
67,Total Stockholders Equity,-80544000,-101624000,92562000,79553000,54422000,135409000,341612000,279515000
68,Total Liabilities And Stockholders Equity,18509000,37872000,138156000,133123000,119710000,306212000,511739000,462967000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18509000,37872000,138156000,133123000,119710000,306212000,511739000,462967000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1388658/000156459017005767/0001564590-17-005767-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000156459018004080/0001564590-18-004080-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000156459019005924/0001564590-19-005924-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000138865820000034/0001388658-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000138865821000039/0001388658-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000138865822000020/0001388658-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-15832000,-22799000,-20903000,-29420000,-48280000,-54568000,-43830000,-101361000
74,Depreciation and Amortization,242000,492000,568000,1597000,2269000,3445000,6900000,9842000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,828000,1410000,1871000,10123000,16329000,26241000,41515000,54527000
77,Change in Working Capital,-1674000,13382000,81339000,-6730000,-22417000,44480000,191434000,-46228000
78,Accounts Receivable,-2565000,-626000,-8515000,-12950000,-22885000,-28725000,-37957000,-53572000
79,Inventory,-71000,-327000,-245000,-293000,-380000,-1974000,-1389000,-4960000
80,Accounts Payable,703000,132000,305000,634000,-192000,5604000,-3881000,6135000
81,Other Working Capital,10672000,24054000,105393000,98663000,76246000,120726000,312160000,2119000
82,Other Non-Cash Items,810000,-10490000,-79526000,9519000,23031000,-41461000,-209778000,45467000
83,Cash Provided by Operating Activities,-15626000,-18005000,-16651000,-14911000,-29068000,-21863000,-13759000,-37753000
84,CAPEX,-539000,-1787000,-2763000,-3562000,-5180000,-20457000,-13551000,-28067000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-65403000,-129829000,-93158000,-165915000,-277510000,-122184000
87,Sales/Maturities of Investments,- -,- -,- -,98707000,132455000,97098000,158670000,255515000
88,Other Investing Activites,- -,- -,- -,91000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-539000,-1787000,-68166000,-34593000,34117000,-89274000,-132391000,105264000
90,Debt Repayment,-4500000,-4905000,- -,- -,-31500000,- -,-1944000,-11667000
91,Common Stock Issued,- -,309000,114436000,- -,- -,116864000,206025000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,22184000,40978000,-3184000,6532000,37803000,-5288000,10235000,-16910000
95,Cash Used/Provided by Financing Activities,17684000,36382000,111252000,6532000,6303000,111576000,214316000,-28577000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1519000,16590000,26435000,-42972000,11352000,439000,68166000,38934000
98,Cash at the End of Period,8618000,25208000,51643000,8671000,20023000,20462000,88628000,127562000
99,Cash at the Beginning of Period,7099000,8618000,25208000,51643000,8671000,20023000,20462000,88628000
100,Free Cash Flow,-16165000,-19792000,-19414000,-18473000,-34248000,-42320000,-27310000,-65820000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1388658/000156459017005767/0001564590-17-005767-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000156459018004080/0001564590-18-004080-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000156459019005924/0001564590-19-005924-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000138865820000034/0001388658-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000138865821000039/0001388658-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1388658/000138865822000020/0001388658-22-000020-index.htm
102,false,,,,,,,,
