,https://roic.ai/company/CAMT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,-1421000,-1712000,-7434000,-240000,-220000,-829000,-673000,-1696000,-3405000,-1373000,-414000,-1893000,-1547000,-2257000,-1999000,-717000,-1904000,-1640000,-3222000,-2335000,-1362000,-2626000,-4176000
85,Acquisitions Net,- -,- -,-1191000,- -,- -,- -,- -,- -,- -,- -,-13000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-33365000,-20689000,- -,- -,- -,-2103000,-3891000,-6770000,-397000,- -,- -,- -,-3789000,- -,-2607000,- -,- -,- -,- -,-51500000,-20500000,-116000000
87,Sales/Maturities of Investments,- -,6520000,33754000,- -,10920000,- -,- -,3900000,6425000,2875000,- -,- -,- -,- -,1160000,- -,1461000,7875000,- -,- -,- -,- -,- -
88,Other Investing Activites,47000,105000,80000,2900000,39000,25000,18000,- -,40000,-352000,-116000,-5382000,592000,-222000,-142000,-154000,-118000,-305000,29770000,-16000,1151000,-216000,-111000
89,Cash Used for Investing Activites,-1374000,-28452000,4520000,2660000,10739000,-804000,-2758000,-1687000,-3710000,1105000,-427000,-7068000,-472000,-6046000,-839000,-3324000,-443000,6235000,26632000,-2259000,-51605000,-23126000,-120176000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1667000,-3647000,-1775000,-599000,-4700000,-6252000,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,274000,36013000,46000,- -,- -,- -,15000,15150000,32000,- -,- -,- -,146000,- -,- -,- -,11904000,- -,- -,- -,16026000,64288000,- -
92,Common Stock Repurchased,- -,- -,-592000,5680000,- -,-1122000,- -,- -,- -,-905000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5001000,-5063000,-6551000,- -,- -
94,Other Financing Activites,1701000,-8264000,2686000,-4820000,2249000,35000,2665000,- -,- -,1500000,- -,2435000,3819000,3540000,265000,-258000,-172000,-4000,1341000,1757000,542000,629000,194801000
95,Cash Used/Provided by Financing Activities,1975000,27749000,2140000,860000,2249000,-1087000,2680000,15150000,32000,-1072000,-3647000,660000,3366000,-1160000,-5987000,-258000,11732000,-4000,-3660000,-3306000,10017000,64917000,194801000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,430000,203000,215000,-14000,222000,-83000,-62000,-199000,-646000,-205000,24000,-603000,-35000,74000,225000,546000
97,Net Change In Cash,210000,9255000,-2764000,-4130000,9939000,-3696000,-427000,14644000,-4757000,-2652000,-147000,-6225000,12608000,-3318000,-2372000,1725000,12613000,-11093000,24004000,11191000,-16888000,67768000,136128000
98,Cash at the End of Period,538000,9793000,7029000,2870000,12837000,9141000,8714000,23358000,18601000,15949000,15802000,9577000,22185000,18867000,16495000,18220000,30833000,19740000,43744000,54935000,38047000,105815000,241943000
99,Cash at the Beginning of Period,328000,538000,9793000,7000000,2898000,12837000,9141000,8714000,23358000,18601000,15949000,15802000,9577000,22185000,18867000,16495000,18220000,30833000,19740000,43744000,54935000,38047000,105815000
100,Free Cash Flow,-1812000,8246000,-16858000,-7900000,-3269000,-2634000,-1022000,-945000,-4687000,-4273000,3527000,-1932000,8250000,1693000,2654000,5236000,-375000,-18988000,-1587000,14456000,23264000,23126000,56781000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1109138/000104746904021998/a2139243z20-f.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891305000882/zk51575.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891306001201/zk62576.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891307001299/zk73815.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891308001672/zk85325.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891309000883/zk96642.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891310001545/zk1008400.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891311001051/zk1109724.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891312001044/zk1211265.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891313001068/zk1312874.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891314000808/zk1414507.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891315000920/zk1516415.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891316004756/0001178913-16-004756-index.html,https://www.sec.gov/Archives/edgar/data/1109138/000117891317000784/0001178913-17-000784-index.html,https://www.sec.gov/Archives/edgar/data/1109138/000117891318000847/0001178913-18-000847-index.html,https://www.sec.gov/Archives/edgar/data/1109138/000117891319000918/0001178913-19-000918-index.html,https://www.sec.gov/Archives/edgar/data/1109138/000117891320000959/0001178913-20-000959-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
