,https://roic.ai/company/TAUG,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,20000,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,430000,-10,- -,- -,- -,- -,- -,11084
45,Total Non-Current Assets,20000,70000,- -,2800000,2950000,2440000,2230000,- -,10000,10000,40000,30000,2240000,25280,6910,960,2490,13010,35570,103220
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20000,80000,- -,4570000,3870000,2620000,2470000,- -,70000,20000,670000,200000,3140000,358640,10160,3790,688840,960830,643460,2499787
48,Accounts Payable,20000,30000,- -,450000,1660000,1470000,470000,- -,140000,200000,210000,280000,290000,272060,307380,278630,29870,34700,76060,390947
49,Short-Term Debt,- -,- -,- -,- -,1359458,1554150,1656865,- -,301384,754572,179572,331425,320342,48775,273047,306320,254847,213875,649184,519245
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,68411,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,384,- -
52,Other Current Liabilities,10000,10000,40000,170000,-1109458,-924150,54724,110000,298616,715428,350428,568575,2279658,1357875,1724663,1431250,33873,208805,217102,257164
53,Total Current Liabilities,30000,40000,40000,620000,1910000,2100000,2250000,110000,740000,1670000,740000,1180000,2890000,1678710,2305090,2016200,318590,457380,942730,1167356
54,Long-Term Debt,- -,- -,- -,2720000,- -,- -,- -,- -,150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50100
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,72800,- -,8930,- -
58,Total Non-Current Liabilities,- -,- -,- -,2730000,- -,- -,- -,- -,150000,- -,- -,- -,- -,- -,- -,75000,72800,- -,8930,50100
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22824,64526
61,Total Liabilities,30000,40000,40000,3350000,1910000,2100000,2250000,110000,890000,1670000,740000,1180000,2890000,1678710,2305090,2091200,391390,457380,951660,1217456
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,8990,12200,17350,39190,680,1070,2760
64,Retained Earnings,-10000,-60000,-250000,-2810000,-6180000,-7750000,-8510000,-8850000,-11780000,-14590000,-20840000,-31990000,-41970000,-49243640,-51812790,-54084090,-54391500,-55488940,-58522630,-62149078
65,Other Comprehensive Income/Loss,- -,- -,- -,-215046,314207,444793,364610,- -,-25640,-31157,-2243,-1261,-181379,-236318,-240208,-240333,8042,- -,- -,- -
66,Other Total Stockholders Equity,- -,110000,210000,4245046,7825793,7835207,8365390,8740000,10985640,12971157,20772243,31011261,42399961,48150896,49745872,51770557,54641715,55991706,58213363,63417565
67,Total Stockholders Equity,-10000,46946,-43500,1222768,1960597,525967,217724,-111754,-820739,-1647965,-69977,-984642,258582,-1320072,-2294926,-2536516,297447,503446,-308197,1271247
68,Total Liabilities And Stockholders Equity,20000,86946,-3500,4572768,3870597,2625967,2467724,-1754,69261,22035,670023,195358,3148582,358638,10164,-445316,688837,960826,643463,2488703
69,Minority Interest,- -,-6946,3500,-2768,-597,-5967,2276,1754,739,-2035,-23,4642,-8582,2,-4,449106,3,4,-3,11084
70,Total Liabilities & Equity,20000,80000,- -,4570000,3870000,2620000,2470000,- -,70000,20000,670000,200000,3140000,358640,10160,3790,688840,960830,643460,2499787
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1142790/000142488408000136/awin10-k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1142790/000135448812003551/0001354488-12-003551-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000135448813003886/0001354488-13-003886-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315214002162/0001493152-14-002162-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315216010145/0001493152-16-010145-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315216010145/0001493152-16-010145-index.html,https://www.sec.gov/Archives/edgar/data/1142790/000149315217007635/0001493152-17-007635-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315218009295/0001493152-18-009295-index.html,https://www.sec.gov/Archives/edgar/data/1142790/000149315219009783/0001493152-19-009783-index.html,https://www.sec.gov/Archives/edgar/data/1142790/000149315220012174/0001493152-20-012174-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315221015598/0001493152-21-015598-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-10000,-40000,-220000,-1650000,-2270000,-1560000,-760000,-340000,-2940000,-2810000,-6250000,-11150000,-9980000,-5088960,-2569150,-2271300,-36130,-1097440,-3033290,-3626446
74,Depreciation and Amortization,- -,4855,- -,52504,119973,98407,74787,- -,1482,3596,5465,43919,111304,11286,9832,7034,796,964,914,1737
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,370000,1257061,1291034,3592047,5244911,4034370,2176163,749811,- -,698236,296705,569636,1019814
77,Change in Working Capital,12534,- -,-10000,1190000,-2140000,-930000,-90000,1900000,-570000,-980000,1550000,-900000,-980000,644650,-956490,288470,2381130,122680,-825280,1564051
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106726,-19051
79,Inventory,- -,-912,- -,-1316399,1218965,180012,-25352,- -,- -,- -,- -,- -,- -,-90987,9789,- -,- -,-10872,-117839,-518302
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,604903,58441,12624,163984,77799,-22791,7382,-28754,-205117,10360,41352,296892
81,Other Working Capital,-30000,-30000,-40000,1150000,-990000,-1920000,-2010000,-110000,-680000,-1660000,-110000,-1010000,-1990000,-1345350,-2301840,-2013370,367760,490440,-334840,1229211
82,Other Non-Cash Items,900,23222,215232,-1970199,2981710,1596388,-131212,-1930000,1535523,1758461,-1119808,4113680,4894911,412342,2370461,1324667,-2784198,348506,1777458,-1513734
83,Cash Provided by Operating Activities,3434,-11923,-14768,-2377695,-1308317,-795205,-906425,- -,-715934,-736909,-2222296,-2647490,-1919415,-1844519,-395536,-651129,259834,-328585,-1510562,-2554578
84,CAPEX,- -,- -,- -,-330850,-307655,-3020,-38185,- -,-10986,-2445,-33580,-10833,-298884,-11956,- -,-1081,-3109,-12390,-2612,-16094
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1243,- -,36478,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-836545,-56323,-105600,-656587
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6815,- -,- -,302827
88,Other Investing Activites,- -,15000,- -,- -,- -,8400,- -,- -,- -,- -,- -,-2721943,-689573,-28295,1272,- -,- -,- -,50159,-50159
89,Cash Used for Investing Activites,- -,15000,- -,-330850,-307655,5380,-38185,- -,-10986,-2445,-33580,-2724883,-694707,-40251,2515,-1081,-796361,-68713,-58053,-420013
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-62428,- -,- -,-52364,- -,-83333,- -,-1272,-318500,-141000,-27500,-271616
91,Common Stock Issued,15200,- -,13100,- -,- -,- -,- -,- -,136127,698796,2957856,5191121,989816,1118500,7500,453500,299600,331200,244420,2065726
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-18534,1106,- -,2910668,1068147,194692,784974,- -,733667,- -,-120000,-243956,2286797,194000,177000,200000,567700,580750,971100,1174800
95,Cash Used/Provided by Financing Activities,-3334,1106,13100,2910668,1068147,194692,784974,- -,807366,698796,2837856,4894801,3276613,1229167,184500,652228,548800,770950,1188020,2968910
96,Effect of Forex Changes on Cash,- -,- -,- -,-217722,528483,517329,159743,- -,-25640,-5518,28914,982,7382,51794,-577,- -,- -,- -,- -,- -
97,Net Change In Cash,-3334,4183,13100,-15599,-19342,-77804,107,- -,807366,-46076,610894,-476590,669873,-603809,184500,652228,12273,373652,-380595,44478
98,Cash at the End of Period,100,4283,- -,97487,78145,341,448,- -,54806,8730,619624,143034,812907,209098,- -,18,12291,385943,5348,49826
99,Cash at the Beginning of Period,- -,100,1668,113086,97487,78145,341,- -,- -,54806,8730,619624,143034,812907,209098,- -,18,12291,385943,5348
100,Free Cash Flow,3434,-11923,-14768,-2708545,-1615972,-798225,-944610,- -,-726920,-739354,-2255876,-2658323,-2218299,-1856475,-395536,-652210,256725,-340975,-1513174,-2570672
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1142790/000142488408000136/awin10-k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1142790/000135448812003551/0001354488-12-003551-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000135448813003886/0001354488-13-003886-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315214002162/0001493152-14-002162-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315216010145/0001493152-16-010145-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315216010145/0001493152-16-010145-index.html,https://www.sec.gov/Archives/edgar/data/1142790/000149315217007635/0001493152-17-007635-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315218009295/0001493152-18-009295-index.html,https://www.sec.gov/Archives/edgar/data/1142790/000149315219009783/0001493152-19-009783-index.html,https://www.sec.gov/Archives/edgar/data/1142790/000149315220012174/0001493152-20-012174-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315221015598/0001493152-21-015598-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
