,https://roic.ai/company/NAHD,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15,35108,-35123,- -,- -,371573,316533,149421,166596,78989,124913,80000
95,Cash Used/Provided by Financing Activities,15,35108,-35123,- -,- -,371573,316533,149421,166596,78989,124913,300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-751,988,400,-813,-38,349
97,Net Change In Cash,28943,-34015,23375,8673,-24173,- -,- -,-33077,-14045,-29646,-4743,176504
98,Cash at the End of Period,36729,2714,26089,34762,10589,- -,105385,72308,58263,28617,23874,200378
99,Cash at the Beginning of Period,7786,36729,2714,26089,34762,10589,- -,105385,72308,58263,28617,23874
100,Free Cash Flow,28928,-69123,58498,8673,-24173,-382162,-204338,-183486,-181041,-107822,-129618,-123845
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1485029/000144586612000130/0001445866-12-000130-index.html,https://www.sec.gov/Archives/edgar/data/1485029/000144586613000218/0001445866-13-000218-index.html,https://www.sec.gov/Archives/edgar/data/1485029/000144586614000288/0001445866-14-000288-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586615000453/0001445866-15-000453-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586616001948/0001445866-16-001948-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586617000478/0001445866-17-000478-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586618000397/0001445866-18-000397-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586619000434/0001445866-19-000434-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586620000414/0001445866-20-000414-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000109690621000755/0001096906-21-000755-index.htm
102,false,,,,,,,,,,,,
