,https://roic.ai/company/TSCO,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75731000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13827000,1477000,- -,- -,- -,- -,32617000,29270000,153000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,2000000,1400000,1300000,- -,800000,4300000,3600000,24100000,34100000,38204000,43100000,55300000,63300000,91800000,102300000,35075000,118610000,123200000,132960000,139256000,180680000,134579000,145695000,2077523000,2397178000,105830000
58,Total Non-Current Liabilities,- -,- -,- -,23200000,32500000,38400000,- -,63800000,27500000,42700000,45300000,68800000,46416000,45900000,112700000,65100000,93200000,103600000,125917000,121329000,124400000,137917000,306248000,444530000,600882000,585335000,2474545000,3381478000,3699960000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,2163000,1807000,2465000,2527000,2808000,2351000,2347000,1799000,1407000,1317000,1280000,1242000,5170000,17870000,27213000,36162000,32916000,2312686000,2557250000,2932912000
61,Total Liabilities,- -,- -,- -,100900000,119200000,144700000,- -,177300000,157200000,231100000,247300000,307900000,337097000,399400000,492600000,465900000,497400000,530200000,586542000,681834000,656500000,741010000,977532000,1221724000,1450096000,1523442000,3722145000,5125276000,5764802000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,100000,100000,- -,100000,100000,300000,300000,300000,315000,300000,300000,300000,600000,600000,643000,654000,1300000,1342000,1352000,1360000,1363000,1375000,1389000,1401000,1411000
64,Retained Earnings,- -,- -,- -,51200000,62900000,77700000,- -,112000000,137700000,176500000,228600000,292700000,378347000,469400000,563700000,645700000,807100000,954700000,1146594000,1371733000,1631500000,1918307000,2225601000,2540449000,2829220000,3213895000,3612833000,4187135000,4945243000
65,Other Comprehensive Income/Loss,- -,- -,- -,-18900000,-23600000,-28300000,- -,-44900000,-2800000,-973000,-91500000,-112900000,-11000,-22000,-217200000,-274500000,-335100000,-387000000,- -,- -,-603900000,- -,- -,1392000,2763000,3814000,199000,-3243000,1345000
66,Other Total Stockholders Equity,- -,- -,- -,62300000,65500000,70500000,- -,87800000,46300000,52021000,157984000,190484000,99047000,129226000,218537000,238630000,260603000,364942000,-138947000,-347413000,217994000,-626088000,- -,-1089983000,-1414673000,-1657264000,-2047298000,-2261453000,- -
67,Total Stockholders Equity,- -,- -,- -,94700000,104900000,120000000,- -,155000000,181300000,227848000,295384000,370584000,477698000,598904000,565337000,610130000,733203000,933242000,1008290000,1024974000,1246894000,1293561000,1393294000,1453218000,1418673000,1561820000,1567123000,1923840000,2002665000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,195600000,224100000,264700000,- -,332300000,338500000,458948000,542684000,678484000,814795000,998304000,1057937000,1076030000,1230603000,1463442000,1594832000,1706808000,1903394000,2034571000,2370826000,2674942000,2868769000,3085262000,5289268000,7049116000,7767467000
69,Minority Interest,- -,- -,- -,- -,- -,-100000,- -,- -,- -,-48000,-4384000,16000,- -,-4000,63000,-30000,45997000,58000,- -,- -,6000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,195600000,224100000,264600000,- -,332300000,338500000,458900000,538300000,678500000,814795000,998300000,1058000000,1076000000,1276600000,1463500000,1594832000,1706808000,1903400000,2034571000,2370826000,2674942000,2868769000,3085262000,5289268000,7049116000,7767467000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/916365/000095014403003161/0000950144-03-003161-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916365/000136231008001146/0001362310-08-001146-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000136231009002757/0001362310-09-002757-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000095012310016345/0000950123-10-016345-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916365/000091636517000031/0000916365-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636518000031/0000916365-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636519000035/0000916365-19-000035-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636520000050/0000916365-20-000050-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636521000052/0000916365-21-000052-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636522000049/0000916365-22-000049-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6900000,11300000,12500000,13200000,11800000,14800000,- -,16400000,25800000,38200000,55700000,64100000,85669000,94700000,99500000,108000000,119700000,168000000,222740000,276457000,328200000,370885000,410395000,437120000,422599000,532357000,562354000,748958000,997114000
74,Depreciation and Amortization,1700000,1800000,2500000,3400000,4500000,5300000,- -,9889000,11254000,16457000,19758000,27186000,34020000,42292000,51064000,60731000,66258000,69797000,80347000,88975000,100025000,114635000,123569000,142958000,165834000,177351000,195978000,217124000,270158000
75,Deferred Income Tax,-500000,200000,-300000,-300000,-100000,-1800000,- -,-3258000,-5667000,-3932000,7122000,-4642000,-12735000,-3530000,7047000,1566000,-13597000,2690000,1856000,-26581000,-8309000,-19814000,-5450000,9976000,26724000,11887000,6760000,-31739000,29149000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12257000,12130000,11771000,15041000,17641000,13893000,16173000,19420000,23554000,29202000,28921000,31136000,37273000,47649000
77,Change in Working Capital,-7100000,- -,65900000,- -,17000000,12600000,- -,16400000,-11400000,21600000,37300000,38100000,21432000,75368000,-4100000,-28800000,192700000,141200000,12524000,-60077000,107553000,-6203000,143250000,-73532000,65539000,50138000,-316005000,974600000,-209395000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-9400000,-16500000,-26400000,-11400000,-27700000,-20000000,- -,-15210000,556000,-67274000,-38318000,-60609000,-71302000,-132622000,-41137000,32553000,2186000,-60054000,-94299000,-77297000,-71192000,-136142000,-168925000,-67650000,-83552000,-136334000,-13239000,-180489000,-407922000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28482000,-13620000,-14247000,19021000,53983000,-3905000,54336000,56426000,82477000,57046000,43413000,23055000,333060000,179534000
81,Other Working Capital,- -,- -,65900000,65900000,82900000,95500000,- -,133700000,122300000,143900000,181200000,219300000,240732000,316100000,312000000,283200000,475900000,617100000,629624000,569547000,677100000,670897000,814147000,740615000,806154000,856292000,540287000,1514887000,-88381000
82,Other Non-Cash Items,- -,-5500000,-91900000,4900000,-38300000,-15400000,- -,-29258000,26818000,-25668000,-57832000,-47678000,-29205000,-121687000,1510000,63695000,-161874000,-170850000,-78364000,81887000,-207681000,-66498000,-262004000,98964000,-78448000,-106260000,331493000,-551701000,4045000
83,Cash Provided by Operating Activities,1000000,7800000,-11300000,21200000,-5100000,15500000,- -,10173000,46805000,46657000,62048000,77066000,99181000,87143000,155021000,217449000,215317000,222608000,254144000,378302000,333681000,409178000,429180000,639040000,631450000,694394000,811716000,1394515000,1138720000
84,CAPEX,-3500000,-6700000,-10100000,-9600000,-9100000,-14500000,- -,-17358000,-13569000,-66544000,-48122000,-91313000,-77507000,-88894000,-83547000,-91759000,-73974000,-96511000,-166156000,-152924000,-218200000,-160613000,-236496000,-226017000,-250401000,-278530000,-217450000,-294002000,-628431000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17603000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-143610000,1225000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15913000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15913000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,3100000,900000,1600000,2800000,1600000,200000,- -,634000,2874000,3924000,6539000,3966000,4413000,8064000,974000,-88435000,-73877000,-96198000,-187274000,-139075000,-209323000,-160282000,-235912000,-225655000,-239181000,-276314000,-214961000,-292210000,-627340000
89,Cash Used for Investing Activites,-400000,-5800000,-8500000,-6800000,-7500000,-14300000,- -,-16724000,-10695000,-62620000,-41583000,-87347000,-90697000,-80830000,-82573000,-88435000,-73877000,-112111000,-171361000,-139075000,-209323000,-160282000,-235912000,-369265000,-237956000,-276314000,-214961000,-292210000,-627340000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-909754000,-274581000,-392000,-90000,-37000,-185038000,-355114000,-530507000,-821150000,-1029946000,-1215496000,-1016958000,-1410670000,-4580000
91,Common Stock Issued,- -,39800000,- -,- -,200000,300000,- -,341000,1908000,4835000,5774000,6841000,8939000,10073000,7434000,3150000,5979000,23878000,31460000,26577000,38318000,28083000,41689000,41010000,16330000,79643000,115981000,99340000,82249000
92,Common Stock Repurchased,- -,- -,-2400000,-1800000,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150049000,-53866000,-15289000,-38172000,-179997000,-278620000,-133558000,-303263000,-295702000,-332551000,-370219000,-351143000,-537137000,-350756000,-813769000
93,Dividends Paid,-500000,-500000,-400000,-200000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20355000,-30850000,-51318000,-68484000,-84061000,-103101000,-122272000,-133828000,-147087000,-162699000,-174656000,-239006000
94,Other Financing Activites,-1600000,-30700000,13800000,-4600000,9900000,8200000,- -,8364000,-38237000,15974000,-20032000,12401000,-25161000,16000,57474000,854988000,278313000,9032000,16320000,25836000,228517000,373850000,707032000,955291000,1179401000,1193154000,1002000000,1991952000,- -
95,Cash Used/Provided by Financing Activities,-2100000,8600000,11000000,-6600000,8200000,8500000,- -,8705000,-36329000,20809000,-14258000,19242000,-16222000,10089000,-85141000,-105482000,-5578000,-26009000,-163157000,-277562000,-120245000,-340505000,-180589000,-279672000,-338262000,-440929000,-598813000,155210000,-975106000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2100000,8600000,11000000,-6600000,8200000,8500000,- -,2154000,-218000,4846000,6207000,8961000,-7738000,16402000,-12693000,23532000,135862000,84488000,-80374000,-38335000,4113000,-91609000,12679000,-9897000,55232000,-22849000,-2058000,1257515000,-463726000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,9145000,8927000,13773000,19980000,28941000,21203000,37605000,13700000,37232000,172851000,257339000,176965000,138630000,142743000,51134000,63813000,53916000,109148000,86299000,84241000,1341756000,878030000
99,Cash at the Beginning of Period,5000000,3500000,14000000,5100000,12900000,8500000,- -,6991000,9145000,8927000,13773000,19980000,28941000,21203000,26393000,13700000,36989000,172851000,257339000,176965000,138630000,142743000,51134000,63813000,53916000,109148000,86299000,84241000,1341756000
100,Free Cash Flow,-2500000,1100000,-21400000,11600000,-14200000,1000000,- -,-7185000,33236000,-19887000,13926000,-14247000,21674000,-1751000,71474000,125690000,141343000,126097000,87988000,225378000,115481000,248565000,192684000,413023000,381049000,415864000,594266000,1100513000,510289000
101,SEC Link,- -,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/916365/000095014403003161/0000950144-03-003161-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916365/000136231008001146/0001362310-08-001146-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000136231009002757/0001362310-09-002757-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000095012310016345/0000950123-10-016345-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916365/000091636517000031/0000916365-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636518000031/0000916365-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636519000035/0000916365-19-000035-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636520000050/0000916365-20-000050-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636521000052/0000916365-21-000052-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636522000049/0000916365-22-000049-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
