,https://roic.ai/company/FSV,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,- -,215545000,278249000,276315000,315795000,406738000,67227000,83198000,120048000,125268000,143212000,170259000,260597000,512989000
53,Total Current Liabilities,- -,321023000,411904000,594250000,467897000,570164000,126094000,130099000,182822000,204029000,226947000,358206000,543751000,618472000
54,Long-Term Debt,- -,290647000,278491000,177042000,375167000,328009000,221632000,197158000,249866000,266874000,330608000,761078000,533126000,717705000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13453000,12593000,13939000,- -
56,Deferred Tax Liabilities,- -,40052000,33175000,38160000,34683000,31165000,14236000,13971000,31167000,4685000,6577000,58239000,41345000,42070000
57,Other Non-Current Liabilities,- -,27606000,32365000,39243000,200228000,265124000,94833000,92229000,126081000,158912000,193663000,339466000,403981000,331054000
58,Total Non-Current Liabilities,- -,358305000,344031000,254445000,610078000,624298000,330701000,303358000,407114000,430471000,544301000,1171376000,992391000,1090829000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141869000,164108000,170384000
61,Total Liabilities,- -,679328000,755935000,848695000,1077975000,1194462000,456795000,433457000,589936000,634500000,771248000,1529582000,1536142000,1709301000
62,Preferred Stock,- -,144307000,144307000,140561000,130762000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,90994000,106473000,110821000,118821000,300765000,- -,- -,- -,- -,148707000,605428000,770032000,- -
64,Retained Earnings,- -,-114016000,-110553000,-63958000,-74024000,-123111000,- -,- -,- -,- -,45537000,-229874000,-171085000,- -
65,Other Comprehensive Income/Loss,- -,18721000,32239000,28225000,34595000,26757000,-108554000,-3000000,-2000000,-174547000,-3115000,-456000,2148000,- -
66,Other Total Stockholders Equity,- -,26028000,26782000,27970000,29781000,37510000,267303000,170026000,183028000,377780000,45097000,50789000,59303000,- -
67,Total Stockholders Equity,- -,166034000,199248000,243619000,239935000,241921000,158749000,158383000,181028000,203233000,236226000,425887000,660398000,799722000
68,Total Liabilities And Stockholders Equity,- -,845362000,955183000,1092314000,1317910000,1436383000,615544000,591840000,770964000,837733000,1007474000,1955469000,2196540000,2509023000
69,Minority Interest,- -,164168000,174358000,141404000,- -,7128000,- -,8643000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1009530000,1129541000,1233718000,1317910000,1443511000,615544000,600483000,770964000,837733000,1007474000,1955469000,2196540000,2509023000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1637810/000117184316008064/0001171843-16-008064-index.html,https://www.sec.gov/Archives/edgar/data/1637810/000117184317001014/0001171843-17-001014-index.html,https://www.sec.gov/Archives/edgar/data/1637810/000117184318001343/0001171843-18-001343-index.html,https://www.sec.gov/Archives/edgar/data/1637810/000117184319001047/0001171843-19-001047-index.html,https://www.sec.gov/Archives/edgar/data/1637810/000117184320001122/0001171843-20-001122-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-32976000,-44854000,13564000,74110000,5850000,-18039000,12970000,21395000,33597000,53078000,65865000,-251610000,87259000,135212000
74,Depreciation and Amortization,37673000,46383000,47886000,50926000,53502000,75352000,26474000,28984000,36969000,42049000,52772000,79557000,98382000,98965000
75,Deferred Income Tax,-19860000,-3366000,-7503000,-64977000,-18660000,-23868000,-2479000,-3535000,1304000,-7110000,1989000,-8988000,-18054000,-2616000
76,Stock Based Compensation,7446000,2649000,2761000,2335000,3169000,4166000,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-21202000,15240000,23888000,-20899000,22154000,17552000,-6787000,32739000,15874000,-7598000,-50034000,12071000,89540000,-78119000
78,Accounts Receivable,-23222000,-38301000,-39078000,-22452000,-19889000,-33613000,3231000,2892000,-21077000,-15029000,-37100000,-17396000,8908000,-86943000
79,Inventory,-915000,1114000,299000,-2359000,-3046000,-1226000,72000,-6108000,-4542000,-821000,-5780000,-7107000,-44235000,- -
80,Accounts Payable,1058000,3383000,4603000,10956000,-963000,-2455000,-252000,-1166000,-72000,5013000,-3249000,858000,13710000,- -
81,Other Working Capital,3994000,-676000,-6137000,3460000,48000,901000,741000,2395000,10194000,4611000,-6330000,11808000,13055000,11641000
82,Other Non-Cash Items,86089000,64997000,34455000,38719000,36976000,61114000,14999000,7507000,21261000,35216000,28869000,276778000,34638000,13827000
83,Cash Provided by Operating Activities,57170000,81049000,115051000,80214000,102991000,116277000,45177000,87090000,109005000,115635000,99461000,107808000,291765000,167269000
84,CAPEX,-31624000,-24234000,-32460000,-37400000,-44395000,-34824000,-22439000,-19694000,-29122000,-36257000,-40597000,-46628000,-39415000,-58204000
85,Acquisitions Net,-156008000,-59077000,-34710000,-22975000,-19153000,11725000,-16686000,-12340000,-90852000,-39573000,-59444000,-566833000,-98559000,-147441000
86,Purchases of Investments,- -,-13955000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,8067000,9469000,1045000,1529000,1694000,-4198000,-776000,-244000,-10869000,-88000,-6158000,-1504000,-4288000,-675000
89,Cash Used for Investing Activites,-179565000,-87797000,-66125000,-58846000,-61854000,-27297000,-39901000,-32278000,-130843000,-75918000,-106199000,-614965000,-142262000,-206320000
90,Debt Repayment,-87386000,-143965000,-84793000,-133854000,-376349000,-516479000,- -,-246852000,-51775000,-43641000,-41626000,-194193000,-204568000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191737000,150008000,- -
92,Common Stock Repurchased,-6570000,- -,- -,-24054000,-17210000,-53786000,- -,-19467000,-9515000,-17085000,-8998000,- -,- -,- -
93,Dividends Paid,-6952000,-10101000,-10101000,-9971000,-9603000,-9427000,- -,-7196000,-15471000,-17141000,-18780000,-22044000,-27448000,-31207000
94,Other Financing Activites,197603000,172782000,43844000,145624000,371023000,531514000,-24626000,198378000,96261000,51539000,89846000,585642000,6812000,55638000
95,Cash Used/Provided by Financing Activities,96695000,18716000,-51050000,-22255000,-32139000,-48178000,-24626000,-75137000,19500000,-26328000,20442000,561142000,-75196000,24431000
96,Effect of Forex Changes on Cash,2196000,7761000,2705000,-1673000,1887000,-6782000,-226000,-905000,162000,414000,-754000,462000,340000,-47000
97,Net Change In Cash,-23504000,19729000,581000,-2560000,10885000,34020000,-19576000,-21230000,-2176000,13803000,12950000,54447000,74647000,-14667000
98,Cash at the End of Period,80666000,99778000,100359000,97799000,108684000,142704000,66790000,45560000,43384000,57187000,79844000,134291000,208938000,194271000
99,Cash at the Beginning of Period,104170000,80049000,99778000,100359000,97799000,108684000,86366000,66790000,45560000,43384000,66894000,79844000,134291000,208938000
100,Free Cash Flow,25546000,56815000,82591000,42814000,58596000,81453000,22738000,67396000,79883000,79378000,58864000,61180000,252350000,109065000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1637810/000117184316008064/0001171843-16-008064-index.html,https://www.sec.gov/Archives/edgar/data/1637810/000117184317001014/0001171843-17-001014-index.html,https://www.sec.gov/Archives/edgar/data/1637810/000117184318001343/0001171843-18-001343-index.html,https://www.sec.gov/Archives/edgar/data/1637810/000117184319001047/0001171843-19-001047-index.html,https://www.sec.gov/Archives/edgar/data/1637810/000117184320001122/0001171843-20-001122-index.html,- -,- -
102,false,,,,,,,,,,,,,,
