,https://roic.ai/company/M,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
17,Operating Income,429800000,532000000,635400000,982400000,1201800000,1341000000,1455000000,1701000000,550000000,1104000000,1343000000,1341000000,1400000000,2424000000,1836000000,1863000000,-4378000000,1063000000,1894000000,2411000000,2661000000,2678000000,2800000000,2039000000,1315000000,1807000000,1738000000,970000000,-4475000000,2350000000
18,Operating Income ratio,0.0607,0.0736,0.0764,0.0653,0.0789,0.0856,0.0919,0.0960,0.0299,0.0705,0.0870,0.0879,0.0896,0.1083,0.0681,0.0708,-0.1759,0.0453,0.0758,0.0913,0.0961,0.0959,0.0996,0.0753,0.0510,0.0705,0.0675,0.0383,-0.2473,2824.5192
19,Total Other Income Expenses (Gains),-197800000,-164200000,-304100000,-780400000,-760800000,-383000000,-292000000,-355000000,-437000000,-324000000,-295000000,-257000000,-284000000,-380000000,-390000000,-543000000,-560000000,-556000000,-574000000,-443000000,-559000000,-388000000,-410000000,-361000000,-363000000,-291000000,-318000000,-242000000,-315000000,-2348134000
20,Income Before Tax,232000000,367800000,331300000,202000000,441000000,958000000,1163000000,1346000000,113000000,780000000,1048000000,1084000000,1116000000,2044000000,1446000000,1320000000,-4938000000,507000000,1320000000,1968000000,2102000000,2290000000,2390000000,1678000000,952000000,1516000000,1420000000,728000000,-4790000000,1866000
21,Income Before Tax Ratio,0.0328,0.0509,0.0398,0.0134,0.0290,0.0611,0.0735,0.0760,0.0061,0.0498,0.0679,0.0710,0.0714,0.0913,0.0536,0.0502,-0.1984,0.0216,0.0528,0.0745,0.0759,0.0820,0.0850,0.0620,0.0369,0.0591,0.0552,0.0287,-0.2647,2.2428
22,Income Tax expense (Gain),99300000,171000000,143700000,127000000,176000000,383000000,478000000,551000000,297000000,-262000000,-410000000,391000000,427000000,-671000000,-458000000,-411000000,-135000000,157000000,473000000,712000000,767000000,804000000,864000000,608000000,341000000,-29000000,322000000,164000000,-846000000,436000
23,Net Income,113000000,193300000,187600000,75000000,266000000,536000000,662000000,795000000,-184000000,-276000000,818000000,693000000,689000000,1406000000,995000000,893000000,-4803000000,350000000,847000000,1256000000,1335000000,1486000000,1526000000,1072000000,619000000,1566000000,1108000000,564000000,-3944000000,1430000
24,Net Income ratio,0.0160,0.0267,0.0226,0.0050,0.0175,0.0342,0.0418,0.0449,-0.0100,-0.0176,0.0530,0.0454,0.0441,0.0628,0.0369,0.0339,-0.1930,0.0149,0.0339,0.0476,0.0482,0.0532,0.0543,0.0396,0.0240,0.0611,0.0430,0.0223,-0.2179,1.7188
25,EPS,0.51,0.77,0.70,0.20,0.64,1.28,1.58,1.89,-0.45,-0.70,2.08,1.88,1.97,3.30,1.84,2.00,-11.40,0.83,2.00,2.96,3.29,3.93,4.30,3.26,2.01,5.07,3.60,1.82,-12.68,0.00
26,EPS Diluted,0.51,0.75,0.70,0.20,0.62,1.21,1.48,1.81,-0.45,-0.70,2.06,1.85,1.93,3.23,1.81,1.97,-11.40,0.83,1.98,2.92,3.24,3.86,4.22,3.22,1.99,5.04,3.56,1.81,-12.68,0.00
27,Weighted Average Shares Outstanding,223762376,252679739,266099291,382564103,415468750,418750000,418987342,420000000,409600000,391400000,394600000,368617021,350200000,426000000,540000000,446600000,421200000,421700000,423300000,424500000,405500000,378300000,355200000,328400000,308500000,305400000,307700000,309700000,311100000,311100000
28,Weighted Average Shares Outstanding Diluted,223762376,257733333,268000000,382564103,428870968,444813278,447297297,439200000,409600000,399200000,397400000,373584906,356400000,434600000,547700000,451800000,421200000,423200000,427300000,430400000,412200000,384800000,361700000,333000000,310800000,306800000,311400000,311400000,311100000,311100000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794367/000095015296001528/0000950152-96-001528-index.html,https://www.sec.gov/Archives/edgar/data/794367/000095015297002943/0000950152-97-002943-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/794367/000095015200002963/0000950152-00-002963-index.html,https://www.sec.gov/Archives/edgar/data/794367/000095015201500890/0000950152-01-500890-index.html,https://www.sec.gov/Archives/edgar/data/794367/000095015202003073/l93551ae10-k.htm,https://www.sec.gov/Archives/edgar/data/794367/000095015203004243/l98218ae10vk.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/794367/000095015206003165/l19117ae10vk.htm,https://www.sec.gov/Archives/edgar/data/794367/000095015207003009/0000950152-07-003009-index.html,https://www.sec.gov/Archives/edgar/data/794367/000095015208002496/0000950152-08-002496-index.html,https://www.sec.gov/Archives/edgar/data/794367/000119312509070344/0001193125-09-070344-index.html,- -,https://www.sec.gov/Archives/edgar/data/794367/000119312511082813/d10k.htm,https://www.sec.gov/Archives/edgar/data/794367/000079436712000096/0000794367-12-000096-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436713000092/0000794367-13-000092-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436714000071/0000794367-14-000071-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436715000073/0000794367-15-000073-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436716000221/0000794367-16-000221-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436717000041/0000794367-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436718000036/0000794367-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436719000038/0000794367-19-000038-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436720000040/0000794367-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/794367/000156459021016119/0001564590-21-016119-index.htm,https://www.sec.gov/Archives/edgar/data/794367/000156459022011726/0001564590-22-011726-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,567000000,222400000,206500000,173000000,149000000,142000000,307000000,218000000,322000000,636000000,716000000,925000000,868000000,248000000,1211000000,583000000,1306000000,1686000000,1464000000,2827000000,1836000000,2273000000,2246000000,1109000000,1297000000,1455000000,1162000000,685000000,1679000000,1712000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,567000000,222400000,206500000,173000000,149000000,142000000,307000000,218000000,322000000,636000000,716000000,925000000,868000000,248000000,1211000000,583000000,1306000000,1686000000,1464000000,2827000000,1836000000,2273000000,2246000000,1109000000,1297000000,1455000000,1162000000,685000000,1679000000,1712000
34,Net Receivables,1543800000,1758900000,2265700000,2842000000,2834000000,2640000000,2209000000,4313000000,4072000000,2379000000,2945000000,3213000000,3418000000,2522000000,517000000,463000000,439000000,358000000,392000000,368000000,371000000,438000000,424000000,558000000,522000000,363000000,400000000,409000000,276000000,297000
35,Inventory,1148900000,1180800000,2380400000,3095000000,3246000000,3354000000,3259000000,3589000000,3812000000,3376000000,3359000000,3215000000,3120000000,5459000000,5317000000,5060000000,4769000000,4615000000,4758000000,5117000000,5308000000,5557000000,5516000000,5506000000,5399000000,5178000000,5263000000,5188000000,3774000000,4383000
36,Other Current Assets,130400000,135500000,337800000,250000000,198000000,58000000,197000000,402000000,494000000,889000000,134000000,99000000,104000000,1916000000,377000000,218000000,226000000,223000000,285000000,465000000,361000000,420000000,493000000,479000000,408000000,650000000,620000000,528000000,455000000,366000
37,Total Current Assets,3390100000,3297600000,5190400000,6360000000,6427000000,6194000000,5972000000,8522000000,8700000000,7280000000,7154000000,7452000000,7510000000,10145000000,7422000000,6324000000,6740000000,6882000000,6899000000,8777000000,7876000000,8688000000,8679000000,7652000000,7626000000,7646000000,7445000000,6810000000,6184000000,6758000
38,PP&E,2478300000,2576900000,5349900000,6305000000,6525000000,6520000000,6572000000,6828000000,6830000000,6506000000,6379000000,6174000000,6018000000,12034000000,11473000000,10991000000,10442000000,9507000000,8813000000,8420000000,8196000000,7930000000,7800000000,7616000000,7017000000,6672000000,6637000000,9301000000,8818000000,8473000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262000000,- -,- -,9520000000,9204000000,9133000000,3743000000,3743000000,3743000000,3743000000,3743000000,3743000000,3743000000,3897000000,3897000000,3897000000,3908000000,3908000000,828000000,828000
40,Intangible Assets,- -,- -,1006500000,745000000,717000000,690000000,631000000,1735000000,896000000,683000000,378000000,640000000,638000000,1080000000,883000000,831000000,719000000,678000000,637000000,598000000,561000000,527000000,496000000,514000000,498000000,488000000,478000000,439000000,437000000,435000
41,Intangible Assets,- -,- -,1006500000,745000000,717000000,690000000,631000000,1735000000,896000000,683000000,640000000,640000000,638000000,10600000000,10087000000,9964000000,4462000000,4421000000,4380000000,4341000000,4304000000,4270000000,4239000000,4411000000,4395000000,4385000000,4386000000,4347000000,1265000000,1263000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,733000000,831000000,- -,1060000000,1444000000,1393000000,1345000000,998000000,- -,- -,1704000000,1728000000,1446000000,- -,- -,1245000000,1141000000,1238000000,1273000000,- -,1477000000,1443000000,1148000000,1238000000,1169000000,- -,983000
44,Other Non-Current Assets,1151400000,1544900000,832900000,152000000,-236000000,334000000,-771000000,-837000000,-807000000,-770000000,-730000000,284000000,719000000,-1315000000,-1160000000,-936000000,501000000,490000000,-706000000,-584000000,-623000000,-527000000,743000000,-580000000,-630000000,-268000000,-512000000,-455000000,1439000000,113000
45,Total Non-Current Assets,3629700000,4121800000,7189300000,7935000000,7837000000,7544000000,7492000000,9170000000,8312000000,7764000000,7287000000,7098000000,7375000000,23023000000,22128000000,21465000000,15405000000,14418000000,13732000000,13318000000,13115000000,12946000000,12782000000,12924000000,12225000000,11937000000,11749000000,14362000000,11522000000,10832000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7019800000,7419400000,12379700000,14295000000,14264000000,13738000000,13464000000,17692000000,17012000000,15044000000,14441000000,14550000000,14885000000,33168000000,29550000000,27789000000,22145000000,21300000000,20631000000,22095000000,20991000000,21634000000,21461000000,20576000000,19851000000,19583000000,19194000000,21172000000,17706000000,17590000
48,Accounts Payable,1103300000,1209700000,2183700000,- -,- -,2416000000,1630000000,1876000000,1850000000,1677000000,1568000000,2613000000,2707000000,2522000000,2454000000,2091000000,3910000000,1796000000,1980000000,2262000000,2204000000,2437000000,2526000000,2340000000,2177000000,2325000000,2638000000,2659000000,2856000000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,556000000,- -,- -,- -,- -,- -,908000000,1242000000,- -,- -,- -,966000000,242000000,- -,- -,- -,453000000,69000000,577000000,- -,- -,- -,- -,737000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68000000,182000000,371000000,355000000,362000000,- -,227000000,352000000,296000000,168000000,81000000,265000000,108000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,10000000,- -,- -,103000000,52000000,223000000,- -,- -,364000000,408000000,407000000,400000000,907000000,1477000000,1443000000,1122000000,1238000000,1169000000,616000000,- -
52,Other Current Liabilities,59400000,120400000,528300000,3098000000,3596000000,88000000,1438000000,2676000000,3019000000,2016000000,2023000000,362000000,352000000,4965000000,3853000000,3046000000,250000000,2416000000,2721000000,3593000000,2464000000,2436000000,2034000000,1334000000,2027000000,1732000000,1356000000,1922000000,1148000000,5416000
53,Total Current Liabilities,1162700000,1330100000,2712000000,3098000000,3596000000,3060000000,3068000000,4552000000,4869000000,3714000000,3601000000,3883000000,4301000000,7590000000,6359000000,5360000000,5126000000,4454000000,5065000000,6263000000,5075000000,5726000000,5536000000,5728000000,5647000000,5179000000,5232000000,5750000000,5357000000,5416000
54,Long-Term Debt,2809800000,2786700000,4529200000,5632000000,4606000000,3919000000,3057000000,4589000000,4374000000,3859000000,3408000000,3151000000,2637000000,8860000000,7847000000,9087000000,8733000000,8456000000,6971000000,6655000000,6806000000,6728000000,7236000000,6995000000,6562000000,5861000000,4708000000,3642000000,7592000000,6393000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,983000
56,Deferred Tax Liabilities,750800000,804200000,993500000,- -,- -,939000000,- -,- -,- -,- -,- -,998000000,1199000000,- -,- -,- -,1119000000,1068000000,1245000000,1141000000,1238000000,1273000000,1081000000,1477000000,1443000000,1122000000,1238000000,1169000000,908000000,983000
57,Other Non-Current Liabilities,221500000,220200000,505400000,1291000000,1393000000,564000000,1630000000,1999000000,1947000000,1907000000,1670000000,578000000,581000000,3199000000,3090000000,3435000000,2521000000,2621000000,1820000000,2103000000,1821000000,1658000000,2230000000,2126000000,1876000000,1676000000,1580000000,4234000000,1296000000,194000
58,Total Non-Current Liabilities,3782100000,3811100000,6028100000,6923000000,5999000000,5422000000,4687000000,6588000000,6321000000,5766000000,5078000000,4727000000,4417000000,12059000000,10937000000,12522000000,12373000000,12145000000,10036000000,9899000000,9865000000,9659000000,10547000000,10598000000,9881000000,8659000000,7526000000,9045000000,9796000000,8553000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223000000,194000000,193000000,191000000,200000000,210000000,237000000,212000000,3323000000,3470000000,- -
61,Total Liabilities,4944800000,5141200000,8740100000,10021000000,9595000000,8482000000,7755000000,11140000000,11190000000,9480000000,8679000000,8610000000,8718000000,19649000000,17296000000,17882000000,17499000000,16599000000,15101000000,16162000000,14940000000,15385000000,16083000000,16326000000,15528000000,13838000000,12758000000,14795000000,15153000000,13969000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2000000,2000000,- -,2000000,3000000,3000000,3000000,3000000,2000000,2000000,3000000,6000000,5000000,5000000,5000000,5000000,5000000,4000000,4000000,4000000,3000000,3000000,3000000,3000000,3000000,3000000,3000
64,Retained Earnings,113000000,113000000,493800000,568000000,834000000,1370000000,2032000000,2827000000,2643000000,2367000000,3185000000,3809000000,4405000000,5654000000,6375000000,7032000000,2008000000,2274000000,2990000000,4015000000,5108000000,6235000000,7340000000,6334000000,6088000000,7246000000,8050000000,7989000000,3928000000,3929520000
65,Other Comprehensive Income/Loss,-189500000,-370300000,-591600000,-6000000,-2000000,-1746000000,-22000000,-14000000,-16000000,-46000000,-560000000,-274000000,-42000000,-288000000,-182000000,-182000000,-486000000,-753000000,-730000000,-1061000000,-931000000,-665000000,-1072000000,-1043000000,-896000000,-724000000,-951000000,-995000000,-788000000,-622000
66,Other Total Stockholders Equity,2151500000,2535500000,3737400000,3710000000,3835000000,5632000000,3697000000,3736000000,3192000000,3240000000,3134000000,- -,- -,8150000000,6055000000,3052000000,3119000000,- -,3265000000,2974000000,1870000000,675000000,-894000000,-1044000000,-872000000,-852000000,-666000000,-620000000,-590000000,- -
67,Total Stockholders Equity,2075000000,2278200000,3639600000,4274000000,4669000000,5256000000,5709000000,6552000000,5822000000,5564000000,5762000000,5940000000,6167000000,13519000000,12254000000,9907000000,4646000000,4701000000,5530000000,5933000000,6051000000,6249000000,5378000000,4250000000,4323000000,5673000000,6436000000,6377000000,2553000000,3621000
68,Total Liabilities And Stockholders Equity,7019800000,7419400000,12379700000,14295000000,14264000000,13738000000,13464000000,17692000000,17012000000,15044000000,14441000000,14550000000,14885000000,33168000000,29550000000,27789000000,22145000000,21300000000,20631000000,22095000000,20991000000,21634000000,21461000000,20576000000,19851000000,19511000000,19194000000,21172000000,17706000000,17590000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,- -,- -,- -,- -
70,Total Liabilities & Equity,7019800000,7419400000,12379700000,14295000000,14264000000,13738000000,13464000000,17692000000,17012000000,15044000000,14441000000,14550000000,14885000000,33168000000,29550000000,27789000000,22145000000,21300000000,20631000000,22095000000,20991000000,21634000000,21461000000,20576000000,19851000000,19583000000,19194000000,21172000000,17706000000,17590000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794367/000095015296001528/0000950152-96-001528-index.html,https://www.sec.gov/Archives/edgar/data/794367/000095015297002943/0000950152-97-002943-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/794367/000095015200002963/0000950152-00-002963-index.html,https://www.sec.gov/Archives/edgar/data/794367/000095015201500890/0000950152-01-500890-index.html,https://www.sec.gov/Archives/edgar/data/794367/000095015202003073/l93551ae10-k.htm,https://www.sec.gov/Archives/edgar/data/794367/000095015203004243/l98218ae10vk.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/794367/000095015206003165/l19117ae10vk.htm,https://www.sec.gov/Archives/edgar/data/794367/000095015207003009/0000950152-07-003009-index.html,https://www.sec.gov/Archives/edgar/data/794367/000095015208002496/0000950152-08-002496-index.html,https://www.sec.gov/Archives/edgar/data/794367/000119312509070344/0001193125-09-070344-index.html,- -,https://www.sec.gov/Archives/edgar/data/794367/000119312511082813/d10k.htm,https://www.sec.gov/Archives/edgar/data/794367/000079436712000096/0000794367-12-000096-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436713000092/0000794367-13-000092-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436714000071/0000794367-14-000071-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436715000073/0000794367-15-000073-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436716000221/0000794367-16-000221-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436717000041/0000794367-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436718000036/0000794367-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436719000038/0000794367-19-000038-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436720000040/0000794367-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/794367/000156459021016119/0001564590-21-016119-index.htm,https://www.sec.gov/Archives/edgar/data/794367/000156459022011726/0001564590-22-011726-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,113000000,193300000,187600000,75000000,266000000,536000000,662000000,795000000,-184000000,-276000000,818000000,693000000,689000000,1406000000,995000000,893000000,-4803000000,350000000,847000000,1256000000,1335000000,1486000000,1526000000,1072000000,619000000,1566000000,1108000000,564000000,-3944000000,1430000
74,Depreciation and Amortization,266700000,256800000,326800000,519800000,560600000,610000000,631000000,745000000,740000000,696000000,685000000,713000000,743000000,958000000,1216000000,1273000000,1251000000,1210000000,1150000000,1085000000,1049000000,1020000000,1036000000,1061000000,1058000000,991000000,962000000,981000000,959000000,874000
75,Deferred Income Tax,27200000,54900000,- -,192100000,84000000,138000000,103000000,64000000,-77000000,17000000,-119000000,3000000,59000000,- -,-18000000,-2000000,-291000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,-327000000,19000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000000,66000000,70000000,61000000,62000000,73000000,65000000,61000000,58000000,63000000,38000000,31000000,55000
77,Change in Working Capital,14900000,-259900000,510900000,783600000,-431000000,303000000,-230000000,1066000000,-139000000,-265000000,-13000000,16000000,-360000000,-654000000,-1492000000,-99000000,650000000,814000000,-594000000,680000000,287000000,161000000,181000000,-1219000000,55000000,488000000,-254000000,-1153000000,-233000000,-825658000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,18400000,-31900000,28600000,-429700000,-151100000,7000000,-22000000,-191000000,-256000000,305000000,17000000,143000000,95000000,495000000,-51000000,256000000,291000000,154000000,-143000000,-359000000,-191000000,-249000000,40000000,-60000000,107000000,221000000,-87000000,75000000,1406000000,-610000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,91000000,252000000,-10000000,149000000,20000000,-222000000,-294000000,-17000000,99000000,-217000000,-522000000,218000
81,Other Working Capital,2227400000,1967500000,2478400000,3262000000,2831000000,3134000000,2904000000,3970000000,3831000000,3566000000,3553000000,3569000000,3209000000,2555000000,1063000000,964000000,1614000000,2428000000,1834000000,2514000000,2801000000,2962000000,3143000000,1924000000,1979000000,2467000000,2213000000,1060000000,827000000,1342000
82,Other Non-Cash Items,19800000,165400000,-863800000,-1276000000,740900000,-14000000,524000000,-1407000000,945000000,1108000000,-203000000,165000000,376000000,234000000,3045000000,173000000,5072000000,-700000000,37000000,-998000000,-471000000,-180000000,-107000000,1005000000,8000000,-1159000000,-144000000,1184000000,4163000000,825992000
83,Cash Provided by Operating Activities,441600000,410500000,161500000,294500000,1220500000,1573000000,1690000000,1263000000,1285000000,1280000000,1168000000,1590000000,1507000000,1944000000,3746000000,2238000000,1879000000,1750000000,1506000000,2093000000,2261000000,2549000000,2709000000,1984000000,1801000000,1944000000,1735000000,1608000000,649000000,2712000
84,CAPEX,-198500000,-309500000,-386800000,-696500000,-846000000,-696000000,-695000000,-770000000,-742000000,-615000000,-568000000,-508000000,-548000000,-656000000,-1392000000,-1105000000,-897000000,-460000000,-505000000,-764000000,-942000000,-863000000,-1068000000,-1113000000,-912000000,-760000000,-932000000,-1157000000,-466000000,-597000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-1539000000,- -,-175000000,- -,- -,- -,-5321000000,1787000000,66000000,- -,- -,- -,- -,- -,- -,- -,-212000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-109300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,12600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
