,https://roic.ai/company/EMITF,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Income Before Tax,29209500,10964700,24130900,-23095560,29279322,109512105,-14511315,-171378147,40936596,16146000,519464438,927961412,-4259000,-706549000,74044000,-170216000,-560571000,-1598981000,1651983000,-152025000,-309162000,-237534000,60464000,-63048000,-6826000
21,Income Before Tax Ratio,0.0171,0.0063,58.0000,-0.0690,0.0579,0.1702,-0.0291,-0.3130,0.0695,0.0198,0.3119,0.2646,-0.0039,-1.0190,0.0502,-0.1683,-0.8353,-4.4343,3583.4772,-103.2779,-1.1806,-0.3034,Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),2920950,-6012900,2496300,8369340,13690663,12965297,22158337,-20135199,15835147,7792400,5202438,16329271,24736000,-35571000,4920000,86550000,-10248000,-31937000,- -,- -,2906000,11244000,-5245000,428000,49000
23,Net Income,26288550,16977600,399824050,-47967064,-14580981,100902303,41247428,-111609271,43426888,86884800,559483188,921946380,-103714000,-533269000,61998000,-264919000,-293590000,-1155645000,1009007000,-186150000,-194830000,-338034000,-517833000,-107497000,229851000
24,Net Income ratio,0.0154,0.0097,961.0000,-0.1432,-0.0288,0.1568,0.0828,-0.2039,0.0738,0.1064,0.3359,0.2629,-0.0944,-0.7691,0.0421,-0.2620,-0.4375,-3.2048,2188.7354,-126.4606,-0.7440,-0.4318,-Infinity,-Infinity,Infinity
25,EPS,74.00,46.69,1113.35,-129.46,-38.85,274.53,110.26,-298.88,113.29,233.81,1333.29,1285.67,-244.80,-1256.65,147.00,-639.00,-708.00,-2785.20,127.47,-20.25,-21.20,-36.78,-56.34,-11.70,25.01
26,EPS Diluted,74.00,46.69,1080.90,-129.46,-38.85,274.53,104.86,-298.88,110.30,233.81,1333.29,1236.98,-246.60,-1256.65,127.80,-639.60,-708.00,-2785.20,127.47,-20.25,-21.20,-36.78,-56.34,-11.70,25.01
27,Weighted Average Shares Outstanding,355263,363636,359118,369132,368116,382249,374106,373429,383314,371605,419625,420532,424249,424357,421516,414716,414766,414966,7916325,7917325,9191000,9191000,9191000,9191000,9191000
28,Weighted Average Shares Outstanding Diluted,355263,363636,369900,369132,368116,382249,393345,373429,393730,371605,423771,420666,424249,424357,428949,414716,414766,414966,7916325,7917325,9191000,9191000,9191000,9191000,9191000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,215767454,162804224,346379278,489026000,2144507925,1420314949,1690433000,1508301000,1040797000,602292000,535070000,311181000,95086000,71286000,89688000,465739000,32906000,12477000,1857000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,692705368,289838706,278532858,239917600,278286175,701838607,408719000,563719000,835730000,409338000,97717000,82157000,777000,30075000,4091000,4032000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,908472822,452642930,624912137,728943600,2422794100,2122153556,2099152000,2072020000,1876527000,1011630000,632787000,393338000,95863000,101361000,93779000,469771000,32906000,12477000,1857000
34,Net Receivables,- -,- -,- -,- -,- -,- -,120796378,118007005,105438170,112014600,172969463,1590829550,168934000,164939000,164024000,173615000,183804000,74918000,1716000,5294000,43477000,5404000,2624000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,3154634,4670738,7345713,24117800,24638913,25556176,38176000,45494000,44643000,48043000,4213321000,215182000,2803000,2071000,1865000,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,0,-9200,907797963,2140927398,3693431000,4495066000,4487546000,4819477000,476963000,10910000,30634000,-29141000,39471000,8281000,9440000,31573000,2506000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,1032423833,575320673,737696019,865066800,3528200438,5879466679,5999693000,6777519000,6572740000,6052765000,5506875000,694348000,131016000,79585000,178592000,483456000,44970000,44050000,4363000
38,PP&E,- -,- -,- -,- -,- -,- -,4175444636,4610698836,3534483398,2756665000,2313264888,1765832291,1618253000,1729107000,3389528000,3832577000,1185485000,3488874000,1962000,2171926000,2032184000,493449000,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41242000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,10745600,- -,51952914,46582000,53486000,48316000,74415000,5476000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,10745600,- -,51952914,46582000,53486000,48316000,74415000,46718000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125552000,41597000,25127000,10556000,164025000,333440000,349537000,292183000,26949000,7188000,170289000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4349000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,646642973,319123493,256413717,151169800,299416075,771902167,901632000,762186000,667002000,400754000,191308000,47782000,557452000,-1765438000,23484000,33278000,40665000,106204000,97644000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,4822087609,4929822329,3790897116,2918580400,2612680963,2589687372,2692019000,2586376000,4129973000,4318302000,1587536000,3870096000,913300000,698671000,2082617000,533915000,210954000,106204000,97644000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,5854511442,5505143002,4528593135,3783647200,6140881400,8469154052,8691712000,9363895000,10702713000,10371067000,7094411000,4564444000,1044316000,778256000,2261209000,1017371000,255924000,150254000,102007000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,97276568,88216331,74492952,- -,106799513,- -,- -,- -,- -,- -,75887000,43680000,22288000,15708000,34160000,2720000,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1666429296,914047310,537924567,459972400,479348800,166894014,1255018000,2218964000,2446546000,2243288000,2413511000,4471533000,- -,- -,1128768000,780861000,136028000,137510000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37304000,31658000,714000,2096000,2516000,3070000,437000,- -,5528000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39528000,29854000,47911000,8547000,6429000,136000,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,177081683,171321452,183780931,231853800,228321713,770799412,566597000,537611000,445076000,601537000,206309000,249410000,-40910000,-3384000,40270000,63157000,18535000,14307000,7135000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,1940787547,1173585093,796198450,691826200,814470025,937693426,1821615000,2756575000,2891622000,2844825000,2735235000,4794477000,29289000,20871000,1209627000,846874000,154563000,151817000,7135000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,2220748238,2829010681,2423347220,1858423000,- -,4134401674,4367200000,4432769000,5524260000,5650170000,2799108000,- -,755538000,710897000,852870000,243311000,144564000,159364000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,39900400,- -,55280461,65114000,39264000,19773000,108642000,113309000,85131000,71211000,82787000,92942000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,112788827,83131288,72119190,127337200,3101040300,104557457,- -,- -,89537000,228560000,25630000,93466000,-43777000,-55586000,57156000,75970000,16924000,8309000,425000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,2333537065,2912141969,2495466410,2025660600,3101040300,4294239592,4432314000,4472033000,5633570000,5987372000,2938047000,178597000,782972000,738098000,1002968000,319281000,161488000,167673000,425000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,4274324612,4085727063,3291664861,2717486800,3915510325,5231933018,6253929000,7228608000,8525192000,8832197000,5673282000,4973074000,812261000,758969000,2212595000,1166155000,316051000,319490000,7560000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,32891416,33716045,37457800,37920925,855480272,853322000,873307000,882625000,902870000,38059000,38069000,1055056000,1105973000,1105974000,1105974000,1105974000,1106290000,1106290000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,368146618,253957953,215330600,616516225,1235533924,960621000,427351000,495332000,230413000,77850000,-1086820000,-67129000,-224632000,-406698000,-430366000,-945592000,-1053089000,-823238000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,1083462485,123907573,195347624,175563600,254582438,-3385384,-136475000,-241575000,-198030000,-310122000,-502593000,-686653000,-755872000,-862054000,-787765000,-870043000,-200077000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,424797307,322425867,626368200,688027625,-47009792,-303776000,-118616000,-419187000,-463531000,696290000,702767000,- -,- -,- -,- -,- -,-174605000,-188605000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,1083462485,949742914,805447488,1054720200,1597047213,2040619021,1373692000,940467000,760740000,359630000,309606000,-1032637000,232055000,19287000,-88489000,-194435000,-39695000,-121404000,94447000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,5357787097,5035469976,4097112349,3772207000,5512557538,7272552039,7627621000,8169075000,9285932000,9191827000,5982888000,3940437000,1044316000,778256000,2124106000,971720000,276356000,198086000,102007000
69,Minority Interest,- -,- -,- -,- -,- -,- -,496724345,469673026,431480786,11440200,628323863,1196602013,1064091000,1194820000,1416781000,1179240000,1111523000,624007000,- -,- -,137103000,45651000,-20432000,-47832000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,5854511442,5505143002,4528593135,3783647200,6140881400,8469154052,8691712000,9363895000,10702713000,10371067000,7094411000,4564444000,1044316000,778256000,2261209000,1017371000,255924000,150254000,102007000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,26288550,16977600,399824050,-47967064,-14580981,100902303,41247428,-111609271,43426888,86884800,559483188,921946380,-103714000,-533269000,61998000,-264919000,-293590000,-1155645000,1009007000,-186150000,-194830000,-338034000,-517833000,-107497000,229851000
74,Depreciation and Amortization,50629800,45273600,- -,27917163,38421269,74896918,- -,174627166,192106360,129273800,124171863,111806343,128073000,317871000,114539000,339412000,10350000,834977000,3636000,640000,196141000,119694000,113367000,76000,- -
75,Deferred Income Tax,-3894600,-11318400,- -,572617,15442970,10932733,- -,-29459231,12537777,2681800,332788,- -,- -,- -,3992000,63283000,3500000,-31937000,- -,- -,2906000,11164000,-9531000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52566000,36719000,27632000,39691000,14848000,9742000,3147000,845000,189000,719000,237000,96000,7000
77,Change in Working Capital,-165195950,-128746800,- -,-141851388,-56862992,-42921424,- -,-7758397,2943464,-22139800,-457169988,-1152372246,135940000,-632383000,-346119000,-256256000,27460000,-12826000,1685000,-3079000,2400000,401643000,4649000,-26152000,1265000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1383334000,-9123000,3113000,-7662000,-9112000,-3302000,5538000,3415000,-22797000,10000000,115000,- -,- -
79,Inventory,26613100,-47395800,- -,24078968,-5451174,7685909,- -,-1064108,-2649981,-12944400,-2097825,-2085982,43146000,-23906000,-351378000,-411864000,-12793000,-19704000,- -,181562000,18814000,385314000,6421000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33610000,106503000,-105691000,-19434000,-970000,-7095000,20929000,-1301000,3333000,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2944000,-132858038,2795448,- -,-612088000,-349714000,-403624000,-12793000,-11050000,214171000,181680000,18708000,385127000,-7505000,- -,- -
82,Other Non-Cash Items,-14929300,2475900,-710613400,-36249158,-73038451,-121667896,-45293898,-34099441,-272615718,-295743200,-748620225,-737018835,7791000,56731000,-195053000,-162100000,233860000,338816000,-1055258000,98825000,70224000,238626000,388818000,118674000,-246772000
83,Cash Provided by Operating Activities,-107101500,-75338100,-310789350,-197577830,-90618185,22142633,-4046470,-8299173,-21601230,-99042600,-521802375,-855638359,220656000,-754331000,-333011000,-240889000,-3572000,-16873000,-37783000,-88919000,77030000,433812000,-20293000,-14803000,-15649000
84,CAPEX,-64910000,-43151400,-56998850,-216021913,-305302183,-567151454,-374974461,-538085601,-374139340,-435528000,-175598063,-340200207,-534805000,-106533000,-72925000,-34410000,-1751000,-22363000,-22000,-103000,-2872000,-4095000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-12662750,- -,- -,- -,- -,- -,- -,-16888360,-44501000,-49190000,-29113000,-2197000,198272000,95693000,34552000,182331000,83792000,444691000,43873000,4318000,348023000
86,Purchases of Investments,-4543700,-33247800,-553346500,- -,-603295664,-441242450,- -,- -,-3094522,-128399800,-96217713,-577817122,-588083000,-56565000,-147898000,-46325000,-82239000,-6831000,- -,-481000,-10851000,- -,- -,-1664000,-228934000
87,Sales/Maturities of Investments,22718500,- -,- -,10933669,568213088,24245589,79942686,608172839,471014705,543048400,74974075,484954276,183469000,173869000,97783000,45051000,154943000,57625000,- -,192026000,14549000,- -,- -,7483000,1664000
88,Other Investing Activites,23367600,3537000,2273713250,-729713484,-37235527,74584554,-212982838,60815539,34937453,26371800,623450,-86331138,158874000,253754000,-215224000,363233000,53467000,230393000,8065000,-193210000,5268000,18610000,1341000,6862000,6206000
89,Cash Used for Investing Activites,-23367600,-72862200,1663367900,-934801728,-390283036,-909563761,-508014613,130902778,128718296,5492400,-196218250,-536282552,-825046000,215335000,-367377000,325352000,322692000,354517000,42595000,180563000,89886000,459206000,45214000,16999000,126959000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30101000,-424211000,-1084915000,-1586391000,-329353000,-517829000,- -,-75577000,-332553000,-460523000,-568519000,-12773000,-94471000
91,Common Stock Issued,- -,1414800,10817300,33070718,1084569,13506434,607208,12416052,13517493,15985000,1277449050,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3678000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-138774413,- -,- -,- -,- -,- -,-30002000,-202439000,-184342000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-5517350,- -,-89450750,-190274886,- -,- -,-33828109,- -,- -,-153837800,-123792738,-160173372,-265834000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,156433100,127332000,-78633450,537430288,303557969,770883037,390548390,-186698691,201273396,381422800,1184361225,861495304,1260847000,733118000,1483278000,1208190000,7125000,-26845000,-33075000,-37870000,99294000,-59220000,108435000,-13884000,-48746000
95,Cash Used/Provided by Financing Activities,150915750,128746800,-157266900,380226120,304642538,784389472,357327488,-174282639,76016475,243570000,2338017538,701321932,964912000,308907000,368361000,-580640000,-506570000,-544674000,-33075000,-113447000,-233259000,-519743000,-460084000,-22979000,-143217000
96,Effect of Forex Changes on Cash,-9411950,-14855400,- -,-8070583,3844555,14100365,6366193,3942434,-530859,-6513600,36615050,-45432774,-86799000,47957000,-135477000,57672000,445000,-10040000,2866000,-1996000,-1820000,2776000,2336000,354000,21287000
97,Net Change In Cash,11034700,-34308900,1194895600,-760224022,-172414128,-88931291,-148376889,-47736601,182602682,143506200,1656611963,-736031753,273723000,-182132000,-467504000,-438505000,-187005000,-217070000,-25397000,-23799000,-68163000,376051000,-432833000,-20429000,-10620000
98,Cash at the End of Period,128197250,105402600,1318878500,600318594,425353471,340168567,215767454,162804224,346379278,489026000,2144507925,1420314949,1690433000,1508301000,1040797000,602292000,30637000,311181000,95086000,71287000,89688000,465739000,32906000,12477000,1857000
99,Cash at the Beginning of Period,117162550,139711500,123982900,1360542617,597767599,429099858,364144343,210540825,163776596,345519800,487895963,2156346702,1416710000,1690433000,1508301000,1040797000,217642000,528251000,120483000,95086000,157851000,89688000,465739000,32906000,12477000
100,Free Cash Flow,-172011500,-118489500,-367788200,-413599744,-395920368,-545008821,-379020931,-546384775,-395740569,-534570600,-697400438,-1195838566,-314149000,-860864000,-405936000,-275299000,-5323000,-39236000,-37805000,-89022000,74158000,429717000,-20293000,-14803000,-15649000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2646,0.2637,0.2837,0.2622,0.2676,0.288,0.2564,0.2567,0.259,0.2872,0.2674,0.2894,0.3108
