,https://roic.ai/company/APPN,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,- -,2633000,5057000,5226000,9249000,5222000,2967000,5766000
49,Short-Term Debt,- -,- -,6111000,- -,- -,5283000,6923000,8110000
50,Tax Payable,- -,- -,- -,248000,375000,315000,- -,550000
51,Deferred Revenue,- -,40220000,52000000,70165000,95523000,82201000,116256000,150169000
52,Other Current Liabilities,- -,10651000,12851000,19724000,23629000,19574000,29742000,51676000
53,Total Current Liabilities,- -,53504000,76019000,95115000,128401000,112280000,155888000,215721000
54,Long-Term Debt,- -,10000000,13889000,- -,- -,- -,- -,48784000
55,Deferred Revenue,- -,12890000,18108000,18922000,16145000,7139000,3886000,2430000
56,Deferred Tax Liabilities,- -,916000,32000,87000,42000,38000,70000,209000
57,Other Non-Current Liabilities,- -,2065000,2767000,1404000,15400000,46791000,56072000,3458000
58,Total Non-Current Liabilities,- -,25871000,34796000,20413000,31587000,53968000,60028000,54881000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,52074000,58117000,56894000
61,Total Liabilities,- -,79375000,110815000,115528000,159988000,166248000,215916000,270602000
62,Preferred Stock,- -,54558000,55415000,- -,- -,- -,- -,- -
63,Common Stock,- -,3000,3000,6000,6000,6000,7000,7000
64,Retained Earnings,- -,-51507000,-64825000,-96189000,-145640000,-135413000,-168890000,-257531000
65,Other Comprehensive Income/Loss,- -,971000,1330000,439000,542000,-285000,-5010000,-5687000
66,Other Total Stockholders Equity,- -,- -,- -,141268000,218284000,340929000,470498000,- -
67,Total Stockholders Equity,- -,4025000,-8077000,45524000,73192000,205237000,296605000,233917000
68,Total Liabilities And Stockholders Equity,- -,83400000,102738000,161052000,233180000,371485000,512521000,504519000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,83400000,102738000,161052000,233180000,371485000,512521000,504519000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1441683/000144168318000023/0001441683-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1441683/000144168319000047/0001441683-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1441683/000144168320000020/0001441683-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1441683/000144168321000018/0001441683-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1441683/000144168322000023/0001441683-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-17059000,-6987000,-12461000,-31007000,-49451000,-50714000,-33477000,-88641000
74,Depreciation and Amortization,610000,763000,764000,886000,2021000,4742000,5851000,5743000
75,Deferred Income Tax,399000,-291000,-1122000,-251000,-218000,-334000,-184000,-498000
76,Stock Based Compensation,- -,- -,- -,12976000,16054000,16443000,15279000,23844000
77,Change in Working Capital,17203000,4267000,-7098000,37742000,31118000,84156000,44151000,5145000
78,Accounts Receivable,-1450000,-6639000,-11154000,-9716000,-23332000,7432000,-33559000,-33904000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1932000,1058000,1287000,4128000,7461000,-4039000,- -,- -
81,Other Working Capital,15196000,19463000,12365000,50107000,81225000,165381000,209532000,24388000
82,Other Non-Cash Items,381000,103000,12161000,-29474000,-30845000,-63219000,-39240000,489000
83,Cash Provided by Operating Activities,1534000,-2145000,-7756000,-9128000,-31321000,-8926000,-7620000,-53918000
84,CAPEX,-2633000,-524000,-984000,-433000,-7014000,-32421000,-1251000,-6058000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-6138000,-30729000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-145968000,-41870000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,120593000
88,Other Investing Activites,- -,- -,- -,- -,4000,- -,- -,- -
89,Cash Used for Investing Activites,-2633000,-524000,-984000,-433000,-7010000,-32421000,-153357000,41936000
90,Debt Repayment,- -,- -,-10000000,-40000000,- -,-653000,-3822000,- -
91,Common Stock Issued,- -,- -,- -,80213000,58258000,101653000,108260000,- -
92,Common Stock Repurchased,-21013000,- -,- -,-2424000,-429000,-350000,- -,- -
93,Dividends Paid,- -,- -,- -,-7565000,- -,- -,- -,- -
94,Other Financing Activites,37380000,10000000,20000000,20724000,3133000,4899000,6030000,2786000
95,Cash Used/Provided by Financing Activities,16367000,10000000,10000000,50948000,60962000,105549000,110468000,2786000
96,Effect of Forex Changes on Cash,-912000,-930000,-1510000,1228000,-1459000,623000,3216000,694000
97,Net Change In Cash,14356000,6401000,-250000,42615000,21172000,64825000,-47293000,-8502000
98,Cash at the End of Period,24992000,31393000,31143000,73758000,94930000,159755000,112462000,103960000
99,Cash at the Beginning of Period,10636000,24992000,31393000,31143000,73758000,94930000,159755000,112462000
100,Free Cash Flow,-1099000,-2669000,-8740000,-9561000,-38335000,-41347000,-8871000,-59976000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1441683/000144168318000023/0001441683-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1441683/000144168319000047/0001441683-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1441683/000144168320000020/0001441683-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1441683/000144168321000018/0001441683-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1441683/000144168322000023/0001441683-22-000023-index.htm
102,false,,,,,,,,
