,https://roic.ai/company/PHI,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,23340036,- -,2363600000,2000876221,2580748864,1055555640,955056260,1431829170,1416361450,1486068120,1662155250,1539000000,1200000000,1372000000,1354000000,932000000,752000000,799000000,1046000000,1412000000,1943000000,1745000000,1210000000,656000000
13,Interest Expense (Gain),1991712307,- -,- -,- -,8056202426,- -,14562300000,14613092287,14740428957,12166667640,12471911160,3393965440,2442002500,7100103240,6126229350,6008000000,5471000000,5312000000,6458000000,6206000000,5152000000,6150000000,7186000000,7233000000,6928000000,8458000000,10007000000,10309000000
14,Depreciation and Amortization,3071743558,3436128690,4112542692,6144589220,12420789158,12930080438,17896100000,21537421948,18301338326,23277779640,21404496180,28000214880,28424909100,28937048670,25122289350,27037000000,26665000000,28221000000,33921000000,31532000000,32528000000,32595000000,35384000000,52750000000,48132000000,40414000000,49976000000,54991000000
15,EBITDA,12514894496,11349716673,13668156594,16929540299,23079405598,17722177136,35388800000,40788297582,31600109417,45222225840,66797758420,76682406660,73357755100,94076367930,85387289700,87570000000,85779000000,76270000000,83845000000,81406000000,81829000000,65373000000,64485000000,74457000000,77818000000,80943000000,92708000000,99145000000
16,EBITDA ratio,0.5299,0.4486,0.4773,0.4734,0.4924,0.3820,0.5626,0.5544,0.3290,0.4036,0.5291,0.6235,0.5772,0.6789,0.5843,0.5917,0.5938,0.4870,0.5129,0.4836,0.4786,0.3821,0.3902,0.4656,0.4723,0.4784,0.5122,0.5130
17,Operating Income,8523699873,8430318786,11362082463,15094143519,9802815120,11651612717,12043000000,17144896324,14972621489,33500002680,56292139560,48364007520,48009769150,63529412130,66486210000,57882000000,55556000000,55207000000,44747000000,48359000000,46551000000,41525000000,35745000000,18183000000,21838000000,44234000000,46507000000,48340000000
18,Operating Income ratio,0.3609,0.3332,0.3968,0.4221,0.2091,0.2512,0.1915,0.2330,0.1559,0.2990,0.4459,0.3933,0.3778,0.4584,0.4550,0.3911,0.3846,0.3525,0.2737,0.2873,0.2723,0.2427,0.2163,0.1137,0.1326,0.2615,0.2569,0.2501
19,Total Other Income Expenses (Gains),-1072261242,-516730803,-1806468561,-4309192440,-7200401106,-6859516019,-9112600000,-12507112977,-16414279355,-23666668560,-23370788480,-2757596920,-4346764450,-5490196110,-12347439000,-3043000000,-1871000000,-12530000000,-1994000000,-6727000000,-2403000000,-14887000000,-13674000000,-3614000000,977000000,-11898000000,-13486000000,-14186000000
20,Income Before Tax,7451438631,7913587983,9555613902,10784951079,2602414014,4792096698,2930400000,4637783347,-1441657866,9833334120,32921351080,45606410600,43663004700,58039216020,54138771000,54839000000,53685000000,42677000000,42753000000,41632000000,44148000000,26638000000,22071000000,14569000000,22815000000,32336000000,33021000000,34154000000
21,Income Before Tax Ratio,0.3155,0.3128,0.3337,0.3016,0.0555,0.1033,0.0466,0.0630,-0.0150,0.0878,0.2608,0.3708,0.3436,0.4188,0.3705,0.3706,0.3716,0.2725,0.2615,0.2473,0.2582,0.1557,0.1336,0.0911,0.1385,0.1911,0.1824,0.1767
22,Income Tax expense (Gain),1914012217,2150859180,3121220061,3124164519,1501542316,2014193516,1822000000,1219896866,3141711475,-1388889000,4943820640,4825794610,9035409250,18782249850,19091040300,14744000000,13426000000,11040000000,8012000000,8248000000,10058000000,4563000000,1909000000,1103000000,3842000000,9550000000,8441000000,7478000000
23,Net Income,5537426414,5762728803,6434393841,7660786560,1100871698,2777903181,1108400000,3417886482,-4583369341,11166667560,27977530440,40462431730,33455434250,39256966170,35047730700,39781000000,40217000000,31697000000,35454000000,35420000000,34091000000,22065000000,20006000000,13371000000,18916000000,22521000000,24284000000,26367000000
24,Net Income ratio,0.2345,0.2278,0.2247,0.2142,0.0235,0.0599,0.0176,0.0465,-0.0477,0.0997,0.2216,0.3290,0.2633,0.2833,0.2398,0.2688,0.2784,0.2024,0.2169,0.2104,0.1994,0.1290,0.1211,0.0836,0.1148,0.1331,0.1342,0.1364
25,EPS,44.55,42.75,47.86,56.26,9.09,13.71,-0.85,11.34,-45.76,47.04,146.28,217.82,174.29,205.86,179.73,210.38,212.85,163.24,163.86,163.67,157.51,101.85,92.33,61.61,87.28,103.97,112.12,121.76
26,EPS Diluted,44.03,42.75,47.86,56.26,9.09,13.71,-0.85,11.34,-45.76,45.57,145.26,211.91,174.29,204.90,179.72,210.36,212.85,163.10,163.86,163.67,157.51,101.85,92.33,61.61,87.28,103.97,112.12,121.76
27,Weighted Average Shares Outstanding,105755814,106380368,109010989,136170213,121100000,121134000,166451000,168498000,136295647,172416033,180890164,171394793,184382985,190694356,188163000,186916000,186790000,191369000,216055775,216056000,216056000,216056000,216056000,216056000,216056000,216056000,216056000,216056000
28,Weighted Average Shares Outstanding Diluted,107000000,106380368,109010989,136170213,121100000,121154000,166451000,168498000,169077000,177997335,182160000,176174413,184382985,191587862,188176000,186937000,186790000,191533000,216055775,216056000,216056000,216056000,216056000,216056000,216056000,216056000,216056000,216056000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,11032674657,19388890440,27303373080,29962351150,16800977200,17420020740,4179133200,38319000000,36678000000,46057000000,37161000000,31905000000,26659000000,46455000000,38722000000,32905000000,51654000000,24369000000,40237000000,23907000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3876404820,2757596920,8302808500,14530443840,37897139700,3824000000,669000000,916000000,724000000,718000000,938000000,1480000000,3064000000,1174000000,9777000000,11307000000,8329000000,9512000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,11032674657,19388890440,31179777900,32719948070,25103785700,31950464580,42076272900,42143000000,37347000000,46973000000,37885000000,32623000000,27597000000,47935000000,41786000000,34079000000,61431000000,35676000000,48566000000,33419000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,17404600288,19055557080,10393259300,7106115140,10109890350,12301341660,15956690400,14729000000,16428000000,16245000000,16379000000,17564000000,29151000000,24898000000,24436000000,33761000000,26241000000,24433000000,23852000000,23475000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,4525080567,2666666880,2134831640,1537890590,1221001250,1155830760,2089566600,2165000000,2219000000,3827000000,3467000000,3164000000,3706000000,4614000000,3744000000,3933000000,2878000000,3412000000,4085000000,3662000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,6690588757,9555556320,3146067680,16704673650,15726496100,4086687330,6031249050,5306000000,5604000000,7719000000,27012000000,14312000000,14740000000,13994000000,15998000000,17896000000,9024000000,12056000000,10935000000,13375000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,39652944269,50666670720,46853936520,58068627450,52161173400,49494324330,66153778950,64343000000,61598000000,74764000000,84743000000,67663000000,75194000000,91441000000,85964000000,89669000000,99574000000,75577000000,87438000000,73931000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,200433170714,190222237440,194550578140,172508899630,163467647350,159256966860,160659177450,162466000000,163184000000,197731000000,200078000000,192665000000,191984000000,195782000000,203188000000,186907000000,195964000000,248024000000,279171000000,322817000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16810735070,27155067800,2435500530,8500736850,11392000000,10107000000,79570000000,62240000000,62127000000,62164000000,62393000000,61379000000,61379000000,61379000000,61379000000,61379000000,61379000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,12556792423,15444445680,3876404820,- -,- -,9205366410,1947096150,1632000000,1378000000,1086000000,12010000000,11791000000,10678000000,9724000000,8901000000,8204000000,7204000000,6446000000,3950000000,1156000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,12556792423,15444445680,3876404820,16810735070,27155067800,11640866940,10447833000,13024000000,11485000000,80656000000,74250000000,73918000000,72842000000,72117000000,70280000000,69583000000,68583000000,67825000000,65329000000,62535000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23931000000,23834000000,25196000000,32933000000,44173000000,71092000000,65366000000,69421000000,61445000000,65364000000,59380000000,56571000000,57202000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,9823262798,12777778800,12752810060,13522831050,15628816000,13746130110,9640500450,7721000000,6110000000,5975000000,5483000000,14181000000,17131000000,21941000000,27348000000,30466000000,27697000000,23623000000,19556000000,13385000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,5837005803,7500000600,7415730960,7477330110,4835164950,5779153800,6173719500,8663000000,11604000000,11324000000,12981000000,7038000000,8052000000,8448000000,18918000000,21374000000,25568000000,50598000000,67781000000,96458000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,228650231738,225944462520,218595523980,210319795860,211086696100,190423117710,186921230400,215805000000,216217000000,320882000000,325725000000,331975000000,361101000000,363654000000,389155000000,369775000000,383176000000,449450000000,488408000000,552397000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,268303176008,276611133240,265449460500,268388423310,263247869500,239917442040,253075009350,280148000000,277815000000,395646000000,410468000000,399638000000,436295000000,455095000000,475119000000,459444000000,482750000000,525027000000,575846000000,626328000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,9918770827,6666667200,7022472500,15431936610,8302808500,12260061990,18283707750,19601000000,22823000000,27118000000,28135000000,32063000000,38656000000,49501000000,49242000000,56279000000,70914000000,69438000000,77652000000,87372000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,20042621884,25944446520,28483148460,19462270570,17387057800,8751290040,15101867700,12714000000,13801000000,26009000000,12989000000,15171000000,14729000000,16911000000,33273000000,14957000000,20441000000,22937000000,21613000000,16037000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2829000000,7360000000,9517000000,11511000000,13416000000,12417000000,12821000000,12799000000,13830000000,13894000000,14016000000,13636000000,13788000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2833333560,2865168780,3128811890,4004884100,4004127990,4416583950,- -,4698000000,5664000000,6291000000,7333000000,7628000000,7456000000,6990000000,8039000000,6650000000,7879000000,8595000000,10063000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,16601284717,17444445840,18539327400,18931963470,26764347400,23199174540,27639267300,41579000000,40893000000,62696000000,76174000000,74480000000,81834000000,84798000000,92508000000,88816000000,94603000000,104194000000,105677000000,110802000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,46562677429,52888893120,56910117140,56954982540,56459097800,48214654560,65441426700,73894000000,82215000000,121487000000,123589000000,129047000000,142847000000,158666000000,182013000000,168091000000,192608000000,204448000000,213537000000,224274000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,172692580315,160444457280,136011247380,93599203150,69401711050,53333333640,59030256450,86079000000,75888000000,91280000000,102821000000,88930000000,115400000000,143982000000,151759000000,157654000000,155835000000,185934000000,221177000000,258206000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2337000000,2444000000,2703000000,2718000000,2640000000,2675000000,2701000000,2767000000,2726000000,2809000000,3347000000,5828000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1966292300,53030710,390720400,2063983500,1282234050,1321000000,1099000000,2902000000,5713000000,4437000000,4427000000,3704000000,3567000000,3366000000,2981000000,2583000000,726000000,169000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,31377916886,36888891840,22078653540,37386650550,29157509850,24066047610,20135823600,19729000000,18891000000,25314000000,26400000000,37180000000,36313000000,32170000000,26542000000,16383000000,11934000000,12963000000,17394000000,10386000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,204070497201,197333349120,160056193220,131038884410,98949941300,79463364750,80448314100,107129000000,98215000000,121940000000,137637000000,133265000000,158780000000,182531000000,184569000000,180170000000,173476000000,204289000000,242644000000,274589000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97680100,- -,- -,- -,43000000,14000000,18000000,11000000,6000000,1000000,- -,- -,- -,16315000000,20025000000,21686000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,250633174630,250222242240,216966310360,187993866950,155409039100,127678019310,145889740800,181023000000,180430000000,243427000000,261226000000,262312000000,301627000000,341197000000,366582000000,348261000000,366084000000,408737000000,456181000000,498863000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,4503957571,4500000360,4494382400,4401548930,4395604500,4416924690,4416583950,4416000000,4419000000,4419000000,510000000,510000000,510000000,510000000,510000000,510000000,510000000,510000000,510000000,510000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,851550869,833333400,842696700,901522070,927960950,949432410,949803000,947000000,947000000,1085000000,1093000000,1093000000,1093000000,1093000000,1093000000,1093000000,1093000000,1093000000,1093000000,1093000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-59224015315,-58055560200,-10224719960,-5250040290,12454212750,39834881550,37232277600,37744000000,36594000000,26232000000,24794000000,22968000000,17030000000,6195000000,3483000000,634000000,12081000000,18063000000,25652000000,34243000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,2847165997,2944444680,1966292300,689399230,-3174603250,-1362229110,-379921200,-1017000000,-1276000000,-644000000,-1398000000,-11481000000,-8285000000,-18202000000,-20894000000,-18324000000,-24493000000,-31092000000,-35633000000,-36437000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,66224229764,74500005960,50561802000,78538481510,91184373350,66996904410,63541820700,56485000000,56385000000,120741000000,124061000000,124057000000,124016000000,124012000000,123983000000,122929000000,123167000000,123413000000,123786000000,123807000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,15202888886,24722224200,47640453440,79280911450,105787548300,110835913950,105760564050,98575000000,97069000000,151833000000,149060000000,137147000000,134364000000,113608000000,108175000000,106842000000,112358000000,111987000000,115408000000,123216000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,265836063516,274944466440,264606763800,267274778400,261196587400,238513933260,251650304850,279598000000,277499000000,395260000000,410286000000,399459000000,435991000000,454805000000,474757000000,455103000000,478442000000,520724000000,571589000000,622079000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,2467112492,1666666800,842696700,1113644910,2051282100,1403508780,1424704500,550000000,316000000,386000000,182000000,179000000,304000000,290000000,362000000,4341000000,4308000000,4303000000,4257000000,4249000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,268303176008,276611133240,265449460500,268388423310,263247869500,239917442040,253075009350,280148000000,277815000000,395646000000,410468000000,399638000000,436295000000,455095000000,475119000000,459444000000,482750000000,525027000000,575846000000,626328000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5537426414,5762728803,6434393841,7660786560,1100871698,2777903181,1108400000,3417886482,-4583369341,11166667560,27977530440,40462431730,33455434250,39256966170,35047730700,39781000000,40217000000,31697000000,35454000000,35420000000,34091000000,22065000000,20006000000,13371000000,18916000000,22521000000,24284000000,26367000000
74,Depreciation and Amortization,3071743558,3436128690,4112542692,6144589220,12420789158,12930080438,17896100000,21537421948,18301338326,23277779640,21404496180,28000214880,28424909100,28937048670,25122289350,27037000000,26665000000,28221000000,33921000000,31532000000,32528000000,32595000000,35384000000,52750000000,48132000000,40414000000,49976000000,54991000000
75,Deferred Income Tax,- -,335743872,520641594,1388517564,762441176,-22903225,85600000,- -,532834266,-3722222520,- -,-3712149700,-1074481100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,2242942598,563944785,-1617144345,-877798460,-5613278658,2654596732,2629600000,-767525747,2196684663,-6222222720,3988764380,4295487510,-2197802250,-1279669770,142470450,-3419000000,2429000000,8295000000,8383000000,2033000000,-5482000000,2106000000,-17469000000,-13826000000,-9158000000,-16676000000,-10510000000,-12777000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1324000000,- -,- -,-8338000000,-1790000000,-10547000000,-1863000000,-7060000000,-10674000000,-12175000000,-1560000000,-585000000,-3713000000
79,Inventory,173530201,613781766,431238492,434909237,1836082832,240685480,-937800000,-1205618516,388074897,1555555680,- -,530307100,341880350,-82559340,-902312850,-305000000,89000000,-1017000000,386000000,254000000,-507000000,-1122000000,-917000000,-542000000,26000000,12000000,-1017000000,57000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000000,6407000000,904000000,6140000000,4299000000,5383000000,11242000000,1358000000,4622000000,7729000000,18768000000,-2813000000,29382000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,101701027,- -,- -,- -,-106061420,3321123400,-8090815320,-2421997650,-8814000000,-4496000000,-128000000,-2353000000,-2670000000,-5703000000,-10482000000,-5962000000,-5679000000,-11020000000,-7965000000,-249000000,-3947000000
82,Other Non-Cash Items,888371029,-1214448537,144622665,1113208047,2901944476,754233859,1211300000,15852009770,20598557756,16444445760,20168541020,-4295487510,2393162450,10443756510,18141237300,10987000000,7949000000,10996000000,2612000000,4778000000,4878000000,12978000000,11055000000,3819000000,3226000000,23133000000,21326000000,23232000000
83,Cash Provided by Operating Activities,11740483599,8884097613,9595056447,15429302931,11572767850,19093910985,22931000000,40039792453,37046045670,40944447720,73539332020,64750496910,61001222450,77358101580,78453727800,74386000000,77260000000,79209000000,80370000000,73763000000,66015000000,69744000000,48976000000,56114000000,61116000000,69392000000,85076000000,91813000000
84,CAPEX,-18673921630,-20511852180,-21861687942,-27239682211,-27696842720,-17048104566,-27109000000,-28150617600,-14777594736,-17944445880,-20561799480,-15803151580,-20268620750,-24478844310,-24552407550,-27399000000,-28069000000,-30561000000,-35482000000,-28707000000,-34647000000,-43123000000,-42418000000,-36753000000,-47268000000,-88391000000,-76503000000,-102395000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1395000000
86,Purchases of Investments,-914271059,-516730803,-817775433,-2773045135,- -,-1587298362,-322800000,-1229587587,- -,-222222240,-2191011420,-318184260,-6202686350,-23942208600,-24979818900,-28480000000,-3519000000,-15425000000,-234000000,-2417000000,-21160000000,-3119000000,-6254000000,-18500000000,-5992000000,-572000000,-6341000000,-4178000000
87,Sales/Maturities of Investments,536130621,372465858,2629503,821938558,- -,- -,- -,- -,1437647171,55555560,- -,1219706330,97680100,15933952620,31390989150,13733000000,6675000000,2244000000,3947000000,241000000,3132000000,1761000000,4668000000,21710000000,17850000000,2473000000,6565000000,3966000000
88,Other Investing Activites,- -,- -,- -,-3989993,-1108651710,-319395156,- -,-1372577273,-1881016189,-222222240,-1179775380,1856074850,-10256410500,1197110430,1092273450,-7007000000,1617000000,14028000000,-7289000000,9548000000,659000000,4925000000,1863000000,12346000000,10335000000,2174000000,7610000000,519000000
89,Cash Used for Investing Activites,-19052062068,-20656117125,-22676833872,-29194778781,-28805494430,-18954798084,-27431800000,-30752782460,-15220963754,-18333334800,-23932586280,-13045554660,-36630037500,-31289989860,-17048963850,-49132000000,-23283000000,-29712000000,-39058000000,-21045000000,-51686000000,-39238000000,-41982000000,-21060000000,-25054000000,-84316000000,-68669000000,-103483000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23930000000,-18376000000,-20012000000,-51840000000,-57045000000,-15816000000,-17089000000,-25690000000,-47293000000,-18740000000,-25893000000,-44146000000,-22565000000
91,Common Stock Issued,6503497533,464270823,460163025,283289503,190610294,718709666,14194300000,232319580,466470625,111111120,280898900,318184260,48840050,82559340,- -,18000000,3000000,2000000,227000000,- -,166000000,- -,5000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-7770009,- -,- -,-1001488243,-350100540,- -,- -,- -,-72406423,- -,- -,- -,- -,- -,-5271406650,-1752000000,-106000000,- -,-5623000000,-5000000,-51000000,-1000000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-1149961332,-1487240433,-1572442794,-1803476836,-1676592586,-1584516104,-1875600000,-1820721588,-1590481407,-1611111240,-1460674280,-11136449100,-14945055300,-28441692630,-37184787450,-39286000000,-41080000000,-41598000000,-36934000000,-37804000000,-39900000000,-32532000000,-22987000000,-16617000000,-13928000000,-15592000000,-16721000000,-17712000000
94,Other Financing Activites,7373738541,10491996000,13005521838,17747488864,15949024600,2727822537,-8191000000,-13274123260,-13858664183,-12611112120,-40393261820,-37174527710,-21880342400,-16429308660,-3086859750,44657000000,4237000000,21404000000,45542000000,35041000000,35704000000,38237000000,33331000000,23591000000,14524000000,29872000000,61330000000,35373000000
95,Cash Used/Provided by Financing Activities,12719504733,9469026390,11893242069,15225813288,14112941768,1862016099,4127700000,-14862525268,-15055081388,-14111112240,-41573037200,-47992792550,-36776557650,-44788441950,-45543053850,-20293000000,-55322000000,-40204000000,-48628000000,-59813000000,-19897000000,-11385000000,-15341000000,-40319000000,-18144000000,-11613000000,463000000,-4904000000
96,Effect of Forex Changes on Cash,-979021134,196724925,7888509,1935146605,466800720,539919346,757200000,23917525,-36203211,-55555560,-56179780,-1007583490,-683760700,-701754390,427411350,-326000000,-296000000,86000000,-445000000,704000000,322000000,675000000,614000000,-552000000,831000000,-748000000,-1002000000,244000000
97,Net Change In Cash,12719504733,9469026390,11893242069,15225813288,-2652984092,2541008024,384100000,-5551597749,6733797317,8388889560,7921348980,2704566210,-13137973450,577915380,16289121450,4635000000,-1641000000,9379000000,-7761000000,-6391000000,-5246000000,19796000000,-7733000000,-5817000000,18749000000,-27285000000,15868000000,-16330000000
98,Cash at the End of Period,- -,- -,- -,- -,5298188172,7861895036,9674300000,4122680272,11032674657,19388890440,27303373080,29962351150,16800977200,17420020740,33765496650,38319000000,36678000000,46057000000,38296000000,31905000000,26659000000,46455000000,38722000000,32905000000,51654000000,24369000000,40237000000,23907000000
99,Cash at the Beginning of Period,3856514467,7840144011,5719169025,4600461929,7951172264,5320887012,9290200000,9674278022,4298877341,11000000880,19382024100,27257784940,29938950650,16842105360,17476375200,33684000000,38319000000,36678000000,46057000000,38296000000,31905000000,26659000000,46455000000,38722000000,32905000000,51654000000,24369000000,40237000000
100,Free Cash Flow,-6933438031,-11627754567,-12266631495,-11810379280,-16124074870,2045806419,-4178000000,11889174854,22268450935,23000001840,52977532540,48947345330,40732601700,52879257270,53901320250,46987000000,49191000000,48648000000,44888000000,45056000000,31368000000,26621000000,6558000000,19361000000,13848000000,-18999000000,8573000000,-10582000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.01904762,0.01973944,0.02082466,0.01960784
