,https://roic.ai/company/MMAT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,279191,551822,164495,2250556,1179577,2006959,2990446,3165951,1521982,735744,521574,131379
38,PP&E,1114958,3182128,3461686,13050355,34553831,7100781,9422136,25594995,36569537,40188391,- -,33297
39,Goodwill,447084,447084,447084,447084,- -,- -,- -,- -,- -,- -,- -,240377
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28972
41,Intangible Assets,447084,447084,447084,447084,- -,- -,- -,- -,- -,- -,- -,269348
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,473785,995326,416956,80306,21066,6362,6362,- -,31875330,- -
45,Total Non-Current Assets,1562042,3629212,4382555,14492765,34970787,7181087,9443202,25601357,36575899,40188391,31875330,302645
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1841233,4181034,4547050,16743321,36150364,9188046,12433648,28767308,38097881,40924135,32396904,434024
48,Accounts Payable,251950,45011,89247,985123,4018306,1114409,422684,762502,729806,1444002,1026950,- -
49,Short-Term Debt,184750,588140,51000,753904,8247139,334741,3478121,- -,- -,10977127,1454043,1992
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,520400,520400,- -,- -,- -,780
52,Other Current Liabilities,40000,273358,841284,979982,787180,1035950,862589,996546,1468866,1541357,416090,88868
53,Total Current Liabilities,476700,906509,981531,2719009,13052625,2485100,5283794,2279448,2198672,13962486,2897083,91639
54,Long-Term Debt,- -,- -,580636,4802711,3944043,3291589,- -,10519281,17862080,11871934,- -,10151
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,637
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,324
57,Other Non-Current Liabilities,- -,11369,12614,24382,35950,29083,7051,9274,14353,23319,16856403,-3435
58,Total Non-Current Liabilities,- -,11369,593250,4827093,3979993,3320672,7051,10528555,17876433,11895253,16856403,7677
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,476700,917878,1574781,7546102,17032618,5805772,5290845,12808003,20075105,25857739,19753486,99316
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3213,5177,13565,16142,23235,33168,55100,63344,70116,76225,103276,263
64,Retained Earnings,-645302,-2613494,-5422297,-15840959,-31650561,-74903439,-82587785,-83507693,-89314305,-99153701,- -,-128394
65,Other Comprehensive Income/Loss,- -,- -,-551890,-1204069,-3930217,-4013616,-5455393,-5543599,-6845602,-12729238,- -,-297
66,Other Total Stockholders Equity,2006622,5871473,8932891,26226105,54675289,82266161,95130881,104947253,114112567,126873110,12540142,463136
67,Total Stockholders Equity,1364533,3263156,2972269,9197219,19117746,3382274,7142803,15959305,18022776,15066396,12643418,334708
68,Total Liabilities And Stockholders Equity,1841233,4181034,4547050,16743321,36150364,9188046,12433648,28767308,38097881,40924135,32396904,434024
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1841233,4181034,4547050,16743321,36150364,9188046,12433648,28767308,38097881,40924135,32396904,434024
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1431959/000107878211001038/0001078782-11-001038-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000107878212000886/0001078782-12-000886-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000107878213000762/0001078782-13-000762-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000107878214000520/0001078782-14-000520-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000119983515000129/0001199835-15-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000119983516000696/0001199835-16-000696-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000165495417002920/0001654954-17-002920-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000165495418002713/0001654954-18-002713-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000165495419002906/0001654954-19-002906-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000119983520000026/0001199835-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000119983521000148/0001199835-21-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000095017022002601/0000950170-22-002601-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,-1968192,-2808803,-10418662,-15809603,-43252878,-7684346,-919910,-5806612,-9839396,-12781896,-90997261
74,Depreciation and Amortization,- -,541,- -,- -,- -,- -,- -,- -,- -,- -,309821,3491493
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-852063
76,Stock Based Compensation,313000000,1105973,1268216,4331143,5644028,11265926,2956044,1151061,1340324,942470,404900,1576849
77,Change in Working Capital,-212317,-157178,-462349,348583,-11404595,11394907,-1815207,3179851,-1563193,-12550052,10851233,2415249
78,Accounts Receivable,- -,-17274,-75623,-336803,-76584,-176187,330199,-128302,-155183,139909,-15638,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,291950000,-206939,106291,833820,3180467,1024098,-396456,519818,14116,311603,940651,- -
81,Other Working Capital,-197509,-354687,-817036,-468453,-11873048,-478141,-2293348,886503,-676690,-13226742,-2375509,39740
82,Other Non-Cash Items,-312827683,218546,1872662,3476300,21911727,17477035,1717420,-2945410,4860957,21305045,-129331,49600822
83,Cash Provided by Operating Activities,-40000,-800310,-130274,-2262636,341557,-3115010,-4826089,465592,-1168524,-141933,-1345273,-34764911
84,CAPEX,-1110000,-2056342,-905326,-9663504,-18645289,-4519430,-2295360,-9460830,-12149916,-8790222,- -,-11655417
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66131025
86,Purchases of Investments,- -,- -,-905326,- -,- -,- -,- -,- -,- -,- -,- -,-2889852
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,979897,1076400,- -,2851918,2127489,2182,- -,- -,337178,145820839
89,Cash Used for Investing Activites,-1110000,-2056342,-830755,-8587104,-18645289,-1667512,-167871,-9458648,-12149916,-8790222,-5804023,65144545
90,Debt Repayment,- -,-250000,-543000,-61000,-90258,-9703904,-799741,-2509500,-3250000,- -,-250000,-1090047
91,Common Stock Issued,- -,2699242,- -,850000,10632791,1300000,3000000,- -,6049734,3446880,6513416,- -
92,Common Stock Repurchased,-260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-120427,-320724,- -,- -,- -,- -,- -
94,Other Financing Activites,1690000,647500,1049000,11809201,6129273,14153666,3857324,10784775,10307149,4734842,927477,16745910
95,Cash Used/Provided by Financing Activities,1430000,3096742,506000,12598201,16671806,5629335,5736859,8275275,13106883,8181722,7190893,15655863
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3292
97,Net Change In Cash,280000,240090,-455029,1748461,-1631926,846813,742899,-717781,-211557,-750433,41597,46038789
98,Cash at the End of Period,300000,518281,63252,1811713,179787,1026600,1769499,1051720,840163,89730,131327,47434472
99,Cash at the Beginning of Period,20000,278191,518281,63252,1811713,179787,1026600,1769501,1051720,840163,89730,1395683
100,Free Cash Flow,-1150000,-2856652,-1035600,-11926140,-18303732,-7634440,-7121449,-8995238,-13318440,-8932155,-1345273,-46420328
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1431959/000107878211001038/0001078782-11-001038-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000107878212000886/0001078782-12-000886-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000107878213000762/0001078782-13-000762-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000107878214000520/0001078782-14-000520-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000119983515000129/0001199835-15-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000119983516000696/0001199835-16-000696-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000165495417002920/0001654954-17-002920-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000165495418002713/0001654954-18-002713-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000165495419002906/0001654954-19-002906-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000119983520000026/0001199835-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000119983521000148/0001199835-21-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000095017022002601/0000950170-22-002601-index.htm
102,false,,,,,,,,,,,,
