,https://roic.ai/company/TUSK,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1679268/000167926817000006/0001679268-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1679268/000167926818000010/0001679268-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1679268/000167926819000008/0001679268-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1679268/000167926820000005/0001679268-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1679268/000167926821000006/0001679268-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1679268/000167926822000006/0001679268-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,15674492,3074072,28693985,5637000,67625000,5872000,14822000,9899000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,1750000,1762000
33,Cash and Short-Term Investments,15674492,3074072,28693985,5637000,67625000,5872000,16572000,11661000
34,Net Receivables,84145872,43441633,48662527,277534000,348624000,370576000,393112000,407638000
35,Inventory,4220401,4755661,4355088,17814000,21302000,17483000,- -,8366000
36,Other Current Assets,10173124,4869472,4645747,13438000,12005000,13049000,55064000,13118000
37,Total Current Assets,114213889,56140838,86357347,314423000,449556000,406980000,464748000,440783000
38,PP&E,334150453,273026665,221247228,351017000,436699000,396218000,251262000,188754000
39,Goodwill,86131395,86043148,86043148,99811000,101245000,67581000,12608000,11717000
40,Intangible Assets,39995871,30637829,21566829,16139000,7756000,5788000,408000,2561000
41,Intangible Assets,126127266,116680977,107609977,115950000,109001000,73369000,13016000,14278000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,6739000,- -,- -,- -,8094000
44,Other Non-Current Assets,6223268,5137090,5339283,79114000,77835000,75818000,- -,68983000
45,Total Non-Current Assets,466500987,394844732,334196488,552820000,623535000,545405000,264278000,280109000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,580714876,450985570,420553835,867243000,1073091000,952385000,729026000,720892000
48,Accounts Payable,50156506,16046378,18480325,141306000,68843000,39220000,40316000,37560000
49,Short-Term Debt,- -,- -,- -,- -,- -,16432000,12572000,12584000
50,Tax Payable,18635,26912,347753,38535000,123645000,48753000,49742000,59330000
51,Deferred Revenue,- -,- -,- -,15210000,4304000,7244000,24741000,3250000
52,Other Current Liabilities,20951580,14743797,10859155,63472000,160676000,67501000,50969000,96840000
53,Total Current Liabilities,71108086,30790175,29339480,219988000,233823000,130397000,128598000,150234000
54,Long-Term Debt,146041013,95000000,- -,99900000,- -,80000000,1165000,102851000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,7476580,1460959,47670789,34147000,79309000,36873000,- -,865000
57,Other Non-Current Liabilities,878991,571174,2501886,5412000,5907000,36374000,10435000,3720000
58,Total Non-Current Liabilities,154396584,97032133,50172675,139459000,85216000,153247000,11600000,107436000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,144237000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,43534000,30750000,28727000
61,Total Liabilities,225504670,127822308,79512155,359447000,319039000,283644000,261235000,257670000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,375000,446000,449000,451000,458000,467000
64,Retained Earnings,- -,- -,-56322878,2001000,226765000,136502000,28895000,-72535000
65,Other Comprehensive Income/Loss,-1112149,-5926968,-3216363,-2661000,-4081000,-3306000,-3065000,-2931000
66,Other Total Stockholders Equity,- -,- -,400205921,508010000,530919000,535094000,537039000,- -
67,Total Stockholders Equity,- -,- -,341041680,507796000,754052000,668741000,563327000,463222000
68,Total Liabilities And Stockholders Equity,225504670,127822308,420553835,867243000,1073091000,952385000,824562000,720892000
69,Minority Interest,355210206,323163262,- -,- -,- -,- -,-95536000,- -
70,Total Liabilities & Equity,580714876,450985570,420553835,867243000,1073091000,952385000,729026000,720892000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1679268/000167926817000006/0001679268-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1679268/000167926818000010/0001679268-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1679268/000167926819000008/0001679268-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1679268/000167926820000005/0001679268-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1679268/000167926821000006/0001679268-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1679268/000167926822000006/0001679268-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-2010548,-27231414,-88407995,58964000,235965000,-79044000,-79044000,-101430000
74,Depreciation and Amortization,35627165,74868474,69910858,92124000,119877000,117033000,95317000,- -
75,Deferred Income Tax,5814982,-5717451,47898688,-34425000,52226000,-42639000,-12186000,-32005000
76,Stock Based Compensation,3838842,- -,501147,3741000,22912000,4177000,1952000,1191000
77,Change in Working Capital,-37887685,-17755140,31667204,37417133,121298000,60850000,59567000,-4371000
78,Accounts Receivable,-4246612,27522839,-4636428,-231751000,-78840000,-27006000,-32621000,-55898000
79,Inventory,-1055660,-2611047,-1627179,-14238000,-5502000,830000,5103000,3654000
80,Accounts Payable,-417121,-27633817,295550,101725000,-64966000,-25968000,2526000,-2982000
81,Other Working Capital,43105803,25350663,57017867,94435000,215733000,276583000,336150000,- -
82,Other Non-Cash Items,2864958,44228147,-33468250,-100205133,-165610000,-155695000,-58639000,117750000
83,Cash Provided by Operating Activities,8247714,68392616,28101652,57616000,386668000,-95318000,6967000,-18865000
84,CAPEX,-111690056,-26251675,-11317909,-133853000,-191943000,-35761000,-6761000,-5843000
85,Acquisitions Net,7059068,- -,- -,-39337000,-21526000,-680000,-490000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-1750000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,3066073,1416766,4022092,907000,1514000,3217000,6706000,11350000
89,Cash Used for Investing Activites,-101564915,-24834909,-7295817,-172283000,-211955000,-33224000,-2295000,5507000
90,Debt Repayment,-149992040,-70430761,-126974820,-65801000,-177192000,-78079000,-32800000,-74145000
91,Common Stock Issued,- -,- -,105838750,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-12301,- -,- -,- -,-11201000,-11219000,- -,- -
94,Other Financing Activites,253130092,14499289,25795911,156850000,75801000,156000000,37066000,82573000
95,Cash Used/Provided by Financing Activities,103125751,-55931472,4659841,91049000,-112592000,66702000,4266000,8428000
96,Effect of Forex Changes on Cash,-2418289,-226655,154237,16000,-133000,87000,12000,7000
97,Net Change In Cash,7390261,-12600420,25619913,-23602000,61988000,-61753000,8950000,-4923000
98,Cash at the End of Period,15674492,3074072,28693985,5637000,67625000,5872000,14822000,9899000
99,Cash at the Beginning of Period,8284231,15674492,3074072,29239000,5637000,67625000,5872000,14822000
100,Free Cash Flow,-103442342,42140941,16783743,-76237000,194725000,-131079000,206000,-24708000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1679268/000167926817000006/0001679268-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1679268/000167926818000010/0001679268-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1679268/000167926819000008/0001679268-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1679268/000167926820000005/0001679268-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1679268/000167926821000006/0001679268-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1679268/000167926822000006/0001679268-22-000006-index.htm
102,false,,,,,,,,
