,https://roic.ai/company/LEAI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,39572,6554,-47278000,-48479000,-44161000,-40916000,-49477000,-41540000,-21551000,-18816000
82,Other Non-Cash Items,- -,- -,39018,38027585,6477000,-8779000,-4165000,16008000,-16251000,-43473000,-8486000
83,Cash Provided by Operating Activities,- -,-8412,-27018,-1652000,2780000,-1563000,5394000,-1706000,368000,-6965000,-4832000
84,CAPEX,- -,- -,- -,-187000,-81000,-55000,-181000,-858000,-192000,2500000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1735000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,165000,2126000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-187000,-81000,-55000,-181000,-858000,-27000,2891000,- -
90,Debt Repayment,- -,- -,- -,- -,-9000,-10000,-11000,-11000,-402000,-1500000,-11000
91,Common Stock Issued,- -,50000,- -,- -,459000,- -,- -,- -,- -,- -,13000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-510,- -,-338000,- -,- -,- -,500000,395000,2900000,3087000
95,Cash Used/Provided by Financing Activities,- -,49490,- -,-338000,450000,-10000,-11000,489000,-7000,1400000,3102000
96,Effect of Forex Changes on Cash,- -,- -,- -,-445000,-1200000,-1542000,-908000,-192000,367000,-860000,- -
97,Net Change In Cash,- -,- -,-27018,-2622000,1949000,-3170000,4294000,-2267000,701000,-3534000,-1744000
98,Cash at the End of Period,- -,41078,14060,2932000,4881000,1711000,6005000,6637000,6228000,2694000,950000
99,Cash at the Beginning of Period,- -,- -,41078,5554000,2932000,4881000,1711000,8904000,5527000,6228000,2694000
100,Free Cash Flow,- -,-8412,-27018,-1839000,2699000,-1618000,5213000,-2564000,176000,-4465000,-4832000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1561880/000121390016011896/0001213900-16-011896-index.html,https://www.sec.gov/Archives/edgar/data/1561880/000121390017003092/0001213900-17-003092-index.html,https://www.sec.gov/Archives/edgar/data/1561880/000121390018003806/0001213900-18-003806-index.html,https://www.sec.gov/Archives/edgar/data/1561880/000121390019006371/0001213900-19-006371-index.htm,https://www.sec.gov/Archives/edgar/data/1561880/000121390020008033/0001213900-20-008033-index.html,https://www.sec.gov/Archives/edgar/data/1561880/000121390021020994/0001213900-21-020994-index.htm,https://www.sec.gov/Archives/edgar/data/1561880/000149315222008451/0001493152-22-008451-index.htm
102,false,,,,,,,,,,,
