,https://roic.ai/company/SDGR,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,9960000,77716000,25986000,202296000,120267000
32,Short-Term Investments,26383000,6351000,59844000,440395000,456212000
33,Cash and Short-Term Investments,36343000,84067000,85830000,642691000,576479000
34,Net Receivables,9759000,18021000,25738000,35378000,40551000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,1952000,2602000,6968000,4909000,8030000
37,Total Current Assets,48054000,104690000,118536000,682978000,625060000
38,PP&E,5439000,7967000,19030000,15269000,85409000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,52000,15000,- -,- -,- -
41,Intangible Assets,52000,15000,- -,- -,- -
42,Investments,2609000,5444000,15366000,45664000,43167000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1868000,2614000,2338000,2352000,2851000
45,Total Non-Current Assets,9968000,16040000,36734000,63285000,131427000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,58022000,120730000,155270000,746263000,756487000
48,Accounts Payable,1610000,2773000,3524000,8398000,8079000
49,Short-Term Debt,- -,- -,5584000,4543000,2042000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,10974000,17617000,25054000,45403000,55368000
52,Other Current Liabilities,5234000,6615000,10858000,14861000,25722000
53,Total Current Liabilities,17818000,27005000,45020000,73205000,91211000
54,Long-Term Debt,- -,- -,8888000,7221000,77827000
55,Deferred Revenue,2776000,3113000,2205000,41164000,30064000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,82790000,162172000,192480000,654000,300000
58,Total Non-Current Liabilities,85566000,165285000,203573000,49039000,108191000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,14472000,11764000,79869000
61,Total Liabilities,103384000,192290000,248593000,122244000,199402000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,55000,59000,61000,699000,710000
64,Retained Earnings,-52100000,-80525000,-105096000,-129559000,-229952000
65,Other Comprehensive Income/Loss,-9238000,-9433000,16000,317000,-651000
66,Other Total Stockholders Equity,15921000,18339000,11655000,752558000,786964000
67,Total Stockholders Equity,-45362000,-71560000,-93364000,624015000,557071000
68,Total Liabilities And Stockholders Equity,58022000,120730000,155229000,746259000,756473000
69,Minority Interest,- -,- -,41000,4000,14000
70,Total Liabilities & Equity,58022000,120730000,155270000,746263000,756487000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1490978/000156459020011182/0001564590-20-011182-index.htm,https://www.sec.gov/Archives/edgar/data/1490978/000156459021010727/0001564590-21-010727-index.htm,https://www.sec.gov/Archives/edgar/data/1490978/000156459022006713/0001564590-22-006713-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-17392000,-28425000,-25681000,-26637000,-101219000
74,Depreciation and Amortization,1685000,2894000,3640000,3658000,2847000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,888000,1313000,2193000,10545000,26490000
77,Change in Working Capital,1588000,47449000,4295000,59176000,4677000
78,Accounts Receivable,-3100000,-4273000,-5038000,-12747000,-321000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,45000,969000,-294000,4882000,-411000
81,Other Working Capital,30236000,77685000,6715000,59705000,-1028000
82,Other Non-Cash Items,-2076000,-46942000,-10506000,-29985000,-3464000
83,Cash Provided by Operating Activities,-15307000,-23711000,-26059000,16757000,-70669000
84,CAPEX,-3700000,-5259000,-1836000,-2538000,-7167000
85,Acquisitions Net,- -,- -,- -,-2869000,12035000
86,Purchases of Investments,-38894000,- -,-110187000,-519668000,-414802000
87,Sales/Maturities of Investments,42000000,20100000,57225000,138772000,392747000
88,Other Investing Activites,2643000,-3647000,943000,4582000,375000
89,Cash Used for Investing Activites,2049000,11194000,-53855000,-381721000,-16812000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,1129000,896000,549000,537091000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,79377000,28135000,4183000,7952000
95,Cash Used/Provided by Financing Activities,1129000,80273000,28684000,541274000,7952000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-12129000,67756000,-51230000,176310000,-79529000
98,Cash at the End of Period,9960000,77716000,26486000,202796000,123267000
99,Cash at the Beginning of Period,22089000,9960000,77716000,26486000,202796000
100,Free Cash Flow,-19007000,-28970000,-27895000,14219000,-77836000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1490978/000156459020011182/0001564590-20-011182-index.htm,https://www.sec.gov/Archives/edgar/data/1490978/000156459021010727/0001564590-21-010727-index.htm,https://www.sec.gov/Archives/edgar/data/1490978/000156459022006713/0001564590-22-006713-index.htm
102,false,,,,,
