,https://roic.ai/company/SOS,2014,2015,2016,2017,2018,2019,2020
38,PP&E,2822000,4155000,5314000,5830000,5576000,3402000,4667000
39,Goodwill,- -,- -,- -,- -,- -,- -,72000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,72000
42,Investments,3182000,12542000,7065000,4821000,1083000,2000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5218000,8153000,7932000,7633000,640000,297000,- -
45,Total Non-Current Assets,- -,24850000,20311000,18284000,7299000,3701000,4739000
46,Other Assets,41299000,- -,- -,- -,- -,- -,- -
47,Total Assets,41299000,68272000,58468000,137528000,96136000,69162000,69762000
48,Accounts Payable,16605000,18555000,19511000,10313000,48407000,- -,1078000
49,Short-Term Debt,1884000,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,25571000,24319000,59586000,40456000,62338000,5089000
53,Total Current Liabilities,18489000,44126000,43830000,69899000,88863000,62338000,6167000
54,Long-Term Debt,- -,- -,- -,- -,2996000,386000,- -
55,Deferred Revenue,- -,781000,630000,8591000,3360000,1172000,610000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,628000,40019000,- -,- -,- -,194000,2749000
58,Total Non-Current Liabilities,- -,40800000,630000,8591000,6356000,1752000,3359000
59,Other Liabilities,13117000,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,194000,3583000
61,Total Liabilities,31606000,84926000,44460000,78490000,95219000,64090000,9526000
62,Preferred Stock,- -,44931000,- -,- -,- -,- -,- -
63,Common Stock,2000,2000,4000,6000,6000,11000,60000
64,Retained Earnings,-29924000,-62559000,-101299000,-221696000,-283178000,-293079000,5838000
65,Other Comprehensive Income/Loss,3010000,1000000,-1000000,-1000000,-8284000,2000000,-5000
66,Other Total Stockholders Equity,36605000,-28000,116303000,281728000,292373000,296141000,54343000
67,Total Stockholders Equity,9693000,-16654000,14008000,59038000,917000,5073000,60236000
68,Total Liabilities And Stockholders Equity,41299000,68272000,58468000,137528000,96136000,69163000,69762000
69,Minority Interest,- -,- -,- -,- -,- -,-1000,- -
70,Total Liabilities & Equity,41299000,68272000,58468000,137528000,96136000,69162000,69762000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,131000,-30026000,-33366000,-36649000,-66529000,-9901000,4404000
74,Depreciation and Amortization,800000,1016000,1381000,2331000,2071000,1881000,2000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,180000,592000,1003000,2497000,2471000,4326000,506000
77,Change in Working Capital,-9019000,4684000,4004000,26120000,21437000,-14489000,-54239000
78,Accounts Receivable,357000,-4319000,-273000,2458000,3783000,-825000,-2065000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-11940000
81,Other Working Capital,-5021000,259000,3339000,1642000,-15880000,-1034000,546000
82,Other Non-Cash Items,241000,6800000,238000,12000,3915000,3286000,5775000
83,Cash Provided by Operating Activities,-7667000,-16934000,-26740000,-5689000,-36635000,-14897000,-43552000
84,CAPEX,-2087000,-2697000,-3087000,-2190000,-2097000,-68000,-501000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-665000,-2078000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,177000,3500000
89,Cash Used for Investing Activites,-2087000,-2697000,-3087000,-2190000,-2762000,-1969000,2999000
90,Debt Repayment,-1250000,-4333000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,63020000,- -,- -,39973000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3137000,43477000,24002000,21657000,- -,- -,3578000
95,Cash Used/Provided by Financing Activities,1887000,39144000,24002000,84677000,- -,- -,43551000
96,Effect of Forex Changes on Cash,-266000,-281000,-237000,-900000,-1295000,521000,683000
97,Net Change In Cash,-8133000,19232000,-6062000,75898000,-40692000,-16345000,3681000
98,Cash at the End of Period,5813000,25045000,18983000,94881000,68862000,52517000,3722000
99,Cash at the Beginning of Period,13946000,5813000,25045000,18983000,109554000,68862000,41000
100,Free Cash Flow,-9754000,-19631000,-29827000,-7879000,-38732000,-14965000,-44053000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,
