,https://roic.ai/company/PCRX,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,50541000,43954000,66562000,113490000,112054000,169820000,326072000,389623000,391466000,628371000,689353000,831065000,1274513000,2075353000
48,Accounts Payable,11794000,6994000,6038000,3440000,2569000,3069000,6758000,8739000,7511000,14658000,14368000,12799000,10431000,10543000
49,Short-Term Debt,- -,- -,- -,7039000,- -,98961000,103100000,105928000,- -,324000,338000,- -,157073000,382591000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000,429000
51,Deferred Revenue,2046000,2346000,2267000,13054000,972000,1008000,1426000,1426000,595000,102000,- -,- -,- -,- -
52,Other Current Liabilities,3176000,5077000,8017000,8378000,10615000,18905000,28726000,35583000,36732000,41133000,45955000,94874000,85824000,127984000
53,Total Current Liabilities,17016000,14417000,16322000,31911000,14156000,121943000,140010000,151676000,44838000,56217000,60661000,107673000,253328000,521118000
54,Long-Term Debt,- -,- -,21869000,18537000,25191000,- -,- -,- -,108738000,276173000,290592000,306045000,384055000,746257000
55,Deferred Revenue,17768000,21564000,19469000,8416000,3720000,3212000,9508000,8082000,7487000,- -,- -,- -,- -,10125000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,8267000,30922000,57285000,6357000,3132000,3416000,5409000,11473000,11427000,16498000,16874000,62403000,17442000,67445000
58,Total Non-Current Liabilities,26035000,52486000,98623000,33310000,32043000,6628000,14917000,19555000,127652000,292671000,307466000,368448000,401497000,823827000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,2756000,- -,- -,- -,- -,- -,- -,- -,45873000,78450000,79618000
61,Total Liabilities,43051000,66903000,114945000,65221000,46199000,128571000,154927000,171231000,172490000,348888000,368127000,476121000,654825000,1344945000
62,Preferred Stock,6000,6000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,25000,33000,34000,36000,37000,37000,41000,41000,42000,44000,45000
64,Retained Earnings,-78055000,-109762000,-136911000,-180239000,-232520000,-296429000,-310145000,-308289000,-346238000,-389136000,-388226000,-399398000,-253875000,-211895000
65,Other Comprehensive Income/Loss,-3212000,-4594000,-6066000,-8282000,-11603000,-12576000,-20114000,-24917000,-37510000,-49210000,-61558000,-75440000,318000,167000
66,Other Total Stockholders Equity,88750000,91400000,94587000,236765000,309945000,350220000,501368000,551561000,602687000,717788000,770969000,829740000,873201000,942091000
67,Total Stockholders Equity,7490000,-22949000,-48383000,48269000,65855000,41249000,171145000,218392000,218976000,279483000,321226000,354944000,619688000,730408000
68,Total Liabilities And Stockholders Equity,50541000,43954000,66562000,113490000,112054000,169820000,326072000,389623000,391466000,628371000,689353000,831065000,1274513000,2075353000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,50541000,43954000,66562000,113490000,112054000,169820000,326072000,389623000,391466000,628371000,689353000,831065000,1274513000,2075353000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396814/000110465912021373/0001104659-12-021373-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000104746913002336/0001047469-13-002336-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681414000003/0001396814-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681415000003/0001396814-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000162828016011728/0001628280-16-011728-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000009/0001396814-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000009/0001396814-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000008/0001396814-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000008/0001396814-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000014/0001396814-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681422000021/0001396814-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-41862000,-31707000,-27149000,-43328000,-52281000,-63909000,-13716000,1856000,-37949000,-42611000,-471000,-11016000,145523000,41980000
74,Depreciation and Amortization,3831000,4432000,4252000,- -,5648000,5747000,10035000,11475000,12919000,13833000,13165000,19576000,19908000,28548000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-126613000,10872000
76,Stock Based Compensation,242000,524000,23000,2493000,4776000,11513000,24822000,33368000,31248000,31601000,31725000,33650000,39920000,42246000
77,Change in Working Capital,13357000,-4209000,16601000,36005000,-3972000,-61958000,89439000,26659000,97345000,136642000,82415000,-116424000,97411000,-18674000
78,Accounts Receivable,-1562000,1130000,264000,-922000,-2239000,-10238000,-7776000,-3489000,-4082000,-1721000,-5999000,-8524000,-5516000,-10434000
79,Inventory,277000,299000,124000,360000,-10832000,-3480000,-13706000,-32382000,30367000,-10133000,-7157000,-8026000,-6353000,-4467000
80,Accounts Payable,4807000,-4438000,-612000,- -,- -,- -,- -,- -,- -,- -,-573000,-1822000,-3312000,-10262000
81,Other Working Capital,2341000,-1868000,14733000,50738000,46766000,-15192000,74247000,100906000,198251000,334893000,417308000,300884000,398295000,125000
82,Other Non-Cash Items,-4757000,10122000,-18607000,-26170000,-24301000,65391000,-85111000,-44362000,-70110000,-121680000,-77964000,144734000,-99117000,20745000
83,Cash Provided by Operating Activities,-29189000,-20838000,-24880000,-31000000,-70130000,-43216000,25469000,28996000,33453000,17785000,48870000,70520000,77032000,125717000
84,CAPEX,-5840000,-5509000,-6770000,-6167000,-18257000,-12794000,-21889000,-41270000,-24709000,-19266000,-14514000,-10159000,-37801000,-45866000
85,Acquisitions Net,- -,- -,- -,- -,-10000000,-2000000,-13000000,-7000000,-16000000,-8000000,-7000000,-118000000,-1160000,-420042000
86,Purchases of Investments,- -,- -,- -,-29970000,-54047000,-114299000,-164303000,-189082000,-192815000,-502752000,-363255000,-318484000,-546516000,-628675000
87,Sales/Maturities of Investments,- -,- -,- -,- -,53120000,85564000,80286000,217240000,171627000,321713000,405188000,319468000,307870000,1077793000
88,Other Investing Activites,2000,- -,1000,14000,-338000,-31000,-433000,-119000,143000,-15460000,157000,-1313000,- -,-4000000
89,Cash Used for Investing Activites,-5838000,-5509000,-6769000,-36123000,-29522000,-43560000,-119339000,-20231000,-61754000,-223765000,20576000,-128488000,-277607000,-20790000
90,Debt Repayment,- -,- -,- -,- -,-26250000,-27500000,- -,- -,- -,-118193000,- -,-338000,-209882000,- -
91,Common Stock Issued,- -,- -,- -,87022000,62855000,- -,110452000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,40173000,21038000,50707000,136000,27005000,116665000,8423000,10699000,7261000,342355000,8954000,4008000,432186000,380694000
95,Cash Used/Provided by Financing Activities,40173000,21038000,50705000,87158000,63610000,89165000,118875000,10699000,7261000,224162000,8954000,3670000,222304000,380694000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5146000,-5309000,19056000,20035000,-36042000,2389000,25005000,19464000,-21040000,18182000,78400000,-54298000,21729000,485621000
98,Cash at the End of Period,12386000,7077000,26133000,46168000,10126000,12515000,37520000,56984000,35944000,54126000,132526000,78228000,99957000,585578000
99,Cash at the Beginning of Period,7240000,12386000,7077000,26133000,46168000,10126000,12515000,37520000,56984000,35944000,54126000,132526000,78228000,99957000
100,Free Cash Flow,-35029000,-26347000,-31650000,-37167000,-88387000,-56010000,3580000,-12274000,8744000,-1481000,34356000,60361000,39231000,79851000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396814/000110465912021373/0001104659-12-021373-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000104746913002336/0001047469-13-002336-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681414000003/0001396814-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681415000003/0001396814-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000162828016011728/0001628280-16-011728-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000009/0001396814-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000009/0001396814-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000008/0001396814-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000008/0001396814-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000014/0001396814-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681422000021/0001396814-22-000021-index.htm
102,false,,,,,,,,,,,,,,
