,https://roic.ai/company/SMGI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,22500,- -,- -,- -,5900,5200,5350,8700,211320,81657,246099,66566
77,Change in Working Capital,14644,3539684,-3224173,2988563,2590214,10108985,-11430058,-3703245,-377632,-995145,-979173,-2641145,-7081762
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144996,-240822,565833,2782038
79,Inventory,- -,- -,- -,-17662614,-6382555,7418941,14318244,- -,- -,-131105,1391,10703,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,276536,506264,765706,-2158362
81,Other Working Capital,60265,3599949,375776,3364339,5954553,16063538,4633480,930235,552603,-442542,-1421715,-4062860,-11144622
82,Other Non-Cash Items,- -,-4458955,-177563,-19584933,-3533660,-1598687,25566943,3569719,409403,1026088,1551230,5438556,14251992
83,Cash Provided by Operating Activities,-2251,-1234032,-3455878,-21368940,-4829777,9498817,18900619,-589078,-345861,-416656,-384377,-281097,-3730505
84,CAPEX,- -,- -,- -,-1012,- -,- -,- -,- -,- -,-38247,-116564,-48399,4200
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6320168
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,21164,-286000,-500000,-479200
89,Cash Used for Investing Activites,- -,- -,- -,-1012,- -,- -,- -,- -,- -,-17083,-402564,-548399,-6795168
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-299780,-633420,-1014703,- -
91,Common Stock Issued,10000,4798000,800000,24212343,7497500,- -,- -,- -,- -,351170,276043,359000,59439
92,Common Stock Repurchased,- -,- -,-255410,- -,-52284,-669227,-16193792,-194698,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-12891065,- -,-3052995,- -,-192507,- -,- -,177123
94,Other Financing Activites,53622,-20111,- -,- -,- -,- -,- -,- -,- -,637965,1060356,1513945,11038926
95,Cash Used/Provided by Financing Activities,63622,4777889,544590,24212343,7445216,-13560292,-16193792,-3247693,- -,496848,702979,858242,11275488
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,3543857,-2911288,2842391,2615439,-4061475,2706827,-3836771,-345861,63109,-83962,28746,949520
98,Cash at the End of Period,61371,3605228,693940,3536331,6151770,2090295,4797122,960351,614490,85570,1608,30354,979088
99,Cash at the Beginning of Period,- -,61371,3605228,693940,3536331,6151770,2090295,4797122,960351,22461,85570,1608,29568
100,Free Cash Flow,-2251,-1234032,-3455878,-21369952,-4829777,9498817,18900619,-589078,-345861,-454903,-500941,-329496,-3726305
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1426506/000114420412016924/0001144204-12-016924-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420413019117/0001144204-13-019117-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420414018736/0001144204-14-018736-index.htm,https://www.sec.gov/Archives/edgar/data/1426506/000114420415018950/0001144204-15-018950-index.htm,https://www.sec.gov/Archives/edgar/data/1426506/000114420416090610/0001144204-16-090610-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420417017689/0001144204-17-017689-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420418018716/0001144204-18-018716-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420419017308/0001144204-19-017308-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000110465920071051/0001104659-20-071051-index.htm,https://www.sec.gov/Archives/edgar/data/1426506/000110465921051843/0001104659-21-051843-index.htm
102,false,,,,,,,,,,,,,
