,https://roic.ai/company/NTNX,2013,2014,2015,2016,2017,2018,2019,2020,2021
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,118964000,249831000,399086000,726073000,1599880000,1786042000,1768547000,2277496000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1618732/000161873217000123/0001618732-17-000123-index.htm,https://www.sec.gov/Archives/edgar/data/1618732/000161873218000131/0001618732-18-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1618732/000161873219000114/0001618732-19-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1618732/000161873220000112/0001618732-20-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1618732/000095017021001852/0000950170-21-001852-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-44734000,-84003000,-126127000,-168499000,-458011000,-297161000,-621179000,-872883000,-1034260000
74,Depreciation and Amortization,2626000,11582000,16567000,26408000,38399000,50302000,77612000,93773000,94373000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,4990000,5860000,17140000,20056000,231491000,177868000,306729000,351998000,358545000
77,Change in Working Capital,7922000,36535000,56158000,13130000,92715000,595058000,-128973000,-342080000,300556000
78,Accounts Receivable,-6256000,-21177000,-9018000,-71406000,-67382000,-79273000,15704000,4334000,64483000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1880000,12552000,11318000,19985000,21280000,-16469000,13508000,-16574000,-5762000
81,Other Working Capital,11274000,47809000,103967000,117097000,209812000,804870000,675897000,333817000,634373000
82,Other Non-Cash Items,86000,-15681000,10568000,112541000,109228000,-433512000,407979000,609307000,180976000
83,Cash Provided by Operating Activities,-29110000,-45707000,-25694000,3636000,13822000,92555000,42168000,-159885000,-99810000
84,CAPEX,-9339000,-19032000,-23308000,-42294000,-50181000,-62372000,-118452000,-89488000,-58647000
85,Acquisitions Net,- -,- -,- -,- -,- -,-22000000,-19000000,- -,- -
86,Purchases of Investments,- -,- -,-116116000,-106345000,-242525000,-716417000,-468144000,-607194000,-1392737000
87,Sales/Maturities of Investments,- -,- -,32757000,102135000,116796000,297461000,588763000,721241000,854231000
88,Other Investing Activites,- -,- -,- -,- -,-184000,-227000,-17000,- -,- -
89,Cash Used for Investing Activites,-9339000,-19032000,-106667000,-46504000,-176094000,-503555000,-16850000,24559000,-597153000
90,Debt Repayment,- -,-21417000,- -,- -,-82124000,-1696000,-1066000,16625000,-459000
91,Common Stock Issued,- -,- -,- -,- -,254455000,- -,- -,- -,- -
92,Common Stock Repurchased,-195000,-160000,-149000,-365000,- -,- -,- -,- -,-125079000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,37263000,125754000,142904000,74563000,29091000,580312000,68170000,41172000,789383000
95,Cash Used/Provided by Financing Activities,37068000,104177000,142755000,74198000,201422000,578616000,67104000,57797000,663845000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1381000,39438000,10394000,31330000,39150000,167616000,92422000,-80783000,-36268000
98,Cash at the End of Period,18047000,57485000,67879000,99209000,138359000,305975000,399520000,318737000,285723000
99,Cash at the Beginning of Period,19428000,18047000,57485000,67879000,99209000,138359000,307098000,399520000,321991000
100,Free Cash Flow,-38449000,-64739000,-49002000,-38658000,-36359000,30183000,-76284000,-249373000,-158457000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1618732/000161873217000123/0001618732-17-000123-index.htm,https://www.sec.gov/Archives/edgar/data/1618732/000161873218000131/0001618732-18-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1618732/000161873219000114/0001618732-19-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1618732/000161873220000112/0001618732-20-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1618732/000095017021001852/0000950170-21-001852-index.htm
102,false,,,,,,,,,
