,https://roic.ai/company/RKT,2017,2018,2019,2020,2021
82,Other Non-Cash Items,-1260842000,-7422200000,-16551010000,12909144000,-21939282000
83,Cash Provided by Operating Activities,-242724000,1426482000,-6959251000,-1677370000,7743928000
84,CAPEX,-67780000,-64473000,-48842000,-106346000,-118291000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-2500000,- -
87,Sales/Maturities of Investments,- -,- -,136820000,- -,- -
88,Other Investing Activites,-21182000,-30003000,-16084000,626049000,-546561000
89,Cash Used for Investing Activites,-88962000,-94476000,71894000,517203000,-664852000
90,Debt Repayment,- -,-1044180000,- -,-1295214000,-4990981000
91,Common Stock Issued,- -,- -,- -,1750801000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,992140000,-628529000,7197439000,1302073000,-1930486000
95,Cash Used/Provided by Financing Activities,992140000,-1672709000,7197439000,1757660000,-6921467000
96,Effect of Forex Changes on Cash,- -,-1061000,877000,885000,-115000
97,Net Change In Cash,660454000,-341764000,310959000,598378000,157494000
98,Cash at the End of Period,1442931000,1101167000,1412126000,2054103000,2211597000
99,Cash at the Beginning of Period,782477000,1442931000,1101167000,1455725000,2054103000
100,Free Cash Flow,-310504000,1362009000,-7008093000,-1783716000,7625637000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1805284/000180528421000010/0001805284-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1805284/000180528422000011/0001805284-22-000011-index.htm
102,false,,,,,
