,https://roic.ai/company/BGNE,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,18790000,14482000,7273000,17848000,212260000,249585000,323622000,656315000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2402962000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,36647000,43312000,- -
61,Total Liabilities,50524000,27853000,42445000,52906000,362248000,496037000,633934000,1731514000,2402962000
62,Preferred Stock,- -,- -,176084000,- -,- -,- -,- -,- -,- -
63,Common Stock,9000,23000,12000,52000,59000,77000,79000,118000,- -
64,Retained Earnings,-42815000,-61093000,-118195000,-237412000,-330517000,-1007215000,-1955843000,-3552749000,- -
65,Other Comprehensive Income/Loss,309000,100000,-1809000,-946000,-480000,1526000,-8001000,6942000,17000
66,Other Total Stockholders Equity,3771000,86738000,18227000,591213000,1000747000,2744814000,2925970000,7414932000,- -
67,Total Stockholders Equity,-38726000,25768000,74319000,352907000,669809000,1739202000,962205000,3869243000,6242987000
68,Total Liabilities And Stockholders Equity,11798000,53621000,116764000,405813000,1032057000,2235239000,1596139000,5600757000,8645949000
69,Minority Interest,- -,- -,- -,- -,14422000,14445000,16150000,- -,- -
70,Total Liabilities & Equity,11798000,53621000,116764000,405813000,1046479000,2249684000,1612289000,5600757000,8645949000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1651308/000110465916108727/0001104659-16-108727-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000104746917001890/0001047469-17-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000155837018001303/0001558370-18-001303-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000165130819000018/0001651308-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000165130820000020/0001651308-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000165130821000039/0001651308-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000165130822000032/0001651308-22-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-7494000,-18278000,-57102000,-119217000,-93105000,-673769000,-948628000,-1596906000,-1413354000
74,Depreciation and Amortization,1592000,1557000,1545000,1909000,4758000,10388000,18617000,31789000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-5845000,-21949000,-9232000,-27807000,- -
76,Stock Based Compensation,-24000,6637000,10211000,10625000,42863000,87127000,134154000,183481000,- -
77,Change in Working Capital,7745000,61117000,37280000,268244000,424168000,933881000,-835006000,3023107000,-3885503000
78,Accounts Receivable,- -,- -,- -,- -,-29428000,-11628000,-29822000,10363000,- -
79,Inventory,- -,- -,- -,- -,-10930000,-5312000,-12311000,-58906000,- -
80,Accounts Payable,-768000,731000,6186000,2707000,55298000,23470000,2224000,95835000,- -
81,Other Working Capital,-27300000,33817000,71097000,339341000,763509000,1697390000,862384000,3885491000,-12000
82,Other Non-Cash Items,2254000,-59727000,-31777000,-251074000,-360087000,-883395000,889826000,-2897125000,4000134000
83,Cash Provided by Operating Activities,4073000,-8694000,-39843000,-89513000,12752000,-547717000,-750269000,-1283461000,-1298723000
84,CAPEX,-264000,-654000,-5314000,-23502000,-58728000,-140836000,-158612000,-229033000,- -
85,Acquisitions Net,- -,-2443000,- -,- -,19916000,- -,- -,- -,- -
86,Purchases of Investments,- -,-30646000,-119291000,-382093000,-741296000,-2635686000,-1169300000,-5690408000,- -
87,Sales/Maturities of Investments,- -,102000,65698000,183743000,423789000,2177207000,1882075000,2751075000,- -
88,Other Investing Activites,14000,- -,1000,4000,- -,-108851000,-69000000,-109500000,640659000
89,Cash Used for Investing Activites,-250000,-33641000,-58906000,-221848000,-356319000,-637613000,554163000,-3168366000,640659000
90,Debt Repayment,- -,- -,-322000,- -,-2470000,-8736000,-32813000,-144308000,- -
91,Common Stock Issued,- -,- -,- -,368877000,339119000,1633369000,- -,4232017000,- -
92,Common Stock Repurchased,- -,-80000,-75000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-482000,52245000,103602000,12025000,153707000,65904000,118493000,1115117000,3636911000
95,Cash Used/Provided by Financing Activities,-482000,52165000,103205000,380902000,490356000,1690537000,85680000,5202826000,3636911000
96,Effect of Forex Changes on Cash,-41000,142000,-485000,104000,5299000,-4096000,-9512000,18231000,14035000
97,Net Change In Cash,3300000,9972000,3971000,69645000,152088000,501111000,-119938000,769230000,2992882000
98,Cash at the End of Period,3926000,13898000,17869000,87514000,239602000,740713000,620775000,1390005000,4382887000
99,Cash at the Beginning of Period,626000,3926000,13898000,17869000,87514000,239602000,740713000,620775000,1390005000
100,Free Cash Flow,3809000,-9348000,-45157000,-113015000,-45976000,-688553000,-908881000,-1512494000,-1298723000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1651308/000110465916108727/0001104659-16-108727-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000104746917001890/0001047469-17-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000155837018001303/0001558370-18-001303-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000165130819000018/0001651308-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000165130820000020/0001651308-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000165130821000039/0001651308-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000165130822000032/0001651308-22-000032-index.htm
102,false,,,,,,,,,
