,https://roic.ai/company/AYTU,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1385818/000107997408000923/0001079974-08-000923-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997409000776/0001079974-09-000776-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997410000696/0001079974-10-000696-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000135448811004793/0001354488-11-004793-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997412000632/0001079974-12-000632-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997413000764/0001079974-13-000764-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997414000837/0001079974-14-000837-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000119312515333046/0001193125-15-333046-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000114420416122393/0001144204-16-122393-index.htm,https://www.sec.gov/Archives/edgar/data/1385818/000114420417046061/0001144204-17-046061-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000121390018012209/0001213900-18-012209-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000165495419011147/aytu_10k.htm,https://www.sec.gov/Archives/edgar/data/1385818/000165495420010891/0001654954-20-010891-index.htm,https://www.sec.gov/Archives/edgar/data/1385818/000155837021012825/0001558370-21-012825-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,23358,37643,13612,1545,3993,109,1862,2315,7353061,8054190,802328,7012527,11044227,48081715,49649000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1041362,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,23358,37643,13612,1545,3993,109,1862,2315,7353061,9095552,802328,7012527,11044227,48081715,49649000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,157058,162427,528039,578782,1740787,5175924,28176000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,39442,524707,1312221,1338973,1440069,9999441,16339000
36,Other Current Assets,- -,- -,164,257,172,234,77,- -,171,534298,337541,385974,540009,1207781,11708692,11070000
37,Total Current Assets,- -,23358,37807,13869,1717,4227,186,1862,2486,8083859,10120227,3028562,9470291,15432864,74965772,105234000
38,PP&E,- -,36315,36266,27983,25374,18611,12461,7519,2739,30000,231000,647000,219000,204000,1151609,8703000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000,221000,238426,- -,- -,28090407,65802000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,9699125,13554380,11081109,11366086,19082983,48855000,85464000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,9773125,13775380,11319535,11366086,19082983,76945407,151266000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,288,288,339822,216400,3420,4716,1544,-226458,465000
45,Total Non-Current Assets,- -,36315,36266,27983,25374,18611,12461,7807,3027,10142947,14222780,11969955,11589802,19288527,77870558,160434000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,59673,74073,41852,27091,22838,12647,9669,5513,18226806,24343007,14998517,21060093,34721391,152836330,265668000
48,Accounts Payable,- -,1741,- -,- -,477,330,5843,6842,310,1196817,3519711,2220400,2119672,2297270,11824560,19255000
49,Short-Term Debt,- -,34400,48115,54615,77599,52300,68053,99510,30985,- -,- -,- -,- -,- -,1792502,25542000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,85714,- -,- -,- -,- -,339336,- -
52,Other Current Liabilities,- -,4726,- -,820,4623,5803,8469,14173,19207,196503,6584714,1390068,1275106,3075306,14350183,64641000
53,Total Current Liabilities,- -,40867,48115,55435,82699,58433,82365,120525,50502,1479034,10104425,3610468,3394778,5372576,28306581,109438000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,725374,2804000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,41427,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1089893,4153329,7388233,4240810,22260997,28789079,15858000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1131320,4153329,7388233,4240810,22260997,29514453,18662000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1025800,3564000
61,Total Liabilities,- -,40867,48115,55435,82699,58433,82365,120525,50502,2610354,14257754,10998701,7635588,27633573,57821034,128100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,359,- -,- -
63,Common Stock,- -,- -,205250,- -,- -,- -,- -,414027,539727,1426,374,82,179,1754,12584,3000
64,Retained Earnings,- -,-138572,-195745,-254139,-500,-500,-500,-568704,-630427,-18381341,-46561425,-69069729,-79257592,-106389500,-120010179,-178299000
65,Other Comprehensive Income/Loss,- -,417,449,-1265,-314409,-451211,-510886,-58351,-63131,-5000000,-112000,-246000,-540000,-396000,-484000,- -
66,Other Total Stockholders Equity,- -,- -,16004,271868,- -,12164,- -,102172,108842,38996367,56758304,73315463,93221918,113871205,215496891,315864000
67,Total Stockholders Equity,- -,18806,25958,-13583,-55608,-35595,-69718,-110856,-44989,15616452,10085253,3999816,13424505,7087818,95015296,137568000
68,Total Liabilities And Stockholders Equity,- -,59673,74073,41852,27091,22838,12647,9669,5513,18226806,24343007,14998517,21060093,34721391,152836330,265668000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,59673,74073,41852,27091,22838,12647,9669,5513,18226806,24343007,14998517,21060093,34721391,152836330,265668000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1385818/000107997408000923/0001079974-08-000923-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997409000776/0001079974-09-000776-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997410000696/0001079974-10-000696-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000135448811004793/0001354488-11-004793-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997412000632/0001079974-12-000632-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997413000764/0001079974-13-000764-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997414000837/0001079974-14-000837-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000119312515333046/0001193125-15-333046-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000114420416122393/0001144204-16-122393-index.htm,https://www.sec.gov/Archives/edgar/data/1385818/000114420417046061/0001144204-17-046061-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000121390018012209/0001213900-18-012209-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000165495419011147/aytu_10k.htm,https://www.sec.gov/Archives/edgar/data/1385818/000165495420010891/0001654954-20-010891-index.htm,https://www.sec.gov/Archives/edgar/data/1385818/000155837021012825/0001558370-21-012825-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-48954,-57173,-58894,-60270,-136802,-59675,-57318,-61723,-7723404,-28180084,-22508304,-10187863,-27131908,-13620679,-58289000
74,Depreciation and Amortization,- -,6420,7515,8283,9185,6763,6150,4942,4780,118202,874789,4364680,2591270,2727067,6245827,9201000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23910,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,60000,- -,- -,- -,1017938,902946,2502092,348515,1022202,1079311,3574000
77,Change in Working Capital,- -,5222,7201,-31258,-39416,26776,-27973,-36484,2742410,6652841,-6589023,-597708,6657419,3984775,36598903,-50863191
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-157058,-5369,-355031,-50743,-1162005,-3560860,1544000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39442,-485265,195427,-26752,-101096,-6950624,2786000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,547314,1623469,493217,-109707,134775,-1376521,-3245000
81,Other Working Capital,- -,-17509,-10308,-41566,-80982,-54206,-82179,-118663,-48016,6604825,15802,-581906,6075513,10060288,46659191,-4204000
82,Other Non-Cash Items,- -,9396,-2342,35238,47126,-21555,43649,51156,-2724189,-6675881,22333923,2409588,-15349663,5566487,-58677249,70413191
83,Cash Provided by Operating Activities,- -,-27916,-44799,-46631,-43375,-64818,-37849,-37704,-38722,-6634214,-10657449,-13829652,-15940322,-13831377,-28373887,-25964000
84,CAPEX,- -,- -,-7466,- -,-6576,- -,- -,- -,- -,- -,-2252932,-111608,-74707,-59848,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-3052991,-4036239,-7385,-505025,188228,-2822000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4886,-1998002,613309,-402200,-497112,-5844000,40000
89,Cash Used for Investing Activites,- -,- -,-7466,- -,-6576,- -,- -,- -,- -,-1004886,-5303925,-3534538,-484292,-1061985,-5655772,-2782000
90,Debt Repayment,- -,- -,- -,- -,- -,-12000,- -,- -,-5000,- -,- -,- -,- -,- -,-19436779,-54947000
91,Common Stock Issued,- -,- -,59750,16100,14900,43500,18212,8000,17700,5000000,12720493,9342356,- -,- -,- -,45051000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-904914,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,2400,6800,6500,22984,35766,15753,31457,26475,7352511,4846924,845186,22659599,19075062,90505518,40210000
95,Cash Used/Provided by Financing Activities,- -,2400,66550,22600,37884,67266,33965,39457,39175,12352511,16662503,10187542,22659599,19075062,71068739,30314000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-25516,14285,-24031,-12067,2448,-3884,1753,453,4713411,701129,-7176648,6234985,4181700,37039080,1568000
98,Cash at the End of Period,- -,23358,37643,13612,1545,3993,109,1862,2315,7353061,8054190,877542,7112527,11294227,48333307,49901000
99,Cash at the Beginning of Period,- -,48874,23358,37643,13612,1545,3993,109,1862,2639650,7353061,8054190,877542,7112527,11294227,48333000
100,Free Cash Flow,- -,-27916,-52265,-46631,-49951,-64818,-37849,-37704,-38722,-6634214,-12910381,-13941260,-16015029,-13891225,-28373887,-25964000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1385818/000107997408000923/0001079974-08-000923-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997409000776/0001079974-09-000776-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997410000696/0001079974-10-000696-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000135448811004793/0001354488-11-004793-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997412000632/0001079974-12-000632-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997413000764/0001079974-13-000764-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000107997414000837/0001079974-14-000837-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000119312515333046/0001193125-15-333046-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000114420416122393/0001144204-16-122393-index.htm,https://www.sec.gov/Archives/edgar/data/1385818/000114420417046061/0001144204-17-046061-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000121390018012209/0001213900-18-012209-index.html,https://www.sec.gov/Archives/edgar/data/1385818/000165495419011147/aytu_10k.htm,https://www.sec.gov/Archives/edgar/data/1385818/000165495420010891/0001654954-20-010891-index.htm,https://www.sec.gov/Archives/edgar/data/1385818/000155837021012825/0001558370-21-012825-index.htm
102,false,,,,,,,,,,,,,,,,
