,https://roic.ai/company/IPDN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,2.40,3.52,3.04,-1.84,-3.68,-20.56,-1.98,-5.68,-3.29,-0.59,-0.39,-0.24
27,Weighted Average Shares Outstanding,461653,461653,461653,789760,1002009,1739824,2076724,3920849,4578834,6547815,11276228,11276228
28,Weighted Average Shares Outstanding Diluted,461653,461653,461653,789760,1002009,1739824,2076724,3920849,4578834,6547815,11276228,11276228
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1546296/000121465914002277/0001214659-14-002277-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000121465915002738/0001214659-15-002738-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000121465916010553/0001214659-16-010553-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000121465917002274/0001214659-17-002274-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315218004258/0001493152-18-004258-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315219005364/0001493152-19-005364-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315220007579/0001493152-20-007579-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315221008401/0001493152-21-008401-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315222008384/0001493152-22-008384-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,912641,2254431,868294,18740000,1519470,2070690,6068970,2926090,105670,633615,2117569,3402697
32,Short-Term Investments,752515,375156,251349,- -,5198878,500000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1665156,2629587,1119643,18740000,6718348,2570690,6068970,2926090,105670,633615,2117569,3402697
34,Net Receivables,1126469,1604470,1923048,1220000,3448750,2510530,2170530,905720,816700,720750,1005482,1739112
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,51170,- -,63982,90000,1677622,1548010,1380170,1803770,1833910,350017,398370,455384
37,Total Current Assets,2842795,4234057,3106673,20050000,11844720,6629230,9619670,5635580,2756280,1704382,3521421,5597193
38,PP&E,20478,25789,34863,50000,874770,444400,277530,221180,55730,114439,498059,456692
39,Goodwill,635671,635671,635671,740000,45180530,20201190,20201190,5590150,339450,339451,339451,1274785
40,Intangible Assets,90400,90400,493290,780000,15460300,12508360,9356810,6418090,1215780,548269,402045,968281
41,Intangible Assets,726071,726071,1128961,1520000,60640830,32709550,29558000,12008240,1555230,887720,741496,2243066
42,Investments,- -,- -,23711,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,3081610,4942910,3653270,1803520,397640,- -,- -,- -
44,Other Non-Current Assets,173235,194614,832240,400000,-1849460,-3298270,-1970590,-679600,676080,3885082,3912367,687822
45,Total Non-Current Assets,919784,946474,2019775,1970000,62747750,34798590,31518210,13353340,2684680,4887241,5151922,3387580
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3762579,5180531,5126448,22020000,74592470,41427820,41137880,18988920,5440960,6591623,8673343,8984773
48,Accounts Payable,- -,- -,265013,220000,4941140,4465940,2172330,1120440,1703000,796137,728379,248595
49,Short-Term Debt,- -,- -,- -,- -,1841804,445000,- -,- -,500000,105083,46526,81825
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,150000,500000,1024420000,10078938,7507176,5485599,4004015,2460436,1699001,1901129,2149885
52,Other Current Liabilities,128393,254674,85327,-1023120000,981008,3409934,962171,1650745,1476844,1218213,2001440,2699265
53,Total Current Liabilities,128393,404674,850340,1520000,17842890,15828050,8620100,6775200,6140280,3818434,4677474,5179570
54,Long-Term Debt,1513036,1491488,1487900,- -,- -,- -,- -,- -,- -,- -,463998,- -
55,Deferred Revenue,- -,- -,- -,- -,25946,45155,55718,- -,13742,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,3081611,4942908,3653274,1803519,194786,221254,186039,162360
57,Other Non-Current Liabilities,- -,- -,- -,- -,3,426267,33158,108401,202942,- -,- -,534938
58,Total Non-Current Liabilities,1513036,1491488,1487900,- -,3107560,5414330,3742150,1911920,411470,221254,650037,697298
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,15232,- -,- -,- -,- -,105083,510524,- -
61,Total Liabilities,1641429,1896162,2338240,1520000,20950450,21242380,12362250,8687120,6551750,4039688,5327511,5876868
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,34878,60000,127280,18100,36200,39640,48560,89286,128198,160673
64,Retained Earnings,- -,- -,- -,-1440000,-5094460,-43349730,-47458240,-69745790,-84826800,-88671260,-93022835,-95779817
65,Other Comprehensive Income/Loss,-1504,-30645,1503,- -,- -,-302340,-474500,28848,-24340,44242,292506,6565
66,Other Total Stockholders Equity,2162954,3336586,2751827,21879133,58609202,66279127,76672163,79979105,83691792,91089667,95947963,98403055
67,Total Stockholders Equity,2121150,3284369,2788208,20499133,53642022,22645157,28775623,10301803,-1110788,2551935,3345832,2790476
68,Total Liabilities And Stockholders Equity,3762579,5180531,5126448,22019133,74592472,43887537,41137873,18988923,5440962,6591623,8673343,8667344
69,Minority Interest,- -,- -,- -,867,-2,-2459717,7,-3,-2,- -,- -,317429
70,Total Liabilities & Equity,3762579,5180531,5126448,22020000,74592470,41427820,41137880,18988920,5440960,6591623,8673343,8984773
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1546296/000121465914002277/0001214659-14-002277-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000121465915002738/0001214659-15-002738-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000121465916010553/0001214659-16-010553-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000121465917002274/0001214659-17-002274-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315218004258/0001493152-18-004258-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315219005364/0001493152-19-005364-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315220007579/0001493152-20-007579-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315221008401/0001493152-21-008401-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315222008384/0001493152-22-008384-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,1119842,1618161,2371691,-1440000,-3658080,-38255270,-4108500,-22287550,-15081010,-2792129,-4157962,- -
74,Depreciation and Amortization,88030,108592,112943,281648,1084450,3650747,3323711,3197191,2617775,855237,286001,385161000
75,Deferred Income Tax,- -,- -,- -,-380832,-3062108,1919497,-1289634,-1849755,-1393925,-177501,-35215,-21540000
76,Stock Based Compensation,- -,- -,- -,- -,565188,446107,264331,900363,799741,224706,620381,634339000
77,Change in Working Capital,-490485,1114981,-1573050,16273667,-24528170,-3200650,10198390,-2139190,-2244380,-871906,-770740,1573676
78,Accounts Receivable,-459803,-478001,-18041,756122,371277,835937,340001,4607,-36217,96050,-284732,-383630000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-46294,-2547059,-475194,-553312,-659175,730696,-431899,-834259,-481920000
81,Other Working Capital,2714402,3829383,2256333,18530000,-5998170,-9198820,999570,-1139620,-3384000,-576031,199174,417623
82,Other Non-Cash Items,938216,10187,1706116,-15149968,20808724,29275401,-15052362,15847795,10365836,-3711737,521459,-2873533676
83,Cash Provided by Operating Activities,1655603,2851921,2617700,-415485,-8789996,-6164168,-6664064,-6331146,-4935963,-6473330,-3536076,-1874000000
84,CAPEX,-109666,-108382,-378760,-593232,-218164,-503596,-5292,-338742,-127861,-3049,-14104,-24940000
85,Acquisitions Net,- -,- -,- -,-135945,-3110646,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-328981,-249845,-2144,- -,-15525533,-925000,- -,- -,- -,- -,-51307,- -
87,Sales/Maturities of Investments,467301,575000,150796,253273,10240000,5547000,500000,- -,- -,- -,- -,- -
88,Other Investing Activites,-100277,-47370,-358247,-548605,-180314,-422775,163032,-189673,80076,55347,-3700,-1263303000
89,Cash Used for Investing Activites,28654,262061,-230108,-469701,-8614343,4114988,657740,-343301,72139,54797,-65411,-1288243000
90,Debt Repayment,-192000,-192000,-176000,- -,-7165,-1352176,-3203576,- -,- -,-692882,- -,2558000
91,Common Stock Issued,- -,- -,- -,19474565,- -,5235300,17063203,3063518,2921867,6614928,4276827,- -
92,Common Stock Repurchased,- -,- -,- -,-11255,-25862,-211841,-3005481,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-2900000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1722000,-1580192,-697730,-709923,220338,-1070877,-849542,522078,500000,981514,651077,4442393000
95,Cash Used/Provided by Financing Activities,-1914000,-1772192,-3773730,18753387,187311,2600406,10004604,3585596,3421867,6903560,4927904,4444951000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,33805,-42523,42918,157537,2420000
97,Net Change In Cash,-229743,1341790,-1386138,17868201,-17217028,551226,3998280,-3055046,-1484481,527945,1483954,3400579431
98,Cash at the End of Period,912641,2254431,868295,18736495,1519467,2070693,6068973,3013927,1441607,633615,2117569,3402697000
99,Cash at the Beginning of Period,1142384,912641,2254433,868294,18736495,1519467,2070693,6068973,2926088,105670,633615,2117569
100,Free Cash Flow,1545937,2743539,2238940,-1008717,-9008160,-6667764,-6669356,-6669888,-5063824,-6476379,-3550180,-1898940000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1546296/000121465914002277/0001214659-14-002277-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000121465915002738/0001214659-15-002738-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000121465916010553/0001214659-16-010553-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000121465917002274/0001214659-17-002274-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315218004258/0001493152-18-004258-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315219005364/0001493152-19-005364-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315220007579/0001493152-20-007579-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315221008401/0001493152-21-008401-index.htm,https://www.sec.gov/Archives/edgar/data/1546296/000149315222008384/0001493152-22-008384-index.htm
102,false,,,,,,,,,,,,
