,https://roic.ai/company/OCX,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1642380/000114036116066867/0001140361-16-066867-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000114036117009369/0001140361-17-009369-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315218005986/0001493152-18-005986-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315219006166/0001493152-19-006166-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315220007252/0001493152-20-007252-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315221006465/0001493152-21-006465-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315222006677/0001493152-22-006677-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-3495000,-4986000,-8735000,-11168000,-19375000,-15754000,-22426000,-29932000,-64097000
74,Depreciation and Amortization,277000,281000,283000,387000,580000,559000,351000,1898000,4205000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-1254000,-9261000
76,Stock Based Compensation,326000,318000,1815000,922000,1630000,1479000,2995000,5066000,6841000
77,Change in Working Capital,2182000,-3958000,12390000,-190000,-4347000,-993000,15435000,-18286000,-2203000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-182000,-1229000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,48000,291000,1042000,229000,-48000,1002000,741000,854000,-1348000
81,Other Working Capital,179000,-3779000,8611000,8421000,4074000,3081000,18516000,230000,- -
82,Other Non-Cash Items,- -,7181000,-9982000,2527000,8127000,3060000,-16070000,16528000,28574000
83,Cash Provided by Operating Activities,-710000,-1164000,-4229000,-7522000,-13385000,-11649000,-19715000,-25980000,-35941000
84,CAPEX,-25000,-9000,-500000,-106000,-91000,-31000,-918000,-1227000,-2247000
85,Acquisitions Net,- -,1000000,- -,- -,1000000,- -,- -,-6189000,-11714000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,1329000,815000,- -,934000,- -,- -,- -,- -
88,Other Investing Activites,- -,-1000000,- -,-75000,-1000000,- -,-11497000,-4332000,- -
89,Cash Used for Investing Activites,-25000,1320000,315000,-181000,843000,-31000,-12415000,-11748000,-13961000
90,Debt Repayment,- -,- -,- -,-114000,-398000,-1181000,-1637000,-446000,-1534000
91,Common Stock Issued,- -,- -,11649000,10550000,- -,13592000,48850000,20805000,77987000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-14000,-239000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,4000,-555000,10366000,-297000,655000,2454000,2150000
95,Cash Used/Provided by Financing Activities,- -,- -,11653000,9881000,9968000,12114000,47868000,22799000,78364000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-735000,156000,7739000,2178000,-2574000,434000,15738000,-14929000,28462000
98,Cash at the End of Period,101000,257000,7996000,10174000,7600000,8034000,23772000,8843000,37305000
99,Cash at the Beginning of Period,836000,101000,257000,7996000,10174000,7600000,8034000,23772000,8843000
100,Free Cash Flow,-735000,-1173000,-4729000,-7628000,-13476000,-11680000,-20633000,-27207000,-38188000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1642380/000114036116066867/0001140361-16-066867-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000114036117009369/0001140361-17-009369-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315218005986/0001493152-18-005986-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315219006166/0001493152-19-006166-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315220007252/0001493152-20-007252-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315221006465/0001493152-21-006465-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315222006677/0001493152-22-006677-index.htm
102,false,,,,,,,,,
