,https://roic.ai/company/ETCK,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),347,299,111,343,-688198,65130,-731344,-821167,7340,-866596,150220,-313505,-346462,-244603,-198889,-198692,-261975,-204057,-231024,-251522,-863627
20,Income Before Tax,-20904,-15285,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1611540,-1705367,-1290499,-1255117,-2366424,-936519,-932402,-1208391,-1111918,-1203578
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12.8299,-6.1275,-6.9421,-4.4852,-11.7987,-4.0228,-4.7894,-23.3213,-11.6486,-17.9456
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-20904,-15285,-2617246,-1862887,-12960362,-639049,-1004399,-1523970,-2053795,-2762967,-2278976,-1611540,-1705367,-1290499,-1255117,-2366424,-936519,-932402,-1208391,-1111918,-1203578
24,Net Income ratio,-Infinity,-Infinity,-5.5263,-10.3844,-269.4854,-0.9963,-2.5355,-5.6772,-5.0794,-11.9447,-20.1579,-12.8299,-6.1275,-6.9421,-4.4852,-11.7987,-4.0228,-4.7894,-23.3213,-11.6486,-17.9456
25,EPS,-0.02,-0.00,-0.29,-0.21,-1.14,-0.04,-0.06,-0.08,-0.10,-0.13,-0.10,-0.07,-0.07,-0.05,-0.04,-0.08,-0.03,-0.03,-0.03,-0.03,-0.03
26,EPS Diluted,-0.02,-0.00,-0.29,-0.21,-1.14,-0.04,-0.06,-0.08,-0.10,-0.13,-0.10,-0.07,-0.07,-0.05,-0.04,-0.08,-0.03,-0.03,-0.03,-0.03,-0.03
27,Weighted Average Shares Outstanding,845931,9367259,9075358,8668750,11393897,16540181,17413414,18273536,20349980,21877750,22518918,23080841,24413811,25242287,28672314,30628210,30832994,35951061,36380690,36380690,36380690
28,Weighted Average Shares Outstanding Diluted,845931,9367259,9075358,8668750,11393897,16540181,17413414,18273536,20349980,21877750,22518918,23080841,24413811,25242287,28672314,30628210,30832994,35951061,36380690,36380690,36380690
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128353/000114420408016072/0001144204-08-016072-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000114420409017678/0001144204-09-017678-index.html,https://www.sec.gov/Archives/edgar/data/1128353/000114420410017539/0001144204-10-017539-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1128353/000147793213001854/0001477932-13-001854-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793214001784/0001477932-14-001784-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793215002473/0001477932-15-002473-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793216010121/0001477932-16-010121-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793217001754/0001477932-17-001754-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793218001869/0001477932-18-001869-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793219001260/0001477932-19-001260-index.html,https://www.sec.gov/Archives/edgar/data/1128353/000147793220002669/0001477932-20-002669-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793221001865/0001477932-21-001865-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793222001829/0001477932-22-001829-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,275850,798,2522269,429483,319126,106240,52129,123526,373729,24324,8797,7878,10025,6372,19373,11851,19876,86820,23625
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,275850,798,2522269,429483,319126,106240,52129,123526,373729,24324,8797,7878,10025,6372,19373,11851,19876,86820,23625
34,Net Receivables,- -,- -,347686,- -,24993,319217,55403,10136,244354,199660,200074,91134,76125,30124,40176,14890,19137,10680,10740,36606,- -
35,Inventory,- -,- -,13387,18242,17190,137485,146654,161019,168381,234793,281596,306596,254724,168826,159665,128746,124708,62120,52028,75147,79697
36,Other Current Assets,- -,- -,7655,- -,19900,19625,19639,11584,20129,11570,11250,11250,11637,11668,31413,12661,20309,35568,16165,12552,14721
37,Total Current Assets,- -,- -,644578,19040,2584352,905810,540822,288979,484993,569549,866649,433304,351283,218496,241279,162669,183527,120219,98809,211125,118043
38,PP&E,- -,- -,160887,125546,105231,166832,119894,98091,130365,89714,57910,55377,21692,6864,2357,1998,2959,1609,1161,1321,1113
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,3000000,3000000,2175302,1596644,150000,150000,150000,150000,150000,187304,172187,165639,159092,140044,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,3000000,3000000,2175302,1596644,150000,150000,150000,150000,150000,187304,172187,165639,159092,140044,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37524,37524,- -,150024
45,Total Non-Current Assets,- -,- -,160887,125546,105231,3166832,3119893,2273393,1727009,239714,207910,205377,171692,156864,189661,174185,168598,198225,178729,1321,151137
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,805465,144586,2689583,4072642,3660715,2562372,2212002,809263,1074559,638681,522975,375360,430940,336854,352125,318444,277538,212446,269180
48,Accounts Payable,- -,- -,203737,429380,52287,64510,10649,8204,155447,191800,436748,238863,146247,161237,181179,175405,130631,124270,204515,215476,209452
49,Short-Term Debt,- -,- -,- -,60000,- -,500000,500000,500000,500000,- -,450000,- -,- -,- -,1730050,2159000,1380000,1862500,2432500,3057500,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,258500,- -,- -,- -,- -,- -,- -,- -,- -,1627981,- -,- -,24831,- -,87500,50900,68261,9028,695
52,Other Current Liabilities,- -,- -,48300,30363,199115,40000,61666,48797,542806,1247477,1592045,2308462,4839624,5808689,4086230,4704575,5125088,5542676,6045569,6605091,10645020
53,Total Current Liabilities,- -,- -,510537,519743,251402,604510,572315,557001,1198253,1439277,2478793,4175306,4985871,5969926,6022290,7038980,6723219,7580346,8750845,9887095,10855167
54,Long-Term Debt,- -,- -,- -,- -,- -,1500000,1000000,500000,50000,1020833,765996,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-2,- -,- -,10574,7119,3210,14292,13400,11148,1159631,3014,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,1500000,1000000,499998,50000,1020833,776570,77119,3210,14292,13400,11148,1159631,3014,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73100,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,510537,519743,251402,2104510,1572315,1056999,1248253,2460110,3255363,4252425,4989081,5984218,6035690,7050128,7882850,7583360,8750845,9960195,10855167
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,10792,8551,16451,16761,17761,19088,21638,21983,22420,60725,62483,63098,30582,30654,31154,36381,36381,36381,36381
64,Retained Earnings,- -,- -,-3121965,-4984852,-17945214,-16872343,-17876742,-19400712,-21454507,-24217474,-26496450,-28107990,-29813357,-31103856,-32358973,-34725397,-35661916,-36594318,-37802709,- -,-40118205
65,Other Comprehensive Income/Loss,- -,- -,- -,-79408,-119797,-168011,-202271,-240614,-280264,-321748,-355052,-308379,-343627,-358455,-363393,-364293,-365741,-268314,-268762,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,4680552,20486741,18991725,20149652,21127611,22676882,22866392,24648278,24741900,25628395,25790355,27087034,28345762,28465778,29561335,29561783,-9621606,29495837
67,Total Stockholders Equity,- -,- -,294928,-375157,2438181,1968132,2088400,1505373,963749,-1650847,-2180804,-3613744,-4466106,-5608858,-5604750,-6713274,-7530725,-7264916,-8473307,-9585225,-10585987
68,Total Liabilities And Stockholders Equity,- -,- -,805465,144586,2689583,4072642,3660715,2562372,2212002,809263,1074559,638681,522975,375360,430940,336854,352125,318444,277538,374970,269180
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-162524,- -
70,Total Liabilities & Equity,- -,- -,805465,144586,2689583,4072642,3660715,2562372,2212002,809263,1074559,638681,522975,375360,430940,336854,352125,318444,277538,212446,269180
71,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128353/000114420408016072/0001144204-08-016072-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000114420409017678/0001144204-09-017678-index.html,https://www.sec.gov/Archives/edgar/data/1128353/000114420410017539/0001144204-10-017539-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1128353/000147793213001854/0001477932-13-001854-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793214001784/0001477932-14-001784-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793215002473/0001477932-15-002473-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793216010121/0001477932-16-010121-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793217001754/0001477932-17-001754-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793218001869/0001477932-18-001869-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793219001260/0001477932-19-001260-index.html,https://www.sec.gov/Archives/edgar/data/1128353/000147793220002669/0001477932-20-002669-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793221001865/0001477932-21-001865-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793222001829/0001477932-22-001829-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-20904,-15285,-2617246,-1862887,-12960362,-639049,-1004399,-1523970,-2053795,-2762967,-2278976,-1611540,-1705367,-1290499,-1255117,-2366424,-936519,-932402,-1208391,-1111918,-1203578
74,Depreciation and Amortization,- -,- -,38083,36507,40389,48214,46332,38343,623263,643856,159373,209727,177267,14828,8937,16018,7994,7898,19496,15284,12708
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,47074,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202816
77,Change in Working Capital,5497,- -,134041,-634744,2833653,-2031650,-332793,-236529,-445238,-156468,-742416,-2129858,-892586,-1116842,-29581,-1095300,336619,-920435,-1191909,-1023934,-1061154
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,40884,-211463,44194,34719,108940,15009,46001,-10052,25286,-4247,8457,-691,-25866,30515
79,Inventory,- -,- -,73805,-4856,1052,-120295,-9169,-14365,-7362,-66412,-81936,-63607,51872,85898,9161,30919,4038,25064,10092,-23119,-4550
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-2446,76574,36352,244948,-197885,-72616,14990,19942,-5774,-44774,-6361,82010,13257,-3553
81,Other Working Capital,- -,- -,134041,-500703,2332950,301300,-31493,-268022,-713260,-869728,-1612144,-3742002,-4634588,-5751430,-5781011,-6876311,-6539692,-7460127,-8652036,-9675970,-10737124
82,Other Non-Cash Items,- -,-497,1319699,1902438,9437865,1637159,908625,1080484,895957,1659309,2718722,2768671,1636222,1968594,748528,2992141,287287,1341317,1820594,1492108,1480384
83,Cash Provided by Operating Activities,-15407,-15782,-1125423,-558686,-648455,-985326,-382235,-594598,-979813,-616270,-143297,-763000,-784464,-423919,-527233,-453565,-304619,-503622,-560210,-628460,-568824
84,CAPEX,- -,- -,-85324,-1166,-20074,-1109815,-7584,-16541,-10999,-833,-1500,-6602,-1563,- -,-33170,-541,-2407,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-9645,29462,-12157,-4299,-333,-1500,-6602,-1563,- -,-33170,-541,-2407,- -,- -,-400,- -
89,Cash Used for Investing Activites,- -,- -,-85324,-1166,-20074,-1119460,21878,-12157,-4299,-333,-1500,-6602,-1563,- -,-33170,-541,-2407,- -,- -,-400,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-500000,-500000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,16000,25000,1585000,224800,3250000,12000,750000,560070,1150000,- -,175000,100197,595500,123000,352500,11453,100000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-129500,60000,-60000,- -,-500000,333799,280000,1188000,220000,320000,175000,300000,210050,439000,220027,496100,568235,695804,505629
95,Cash Used/Provided by Financing Activities,16000,25000,1455500,284800,3190000,12000,250000,393869,930000,688000,395000,420197,770500,423000,562550,450453,320027,496100,568235,695804,505629
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,593,9218,244753,-275052,2521471,-2092786,-110357,-212886,-54111,71397,250203,-349405,-15527,-919,2147,-3653,13001,-7522,8025,66944,-63195
98,Cash at the End of Period,8732,17950,275850,798,2522269,429483,319126,106240,52129,123526,373729,24324,8797,7878,10025,6372,19373,11851,19876,86820,23625
99,Cash at the Beginning of Period,8139,8732,31097,275850,798,2522269,429483,319126,106240,52129,123526,373729,24324,8797,7878,10025,6372,19373,11851,19876,86820
100,Free Cash Flow,-15407,-15782,-1210747,-559852,-668529,-2095141,-389819,-611139,-990812,-617103,-144797,-769602,-786027,-423919,-560403,-454106,-307026,-503622,-560210,-628460,-568824
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128353/000114420408016072/0001144204-08-016072-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000114420409017678/0001144204-09-017678-index.html,https://www.sec.gov/Archives/edgar/data/1128353/000114420410017539/0001144204-10-017539-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1128353/000147793213001854/0001477932-13-001854-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793214001784/0001477932-14-001784-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793215002473/0001477932-15-002473-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793216010121/0001477932-16-010121-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793217001754/0001477932-17-001754-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793218001869/0001477932-18-001869-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793219001260/0001477932-19-001260-index.html,https://www.sec.gov/Archives/edgar/data/1128353/000147793220002669/0001477932-20-002669-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793221001865/0001477932-21-001865-index.htm,https://www.sec.gov/Archives/edgar/data/1128353/000147793222001829/0001477932-22-001829-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
