,https://roic.ai/company/VTGN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,21812,556,1808,- -,81000,638100,- -,70000,428500,2921300,10378300,13100300,1355100,103108300
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,21812,556,1808,- -,81000,638100,- -,70000,428500,2921300,10378300,13100300,1355100,103108300
34,Net Receivables,- -,- -,- -,- -,106200,- -,2800,- -,- -,- -,- -,300000,- -,40600
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,50900,33700,37700,35700,426800,456600,644800,250900,225100,968600
37,Total Current Assets,21812,556,1808,- -,238100,671800,40500,105700,855300,3377900,11023100,13651200,1580200,104117500
38,PP&E,1248,820,392,- -,74500,180700,176300,117100,87600,286500,207400,312700,3789200,3587000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,29000,29000,46900,46900,46900,47800,47800,47800,402900,576800
45,Total Non-Current Assets,1248,820,392,- -,103500,209700,223200,164000,134500,334300,255200,360500,4192100,4163800
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,23060,1376,2200,- -,341600,881500,263700,269700,989800,3712200,11278300,14011700,5772300,108281300
48,Accounts Payable,2186,1000,2670,- -,1750800,1353700,2443900,2251100,936000,867300,1195700,1055000,1836600,838300
49,Short-Term Debt,500,500,530,- -,609800,717700,2132600,13930500,44700,57200,56500,60300,373200,367800
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,13200,- -,- -,- -,- -,- -,- -,- -,- -,1420200
52,Other Current Liabilities,- -,- -,- -,- -,808100,342900,629200,1206500,814000,443000,206300,1685600,561500,1562700
53,Total Current Liabilities,2686,1500,3200,- -,3181900,2414300,5205700,17388100,1794700,1367500,1458500,2800900,2771300,4189000
54,Long-Term Debt,- -,- -,- -,- -,2677900,4623500,4784500,331800,27200,- -,- -,- -,- -,3350800
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2490300
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,187400,6400100,3073400,3092600,2145100,1728900,2903200,4135600,8730400,6272700
58,Total Non-Current Liabilities,- -,- -,- -,- -,2865300,11023600,7857900,3424400,2172300,1728900,2903200,4135600,8730400,12113800
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,20200,13700,6000,2100,1100,14300,11900,9300,4035300,3718600
61,Total Liabilities,2686,1500,3200,- -,6047200,13437900,13063600,20812500,3967000,3096400,4361700,6936500,11501700,16302800
62,Preferred Stock,- -,- -,- -,- -,400,500,500,500,6500,4000,4000,4000,4000,4300
63,Common Stock,5849,5849,5849,- -,18700,23500,26200,1700,2600,9000,23100,42800,49300,180800
64,Retained Earnings,- -,- -,-57635,- -,-54782500,- -,- -,-84522700,-131743200,-141998700,-156543800,-181133400,-201907400,-219841600
65,Other Comprehensive Income/Loss,-26661,-48659,-892,- -,- -,-67669200,-70636900,-665100,-711000,-761400,-842100,-933400,-1036500,- -
66,Other Total Stockholders Equity,41186,42686,51678,- -,49057800,55088800,57810300,64642800,129467900,143362900,164275400,189095200,197161200,311635000
67,Total Stockholders Equity,20374,-124,-1000,- -,-5705600,-12556400,-12799900,-20542800,-2977200,615800,6916600,7075200,-5729400,91978500
68,Total Liabilities And Stockholders Equity,23060,1376,2200,- -,341600,881500,263700,269700,989800,3712200,11278300,14011700,5772300,108281300
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,23060,1376,2200,- -,341600,881500,263700,269700,989800,3712200,11278300,14011700,5772300,108281300
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1411685/000139390509000133/0001393905-09-000133-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000139390510000098/0001393905-10-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000139390511000192/0001393905-11-000192-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1411685/000141588913001409/0001415889-13-001409-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000141588914001957/0001415889-14-001957-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000141588915002221/0001415889-15-002221-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000141588916006331/0001415889-16-006331-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495417005976/0001654954-17-005976-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495418006990/0001654954-18-006990-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495419007632/0001654954-19-007632-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495420007107/0001654954-20-007107-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495421007380/0001654954-21-007380-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-16416,-21998,-8976,- -,-12209500,-12886700,-2967700,-13885800,-47220500,-10255500,-14345900,-24589600,-20774000,-17934200
74,Depreciation and Amortization,36,428,428,- -,45600,33800,54600,59100,53500,54900,80700,91200,103100,117600
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,1591300,1241300,1137300,2460100,4041400,851300,2344200,3443400,3820800,2306100
77,Change in Working Capital,19271,-20070,-448,- -,-2942408,1201300,-3422700,-12117200,16343000,2949800,7554200,1285700,-12041400,101119600
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,- -,-40600
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1946,-1186,1670,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,19126,-944,-1392,- -,-2943800,-1742500,-5165200,-17282400,-939400,2010400,9564600,10850300,-1191100,99928500
82,Other Non-Cash Items,-17325,18884,2118,- -,9949208,6947100,3072500,20714900,21974100,-862600,-4691500,5241800,13134500,-97682600
83,Cash Provided by Operating Activities,-14434,-22756,-6878,- -,-3565800,-3463200,-2126000,-2768900,-4808500,-7262100,-9058300,-14527500,-15757000,-12073500
84,CAPEX,-1284,- -,- -,- -,-32400,-135400,-9600,- -,-26300,-239100,-1600,-174000,- -,-275400
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1284,- -,- -,- -,-32400,-135400,-9600,- -,-26300,-239100,-1600,-174000,- -,-275400
90,Debt Repayment,- -,- -,- -,- -,-772100,-513600,-156200,-307700,-112500,-183500,-205400,-223200,-296600,-606400
91,Common Stock Issued,36935,- -,- -,- -,2679200,1185100,1075500,3146600,280000,9899500,16722300,17041000,3598400,109474600
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,500,1500,8130,- -,1632800,3484200,578200,- -,5025800,278000,- -,605700,710000,5233900
95,Cash Used/Provided by Financing Activities,37435,1500,8130,- -,3539900,4155700,1497500,2838900,5193300,9994000,16516900,17423500,4011800,114102100
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,21717,-21256,1252,- -,-58300,557100,- -,- -,358500,2492800,7457000,2722000,-11745200,101753200
98,Cash at the End of Period,21812,556,1808,- -,81000,638100,- -,70000,428500,2921300,10378300,13100300,1355100,103108300
99,Cash at the Beginning of Period,95,21812,556,- -,139300,81000,638100,- -,70000,428500,2921300,10378300,13100300,1355100
100,Free Cash Flow,-15718,-22756,-6878,- -,-3598200,-3598600,-2135600,-2768900,-4834800,-7501200,-9059900,-14701500,-15757000,-12348900
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1411685/000139390509000133/0001393905-09-000133-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000139390510000098/0001393905-10-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000139390511000192/0001393905-11-000192-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1411685/000141588913001409/0001415889-13-001409-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000141588914001957/0001415889-14-001957-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000141588915002221/0001415889-15-002221-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000141588916006331/0001415889-16-006331-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495417005976/0001654954-17-005976-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495418006990/0001654954-18-006990-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495419007632/0001654954-19-007632-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495420007107/0001654954-20-007107-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495421007380/0001654954-21-007380-index.htm
102,false,,,,,,,,,,,,,,
