,https://roic.ai/company/CBOE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1374310/000104746911002202/a2202482z10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/1374310/000137431013000008/0001374310-13-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/1374310/000137431015000005/cboe-1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1374310/000137431016000038/0001374310-16-000038-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000137431017000006/0001374310-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000155837018000953/0001558370-18-000953-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000155837019000884/0001558370-19-000884-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000155837020001127/0001558370-20-001127-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000155837021001286/0001558370-21-001286-index.htm,https://www.sec.gov/Archives/edgar/data/1374310/000155837022001386/0001558370-22-001386-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,115288000,106451000,99396000,139406000,157395000,175999000,189714000,205023000,186820000,401700000,426500000,374900000,468200000,529000000
74,Depreciation and Amortization,25656000,27725000,29960000,34184000,31573000,34602000,40000000,46355000,44455000,192200000,204000000,176600000,158500000,167400000
75,Deferred Income Tax,-206000,1367000,21000,940000,-495000,-7145000,-290000,-8282000,-8845000,-238400000,-47700000,-37200000,-30900000,-18900000
76,Stock Based Compensation,- -,- -,20801000,12618000,12348000,20823000,15577000,12181000,14503000,52600000,35100000,21800000,21700000,26600000
77,Change in Working Capital,23044000,-309386000,100207000,76277000,13364000,50644000,-30961000,-40321000,15081000,-44502000,-12900000,238200000,-72500000,-113600000
78,Accounts Receivable,-676000,-959000,-7309000,168000,-8088000,-4222000,-8498000,-4847000,-7367000,-20600000,-70300000,50300000,-90000000,12000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,14226000,-8155000,-3334000,5784000,1113000,5516000,5888000,1550000,19841000,10300000,46800000,-25700000,59400000,45000000
81,Other Working Capital,270297000,-39089000,61118000,137395000,150759000,201403000,170442000,130121000,145202000,100700000,87800000,326000000,253500000,-28100000
82,Other Non-Cash Items,1163000,286609000,-115472000,-60296000,-13650000,-50543000,48617000,30322000,-22451000,10802000,-70300000,-141500000,913800000,6300000
83,Cash Provided by Operating Activities,164945000,112766000,134913000,203129000,200535000,224380000,262657000,245278000,229563000,374400000,534700000,632800000,1458800000,596800000
84,CAPEX,-43816000,-37997000,-23556000,-29143000,-30066000,-28673000,-50154000,-39340000,-44402000,-37500000,-36300000,-35100000,-47400000,-51000000
85,Acquisitions Net,- -,- -,- -,- -,-2911000,-2532000,-1987000,-2960000,-16237000,-1414100000,- -,- -,-351500000,-151500000
86,Purchases of Investments,- -,- -,-7990000,-1250000,-2911000,-2532000,-1987000,-35386000,-23326000,-140000000,-168000000,-108800000,-234600000,-311000000
87,Sales/Maturities of Investments,1500000,1500000,- -,- -,- -,- -,- -,- -,- -,155100000,178700000,128000000,202500000,160200000
88,Other Investing Activites,-65619000,-11840000,-24554000,-29031000,-27155000,-26133000,-48164000,-41075000,-44823000,- -,- -,- -,500000,600000
89,Cash Used for Investing Activites,-64119000,-10340000,-32544000,-30281000,-32977000,-31197000,-52138000,-79421000,-84386000,-1436500000,-25600000,-15900000,-430500000,-352700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-4040000,- -,-700000000,-364000000,-350000000,-225000000,-20000000
91,Common Stock Issued,- -,- -,301238000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-299190000,-46990000,-52872000,-51426000,-176660000,-135345000,-64617000,-26100000,-161800000,-167900000,-349100000,-81300000
93,Dividends Paid,- -,- -,- -,-40372000,-114025000,-58369000,-110830000,-73431000,-78538000,-118100000,-130300000,-150000000,-170600000,-193300000
94,Other Financing Activites,-828000,-119000,-434358000,-4339000,- -,2356000,3557000,1285000,-6977000,1943900000,284500000,5000000,543000000,94300000
95,Cash Used/Provided by Financing Activities,-828000,-119000,-432310000,-91701000,-166897000,-107439000,-283933000,-211531000,-150132000,1099700000,-371600000,-662900000,-201700000,-200300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,8600000,-5900000,200000,1600000,-9100000
97,Net Change In Cash,99998000,102307000,-329941000,81147000,661000,85744000,-73414000,-45674000,-4955000,46200000,131600000,-45800000,828200000,34700000
98,Cash at the End of Period,281423000,383730000,53789000,134936000,135597000,221341000,147927000,102253000,97298000,143500000,275100000,229300000,1057500000,1092200000
99,Cash at the Beginning of Period,181425000,281423000,383730000,53789000,134936000,135597000,221341000,147927000,102253000,97300000,143500000,275100000,229300000,1057500000
100,Free Cash Flow,121129000,74769000,111357000,173986000,170469000,195707000,212503000,205938000,185161000,336900000,498400000,597700000,1411400000,545800000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1374310/000104746911002202/a2202482z10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/1374310/000137431013000008/0001374310-13-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/1374310/000137431015000005/cboe-1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1374310/000137431016000038/0001374310-16-000038-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000137431017000006/0001374310-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000155837018000953/0001558370-18-000953-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000155837019000884/0001558370-19-000884-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000155837020001127/0001558370-20-001127-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000155837021001286/0001558370-21-001286-index.htm,https://www.sec.gov/Archives/edgar/data/1374310/000155837022001386/0001558370-22-001386-index.htm
102,false,,,,,,,,,,,,,,
