,https://roic.ai/company/YELP,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,12344000,15291000,15291000,54151000,65695000,76712000,74683000,77186000,87170000,88709000,77969000,73005000,73005000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1345016/000120677413000790/0001206774-13-000790-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000120677414000681/0001206774-14-000681-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000120677415000650/0001206774-15-000650-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000120677416004640/0001206774-16-004640-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000120677417000642/0001206774-17-000642-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000162828018002519/0001628280-18-002519-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000162828019002312/0001628280-19-002312-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000134501620000009/0001345016-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000134501621000015/0001345016-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000134501622000026/0001345016-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,27074000,21736000,95124000,389764000,247312000,171613000,272201000,547850000,332764000,170281000,595875000,479783000
32,Short-Term Investments,- -,- -,- -,- -,- -,118498000,199214000,207332000,273366000,423096000,242000000,- -,- -
33,Cash and Short-Term Investments,- -,27074000,21736000,95124000,389764000,365810000,370827000,479533000,821216000,755860000,412281000,595875000,479783000
34,Net Receivables,- -,6613000,8257000,11738000,21317000,35593000,52755000,68725000,76173000,87305000,106832000,88400000,107358000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1708000,1733000,4912000,5752000,19355000,19700000,12921000,15700000,17104000,14196000,28450000,57536000
37,Total Current Assets,- -,35395000,31726000,111774000,416833000,420758000,443282000,561179000,913089000,860269000,533309000,712725000,644677000
38,PP&E,- -,5256000,9881000,14799000,30666000,62761000,80467000,92440000,103651000,114800000,308815000,101718000,224642000
39,Goodwill,- -,- -,- -,48605000,59690000,67307000,172197000,170667000,107954000,105620000,104589000,109261000,105128000
40,Intangible Assets,- -,- -,- -,5936000,5235000,5786000,39294000,32611000,16893000,13359000,10082000,13521000,10673000
41,Intangible Assets,- -,- -,- -,54541000,64925000,73093000,211491000,203278000,124847000,118979000,114671000,122782000,115801000
42,Investments,- -,- -,- -,- -,- -,38612000,- -,8000000,25032000,- -,53499000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20054000,- -,- -
44,Other Non-Current Assets,- -,364000,2214000,6582000,3553000,34426000,20187000,20309000,49893000,81515000,40352000,- -,65408000
45,Total Non-Current Assets,- -,5620000,12095000,75922000,99144000,208892000,312145000,324027000,303423000,315294000,537391000,224500000,405851000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,41015000,43821000,187696000,515977000,629650000,755427000,885206000,1216512000,1175563000,1070700000,937225000,1050528000
48,Accounts Payable,- -,822000,2973000,2284000,3364000,1398000,3388000,2003000,9033000,6540000,6002000,87760000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57507000,51161000,40237000
50,Tax Payable,- -,205000,- -,2105000,1595000,2605000,3451000,5456000,32617000,5491000,3695000,975000,- -
51,Deferred Revenue,- -,1928000,2072000,2856000,2621000,2994000,2931000,3314000,3469000,3843000,4315000,4109000,4156000
52,Other Current Liabilities,- -,3904000,7685000,16367000,19004000,29581000,43458000,55082000,73665000,54522000,66331000,- -,119620000
53,Total Current Liabilities,- -,6654000,12730000,21507000,24989000,33973000,49777000,60399000,86167000,64905000,134155000,143030000,164013000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127979000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,55250000,3000,527000,4505000,7527000,12030000,17621000,30737000,35140000,181554000,8448000,7218000
58,Total Non-Current Liabilities,- -,55250000,3000,527000,4505000,7527000,12030000,17621000,30737000,35140000,181554000,8448000,135197000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165831000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232263000,200096000,168216000
61,Total Liabilities,- -,61904000,12733000,22034000,29494000,41500000,61807000,78020000,116904000,100045000,315709000,300413000,299210000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-24386000,-41243000,-60388000,-70456000,-33983000,-66883000,-70221000,70081000,-52923000,-493053000,- -,-760164000
65,Other Comprehensive Income/Loss,- -,-27000,271000,805000,3186000,-5609000,-13519000,-15576000,-8444000,-11021000,-11759000,-6807000,-11090000
66,Other Total Stockholders Equity,- -,3524000,72060000,225245000,553753000,627742000,774022000,892983000,1037971000,1139462000,1259803000,861341000,- -
67,Total Stockholders Equity,- -,-20889000,31088000,165662000,486483000,588150000,693620000,807186000,1099608000,1075518000,754991000,854534000,751318000
68,Total Liabilities And Stockholders Equity,- -,41015000,43821000,187696000,515977000,629650000,755427000,885206000,1216512000,1175563000,1070700000,1154947000,1050528000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-217722000,- -
70,Total Liabilities & Equity,- -,41015000,43821000,187696000,515977000,629650000,755427000,885206000,1216512000,1175563000,1070700000,937225000,1050528000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1345016/000120677413000790/0001206774-13-000790-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000120677414000681/0001206774-14-000681-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000120677415000650/0001206774-15-000650-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000120677416004640/0001206774-16-004640-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000120677417000642/0001206774-17-000642-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000162828018002519/0001628280-18-002519-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000162828019002312/0001628280-19-002312-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000134501620000009/0001345016-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000134501621000015/0001345016-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000134501622000026/0001345016-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-2308000,-9566000,-16668000,-19113000,-10068000,36473000,-32900000,-4670000,152858000,55350000,40881000,-19424000,39671000
74,Depreciation and Amortization,1201000,2334000,4238000,7223000,11455000,17590000,29604000,35346000,41198000,42807000,49356000,50609000,55683000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15469000,-2799000,-11181000,-9190000
76,Stock Based Compensation,557000,1431000,4877000,14878000,26677000,42273000,60842000,86261000,100415000,114386000,121512000,124574000,151679000
77,Change in Working Capital,-152000,28257000,-9745000,71271000,301577000,-5059000,6720000,107275000,326142000,-31558000,-396210000,170541000,-79172000
78,Accounts Receivable,-846000,-4426000,-1682000,-4118000,-12843000,-21291000,-25279000,-31624000,-32112000,-35664000,-42070000,-13833000,-33535000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30004000
81,Other Working Capital,484000,28741000,18996000,90267000,391844000,386785000,393505000,500780000,826922000,795364000,399154000,569695000,- -
82,Other Non-Cash Items,69000,-30267000,17548000,-74358000,-308209000,-33345000,-6904000,-97312000,-452966000,-5329000,392042000,-138418000,53984000
83,Cash Provided by Operating Activities,-633000,-7811000,250000,-99000,21432000,57932000,57362000,126900000,167647000,160187000,204782000,176701000,212655000
84,CAPEX,-1620000,-3571000,-7304000,-10454000,-21099000,-42127000,-43508000,-37364000,-30245000,-44972000,-37522000,-32002000,-28282000
85,Acquisitions Net,- -,- -,- -,-24125000,-2057000,-14340000,-73422000,- -,202119000,- -,- -,- -,- -
86,Purchases of Investments,-1000000,- -,- -,- -,- -,-210459000,-246160000,-282965000,-354895000,-751237000,-541451000,-87438000,- -
87,Sales/Maturities of Investments,3291000,- -,- -,- -,- -,53002000,202870000,265500000,264000000,631595000,674097000,290395000,- -
88,Other Investing Activites,-894000,-1229000,-2655000,-6013000,4329000,-14750000,1538000,-743000,-1080000,245000,29211000,77404000,632000
89,Cash Used for Investing Activites,775000,-4800000,-7453000,-40592000,-18827000,-228674000,-158682000,-55572000,79899000,-164369000,124335000,248359000,-27650000
90,Debt Repayment,- -,- -,- -,-1308000,- -,- -,- -,- -,- -,- -,- -,-23605000,- -
91,Common Stock Issued,46000,439000,2038000,117681000,290081000,20164000,- -,- -,- -,- -,- -,27382000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-674000,-1318000,-482000,- -,-12556000,-187382000,-481011000,-24396000,-262928000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,26000,24194000,-456000,-2200000,2313000,10703000,26924000,29522000,39718000,-20365000,-10508000,-433000,-37561000
95,Cash Used/Provided by Financing Activities,72000,24633000,1582000,114173000,291720000,29549000,26442000,29522000,27162000,-207747000,-491519000,-21052000,-300489000
96,Effect of Forex Changes on Cash,-9000,-22000,283000,-94000,315000,-1259000,-821000,-262000,941000,360000,-115000,214000,-415000
97,Net Change In Cash,205000,12000000,-5338000,73388000,294640000,-142452000,-75699000,100588000,275649000,-211569000,-162517000,404222000,-115899000
98,Cash at the End of Period,15074000,27074000,21736000,95124000,389764000,247312000,171613000,272201000,547850000,354835000,192318000,596540000,480641000
99,Cash at the Beginning of Period,14869000,15074000,27074000,21736000,95124000,389764000,247312000,171613000,272201000,566404000,354835000,192318000,596540000
100,Free Cash Flow,-2253000,-11382000,-7054000,-10553000,333000,15805000,13854000,89536000,137402000,115215000,167260000,144699000,184373000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1345016/000120677413000790/0001206774-13-000790-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000120677414000681/0001206774-14-000681-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000120677415000650/0001206774-15-000650-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000120677416004640/0001206774-16-004640-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000120677417000642/0001206774-17-000642-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000162828018002519/0001628280-18-002519-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000162828019002312/0001628280-19-002312-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000134501620000009/0001345016-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000134501621000015/0001345016-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1345016/000134501622000026/0001345016-22-000026-index.htm
102,false,,,,,,,,,,,,,
