,https://roic.ai/company/LODE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-71476,-65665,-4643901,-4654308,-10907833,-3677179,-3779778,-7992810,-4413403,-6932031,-11332133,-29832436,-20189485,-8641661,-9237540,-12211034,-8865788,-8070364,-2925572,16571074,-18143906
16,EBITDA ratio,-20.5923,-56.7545,-2455.7911,-4.8717,-4.1441,-2.9300,-9.5560,-Infinity,-Infinity,-Infinity,-23.9385,-5.8055,-0.8132,-0.3378,-0.4995,-2.4084,-84.9791,-53.6990,-16.2865,82.1570,-21.0446
17,Operating Income,-84741,-78929,-386784,-5054162,-9057073,-2061537,-1188901,-8141276,-4568086,-7063816,-15554541,-30319634,-20932802,-8692706,-12425513,-10213344,-8877966,-7400432,-5344453,-5474261,-6405921
18,Operating Income ratio,-24.4140,-68.2187,-204.5394,-5.2902,-3.4410,-1.6426,-3.0058,-Infinity,-Infinity,-Infinity,-32.8581,-5.9004,-0.8432,-0.3398,-0.6719,-2.0144,-85.0959,-49.2413,-29.7522,-27.1406,-7.4300
19,Total Other Income Expenses (Gains),- -,- -,-4258235,-2777376,-9238288,509430,- -,2052140,2851446,-49995886,3872229,-442639,-414218,-946067,1971086,-2751360,-1698212,-2080321,1538586,20406231,-23925804
20,Income Before Tax,-84741,-78929,-4645019,- -,- -,- -,- -,- -,- -,- -,-11682312,-30762273,-21347020,-9638773,-10454427,-12964704,-10576178,-9480753,-3805867,14931970,-30331725
21,Income Before Tax Ratio,-24.4140,-68.2187,-2456.3823,- -,- -,- -,- -,- -,- -,- -,-24.6782,-5.9865,-0.8598,-0.3768,-0.5653,-2.5570,-101.3733,-63.0835,-21.1870,74.0306,-35.1809
22,Income Tax expense (Gain),- -,- -,-940000,- -,- -,- -,- -,- -,- -,- -,-76081,- -,- -,- -,- -,- -,- -,- -,- -,- -,5748105
23,Net Income,-84741,-78929,-3705019,-5080016,-11353026,-4416527,-4057356,-16487683,-6064669,-60326419,-11606231,-30762273,-21347020,-9638773,-10454427,-12964704,-10576178,-9480753,-3805102,14931970,-24583620
24,Net Income ratio,-24.4140,-68.2187,-1959.2909,-5.3173,-4.3133,-3.5191,-10.2577,-Infinity,-Infinity,-Infinity,-24.5175,-5.9865,-0.8598,-0.3768,-0.5653,-2.5570,-101.3733,-63.0835,-21.1828,74.0306,-28.5138
25,EPS,-397.85,-4.29,-135.00,-150.00,-225.00,-30.00,-10.00,-25.00,-50.00,-79.50,-16.50,-21.75,-10.50,-4.25,-3.50,-1.75,-1.30,-0.80,-0.20,0.49,-1.26
26,EPS Diluted,-397.85,-4.29,-135.00,-150.00,-225.00,-30.00,-10.00,-25.00,-50.00,-79.50,-16.50,-21.75,-10.50,-4.25,-3.50,-1.75,-1.30,-0.80,-0.20,0.49,-1.26
27,Weighted Average Shares Outstanding,213,18413,27445,37563,50586,140297,318116,628518,709934,775320,985630,1619883,2423229,3143450,4402899,7064989,8225449,11925961,19455505,30526895,19455505
28,Weighted Average Shares Outstanding Diluted,213,18413,27445,39271,50586,140297,318116,628518,709934,775320,985630,1619883,2423229,3143450,4402899,7064989,8225449,11925961,19455505,30561168,19455505
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1120970/000114420406031490/0001144204-06-031490-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420407018766/0001144204-07-018766-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420408066218/0001144204-08-066218-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420409020610/0001144204-09-020610-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420410019468/0001144204-10-019468-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420411022318/0001144204-11-022318-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420412019085/0001144204-12-019085-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420413015865/0001144204-13-015865-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097014000004/0001120970-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097015000004/0001120970-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097016000068/0001120970-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097017000011/0001120970-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097018000007/0001120970-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097019000016/0001120970-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097020000015/0001120970-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097021000046/0001120970-21-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097022000023/0001120970-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,318,364138,1951802,26865,- -,174996,322938,246214,25383309,6955010,5973079,2409446,5308804,1663170,184359,2066718,488657,1015857,2431944,5912188
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,4410237,2211287,- -,- -,- -,- -,- -,- -,- -,- -,3979723,925819
33,Cash and Short-Term Investments,- -,318,364138,1951802,26865,- -,174996,322938,246214,29793546,9166297,5973079,2409446,5308804,1663170,184359,2066718,488657,1015857,6411667,6838007
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,634643,14629,322406,24642,- -,- -,- -,- -,7348500,4964545
35,Inventory,- -,- -,54000,288687,52000,- -,- -,- -,- -,- -,- -,662929,591961,428235,450951,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,988291,149796,503650,799004,185417,- -,- -,2042276,1842479,7089287,2944227,2576413,3510264,7780012,5664790,8075605,12333693,7074543,2026437
37,Total Current Assets,- -,318,1406429,2390285,582515,799004,360413,322938,246214,31835822,11008776,14359938,5960263,8635858,5649027,7964371,7731508,8564262,13349550,20834710,13828989
38,PP&E,- -,1118,7100009,6901748,2677254,2377979,2030877,2019783,3572013,4224597,14253406,7614780,7470780,7318175,7205081,7205081,7205081,7205081,5690885,5790885,29596672
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12788671
40,Intangible Assets,- -,- -,8768343,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23175301
41,Intangible Assets,- -,- -,8768343,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35963972
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9415000,3272597,25850879
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,245000,487169,447168,377169,1284158,1174958,1106927,1061105,1711970,25889827,30568953,30501839,30358783,18673579,16027324,12842382,11114457,13225370,21714120
45,Total Non-Current Assets,- -,1118,16113352,7388917,3124422,2755148,3315035,3194741,4678940,5285702,15965376,33504607,38039733,37820014,37563864,25878660,23232405,20047463,26220342,22288852,113125643
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1436,17519781,9779202,3706937,3554152,3675448,3517679,4925154,37121524,26974152,47864545,43999996,46455872,43212891,33843031,30963913,28611725,39569892,43123562,126954632
48,Accounts Payable,- -,49322,108950,589800,1270074,519671,305638,1222933,1608493,819817,1755381,2535932,3131029,2265723,1964371,804551,321302,405146,922553,313772,633223
49,Short-Term Debt,- -,- -,400000,7735457,15988919,13070610,13594498,12848531,16145698,771530,138245,7720764,2675800,5897219,8538336,483669,291532,309843,328068,3557705,17529755
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4007024,4094349,3167756,115907,56895,84264,74434,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,99322,776187,3596223,5040730,5635139,3580484,5141767,3977369,4151410,7905240,7293335,4441866,1639526,1135934,496651,1674733,3193520,954213,5746532
53,Total Current Liabilities,- -,49322,608272,9101444,20855216,18631011,19535275,17651948,22895958,5568716,6045036,18161936,13100164,12604808,12142233,2424154,1109485,2389722,4444141,4825690,23909510
54,Long-Term Debt,- -,- -,600000,256620,130243,23336,11612,3282563,3515325,680881,1298836,6010891,5231674,5701264,4759213,8986626,9971421,8857870,5084006,3557705,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,589955,631036,598421,1329575,6473675,5687155,6205922,3032605,5297156,5424410,5908700,7551975,8015662,8017908,7979231,6549185,2960961,10074600
58,Total Non-Current Liabilities,- -,- -,600000,846575,761279,621757,1341187,9756238,9202480,6886803,4331441,11308047,10656084,11609964,12311188,17002288,17989329,16837101,11633191,6518666,10074600
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,119152,77846,45231,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,49322,1208272,9948019,21616495,19252768,20876462,27408186,32098438,12455519,10376477,29469983,23756248,24214772,24453421,19426442,19098814,19226823,16077332,11344356,10074600
62,Preferred Stock,- -,- -,4650000,- -,- -,- -,- -,- -,- -,44,39,39,33,32,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,66727,114970,136489,216481,638653,1827177,2251712,2438937,14089,19308,32279,46746,54932,106505,123453,31459,50175,18139,22937,47065
64,Retained Earnings,- -,-570773,-3705019,-7681757,-23524302,-27940829,-31997401,-48863723,-54928392,-115254811,-126861042,-157623315,-178970335,-188609108,-199063535,-212028239,-222604417,-232085170,-235890272,-220959068,-245542688
65,Other Comprehensive Income/Loss,- -,-2023278,- -,-470083,-515087,-803393,-1062300,-995338,-1081989,-1154526,-1044280,-75000,-219000,-371605,-484699,-484699,-484699,-484699,- -,- -,- -
66,Other Total Stockholders Equity,- -,2479438,15251558,7846534,5913350,12406953,14031510,23716842,26398160,141061209,144483650,176060559,199386304,211166849,218201199,226806074,234922756,241904596,259095152,252715337,335066145
67,Total Stockholders Equity,- -,-47886,16311509,-168817,-17909558,-15698616,-17201014,-23890507,-27173284,24666005,16597675,18394562,20243748,22241100,18759470,14416589,11865099,9384902,23223019,31779206,89570522
68,Total Liabilities And Stockholders Equity,- -,1436,17519781,9779202,3706937,3554152,3675448,3517679,4925154,37121524,26974152,47864545,43999996,46455872,43212891,33843031,30963913,28611725,39300351,43123562,99645122
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269541,- -,27309510
70,Total Liabilities & Equity,- -,1436,17519781,9779202,3706937,3554152,3675448,3517679,4925154,37121524,26974152,47864545,43999996,46455872,43212891,33843031,30963913,28611725,39569892,43123562,126954632
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1120970/000114420406031490/0001144204-06-031490-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420407018766/0001144204-07-018766-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420408066218/0001144204-08-066218-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420409020610/0001144204-09-020610-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420410019468/0001144204-10-019468-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420411022318/0001144204-11-022318-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420412019085/0001144204-12-019085-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420413015865/0001144204-13-015865-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097014000004/0001120970-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097015000004/0001120970-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097016000068/0001120970-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097017000011/0001120970-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097018000007/0001120970-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097019000016/0001120970-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097020000015/0001120970-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097021000046/0001120970-21-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097022000023/0001120970-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-84741,-78929,-3705019,-5080016,-11353026,-4416527,-4057356,-16487683,-6064669,-60326419,-11606231,-30762273,-21347020,-9638773,-10454427,-12964704,-10576178,-9480753,-3805102,14931970,-24583620
74,Depreciation and Amortization,13265,13264,1118,425708,445193,739348,277578,148466,154683,131785,269549,- -,- -,- -,- -,- -,- -,- -,- -,1217217,522728
75,Deferred Income Tax,- -,- -,-940000,- -,- -,- -,- -,- -,- -,- -,-76081,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5748105
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,209527,598667,3284239,7914918,3271511,1875792,443036,18900,- -,- -,- -,204249,463986
77,Change in Working Capital,1091,-49004,847161,-7509316,-13561542,2440694,-1342855,1845852,-5320734,48916850,-21303366,-8765738,-3337903,3170951,-2524256,12033423,1081806,-447483,2730869,7103611,-26089541
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-634643,-2103093,-307777,297764,24642,- -,- -,- -,-5074,- -
79,Inventory,- -,- -,- -,-288688,236688,52000,- -,- -,- -,- -,- -,-662929,-291351,163726,-22716,450951,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,385560,-770980,126414,1450440,-200431,-333320,38891,472165,-483249,83844,517407,-464309,-707004
81,Other Working Capital,- -,-49004,798157,-6711159,-20272701,-17832007,-19174862,-17329010,-22649744,26267106,4963740,-3801998,-7139901,-3968950,-6493206,5540217,6622023,6174540,8905409,16009020,-10080521
82,Other Non-Cash Items,- -,85928,3301907,9957305,21464221,-239541,3624568,9981349,7456414,2787742,17783989,9199660,11134159,2171325,9539034,-1685552,2960062,5901094,-1232941,-27221622,47942150
83,Cash Provided by Operating Activities,-70385,-28741,-494833,-2206319,-3005154,-1476026,-1498065,-4512016,-3564779,-7891375,-11647901,-22413433,-10279253,-2420705,-2996613,-2597933,-6534310,-4027142,-2307174,-3764575,-7492402
84,CAPEX,- -,- -,- -,-4747629,-150390,- -,- -,-161152,-378880,-376515,-7799058,-13366348,-5990941,-2624691,-5770715,-746536,-130166,-1655820,-2436354,-130750,- -
85,Acquisitions Net,- -,- -,-1906355,- -,- -,- -,- -,-158630,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,5590000,-1470593,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4410237,-2205000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4403950,2211287,- -,- -,- -,- -,- -,- -,- -,5560929,- -
88,Other Investing Activites,- -,4355,-145000,-242169,-50000,10969,20000,-389599,260000,550000,102000,260944,-685180,-649585,654040,3308071,1109428,26503,-511397,-751890,- -
89,Cash Used for Investing Activites,- -,4355,-2051355,-4989798,-200390,10969,20000,-709381,-118880,-4236752,-5998108,-10894117,-6676121,-3274276,-5116675,2561535,979262,-1629317,2642249,3207696,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-40565,-762590,-782290,-968006,-4898744,-6993213,-10855345,-6304657,-9209827,-2070658,-4723587,-7564586,- -
91,Common Stock Issued,- -,- -,1910008,9428781,- -,- -,- -,1501500,902500,- -,- -,24349203,18750000,10993282,6000000,4547889,7346707,4233441,4103463,4197622,- -
92,Common Stock Repurchased,- -,- -,- -,-225000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,74748,31629,1000000,-400000,1280607,1438192,1653061,3867839,2745000,38027812,- -,8944422,-459515,4594270,9322999,314355,9300527,1915615,812249,5339930,- -
95,Cash Used/Provided by Financing Activities,74748,31629,2910008,8803781,1280607,1438192,1653061,5369339,3606935,37265222,-782290,32325619,13391741,8594339,4467654,-1442413,7437407,4078398,192125,1972966,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4363,7243,363820,1607664,-1924937,- -,- -,147942,-76724,25137095,-18428299,-981931,-3563633,2899358,-3645634,-1478811,1882359,-1578061,527200,1416087,- -
98,Cash at the End of Period,-6925,318,364138,1971802,26865,- -,174996,322938,246214,25383309,6955010,5973079,2409446,5308804,1663170,184359,2066718,488657,1015857,2431944,- -
99,Cash at the Beginning of Period,-11288,-6925,318,364138,1951802,26865,- -,174996,322938,246214,25383309,6955010,5973079,2409446,5308804,1663170,184359,2066718,488657,1015857,2431944
100,Free Cash Flow,-70385,-28741,-494833,-6953948,-3155544,-1476026,-1498065,-4673168,-3943659,-8267890,-19446959,-35779781,-16270194,-5045396,-8767328,-3344469,-6664476,-5682962,-4743528,-3895325,-7492402
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1120970/000114420406031490/0001144204-06-031490-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420407018766/0001144204-07-018766-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420408066218/0001144204-08-066218-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420409020610/0001144204-09-020610-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420410019468/0001144204-10-019468-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420411022318/0001144204-11-022318-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420412019085/0001144204-12-019085-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000114420413015865/0001144204-13-015865-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097014000004/0001120970-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097015000004/0001120970-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097016000068/0001120970-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097017000011/0001120970-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097018000007/0001120970-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097019000016/0001120970-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097020000015/0001120970-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097021000046/0001120970-21-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1120970/000112097022000023/0001120970-22-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
