,https://roic.ai/company/DSGX,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
26,EPS Diluted,-3.47,-0.79,-0.59,-0.72,-1.15,-2.65,-0.84,-1.36,0.07,0.09,0.43,0.38,0.25,0.18,0.19,0.25,0.15,0.21,0.27,0.31,0.35,0.40,0.45,0.61,1.00
27,Weighted Average Shares Outstanding,3373016,32932209,36711861,44218000,50858000,52234000,45951000,40706000,40711000,45225000,51225000,52961000,55389000,61523000,62218000,62556000,62841000,70559000,75595000,75800000,76324000,76832000,81659000,84360000,84591000
28,Weighted Average Shares Outstanding Diluted,10370398,32932209,36711861,44218000,50858000,52237000,47736000,40706000,41596000,46475000,52290000,53659000,56437000,62888000,63400000,63860000,64370000,71584000,76409000,76515000,77112000,77791000,82867000,85756000,86200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1050140/000092963815000478/0000929638-15-000478-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000110465916110361/0001104659-16-110361-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963817000434/0000929638-17-000434-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963818000475/0000929638-18-000475-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963819000461/0000929638-19-000461-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963820000523/0000929638-20-000523-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,31148593,62938000,36101000,21195000,13187000,17220000,27634000,19370000,44091000,47422000,89554000,69644000,65547000,37638000,62705000,118053000,37213000,38135000,35145000,27298000,44403000,133661000,213437000
32,Short-Term Investments,- -,- -,25835021,168987000,82485000,8521000,34636000,31534000,5367000,2551000,- -,10210000,5071000,- -,- -,- -,- -,- -,4639000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,56983614,231925000,118586000,29716000,47823000,48754000,33001000,21921000,44091000,57632000,94625000,69644000,65547000,37638000,62705000,118053000,41852000,38135000,35145000,27298000,44403000,133661000,213437000
34,Net Receivables,- -,- -,19823831,25888000,25974000,16855000,16487000,8105000,5650000,7516000,11735000,9687000,12071000,18384000,22478000,26146000,29003000,25870000,28745000,29110000,31963000,35824000,42412000,52036000,55780000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,413000,812000,1350000,474000,155000,167000,123000,95000,411000,429000,868000
36,Other Current Assets,- -,- -,3707563,1796000,4220000,3020000,3045000,1325000,651000,2919000,5357000,6800000,5757000,13622000,15234000,16390000,17171000,12899000,4673000,5149000,7621000,9027000,12984000,16939000,21974000
37,Total Current Assets,- -,- -,80515008,259609000,148780000,49591000,67355000,58184000,39302000,32356000,61183000,74119000,112453000,101650000,103672000,80986000,110229000,157296000,75425000,72561000,74852000,72244000,100210000,203065000,292059000
38,PP&E,- -,- -,4920681,7145000,10261000,12151000,13452000,6966000,6039000,6766000,6722000,4888000,5482000,7309000,9287000,10236000,8792000,7829000,8604000,10447000,12798000,12612000,26608000,24254000,21388000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,20426000,25005000,26381000,34456000,56742000,68005000,88297000,111179000,147440000,217486000,263113000,350148000,378178000,523690000,565177000,608761000
40,Intangible Assets,- -,- -,4922895,119295000,141423000,31209000,26302000,4122000,1429000,10953000,18914000,15475000,21058000,40703000,46681000,71297000,94649000,115126000,133562000,145445000,178001000,176192000,256956000,239992000,229609000
41,Intangible Assets,- -,- -,4922895,119295000,141423000,31209000,26302000,4122000,1429000,31379000,43919000,41856000,55514000,97445000,114686000,159594000,205828000,262566000,351048000,408558000,528149000,554370000,780646000,805169000,838370000
42,Investments,- -,- -,- -,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14570000,24665000,34741000,34865000,31279000,23945000,19628000,16510000,17710000,7449000,5113000,3598000,21602000,15216000,14962000
44,Other Non-Current Assets,- -,- -,- -,14915000,88058000,149324000,21649000,301000,- -,833000,- -,592000,- -,- -,- -,149000,- -,- -,- -,1525000,3966000,10510000,13520000,15550000,18652000
45,Total Non-Current Assets,- -,- -,9843576,141355000,239742000,192684000,61403000,14389000,7468000,38978000,65211000,72001000,95737000,139619000,155252000,193924000,234248000,286905000,377362000,427979000,550026000,581090000,842376000,860189000,893372000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,90358584,400964000,388522000,242275000,128758000,72573000,46770000,71334000,126394000,146120000,208190000,241269000,258924000,274910000,344477000,444201000,452787000,500540000,624878000,653334000,942586000,1063254000,1185431000
48,Accounts Payable,- -,- -,3886932,1833000,3376000,3964000,4743000,1805000,1828000,3391000,3054000,1938000,2603000,4992000,5250000,6113000,7027000,4620000,4473000,4679000,7897000,5147000,7667000,7955000,10566000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,26996000,- -,- -,- -,- -,- -,- -,- -,- -,8618000,- -,- -,- -,- -,- -,3928000,4168000,4029000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,589000,975000,471000,1318000,2354000,2671000,4112000,2086000,2170000,3270000,1592000,1329000,3383000,5616000
51,Deferred Revenue,- -,- -,- -,- -,5616000,2923000,2860000,2605000,2776000,2374000,3750000,3317000,5454000,6310000,6636000,7320000,9217000,15309000,16639000,23728000,30985000,34236000,41143000,49878000,56780000
52,Other Current Liabilities,- -,- -,10811469,23641000,10428000,8673000,3609000,5428000,3750000,2820000,5297000,6115000,8484000,11880000,13635000,14727000,19428000,20807000,18930000,25417000,28808000,30984000,36205000,42262000,62058000
53,Total Current Liabilities,- -,- -,14698401,25474000,19420000,15560000,11212000,36834000,8354000,8585000,12101000,11370000,16541000,23182000,25521000,28160000,44290000,40736000,40042000,53824000,67690000,70367000,88943000,104263000,133433000
54,Long-Term Debt,- -,- -,- -,75000000,73500000,71995000,25349000,- -,- -,- -,- -,- -,- -,- -,- -,- -,31787000,- -,- -,- -,37000000,25464000,- -,- -,7382000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1172000,1665000,1718000,318000,- -,- -,941000,421000,1128000,855000,920000,1413000,1920000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2605000,10735000,9754000,5620000,13822000,9630000,6097000,9975000,11585000,15507000,15067000,29385000,35523000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,1570000,2325000,- -,172000,3375000,3770000,4418000,3450000,3672000,5725000,8663000,7634000,15947000,17125000,7354000
58,Total Non-Current Liabilities,- -,- -,- -,75000000,73500000,71995000,25349000,1000,- -,- -,1570000,2325000,3777000,12572000,14847000,9708000,50027000,13080000,10710000,16121000,58376000,49460000,31934000,47923000,52179000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13405000,13063000,11411000
61,Total Liabilities,- -,- -,14698401,100474000,92920000,87555000,36561000,36835000,8354000,8585000,13671000,13695000,20318000,35754000,40368000,37868000,94317000,53816000,50752000,69945000,126066000,119827000,120877000,152186000,185612000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,159830822,415676000,468445000,468618000,364153000,364911000,21000,19319000,- -,- -,- -,- -,90924000,92472000,97779000,247839000,252471000,253242000,274536000,276753000,524154000,531825000,536297000
64,Retained Earnings,- -,- -,-86343093,-117969000,-176687000,-316903000,-361661000,-410731000,-407738000,-405297000,-382854000,-362386000,-348294000,-336755000,-324729000,-308733000,-297924000,-282865000,-262303000,-238465000,-211623000,-172767000,-135770000,-83670000,2612000
65,Other Comprehensive Income/Loss,- -,- -,-4750841,-5509000,-11317000,-2196000,4163000,-100000,-432000,-123000,2006000,363000,-2034000,1822000,-63000,1869000,-1089000,-25212000,-34880000,-32779000,-15252000,-25201000,-25944000,-1189000,-12393000
66,Other Total Stockholders Equity,- -,- -,6923295,8292000,15161000,5201000,85542000,81658000,446565000,448850000,510361000,509359000,554151000,564027000,452424000,451434000,451394000,450623000,446747000,448597000,451151000,454722000,459269000,464102000,473303000
67,Total Stockholders Equity,- -,- -,75660183,300490000,295602000,154720000,92197000,35738000,38416000,62749000,112723000,132425000,187872000,205515000,218556000,237042000,250160000,390385000,402035000,430595000,498812000,533507000,821709000,911068000,999819000
68,Total Liabilities And Stockholders Equity,- -,- -,90358584,400964000,388522000,242275000,128758000,72573000,46770000,71334000,126394000,146120000,208190000,241269000,258924000,274910000,344477000,444201000,452787000,500540000,624878000,653334000,942586000,1063254000,1185431000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,90358584,400964000,388522000,242275000,128758000,72573000,46770000,71334000,126394000,146120000,208190000,241269000,258924000,274910000,344477000,444201000,452787000,500540000,624878000,653334000,942586000,1063254000,1185431000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1050140/000092963815000478/0000929638-15-000478-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000110465916110361/0001104659-16-110361-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963817000434/0000929638-17-000434-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963818000475/0000929638-18-000475-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963819000461/0000929638-19-000461-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963820000523/0000929638-20-000523-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-11697516,-25900000,-21769223,-31626000,-58718000,-138195000,-42752000,-55331000,2989000,3987000,22443000,20468000,14350000,11539000,12026000,15996000,9612000,15059000,20562000,23838000,26879000,31277000,36997000,52100000,86282000
74,Depreciation and Amortization,11422280,21600000,3931288,16727000,37493000,13807000,10535000,6863000,5034000,4985000,6072000,7364000,8799000,13891000,14458000,17079000,21395000,25010000,29599000,33629000,37578000,44723000,61522000,61662000,64228000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000000,-11951000,-8283000,-3687000,2122000,-657000,2353000,3978000,5787000,3998000,1266000,2142000,5743000,14523000,1514000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,527000,3371000,1076000,1213000,1278000,2523000,1543000,1577000,2022000,2807000,3710000,4909000,6313000,11017000
77,Change in Working Capital,-2821166,-16000000,2030946,-11184000,-13606000,-1613000,-8973000,9422000,1069000,-3885000,-1043000,2270000,-1740000,-3354000,-5904000,-3356000,6731000,3888000,-2890000,10124000,4397000,-3849000,-5256000,-3575000,12789000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1006000,1007000,2854000,-460000,-1697000,3650000,3999000,764000,2727000,-1963000,-135000,3733000,143000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,-343000,-535000,859000,314000,2000,52000,74000,-345000,99000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-617000,478000,-275000,-1065000,873000,146000,-3121000,-412000,-317000,1428000,-1065000,1768000,-686000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2833000,1657000,- -,-2001000,-1163000,-1430000,-1342000,-1432000,-2492000,-2008000,2883000,902000,2047000,-3638000,6160000,- -
82,Other Non-Cash Items,- -,5000000,237144,19033000,19233000,109182000,8692000,24008000,-1220000,1698000,466000,7000,38000,424000,11000,- -,- -,- -,-392000,-1028000,-784000,71000,337000,207000,308000
83,Cash Provided by Operating Activities,-3096401,-15300000,-15569845,-7050000,-15598000,-16819000,-32498000,-15038000,7872000,6785000,11938000,18685000,16535000,19889000,23926000,30340000,42614000,49478000,54243000,72583000,72143000,78074000,104252000,131230000,176138000
84,CAPEX,-12385605,-12900000,-2465625,-4298000,-5356000,-5287000,-335000,-1060000,-1171000,-1202000,-1074000,-1343000,-1626000,-1656000,-4734000,-3496000,-2385000,-2679000,-4309000,-4914000,-5086000,-5244000,-4900000,-3759000,-4829000
85,Acquisitions Net,- -,- -,-129900,-16559000,-9540000,-2175000,- -,-200000,-200000,-30450000,-13277000,-2231000,-15022000,-44989000,-21281000,-54745000,-58737000,-82152000,-120853000,-71348000,-111867000,-67932000,-292053000,-48403000,-90278000
86,Purchases of Investments,-30895204,-1800000,-14545400,-147952000,-84277000,-61992000,-26211000,-14232000,-10447000,-7734000,- -,-10210000,-35362000,- -,- -,- -,- -,- -,-4667000,-241000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,86502000,73964000,127232000,34563000,41334000,10550000,2820000,- -,40501000,5558000,- -,- -,- -,- -,- -,6140000,- -,- -,- -,- -,- -
88,Other Investing Activites,-31239249,-200000,- -,8931000,- -,- -,-5744000,- -,- -,- -,- -,-928000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-74520058,-14900000,-17140925,-159878000,-12671000,4510000,94942000,19071000,29516000,-28836000,-11531000,-14712000,-11509000,-41087000,-26015000,-58241000,-61122000,-84831000,-129829000,-70363000,-116953000,-73176000,-296953000,-52162000,-95107000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3722000,-63305000,- -,-10200000,-43000000,-78659000,-322634000,-10793000,-1068000
91,Common Stock Issued,80506434,18400000,49437604,127247000,2530000,223000,163000,- -,21000,13787000,23279000,177000,40293000,1133000,1775000,704000,3633000,140724000,158000,145000,1003000,345000,237973000,6194000,2656000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-27228000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-344045,2800000,-3134000,71470000,-1098000,-1545000,-43274000,- -,-26995000,- -,- -,- -,- -,-358000,-4342000,-1602000,44209000,19209000,-2590000,9844000,80000000,66937000,294830000,10156000,-72000
95,Cash Used/Provided by Financing Activities,80162389,21200000,46303604,198717000,1432000,-1322000,-70339000,- -,-26974000,13787000,23279000,177000,40293000,775000,-2567000,-898000,44120000,96628000,-2432000,-211000,38003000,-11377000,210169000,5557000,1516000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1035000,-819000,-3187000,513000,559000,890000,-545000,-5927000,-2822000,-1087000,3817000,-1368000,-363000,4633000,-2771000
97,Net Change In Cash,2545930,21200000,13592834,31789000,-26837000,-13631000,-7895000,4033000,10414000,-8264000,24721000,3331000,42132000,-19910000,-4097000,-27909000,25067000,55348000,-80840000,922000,-2990000,-7847000,17105000,89258000,79776000
98,Cash at the End of Period,1857841,- -,31148593,62938000,36101000,21195000,13187000,17220000,27634000,19370000,44091000,47422000,89554000,69644000,65547000,37638000,62705000,118053000,37213000,38135000,35145000,27298000,44403000,133661000,213437000
99,Cash at the Beginning of Period,-688089,26600000,17555759,31149000,62938000,34826000,21082000,13187000,17220000,27634000,19370000,44091000,47422000,89554000,69644000,65547000,37638000,62705000,118053000,37213000,38135000,35145000,27298000,44403000,133661000
100,Free Cash Flow,-15482006,-28200000,-18035470,-11348000,-20954000,-22106000,-32833000,-16098000,6701000,5583000,10864000,17342000,14909000,18233000,19192000,26844000,40229000,46799000,49934000,67669000,67057000,72830000,99352000,127471000,171309000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1050140/000092963815000478/0000929638-15-000478-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000110465916110361/0001104659-16-110361-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963817000434/0000929638-17-000434-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963818000475/0000929638-18-000475-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963819000461/0000929638-19-000461-index.html,https://www.sec.gov/Archives/edgar/data/1050140/000092963820000523/0000929638-20-000523-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
