,https://roic.ai/company/ROIC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1407623/000090514808002164/0000905148-08-002164-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1407623/000117184312000678/0001171843-12-000678-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000117184313000777/0001171843-13-000777-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000117184314000915/0001171843-14-000915-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000117184315001019/0001171843-15-001019-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000117184316008096/0001171843-16-008096-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000162828017001631/0001628280-17-001631-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000162828018002028/0001628280-18-002028-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000162828019001583/0001628280-19-001583-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000140762320000029/0001407623-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000140762321000031/0001407623-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000140762322000049/0001407623-22-000049-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,198570,4222,383217881,84736410,34817588,4692230,7919697,10773406,8844000,13125000,11553000,6076000,3800000,4822000,13218000
32,Short-Term Investments,409813737,411294576,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,410012307,411298798,383217881,84736410,34817588,4692230,7919697,10773406,8844000,13125000,11553000,6076000,3800000,4822000,13218000
34,Net Receivables,- -,- -,- -,2055881,6895806,12455190,20389068,23024678,28652000,35820000,43257000,46832000,45821000,63715000,60662000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,261199,413407,22946,4338261,1230808,4946470,3444962,7468359,2680000,3442000,8765000,5567000,4827000,6625000,7482000
37,Total Current Assets,410273506,411712205,383240827,91130552,42944202,22093890,31753727,41266443,40176000,52387000,63575000,58475000,54448000,75162000,81362000
38,PP&E,- -,- -,16544905,269654684,566381378,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,1820151,17672608,32024153,41230616,55887471,71432664,66942000,79205000,82778000,72109000,59701000,50110000,50139000
41,Intangible Assets,- -,- -,1820151,17672608,32024153,41230616,55887471,71432664,66942000,79205000,82778000,72109000,59701000,50110000,50139000
42,Investments,- -,- -,- -,16779355,26242514,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,675753,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,2267630,68955303,26840380,887587021,1351448645,1738997278,2203517000,2531377000,2892845000,2872487000,2799608000,2736576000,2797343000
45,Total Non-Current Assets,- -,675753,20632686,373061950,651488425,928817637,1407336116,1810429942,2270459000,2610582000,2975623000,2944596000,2859309000,2786686000,2847482000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,410273506,412387958,403873513,464192502,694432627,950911527,1439089843,1851696385,2310635000,2662969000,3039198000,3003071000,2913757000,2861848000,2928844000
48,Accounts Payable,26310,- -,5556,4889350,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,56950000,156500000,135500000,95654000,140329000,153689000,80743000,45238000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,16240550,15723332,5673182,- -,7475283,125468580,13349068,12173382,13205000,18294000,18638000,15488000,17562000,17687000,48598000
53,Total Current Liabilities,16266860,15723332,5678738,4889350,7475283,125468580,70299068,168673382,148705000,113948000,158967000,169177000,98305000,62925000,48598000
54,Long-Term Debt,- -,- -,- -,42417100,169905964,272689842,564748578,586878299,855932000,1060626000,1346817000,1329036000,1328703000,1328688000,1329474000
55,Deferred Revenue,- -,- -,- -,- -,- -,2336680,3422910,3960699,5085000,5950000,6771000,7065000,7177000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,117590055,117590055,- -,26362482,66562326,83874354,95209221,129401787,169571000,166880000,197002000,189365000,187744000,179076000,184419000
58,Total Non-Current Liabilities,117590055,117590055,- -,68779582,236468290,358900876,663380709,720240785,1030588000,1233456000,1550590000,1525466000,1523624000,1507764000,1513893000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,20996167,- -,57371803,85283882,118358661,124861000,154958000,178984000,166146000,144757000,- -,- -
61,Total Liabilities,133856915,133313387,5678738,73668932,243943573,484369456,733679777,888914167,1179293000,1347404000,1709557000,1694643000,1621929000,1570689000,1562491000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5175,5175,4156,4164,4938,5260,7238,9293,10000,11000,11000,11000,12000,12000,12000
64,Retained Earnings,1734202,4372077,-4993693,-12880840,-19617877,-38851234,-47616570,-80975650,-122991000,-165951000,-210490000,-256438000,-297998000,-289309000,-297801000
65,Other Comprehensive Income/Loss,- -,- -,-20388,-3078160,-14451032,- -,-9000000,-9000000,-7000000,-4000000,2000000,4000000,-4000000,-8812000,-3154000
66,Other Total Stockholders Equity,274677214,274697319,403204700,406476017,484550636,505385656,732732721,1013679026,1166652000,1358181000,1412446000,1440641000,1481334000,1497662000,1577837000
67,Total Stockholders Equity,276416591,279074571,398194775,390521181,450486665,466539682,676123389,923712669,1036671000,1188241000,1203967000,1188214000,1179348000,1199553000,1276894000
68,Total Liabilities And Stockholders Equity,410273506,412387958,403873513,464190113,694430238,950909138,1409803166,1812626836,2215964000,2535645000,2913524000,2882857000,2801277000,2770242000,2839385000
69,Minority Interest,- -,- -,- -,2389,2389,2389,29286677,39069549,94671000,127324000,125674000,120214000,112480000,91606000,89459000
70,Total Liabilities & Equity,410273506,412387958,403873513,464192502,694432627,950911527,1439089843,1851696385,2310635000,2662969000,3039198000,3003071000,2913757000,2861848000,2928844000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1407623/000090514808002164/0000905148-08-002164-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1407623/000117184312000678/0001171843-12-000678-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000117184313000777/0001171843-13-000777-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000117184314000915/0001171843-14-000915-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000117184315001019/0001171843-15-001019-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000117184316008096/0001171843-16-008096-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000162828017001631/0001628280-17-001631-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000162828018002028/0001628280-18-002028-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000162828019001583/0001628280-19-001583-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000140762320000029/0001407623-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000140762321000031/0001407623-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000140762322000049/0001407623-22-000049-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,1734202,2637875,-9365770,-400921,9656321,7892613,33813561,20301045,23864000,32754000,38477000,42736000,48844000,32014000,53508000
74,Depreciation and Amortization,- -,- -,28864,6080571,21264172,29074709,40397895,58434981,70957000,88359000,96256000,100838000,97559000,97731000,92929000
75,Deferred Income Tax,-133069,-542684,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,3393439,2856391,3662034,4684000,4916000,6190000,7392000,8567000,8914000,11030000
77,Change in Working Capital,1579730,1982227,-18426784,-291320887,-50772283,-138843609,64829349,-88861598,18877939,46968000,-33831000,-15310000,66845000,56094000,1900000
78,Accounts Receivable,- -,- -,- -,- -,- -,-3679442,-4820044,-1604811,-2599000,-4412000,-2452000,-57000,543000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-1912490,2942797,-1164032,512000,4417000,456000,-1622000,303000,- -,- -
81,Other Working Capital,394006646,395988873,377562089,86241202,35468919,-103374690,-38545341,-127406939,-108529000,-61561000,-95392000,-110702000,-43857000,12237000,-1536000
82,Other Non-Cash Items,-3356856,-9264986,21607461,287946507,37137987,123203414,-104144731,71670465,-31465939,-58315000,21203000,-4738000,-89776000,-88093000,-23035000
83,Cash Provided by Operating Activities,-175993,-5187568,-6156229,2305270,17286197,24720566,37752465,65206927,86917000,114682000,128295000,130918000,132039000,106660000,136332000
84,CAPEX,- -,- -,-18002923,-212185741,-215013826,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,7926211,-43378106,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-406456881,- -,- -,-83689387,-29663218,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,411646984,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,5042115,- -,5099182,19522096,-269500689,-301599004,-399855825,-337115000,-325090000,-322607000,-56055000,12402000,-28474000,-103645000
89,Cash Used for Investing Activites,-406456881,5042115,393644061,-290775946,-225154948,-261574478,-344977110,-399855825,-337115000,-325090000,-322607000,-56055000,12402000,-28474000,-103645000
90,Debt Repayment,- -,- -,- -,-131393,-42387206,-7874618,-419902386,-671731922,-535308000,-377816000,-290848000,-184112000,-173551000,-196577000,-78716000
91,Common Stock Issued,422025000,- -,- -,9,82600525,37811680,- -,214906251,101293000,184881000,4525000,25972000,36104000,- -,70030000
92,Common Stock Repurchased,- -,- -,- -,-50905,-235546,-708176,-2596321,-3910895,-1317000,-40188000,-150000,-3713000,-5043000,-10845000,- -
93,Dividends Paid,- -,- -,- -,-7486226,-16349970,-27057495,-43259827,-55582656,-68601000,-84035000,-91646000,-97556000,-99674000,-25585000,-42629000
94,Other Financing Activites,-15193556,-48895,-4274173,-2365226,133822126,205057163,776210646,853821829,752202000,531847000,570859000,175030000,95732000,155999000,27355000
95,Cash Used/Provided by Financing Activities,406831444,-48895,-4274173,-10033741,157449929,207228554,310452112,337502607,248269000,214689000,192740000,-84379000,-146432000,-77008000,-23960000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,406831444,-194348,383213659,-298504417,-50418822,-29625358,3227467,2853709,-1929000,4281000,-1572000,-9516000,-1991000,1178000,8727000
98,Cash at the End of Period,198570,4222,383217881,84736410,34317588,4692230,7919697,10773406,8844000,13125000,11553000,7449000,5458000,6636000,15363000
99,Cash at the Beginning of Period,- -,198570,4222,383240827,84736410,34317588,4692230,7919697,10773000,8844000,13125000,16965000,7449000,5458000,6636000
100,Free Cash Flow,-175993,-5187568,-24159152,-209880471,-197727629,24720566,37752465,65206927,86917000,114682000,128295000,130918000,132039000,106660000,136332000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1407623/000090514808002164/0000905148-08-002164-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1407623/000117184312000678/0001171843-12-000678-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000117184313000777/0001171843-13-000777-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000117184314000915/0001171843-14-000915-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000117184315001019/0001171843-15-001019-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000117184316008096/0001171843-16-008096-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000162828017001631/0001628280-17-001631-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000162828018002028/0001628280-18-002028-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000162828019001583/0001628280-19-001583-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000140762320000029/0001407623-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000140762321000031/0001407623-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1407623/000140762322000049/0001407623-22-000049-index.htm
102,false,,,,,,,,,,,,,,,
