,https://roic.ai/company/RYB,2014,2015,2016,2017,2018,2019,2020
85,Acquisitions Net,1001000,-881000,- -,-168000,-38954000,-16731000,110000
86,Purchases of Investments,- -,-55000,-984000,- -,-56348000,-6681000,-22000
87,Sales/Maturities of Investments,- -,- -,- -,444000,55454000,868000,1284000
88,Other Investing Activites,-1364000,-1934000,167000,2986000,-407000,658000,18000
89,Cash Used for Investing Activites,-6537000,-14950000,-12122000,-8655000,-51735000,-34378000,-2585000
90,Debt Repayment,- -,- -,- -,- -,- -,-63000,-80000
91,Common Stock Issued,- -,50224000,- -,94627000,- -,- -,- -
92,Common Stock Repurchased,- -,-50224000,- -,-990000,- -,-12000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,279000,695000,1422000,-1141000,-756000,-1391000,636000
95,Cash Used/Provided by Financing Activities,279000,695000,1422000,92496000,-756000,-13454000,556000
96,Effect of Forex Changes on Cash,-271000,-977000,-2690000,3666000,-2741000,-542000,-6302000
97,Net Change In Cash,7522000,8576000,21663000,112606000,-54404000,-35392000,-14857000
98,Cash at the End of Period,16389000,24965000,46628000,159234000,104830000,69438000,54581000
99,Cash at the Beginning of Period,8867000,16389000,24965000,46628000,159234000,104830000,69438000
100,Free Cash Flow,7877000,11728000,23748000,13182000,-10652000,490000,-10501000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1708441/000110465919023854/a19-2997_120f.htm,https://www.sec.gov/Archives/edgar/data/1708441/000110465920053868/a20-14957_120f.htm,- -
102,false,,,,,,,
