,https://roic.ai/company/VLRS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1520504/000119312514168329/0001193125-14-168329-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000119312515158469/0001193125-15-158469-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000119312516565094/0001193125-16-565094-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000119312517144610/0001193125-17-144610-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000110465918026761/0001104659-18-026761-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000110465919023832/0001104659-19-023832-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000110465920051844/0001104659-20-051844-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,441068000,822076000,2450773000,2264857000,5157313000,7071251000,6950879000,5862942000,7888932000,10012345000,15255000000
32,Short-Term Investments,- -,933000,2360000,11133000,62679000,10123000,543528000,497403000,62440000,133567000,206000,- -
33,Cash and Short-Term Investments,- -,442001000,824436000,2461906000,2327536000,5167436000,7614779000,7448282000,5925382000,8022499000,10012551000,15255000000
34,Net Receivables,- -,238939000,387316000,602159000,448560000,464416000,962718000,1449292000,1466690000,2320334000,2027379000,2184000000
35,Inventory,- -,80010000,97150000,113835000,139673000,163073000,243884000,294850000,297271000,301908000,278959000,296000000
36,Other Current Assets,- -,369597000,506116000,822060000,772900000,1446512000,2729735000,2120606000,1500385000,1472498000,2083421000,2449000000
37,Total Current Assets,- -,1130547000,1815018000,3999960000,3688669000,7241437000,11551116000,11313030000,9189728000,12117239000,14402310000,20184000000
38,PP&E,- -,1517298000,1195319000,1341323000,2223312000,2549650000,2525008000,4375697000,5782282000,41514100000,41597374000,48820000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,58204000,60235000,79282000,72566000,94649000,114041000,190420000,179124000,167397000,191562000,260000000
41,Intangible Assets,- -,58204000,60235000,79282000,72566000,94649000,114041000,190420000,179124000,167397000,191562000,260000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2695000,326000,- -
43,Tax Assets,- -,302125000,319969000,304525000,327785000,544598000,559083000,562445000,593302000,1542536000,3128555000,2908000000
44,Other Non-Current Assets,- -,2053507000,2311017000,2652694000,3592708000,4830631000,7032523000,6224675000,6566215000,7951160000,8868986000,9931000000
45,Total Non-Current Assets,- -,3931134000,3886540000,4377824000,6216371000,8019528000,10230655000,11353237000,13120923000,51177888000,53786803000,61919000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5061681000,5701558000,8377784000,9905040000,15260965000,21781771000,22666267000,22310651000,63295127000,68189113000,82103000000
48,Accounts Payable,- -,535464000,520345000,533555000,505604000,781094000,861805000,1077438000,1085499000,1597099000,2239736000,2444000000
49,Short-Term Debt,- -,686932000,527383000,268468000,823071000,1371202000,1051237000,2403562000,1212259000,6806522000,8042976000,9895000000
50,Tax Payable,- -,426023000,560418000,598976000,677094000,1444723000,1672484000,1356539000,1936147000,2243064000,2240166000,2786000000
51,Deferred Revenue,- -,825390000,1258670000,1393469000,1450874000,2002202000,2186338000,2237897000,2498073000,3715391000,5871747000,6257000000
52,Other Current Liabilities,- -,1131136000,1415499000,1676037000,1988818000,2948335000,3788518000,3652926000,4453429000,5205204000,4811491000,7165000000
53,Total Current Liabilities,- -,3178922000,3721897000,3871529000,4768367000,7102833000,7887898000,9371823000,9249260000,17324216000,20965950000,25761000000
54,Long-Term Debt,- -,725462000,632540000,293824000,424799000,219817000,943046000,1079152000,2310939000,38686492000,41442199000,46032000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,10712000,21530000,26842000,885493000,1836950000,1616282000,1095452000,156139000,199771000,230000000
57,Other Non-Current Liabilities,- -,297558000,261742000,228531000,215252000,227991000,319801000,435839000,483320000,1598597000,2785008000,3548000000
58,Total Non-Current Liabilities,- -,1023020000,904994000,543885000,666893000,1333301000,3099797000,3131273000,3889711000,40441228000,44426978000,49810000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,40517045000,44130542000,49650000000
61,Total Liabilities,- -,4201942000,4626891000,4415414000,5435260000,8436134000,10987695000,12503096000,13138971000,57765444000,65392928000,75571000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1966313000,2376098000,2973559000,2973559000,2973559000,2973559000,2973559000,2973559000,2973559000,3426406000,3426000000
64,Retained Earnings,- -,-1144884000,-929645000,-661000000,-55783000,2408087000,6065018000,5080049000,4265876000,438412000,-3855379000,-1735000000
65,Other Comprehensive Income/Loss,- -,-70870000,-69660000,-689204000,-119998000,-256528000,38250000,390068000,217832000,407418000,-1271320000,309000000
66,Other Total Stockholders Equity,- -,1000,-324572000,2339015000,1672002000,1699713000,1717249000,1719495000,1714413000,1710294000,4496478000,4532000000
67,Total Stockholders Equity,- -,750560000,1052221000,3962370000,4469780000,6824831000,10794076000,10163171000,9171680000,5529683000,2796185000,6532000000
68,Total Liabilities And Stockholders Equity,- -,4952502000,5679112000,8377784000,9905040000,15260965000,21781771000,22666267000,22310651000,63295127000,68189113000,82103000000
69,Minority Interest,- -,109179000,22446000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,5061681000,5701558000,8377784000,9905040000,15260965000,21781771000,22666267000,22310651000,63295127000,68189113000,82103000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1520504/000119312514168329/0001193125-14-168329-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000119312515158469/0001193125-15-158469-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000119312516565094/0001193125-16-565094-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000119312517144610/0001193125-17-144610-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000110465918026761/0001104659-18-026761-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000110465919023832/0001104659-19-023832-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000110465920051844/0001104659-20-051844-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,572234000,-293540000,215239000,268678000,605184000,2463870000,3519489000,-594599000,-682500000,2639063000,-4293791000,2121000000
74,Depreciation and Amortization,61691000,102977000,211002000,301531000,342515000,456717000,536543000,548687000,500641000,5378485000,5947421000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,1457182000,-161175000,-233256000,1094831000,-1406184000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,4826000,8783000,12919000,32257000,48772000,- -
77,Change in Working Capital,-45325000,-127042000,123731000,-501673000,-462864000,-455438000,-2348568000,1415473000,2061201000,82697000,1710138000,- -
78,Accounts Receivable,-88838000,-28922000,-80609000,-41113000,41570000,-52157000,-157370000,139774000,1711000,-367603000,793045000,- -
79,Inventory,-4457000,-35225000,-17140000,-16685000,-25838000,-23400000,-80811000,-50966000,-2421000,-4637000,22949000,- -
80,Accounts Payable,250302000,88127000,-15119000,13210000,-16717000,300447000,136178000,196082000,14022000,518189000,892232000,- -
81,Other Working Capital,181453000,290857000,417316000,104585000,-138995000,-87811000,-203883000,110031000,921429000,1248070000,916339000,- -
82,Other Non-Cash Items,-49599000,169900000,-52524000,-29779000,-151052000,604464000,-2190740000,-231300000,-1093205000,282310000,2353089000,13748000000
83,Cash Provided by Operating Activities,539001000,-147705000,497448000,38757000,333783000,3069613000,978732000,985869000,565800000,9509643000,4359445000,15869000000
84,CAPEX,-321482000,-1214899000,-856205000,-1161000000,-1602594000,-1456091000,-2259489000,-2652660000,-2814162000,-3560693000,-3501300000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-34687000,565814000,1017466000,807516000,389169000,802586000,2170739000,261312000,1353760000,1604027000,3308819000,-2731000000
89,Cash Used for Investing Activites,-321347000,-628030000,187161000,-311926000,-1184968000,-601277000,-27958000,-2260440000,-1389395000,-1879341000,-67757000,-2731000000
90,Debt Repayment,- -,-261387000,-694292000,-1083928000,-399815000,-801335000,-1531460000,-924867000,-1193589000,-7681528000,-8250763000,- -
91,Common Stock Issued,- -,- -,- -,2604154000,- -,23461000,- -,- -,- -,- -,3272832000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-7059000,- -,-17025000,-10108000,-57320000,-75375000,-94564000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-90065000,823760000,422394000,340278000,931578000,842960000,1559250000,2333275000,1015757000,2518063000,2031655000,-8828000000
95,Cash Used/Provided by Financing Activities,-90065000,562373000,-271898000,1860504000,524704000,65086000,10765000,1398300000,-235152000,-5238840000,-3040840000,-8828000000
96,Effect of Forex Changes on Cash,-25260000,-22483000,-31703000,41362000,140565000,359034000,952399000,-244101000,-29190000,-274432000,872565000,842000000
97,Net Change In Cash,102329000,-235845000,381008000,1628697000,-185916000,2892456000,1913938000,-120372000,-1087937000,2117030000,2123413000,5152000000
98,Cash at the End of Period,676913000,441068000,822076000,2450773000,2264857000,5157313000,7071251000,6950879000,5862942000,7979972000,10103385000,15255000000
99,Cash at the Beginning of Period,574584000,676913000,441068000,822076000,2450773000,2264857000,5157313000,7071251000,6950879000,5862942000,7979972000,10103000000
100,Free Cash Flow,217519000,-1362604000,-358757000,-1122243000,-1268811000,1613522000,-1280757000,-1666791000,-2248362000,5948950000,858145000,15869000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1520504/000119312514168329/0001193125-14-168329-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000119312515158469/0001193125-15-158469-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000119312516565094/0001193125-16-565094-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000119312517144610/0001193125-17-144610-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000110465918026761/0001104659-18-026761-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000110465919023832/0001104659-19-023832-index.htm,https://www.sec.gov/Archives/edgar/data/1520504/000110465920051844/0001104659-20-051844-index.htm,- -,- -
102,Forex Rate,0.08088,0.07162,0.07782,0.07668,0.06778,0.05817,0.04822,0.05087,0.05088,0.0528,0.05024,0.04877
